Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close,Low
"2025-01-06","Sunday","TQQQ","Buy_on_Dip",83.875,"1%",1,83.875,1,83.875,80.1585,80.1585,84.7222,79.25368361492309
"2025-01-06","Sunday","TQQQ","Buy_on_Dip",83.0278,"2%",1,83.0278,2,166.9027,160.317,80.1585,84.7222,79.25368361492309
"2025-01-06","Sunday","TQQQ","Buy_on_Dip",82.1805,"3%",1,82.1805,3,249.0833,240.4754,80.1585,84.7222,79.25368361492309
"2025-01-06","Sunday","TQQQ","Buy_on_Dip",81.3333,"4%",1,81.3333,4,330.4166,320.6339,80.1585,84.7222,79.25368361492309
"2025-01-06","Sunday","TQQQ","Buy_on_Dip",80.4861,"5%",1,80.4861,5,410.9027,400.7924,80.1585,84.7222,79.25368361492309
"2025-01-07","Monday","TQQQ","Buy_on_Dip",79.3569,"1%",1,79.3569,6,490.2596,481.3088,80.2181,80.1585,77.99095745683971
"2025-01-07","Monday","TQQQ","Buy_on_Dip",78.5553,"2%",1,78.5553,7,568.8149,561.5269,80.2181,80.1585,77.99095745683971
"2025-01-09","Wednesday","TQQQ","Buy_on_Dip",79.416,"1%",1,79.416,8,648.2308,611.1214,76.3902,80.2181,74.79933586650247
"2025-01-09","Wednesday","TQQQ","Buy_on_Dip",78.6138,"2%",1,78.6138,9,726.8446,687.5116,76.3902,80.2181,74.79933586650247
"2025-01-09","Wednesday","TQQQ","Buy_on_Dip",77.8116,"3%",1,77.8116,10,804.6562,763.9017,76.3902,80.2181,74.79933586650247
"2025-01-09","Wednesday","TQQQ","Buy_on_Dip",77.0094,"4%",1,77.0094,11,881.6656,840.2919,76.3902,80.2181,74.79933586650247
"2025-01-09","Wednesday","TQQQ","Buy_on_Dip",76.2072,"5%",1,76.2072,12,957.8728,916.6821,76.3902,80.2181,74.79933586650247
"2025-01-12","Saturday","TQQQ","Buy_on_Dip",75.6263,"1%",1,75.6263,13,1033.4991,982.7318,75.5948,76.3902,72.9201538396754
"2025-01-12","Saturday","TQQQ","Buy_on_Dip",74.8624,"2%",1,74.8624,14,1108.3614,1058.3266,75.5948,76.3902,72.9201538396754
"2025-01-12","Saturday","TQQQ","Buy_on_Dip",74.0985,"3%",1,74.0985,15,1182.4599,1133.9214,75.5948,76.3902,72.9201538396754
"2025-01-12","Saturday","TQQQ","Buy_on_Dip",73.3346,"4%",1,73.3346,16,1255.7945,1209.5161,75.5948,76.3902,72.9201538396754
"2025-01-13","Sunday","TQQQ","Buy_on_Dip",74.8388,"1%",1,74.8388,17,1330.6333,1280.547,75.3263,75.5948,73.76528212942418
"2025-01-13","Sunday","TQQQ","Buy_on_Dip",74.0829,"2%",1,74.0829,18,1404.7162,1355.8733,75.3263,75.5948,73.76528212942418
"2025-01-15","Tuesday","TQQQ","Buy_on_Dip",79.6128,"1%",1,79.6128,19,1484.329,1496.7523,78.7764,80.417,78.74660122085962
"2025-01-15","Tuesday","TQQQ","Buy_on_Dip",78.8086,"2%",1,78.8086,20,1563.1376,1575.5287,78.7764,80.417,78.74660122085962
"2025-01-22","Tuesday","TQQQ","Buy_on_Dip",86.4244,"1%",1,86.4244,21,1649.562,1844.5198,87.8343,87.2974,85.77612477289892
"2025-01-23","Wednesday","TQQQ","Buy_on_Dip",86.9559,"1%",1,86.9559,22,1736.518,1897.5745,86.2534,87.8343,85.51762580901911
"2025-01-23","Wednesday","TQQQ","Buy_on_Dip",86.0776,"2%",1,86.0776,23,1822.5955,1983.8279,86.2534,87.8343,85.51762580901911
"2025-01-26","Saturday","TQQQ","Buy_on_Dip",85.3909,"1%",1,85.3909,24,1907.9864,1888.4868,78.687,86.2534,76.73817190561512
"2025-01-26","Saturday","TQQQ","Buy_on_Dip",84.5283,"2%",1,84.5283,25,1992.5147,1967.1738,78.687,86.2534,76.73817190561512
"2025-01-26","Saturday","TQQQ","Buy_on_Dip",83.6658,"3%",1,83.6658,26,2076.1805,2045.8607,78.687,86.2534,76.73817190561512
"2025-01-26","Saturday","TQQQ","Buy_on_Dip",82.8033,"4%",1,82.8033,27,2158.9838,2124.5477,78.687,86.2534,76.73817190561512
"2025-01-26","Saturday","TQQQ","Buy_on_Dip",81.9407,"5%",1,81.9407,28,2240.9245,2203.2346,78.687,86.2534,76.73817190561512
"2025-01-27","Sunday","TQQQ","Buy_on_Dip",77.9001,"1%",1,77.9001,29,2318.8246,2383.1289,82.1769,78.687,77.55347522376096
"2025-01-28","Monday","TQQQ","Buy_on_Dip",81.3551,"1%",1,81.3551,30,2400.1796,2450.0931,81.6698,82.1769,79.80053452830812
"2025-01-28","Monday","TQQQ","Buy_on_Dip",80.5333,"2%",1,80.5333,31,2480.713,2531.7628,81.6698,82.1769,79.80053452830812
"2025-01-29","Tuesday","TQQQ","Buy_on_Dip",80.8531,"1%",1,80.8531,32,2561.566,2646.2039,82.6939,81.6698,80.3970971492932
