Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-01,2005-09-01,Thursday,AAPL,Buy_on_Dip,1,1.3936,1.3936,True,1.3936,1,1,1.3936,1.3936,1,1.3936,1.3887,1.3887,1.4076
2005-09-07,2005-09-07,Wednesday,AAPL,Buy_on_Dip,1,1.4503,1.4503,True,1.4503,1,1,1.4503,1.4503,2,2.8439,2.9228,1.4614,1.465
2005-09-12,2005-09-12,Monday,AAPL,Buy_on_Dip,1,1.5249,1.5249,True,1.5249,1,1,1.5249,1.5249,3,4.3688,4.6291,1.543,1.5403
2005-09-13,2005-09-13,Tuesday,AAPL,Buy_on_Dip,1,1.5276,1.5276,True,1.5276,1,1,1.5276,1.5276,4,5.8964,6.1025,1.5256,1.543
2005-09-13,2005-09-13,Tuesday,AAPL,Buy_on_Dip,2,1.5122,1.5122,True,1.5122,1,1,1.5122,1.5122,5,7.4086,7.6281,1.5256,1.543
2005-09-14,2005-09-14,Wednesday,AAPL,Buy_on_Dip,1,1.5104,1.5104,True,1.5104,1,1,1.5104,1.5104,6,8.919,8.9358,1.4893,1.5256
2005-09-14,2005-09-14,Wednesday,AAPL,Buy_on_Dip,2,1.4951,1.4951,True,1.4951,1,1,1.4951,1.4951,7,10.4141,10.4251,1.4893,1.5256
2005-09-21,2005-09-21,Wednesday,AAPL,Buy_on_Dip,1,1.5808,1.5808,True,1.5808,1,1,1.5808,1.5808,8,11.9949,12.5148,1.5643,1.5968
2005-09-21,2005-09-21,Wednesday,AAPL,Buy_on_Dip,2,1.5648,1.5648,True,1.5648,1,1,1.5648,1.5648,9,13.5597,14.0791,1.5643,1.5968
2005-09-22,2005-09-22,Thursday,AAPL,Buy_on_Dip,1,1.5487,1.5487,True,1.5487,1,1,1.5487,1.5487,10,15.1084,15.5804,1.558,1.5643
2005-09-28,2005-09-28,Wednesday,AAPL,Buy_on_Dip,1,1.5882,1.5882,True,1.5882,1,1,1.5882,1.5882,11,16.6966,16.8677,1.5334,1.6043
2005-09-28,2005-09-28,Wednesday,AAPL,Buy_on_Dip,2,1.5722,1.5722,True,1.5722,1,1,1.5722,1.5722,12,18.2688,18.4011,1.5334,1.6043
2005-09-28,2005-09-28,Wednesday,AAPL,Buy_on_Dip,3,1.5561,1.5561,True,1.5561,1,1,1.5561,1.5561,13,19.8249,19.9346,1.5334,1.6043
2005-09-28,2005-09-28,Wednesday,AAPL,Buy_on_Dip,4,1.5401,1.5401,True,1.5401,1,1,1.5401,1.5401,14,21.365,21.468,1.5334,1.6043
2005-09-28,2005-09-28,Wednesday,AAPL,Buy_on_Dip,5,1.5241,1.5241,True,1.5241,1,1,1.5241,1.5241,15,22.8891,23.0014,1.5334,1.6043
2005-10-04,2005-10-04,Tuesday,AAPL,Buy_on_Dip,1,1.618,1.618,True,1.618,1,1,1.618,1.618,16,24.5071,25.8173,1.6136,1.6343
2005-10-05,2005-10-05,Wednesday,AAPL,Buy_on_Dip,1,1.5974,1.5974,True,1.5974,1,1,1.5974,1.5974,17,26.1045,26.9358,1.5845,1.6136
2005-10-06,2005-10-06,Thursday,AAPL,Buy_on_Dip,1,1.5686,1.5686,True,1.5686,1,1,1.5686,1.5686,18,27.6731,27.9367,1.552,1.5845
2005-10-06,2005-10-06,Thursday,AAPL,Buy_on_Dip,2,1.5528,1.5528,True,1.5528,1,1,1.5528,1.5528,19,29.2259,29.4888,1.552,1.5845
2005-10-06,2005-10-06,Thursday,AAPL,Buy_on_Dip,3,1.5369,1.5369,True,1.5369,1,1,1.5369,1.5369,20,30.7628,31.0408,1.552,1.5845
2005-10-07,2005-10-07,Friday,AAPL,Buy_on_Dip,1,1.5365,1.5365,True,1.5365,1,1,1.5365,1.5365,21,32.2993,32.3407,1.54,1.552
2005-10-07,2005-10-07,Friday,AAPL,Buy_on_Dip,2,1.521,1.521,True,1.521,1,1,1.521,1.521,22,33.8203,33.8807,1.54,1.552
2005-10-10,2005-10-10,Monday,AAPL,Buy_on_Dip,1,1.5246,1.5246,True,1.5246,1,1,1.5246,1.5246,23,35.3449,34.7786,1.5121,1.54
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,1,1.5333,1.5333,True,1.5333,1,1,1.5333,1.5333,24,36.8782,35.4838,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,2,1.5178,1.5178,True,1.5178,1,1,1.5178,1.5178,25,38.396,36.9623,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,3,1.5023,1.5023,True,1.5023,1,1,1.5023,1.5023,26,39.8983,38.4408,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,4,1.4868,1.4868,True,1.4868,1,1,1.4868,1.4868,27,41.3851,39.9193,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,5,1.4713,1.4713,True,1.4713,1,1,1.4713,1.4713,28,42.8564,41.3977,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,6,1.4558,1.4558,True,1.4558,1,1,1.4558,1.4558,29,44.3122,42.8762,1.4785,1.5487
2005-10-12,2005-10-12,Wednesday,AAPL,Buy_on_Dip,7,1.4403,1.4403,True,1.4403,1,1,1.4403,1.4403,30,45.7525,44.3547,1.4785,1.5487
2005-10-14,2005-10-14,Friday,AAPL,Buy_on_Dip,1,1.5971,1.5971,True,1.5971,1,1,1.5971,1.5971,31,47.3496,50.2537,1.6211,1.6133
2005-10-17,2005-10-17,Monday,AAPL,Buy_on_Dip,1,1.6049,1.6049,True,1.6049,1,1,1.6049,1.6049,32,48.9545,51.3368,1.6043,1.6211
2005-10-17,2005-10-17,Monday,AAPL,Buy_on_Dip,2,1.5887,1.5887,True,1.5887,1,1,1.5887,1.5887,33,50.5432,52.9411,1.6043,1.6211
2005-10-18,2005-10-18,Tuesday,AAPL,Buy_on_Dip,1,1.5882,1.5882,True,1.5882,1,1,1.5882,1.5882,34,52.1314,53.2899,1.5674,1.6043
2005-10-18,2005-10-18,Tuesday,AAPL,Buy_on_Dip,2,1.5722,1.5722,True,1.5722,1,1,1.5722,1.5722,35,53.7036,54.8573,1.5674,1.6043
