Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2014-01-30,2014-01-30,Thursday,ALLY,Buy_on_Dip,1,19.9352,19.9352,True,19.9352,1,1,19.9352,19.9352,1,19.9352,19.8865,19.8865,20.1366
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,1,21.4211,21.4211,True,21.4211,1,1,21.4211,21.4211,2,41.3563,37.1904,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,2,21.2047,21.2047,True,21.2047,1,1,21.2047,21.2047,3,62.561,55.7857,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,3,20.9884,20.9884,True,20.9884,1,1,20.9884,20.9884,4,83.5494,74.3809,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,4,20.772,20.772,True,20.772,1,1,20.772,20.772,5,104.3214,92.9761,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,5,20.5556,20.5556,True,20.5556,1,1,20.5556,20.5556,6,124.877,111.5713,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,6,20.3392,20.3392,True,20.3392,1,1,20.3392,20.3392,7,145.2162,130.1666,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,7,20.1229,20.1229,True,20.1229,1,1,20.1229,20.1229,8,165.3391,148.7618,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,8,19.9065,19.9065,True,19.9065,1,1,19.9065,19.9065,9,185.2456,167.357,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,9,19.6901,19.6901,True,19.6901,1,1,19.6901,19.6901,10,204.9357,185.9522,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,10,19.4737,19.4737,True,19.4737,1,1,19.4737,19.4737,11,224.4094,204.5475,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,11,19.2574,19.2574,True,19.2574,1,1,19.2574,19.2574,12,243.6668,223.1427,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,12,19.041,19.041,True,19.041,1,1,19.041,19.041,13,262.7078,241.7379,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,13,18.8246,18.8246,True,18.8246,1,1,18.8246,18.8246,14,281.5324,260.3331,18.5952,21.6375
2014-04-10,2014-04-10,Thursday,ALLY,Buy_on_Dip,14,18.6082,18.6082,True,18.6082,1,1,18.6082,18.6082,15,300.1406,278.9284,18.5952,21.6375
2014-04-14,2014-04-14,Monday,ALLY,Buy_on_Dip,1,18.5782,18.5782,True,18.5782,1,1,18.5782,18.5782,16,318.7188,298.3921,18.6495,18.7658
2014-04-15,2014-04-15,Tuesday,ALLY,Buy_on_Dip,1,18.463,18.463,True,18.463,1,1,18.463,18.463,17,337.1818,315.4597,18.5565,18.6495
