Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-08-31,2005-08-31,Wednesday,AMZN,Buy_on_Dip,1,2.1033,2.1033,True,2.1033,1,1,2.1033,2.1033,1,2.1033,2.135,2.135,2.1245
2005-09-01,2005-09-01,Thursday,AMZN,Buy_on_Dip,1,2.1136,2.1136,True,2.1136,1,1,2.1136,2.1136,2,4.2169,4.184,2.092,2.135
2005-09-01,2005-09-01,Thursday,AMZN,Buy_on_Dip,2,2.0923,2.0923,True,2.0923,1,1,2.0923,2.0923,3,6.3092,6.276,2.092,2.135
2005-09-02,2005-09-02,Friday,AMZN,Buy_on_Dip,1,2.0711,2.0711,True,2.0711,1,1,2.0711,2.0711,4,8.3803,8.302,2.0755,2.092
2005-09-08,2005-09-08,Thursday,AMZN,Buy_on_Dip,1,2.1646,2.1646,True,2.1646,1,1,2.1646,2.1646,5,10.5449,10.74,2.148,2.1865
2005-09-08,2005-09-08,Thursday,AMZN,Buy_on_Dip,2,2.1428,2.1428,True,2.1428,1,1,2.1428,2.1428,6,12.6877,12.888,2.148,2.1865
2005-09-13,2005-09-13,Tuesday,AMZN,Buy_on_Dip,1,2.2027,2.2027,True,2.2027,1,1,2.2027,2.2027,7,14.8904,15.3755,2.1965,2.225
2005-09-13,2005-09-13,Tuesday,AMZN,Buy_on_Dip,2,2.1805,2.1805,True,2.1805,1,1,2.1805,2.1805,8,17.0709,17.572,2.1965,2.225
2005-09-14,2005-09-14,Wednesday,AMZN,Buy_on_Dip,1,2.1745,2.1745,True,2.1745,1,1,2.1745,2.1745,9,19.2454,19.395,2.155,2.1965
2005-09-14,2005-09-14,Wednesday,AMZN,Buy_on_Dip,2,2.1526,2.1526,True,2.1526,1,1,2.1526,2.1526,10,21.398,21.55,2.155,2.1965
2005-09-15,2005-09-15,Thursday,AMZN,Buy_on_Dip,1,2.1334,2.1334,True,2.1334,1,1,2.1334,2.1334,11,23.5314,23.4905,2.1355,2.155
2005-09-16,2005-09-16,Friday,AMZN,Buy_on_Dip,1,2.1141,2.1141,True,2.1141,1,1,2.1141,2.1141,12,25.6455,25.68,2.14,2.1355
2005-09-19,2005-09-19,Monday,AMZN,Buy_on_Dip,1,2.1186,2.1186,True,2.1186,1,1,2.1186,2.1186,13,27.7641,27.7875,2.1375,2.14
