Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2014-11-05,2014-11-05,Wednesday,ARKK,Buy_on_Dip,1,18.1004,18.1004,True,18.1004,1,1,18.1004,18.1004,1,18.1004,18.0486,18.0486,18.2832
2014-11-19,2014-11-19,Wednesday,ARKK,Buy_on_Dip,1,18.4041,18.4041,True,18.4041,1,1,18.4041,18.4041,2,36.5045,36.6206,18.3103,18.59
2014-12-01,2014-12-01,Monday,ARKK,Buy_on_Dip,1,18.3952,18.3952,True,18.3952,1,1,18.3952,18.3952,3,54.8997,54.8767,18.2922,18.581
2014-12-02,2014-12-02,Tuesday,ARKK,Buy_on_Dip,1,18.1093,18.1093,True,18.1093,1,1,18.1093,18.1093,4,73.009,72.3748,18.0937,18.2922
2014-12-08,2014-12-08,Monday,ARKK,Buy_on_Dip,1,17.9664,17.9664,True,17.9664,1,1,17.9664,17.9664,5,90.9754,89.0246,17.8049,18.1479
2014-12-08,2014-12-08,Monday,ARKK,Buy_on_Dip,2,17.7849,17.7849,True,17.7849,1,1,17.7849,17.7849,6,108.7603,106.8296,17.8049,18.1479
2014-12-09,2014-12-09,Tuesday,ARKK,Buy_on_Dip,1,17.6269,17.6269,True,17.6269,1,1,17.6269,17.6269,7,126.3872,124.9504,17.8501,17.8049
2014-12-15,2014-12-15,Monday,ARKK,Buy_on_Dip,1,17.5179,17.5179,True,17.5179,1,1,17.5179,17.5179,8,143.9051,139.1907,17.3988,17.6948
2014-12-16,2014-12-16,Tuesday,ARKK,Buy_on_Dip,1,17.2248,17.2248,True,17.2248,1,1,17.2248,17.2248,9,161.1299,153.9093,17.101,17.3988
2015-01-05,2015-01-05,Monday,ARKK,Buy_on_Dip,1,18.02,18.02,True,18.02,1,1,18.02,18.02,10,179.1499,177.6342,17.7634,18.202
2015-01-05,2015-01-05,Monday,ARKK,Buy_on_Dip,2,17.838,17.838,True,17.838,1,1,17.838,17.838,11,196.9879,195.3976,17.7634,18.202
2015-01-06,2015-01-06,Tuesday,ARKK,Buy_on_Dip,1,17.5858,17.5858,True,17.5858,1,1,17.5858,17.5858,12,214.5737,212.3597,17.6966,17.7634
