Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2020-06-11,2020-06-11,Thursday,FBCG,Buy_on_Dip,1,20.7682,20.7682,True,20.7682,1,1,20.7682,20.7682,1,20.7682,19.7698,19.7698,20.978
2020-06-11,2020-06-11,Thursday,FBCG,Buy_on_Dip,2,20.5584,20.5584,True,20.5584,1,1,20.5584,20.5584,2,41.3266,39.5396,19.7698,20.978
2020-06-11,2020-06-11,Thursday,FBCG,Buy_on_Dip,3,20.3486,20.3486,True,20.3486,1,1,20.3486,20.3486,3,61.6752,59.3094,19.7698,20.978
2020-06-11,2020-06-11,Thursday,FBCG,Buy_on_Dip,4,20.1388,20.1388,True,20.1388,1,1,20.1388,20.1388,4,81.814,79.0792,19.7698,20.978
2020-06-11,2020-06-11,Thursday,FBCG,Buy_on_Dip,5,19.9291,19.9291,True,19.9291,1,1,19.9291,19.9291,5,101.7431,98.849,19.7698,20.978
2020-06-15,2020-06-15,Monday,FBCG,Buy_on_Dip,1,19.7698,19.7698,True,19.7698,1,1,19.7698,19.7698,6,121.5129,121.4645,20.2441,19.9695
2020-06-24,2020-06-24,Wednesday,FBCG,Buy_on_Dip,1,21.0153,21.0153,True,21.0153,1,1,21.0153,21.0153,7,142.5282,144.8188,20.6884,21.2276
2020-06-24,2020-06-24,Wednesday,FBCG,Buy_on_Dip,2,20.803,20.803,True,20.803,1,1,20.803,20.803,8,163.3312,165.5072,20.6884,21.2276
2020-06-24,2020-06-24,Wednesday,FBCG,Buy_on_Dip,3,20.5907,20.5907,True,20.5907,1,1,20.5907,20.5907,9,183.9219,186.1956,20.6884,21.2276
2020-06-25,2020-06-25,Thursday,FBCG,Buy_on_Dip,1,20.4815,20.4815,True,20.4815,1,1,20.4815,20.4815,10,204.4034,209.0806,20.9081,20.6884
2020-06-26,2020-06-26,Friday,FBCG,Buy_on_Dip,1,20.699,20.699,True,20.699,1,1,20.699,20.699,11,225.1024,224.3872,20.3988,20.9081
2020-06-26,2020-06-26,Friday,FBCG,Buy_on_Dip,2,20.4899,20.4899,True,20.4899,1,1,20.4899,20.4899,12,245.5923,244.7861,20.3988,20.9081
2020-06-29,2020-06-29,Monday,FBCG,Buy_on_Dip,1,20.1949,20.1949,True,20.1949,1,1,20.1949,20.1949,13,265.7872,267.0151,20.5396,20.3988
