Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2021-02-17,2021-02-17,Wednesday,FMAG,Buy_on_Dip,1,20.1247,20.1247,True,20.1247,1,1,20.1247,20.1247,1,20.1247,20.2506,20.2506,20.3279
2021-02-18,2021-02-18,Thursday,FMAG,Buy_on_Dip,1,20.0481,20.0481,True,20.0481,1,1,20.0481,20.0481,2,40.1728,40.3781,20.1891,20.2506
2021-02-22,2021-02-22,Monday,FMAG,Buy_on_Dip,1,19.8202,19.8202,True,19.8202,1,1,19.8202,19.8202,3,59.993,59.079,19.693,20.0204
2021-02-23,2021-02-23,Tuesday,FMAG,Buy_on_Dip,1,19.4961,19.4961,True,19.4961,1,1,19.4961,19.4961,4,79.4891,78.8474,19.7119,19.693
2021-02-24,2021-02-24,Wednesday,FMAG,Buy_on_Dip,1,19.5147,19.5147,True,19.5147,1,1,19.5147,19.5147,5,99.0038,99.1247,19.8249,19.7119
2021-02-25,2021-02-25,Thursday,FMAG,Buy_on_Dip,1,19.6267,19.6267,True,19.6267,1,1,19.6267,19.6267,6,118.6305,115.777,19.2962,19.8249
2021-02-25,2021-02-25,Thursday,FMAG,Buy_on_Dip,2,19.4285,19.4285,True,19.4285,1,1,19.4285,19.4285,7,138.059,135.0732,19.2962,19.8249
2021-03-03,2021-03-03,Wednesday,FMAG,Buy_on_Dip,1,19.3792,19.3792,True,19.3792,1,1,19.3792,19.3792,8,157.4382,152.8614,19.1077,19.5749
2021-03-03,2021-03-03,Wednesday,FMAG,Buy_on_Dip,2,19.1834,19.1834,True,19.1834,1,1,19.1834,19.1834,9,176.6216,171.969,19.1077,19.5749
2021-03-04,2021-03-04,Thursday,FMAG,Buy_on_Dip,1,18.9166,18.9166,True,18.9166,1,1,18.9166,18.9166,10,195.5382,187.5052,18.7505,19.1077
2021-03-04,2021-03-04,Thursday,FMAG,Buy_on_Dip,2,18.7255,18.7255,True,18.7255,1,1,18.7255,18.7255,11,214.2637,206.2557,18.7505,19.1077
2021-03-05,2021-03-05,Friday,FMAG,Buy_on_Dip,1,18.563,18.563,True,18.563,1,1,18.563,18.563,12,232.8267,229.3515,19.1126,18.7505
2021-03-08,2021-03-08,Monday,FMAG,Buy_on_Dip,1,18.9215,18.9215,True,18.9215,1,1,18.9215,18.9215,13,251.7482,245.0464,18.8497,19.1126
2021-03-11,2021-03-11,Thursday,FMAG,Buy_on_Dip,1,19.113,19.113,True,19.113,1,1,19.113,19.113,14,270.8612,275.1604,19.6543,19.3061
2021-03-11,2021-03-11,Thursday,FMAG,Buy_on_Dip,2,18.92,18.92,True,18.92,1,1,18.92,18.92,15,289.7812,294.8147,19.6543,19.3061
2021-03-12,2021-03-12,Friday,FMAG,Buy_on_Dip,1,19.4578,19.4578,True,19.4578,1,1,19.4578,19.4578,16,309.239,313.5007,19.5938,19.6543
2021-03-17,2021-03-17,Wednesday,FMAG,Buy_on_Dip,1,19.613,19.613,True,19.613,1,1,19.613,19.613,17,328.852,336.1303,19.7724,19.8111
2021-03-18,2021-03-18,Thursday,FMAG,Buy_on_Dip,1,19.5746,19.5746,True,19.5746,1,1,19.5746,19.5746,18,348.4266,348.5811,19.3656,19.7724
2021-03-18,2021-03-18,Thursday,FMAG,Buy_on_Dip,2,19.3769,19.3769,True,19.3769,1,1,19.3769,19.3769,19,367.8035,367.9467,19.3656,19.7724
2021-03-25,2021-03-25,Thursday,FMAG,Buy_on_Dip,1,19.2643,19.2643,True,19.2643,1,1,19.2643,19.2643,20,387.0678,388.3839,19.4192,19.4589
2021-03-30,2021-03-30,Tuesday,FMAG,Buy_on_Dip,1,19.5649,19.5649,True,19.5649,1,1,19.5649,19.5649,21,406.6327,411.7624,19.6077,19.7625
2021-04-14,2021-04-14,Wednesday,FMAG,Buy_on_Dip,1,20.899,20.899,True,20.899,1,1,20.899,20.899,22,427.5317,460.4047,20.9275,21.1101
2021-04-19,2021-04-19,Monday,FMAG,Buy_on_Dip,1,21.0817,21.0817,True,21.0817,1,1,21.0817,21.0817,23,448.6134,485.2121,21.0962,21.2946
2021-05-04,2021-05-04,Tuesday,FMAG,Buy_on_Dip,1,20.9245,20.9245,True,20.9245,1,1,20.9245,20.9245,24,469.5379,499.8782,20.8283,21.1359
