Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2021-02-04,19.911266568010348,20.020397186279297,19.863645865774316,20.020397186279297,354700,FMAG,2021,2,5,Thursday,19.9539,,,,,,
2021-02-05,20.228731795021464,20.228731795021464,20.03031476068296,20.055116653442383,178500,FMAG,2021,2,5,Friday,20.1357,20.020397186279297,0.17,1.04,0.05,0.17,-0.05
2021-02-08,20.21881258227812,20.21881258227812,20.060078182806393,20.129526138305664,76100,FMAG,2021,2,6,Monday,20.1568,20.055116653442383,0.37,0.82,0.02,0.37,-0.02
2021-02-09,20.1196046125461,20.23865446371495,20.1196046125461,20.189050674438477,56400,FMAG,2021,2,6,Tuesday,20.1667,20.129526138305664,0.3,-0.05,-0.05,0.3,0.05
2021-02-10,20.387467074202466,20.387467074202466,20.08984056350034,20.13944435119629,44700,FMAG,2021,2,6,Wednesday,20.2511,20.189050674438477,-0.25,0.98,-0.49,-0.25,0.49
2021-02-11,20.288258512663965,20.307107345548022,20.189049049831105,20.264448165893555,42200,FMAG,2021,2,6,Thursday,20.2622,20.13944435119629,0.62,0.74,0.25,0.62,-0.25
2021-02-12,20.228730031224313,20.407306671142578,20.228730031224313,20.407306671142578,39600,FMAG,2021,2,6,Friday,20.318,20.264448165893555,0.7,-0.18,-0.18,0.7,0.18
2021-02-16,20.446993632670846,20.486676283875255,20.28825924332684,20.32794189453125,56100,FMAG,2021,2,7,Tuesday,20.3875,20.407306671142578,-0.39,0.19,-0.58,-0.39,0.58
2021-02-17,20.16920667773627,20.250558853149414,20.1096817572401,20.250558853149414,66200,FMAG,2021,2,7,Wednesday,20.195,20.32794189453125,-0.38,-0.78,-1.07,-0.38,1.07
2021-02-18,20.1196046125461,20.208892947054373,20.010474005421933,20.189050674438477,47100,FMAG,2021,2,7,Thursday,20.132,20.250558853149414,-0.3,-0.65,-1.19,-0.3,1.19
2021-02-19,20.238656530553737,20.238656530553737,20.020397186279297,20.020397186279297,64600,FMAG,2021,2,7,Friday,20.1295,20.189050674438477,-0.84,0.25,-0.84,-0.84,0.84
