Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2022-09-07,23.980566024780273,23.980566024780273,23.980566024780273,23.980566024780273,100,GGLL,2022,9,36,Wednesday,23.9806,,,,,,
2022-09-08,23.832535686098105,23.832535686098105,23.576261520385742,23.576261520385742,900,GGLL,2022,9,36,Thursday,23.7044,23.980566024780273,-1.69,-0.62,-1.69,-1.69,1.69
2022-09-09,24.392268343072374,24.480159439748537,24.37839126586914,24.37839126586914,1100,GGLL,2022,9,36,Friday,24.4073,23.576261520385742,3.4,3.46,3.4,3.4,-3.4
2022-09-12,24.517163855436173,24.572673921011575,24.248861969994273,24.358959197998047,10100,GGLL,2022,9,37,Monday,24.4244,24.37839126586914,-0.08,0.57,-0.53,-0.08,0.53
2022-09-13,23.4994747861844,23.4994747861844,22.30229798658468,22.315250396728516,4400,GGLL,2022,9,37,Tuesday,22.9041,24.358959197998047,-8.39,-3.53,-8.44,-8.39,8.44
2022-09-14,22.315247877453434,22.54654189798634,22.16814451335077,22.463275909423828,6000,GGLL,2022,9,37,Wednesday,22.3733,22.315250396728516,0.66,-0.0,-0.66,0.66,0.66
2022-09-15,21.7601433477176,22.009014897744763,21.69538129992739,21.824905395507812,3600,GGLL,2022,9,37,Thursday,21.8224,22.463275909423828,-2.84,-3.13,-3.42,-2.84,3.42
2022-09-16,21.482591505014312,21.843411436003514,21.482591505014312,21.797151565551758,2900,GGLL,2022,9,37,Friday,21.6514,21.824905395507812,-0.13,-1.57,-1.57,-0.13,1.57
2022-09-19,21.491838973634657,21.839706420898438,21.427076933212298,21.839706420898438,2000,GGLL,2022,9,38,Monday,21.6496,21.797151565551758,0.2,-1.4,-1.7,0.2,1.7
2022-09-20,21.55283115689472,21.55283115689472,21.15490399456953,21.175262451171875,3500,GGLL,2022,9,38,Tuesday,21.359,21.839706420898438,-3.04,-1.31,-3.14,-3.04,3.14
2022-09-21,21.2844615211687,21.608355853855084,20.618165969848633,20.618165969848633,11900,GGLL,2022,9,38,Wednesday,21.0323,21.175262451171875,-2.63,0.52,-2.63,-2.63,2.63
2022-09-22,20.544133156102745,21.01979454463525,20.544133156102745,20.942058563232422,7600,GGLL,2022,9,38,Thursday,20.7625,20.618165969848633,1.57,-0.36,-0.36,1.57,0.36
2022-09-23,20.544131316583464,20.544131316583464,20.063841925751912,20.479351043701172,10100,GGLL,2022,9,38,Friday,20.4079,20.942058563232422,-2.21,-1.9,-4.19,-2.21,4.19
2022-09-26,20.229489777518985,20.72921091708056,20.229489777518985,20.29704475402832,5100,GGLL,2022,9,39,Monday,20.3713,20.479351043701172,-0.89,-1.22,-1.22,-0.89,1.22
2022-09-27,20.719958931188707,20.783812538326217,19.913000498594705,20.054588317871094,6900,GGLL,2022,9,39,Tuesday,20.3678,20.29704475402832,-1.19,2.08,-1.89,-1.19,1.89
2022-09-28,20.117516801937324,20.978149604246727,20.117516801937324,20.85692024230957,20900,GGLL,2022,9,39,Wednesday,20.5175,20.054588317871094,4.0,0.31,0.31,4.0,-0.31
2022-09-29,20.26650986111146,20.26650986111146,19.665917690762807,20.04718780517578,4400,GGLL,2022,9,39,Thursday,20.0615,20.85692024230957,-3.88,-2.83,-5.71,-3.88,5.71
2022-09-30,19.859326376592556,20.45066592750458,19.461400985717773,19.461400985717773,6000,GGLL,2022,9,39,Friday,19.8082,20.04718780517578,-2.92,-0.94,-2.92,-2.92,2.92
2022-10-03,19.868579800462008,20.442335578041373,19.831564266630867,20.339614868164062,4000,GGLL,2022,10,40,Monday,20.1205,19.461400985717773,4.51,2.09,1.9,4.51,-1.9
2022-10-04,21.016091322990825,21.289087747192433,20.969821460617172,21.238191604614258,13000,GGLL,2022,10,40,Tuesday,21.1283,20.339614868164062,4.42,3.33,3.1,4.42,-3.1
2022-10-05,20.756975903085117,21.336282873053616,20.44233591742789,21.170635223388672,8500,GGLL,2022,10,40,Wednesday,20.9266,21.238191604614258,-0.32,-2.27,-3.75,-0.32,3.75
2022-10-06,21.016091065336322,21.562083907045736,21.016091065336322,21.219682693481445,6100,GGLL,2022,10,40,Thursday,21.2035,21.170635223388672,0.23,-0.73,-0.73,0.23,0.73
2022-10-07,20.67368662619203,20.840260926836876,20.238743991794124,20.340538024902344,12400,GGLL,2022,10,40,Friday,20.5233,21.219682693481445,-4.14,-2.57,-4.62,-4.14,4.62
2022-10-10,20.396070358443865,20.396070358443865,19.95187149586611,20.072175979614258,5400,GGLL,2022,10,41,Monday,20.204,20.340538024902344,-1.32,0.27,-1.91,-1.32,1.91
2022-10-11,19.9611212269834,20.312778505349126,19.664989896832452,19.850072860717773,7100,GGLL,2022,10,41,Tuesday,19.9472,20.072175979614258,-1.11,-0.55,-2.03,-1.11,2.03
2022-10-12,19.914853040762477,20.26650858357404,19.914853040762477,19.9888858795166,2100,GGLL,2022,10,41,Wednesday,20.0213,19.850072860717773,0.7,0.33,0.33,0.7,-0.33
2022-10-13,19.06347722666202,20.566346008928086,19.06347722666202,20.46547508239746,18600,GGLL,2022,10,41,Thursday,19.7897,19.9888858795166,2.38,-4.63,-4.63,2.38,4.63
2022-10-14,20.775484115371743,20.775484115371743,19.692752838134766,19.692752838134766,15600,GGLL,2022,10,41,Friday,20.2341,20.46547508239746,-3.78,1.51,-3.78,-3.78,3.78
2022-10-17,20.368301723754406,20.913369596863614,20.368301723754406,20.710702896118164,12100,GGLL,2022,10,42,Monday,20.5902,19.692752838134766,5.17,3.43,3.43,5.17,-3.43
2022-10-18,21.728653298567075,21.737907621842886,20.729209330841485,20.883752822875977,44400,GGLL,2022,10,42,Tuesday,21.2699,20.710702896118164,0.84,4.92,0.09,0.84,-0.09
2022-10-19,20.641303210074224,20.950390303495784,20.525626775823714,20.594106674194336,6000,GGLL,2022,10,42,Wednesday,20.6779,20.883752822875977,-1.39,-1.16,-1.71,-1.39,1.71
