Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-08-31,2005-08-31,Wednesday,GOOGL,Buy_on_Dip,1,7.0746,7.0746,True,7.0746,1,1,7.0746,7.0746,1,7.0746,7.1145,7.1145,7.1461
2005-09-13,2005-09-13,Tuesday,GOOGL,Buy_on_Dip,1,7.628,7.628,True,7.628,1,1,7.628,7.628,2,14.7026,15.5066,7.7533,7.705
2005-09-14,2005-09-14,Wednesday,GOOGL,Buy_on_Dip,1,7.6758,7.6758,True,7.6758,1,1,7.6758,7.6758,3,22.3784,22.6121,7.5374,7.7533
2005-09-14,2005-09-14,Wednesday,GOOGL,Buy_on_Dip,2,7.5982,7.5982,True,7.5982,1,1,7.5982,7.5982,4,29.9766,30.1495,7.5374,7.7533
2005-09-14,2005-09-14,Wednesday,GOOGL,Buy_on_Dip,3,7.5207,7.5207,True,7.5207,1,1,7.5207,7.5207,5,37.4973,37.6869,7.5374,7.7533
2005-09-15,2005-09-15,Thursday,GOOGL,Buy_on_Dip,1,7.462,7.462,True,7.462,1,1,7.462,7.462,6,44.9593,45.1676,7.5279,7.5374
2005-09-28,2005-09-28,Wednesday,GOOGL,Buy_on_Dip,1,7.7314,7.7314,True,7.7314,1,1,7.7314,7.7314,7,52.6907,53.284,7.612,7.8095
2005-09-28,2005-09-28,Wednesday,GOOGL,Buy_on_Dip,2,7.6533,7.6533,True,7.6533,1,1,7.6533,7.6533,8,60.344,60.896,7.612,7.8095
2005-10-03,2005-10-03,Monday,GOOGL,Buy_on_Dip,1,7.7935,7.7935,True,7.7935,1,1,7.7935,7.7935,9,68.1375,71.3469,7.9274,7.8722
2005-10-04,2005-10-04,Tuesday,GOOGL,Buy_on_Dip,1,7.8482,7.8482,True,7.8482,1,1,7.8482,7.8482,10,75.9857,77.3639,7.7364,7.9274
2005-10-04,2005-10-04,Tuesday,GOOGL,Buy_on_Dip,2,7.7689,7.7689,True,7.7689,1,1,7.7689,7.7689,11,83.7546,85.1002,7.7364,7.9274
2005-10-10,2005-10-10,Monday,GOOGL,Buy_on_Dip,1,7.708,7.708,True,7.708,1,1,7.708,7.708,12,91.4626,92.7321,7.7277,7.7859
