Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-10-12,2005-10-12,Wednesday,HSBC,Buy_on_Dip,1,27.5533,27.5533,True,27.5533,1,1,27.5533,27.5533,1,27.5533,27.5684,27.5684,27.8316
2005-10-17,2005-10-17,Monday,HSBC,Buy_on_Dip,1,27.4907,27.4907,True,27.4907,1,1,27.4907,27.4907,2,55.044,55.1227,27.5613,27.7684
2005-10-19,2005-10-19,Wednesday,HSBC,Buy_on_Dip,1,27.1363,27.1363,True,27.1363,1,1,27.1363,27.1363,3,82.1803,82.5997,27.5332,27.4104
2005-10-20,2005-10-20,Thursday,HSBC,Buy_on_Dip,1,27.2579,27.2579,True,27.2579,1,1,27.2579,27.2579,4,109.4382,108.7713,27.1928,27.5332
2005-11-14,2005-11-14,Monday,HSBC,Buy_on_Dip,1,28.0814,28.0814,True,28.0814,1,1,28.0814,28.0814,5,137.5196,141.2637,28.2527,28.3651
2006-01-17,2006-01-17,Tuesday,HSBC,Buy_on_Dip,1,29.695,29.695,True,29.695,1,1,29.695,29.695,6,167.2146,178.5039,29.7507,29.9949
2006-01-18,2006-01-18,Wednesday,HSBC,Buy_on_Dip,1,29.4531,29.4531,True,29.4531,1,1,29.4531,29.4531,7,196.6677,206.396,29.4851,29.7507
2006-01-20,2006-01-20,Friday,HSBC,Buy_on_Dip,1,29.4672,29.4672,True,29.4672,1,1,29.4672,29.4672,8,226.1349,234.4935,29.3117,29.7648
2006-01-30,2006-01-30,Monday,HSBC,Buy_on_Dip,1,29.2394,29.2394,True,29.2394,1,1,29.2394,29.2394,9,255.3743,263.7414,29.3046,29.5347
2006-02-03,2006-02-03,Friday,HSBC,Buy_on_Dip,1,29.0501,29.0501,True,29.0501,1,1,29.0501,29.0501,10,284.4244,292.4442,29.2444,29.3435
2006-03-07,2006-03-07,Tuesday,HSBC,Buy_on_Dip,1,30.3153,30.3153,True,30.3153,1,1,30.3153,30.3153,11,314.7397,334.0717,30.3702,30.6215
2006-04-07,2006-04-07,Friday,HSBC,Buy_on_Dip,1,30.4412,30.4412,True,30.4412,1,1,30.4412,30.4412,12,345.1809,365.7827,30.4819,30.7486
2006-04-24,2006-04-24,Monday,HSBC,Buy_on_Dip,1,30.6767,30.6767,True,30.6767,1,1,30.6767,30.6767,13,375.8576,400.9039,30.8388,30.9866
2006-04-27,2006-04-27,Thursday,HSBC,Buy_on_Dip,1,30.5268,30.5268,True,30.5268,1,1,30.5268,30.5268,14,406.3844,432.0959,30.864,30.8352
2006-05-03,2006-05-03,Wednesday,HSBC,Buy_on_Dip,1,31.8187,31.8187,True,31.8187,1,1,31.8187,31.8187,15,438.2031,478.262,31.8841,32.1401
2006-05-11,2006-05-11,Thursday,HSBC,Buy_on_Dip,1,32.8607,32.8607,True,32.8607,1,1,32.8607,32.8607,16,471.0638,525.0843,32.8178,33.1927
2006-05-12,2006-05-12,Friday,HSBC,Buy_on_Dip,1,32.4896,32.4896,True,32.4896,1,1,32.4896,32.4896,17,503.5534,550.1808,32.3636,32.8178
2006-05-17,2006-05-17,Wednesday,HSBC,Buy_on_Dip,1,32.486,32.486,True,32.486,1,1,32.486,32.486,18,536.0394,581.6919,32.3162,32.8142
2006-05-22,2006-05-22,Monday,HSBC,Buy_on_Dip,1,31.9823,31.9823,True,31.9823,1,1,31.9823,31.9823,19,568.0217,599.5745,31.5566,32.3053
2006-05-22,2006-05-22,Monday,HSBC,Buy_on_Dip,2,31.6592,31.6592,True,31.6592,1,1,31.6592,31.6592,20,599.6809,631.131,31.5566,32.3053
2006-05-24,2006-05-24,Wednesday,HSBC,Buy_on_Dip,1,31.3345,31.3345,True,31.3345,1,1,31.3345,31.3345,21,631.0154,662.6876,31.5566,31.6511
2006-05-30,2006-05-30,Tuesday,HSBC,Buy_on_Dip,1,31.662,31.662,True,31.662,1,1,31.662,31.662,22,662.6774,689.5265,31.3421,31.9818
2006-05-30,2006-05-30,Tuesday,HSBC,Buy_on_Dip,2,31.3422,31.3422,True,31.3422,1,1,31.3422,31.3422,23,694.0196,720.8687,31.3421,31.9818
2006-06-01,2006-06-01,Thursday,HSBC,Buy_on_Dip,1,31.3849,31.3849,True,31.3849,1,1,31.3849,31.3849,24,725.4045,762.5042,31.771,31.7019
2006-06-05,2006-06-05,Monday,HSBC,Buy_on_Dip,1,31.4929,31.4929,True,31.4929,1,1,31.4929,31.4929,25,756.8974,785.2793,31.4112,31.811
2006-06-08,2006-06-08,Thursday,HSBC,Buy_on_Dip,1,31.1726,31.1726,True,31.1726,1,1,31.1726,31.1726,26,788.07,811.6817,31.2185,31.4875
2006-06-13,2006-06-13,Tuesday,HSBC,Buy_on_Dip,1,30.9747,30.9747,True,30.9747,1,1,30.9747,30.9747,27,819.0447,827.6892,30.6552,31.2876
2006-06-13,2006-06-13,Tuesday,HSBC,Buy_on_Dip,2,30.6618,30.6618,True,30.6618,1,1,30.6618,30.6618,28,849.7065,858.3443,30.6552,31.2876
2006-06-19,2006-06-19,Monday,HSBC,Buy_on_Dip,1,31.3345,31.3345,True,31.3345,1,1,31.3345,31.3345,29,881.041,910.3974,31.393,31.6511
2006-06-23,2006-06-23,Friday,HSBC,Buy_on_Dip,1,31.187,31.187,True,31.187,1,1,31.187,31.187,30,912.228,939.7182,31.3239,31.502
2006-06-27,2006-06-27,Tuesday,HSBC,Buy_on_Dip,1,31.0611,31.0611,True,31.0611,1,1,31.0611,31.0611,31,943.2891,963.2673,31.0731,31.3748
2006-07-03,2006-07-03,Monday,HSBC,Buy_on_Dip,1,31.7915,31.7915,True,31.7915,1,1,31.7915,31.7915,32,975.0806,1023.5349,31.9855,32.1127
2006-07-05,2006-07-05,Wednesday,HSBC,Buy_on_Dip,1,31.6656,31.6656,True,31.6656,1,1,31.6656,31.6656,33,1006.7462,1047.1239,31.731,31.9855
2006-07-12,2006-07-12,Wednesday,HSBC,Buy_on_Dip,1,32.1874,32.1874,True,32.1874,1,1,32.1874,32.1874,34,1038.9336,1090.9656,32.0872,32.5125
2006-07-13,2006-07-13,Thursday,HSBC,Buy_on_Dip,1,31.7664,31.7664,True,31.7664,1,1,31.7664,31.7664,35,1070.7,1107.914,31.6547,32.0872
2006-07-17,2006-07-17,Monday,HSBC,Buy_on_Dip,1,31.295,31.295,True,31.295,1,1,31.295,31.295,36,1101.995,1132.6343,31.4621,31.6111
