Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2005-09-06,28.645819889628353,28.761636529511698,28.635288669952004,28.72303009033203,360100,HSBC,2005,9,36,Tuesday,28.6914,,,,,,
2005-09-07,28.90904026521129,28.919568805816887,28.803749503844735,28.880962371826172,468000,HSBC,2005,9,36,Wednesday,28.8783,28.72303009033203,0.55,0.65,0.28,0.55,-0.28
2005-09-08,28.76163625668529,28.76163625668529,28.61072090795696,28.6528377532959,196500,HSBC,2005,9,36,Thursday,28.6967,28.880962371826172,-0.79,-0.41,-0.94,-0.79,0.94
2005-09-09,28.64932124168764,28.83884298884292,28.614225216878527,28.765140533447266,253300,HSBC,2005,9,36,Friday,28.7169,28.6528377532959,0.39,-0.01,-0.13,0.39,0.13
2005-09-12,28.645815641942878,28.730046643274104,28.593170261990142,28.635284423828125,259900,HSBC,2005,9,37,Monday,28.6511,28.765140533447266,-0.45,-0.41,-0.6,-0.45,0.6
2005-09-13,28.51596340902706,28.768659143968907,28.487885510110004,28.67038917541504,393400,HSBC,2005,9,37,Tuesday,28.6107,28.635284423828125,0.12,-0.42,-0.51,0.12,0.51
2005-09-14,28.71249355442034,28.740571443762096,28.586145730037344,28.621244430541992,262000,HSBC,2005,9,37,Wednesday,28.6651,28.67038917541504,-0.17,0.15,-0.29,-0.17,0.29
2005-09-15,28.414178266277425,28.498409271240234,28.361532884054906,28.498409271240234,305500,HSBC,2005,9,37,Thursday,28.4431,28.621244430541992,-0.43,-0.72,-0.91,-0.43,0.91
2005-09-16,28.53702749404691,28.589672898015476,28.40015105032252,28.544048309326172,237700,HSBC,2005,9,37,Friday,28.5177,28.498409271240234,0.16,0.14,-0.34,0.16,0.34
2005-09-19,28.473843620406143,28.537017547618184,28.421200912442394,28.466825485229492,263100,HSBC,2005,9,38,Monday,28.4747,28.544048309326172,-0.27,-0.25,-0.43,-0.27,0.43
2005-09-20,28.491405771124278,28.614243274302048,28.326451405004097,28.35101890563965,347400,HSBC,2005,9,38,Tuesday,28.4458,28.466825485229492,-0.41,0.09,-0.49,-0.41,0.49
2005-09-21,28.42470968345573,28.473844664460565,28.256247656483627,28.291343688964844,320000,HSBC,2005,9,38,Wednesday,28.3615,28.35101890563965,-0.21,0.26,-0.33,-0.21,0.33
2005-09-22,28.25273383479604,28.365042731753615,28.182541778318303,28.35802459716797,371200,HSBC,2005,9,38,Thursday,28.2896,28.291343688964844,0.24,-0.14,-0.38,0.24,0.38
2005-09-23,28.32292301405466,28.410664414566174,28.252730964707467,28.375568389892578,167500,HSBC,2005,9,38,Friday,28.3405,28.35802459716797,0.06,-0.12,-0.37,0.06,0.37
2005-09-26,28.44226335721656,28.505437296337384,28.358032330940812,28.410675048828125,196100,HSBC,2005,9,39,Monday,28.4291,28.375568389892578,0.12,0.24,-0.06,0.12,0.06
2005-09-27,28.30537460219151,28.463308042350853,28.266768174125026,28.393115997314453,289200,HSBC,2005,9,39,Tuesday,28.3571,28.410675048828125,-0.06,-0.37,-0.51,-0.06,0.51
2005-09-28,28.42469448376488,28.554552679926815,28.40363741106724,28.491378784179688,306400,HSBC,2005,9,39,Wednesday,28.4686,28.393115997314453,0.35,0.11,0.04,0.35,-0.04
2005-09-29,28.463301031523457,28.73705368845393,28.407147944856444,28.691429138183594,525100,HSBC,2005,9,39,Thursday,28.5747,28.491378784179688,0.7,-0.1,-0.3,0.7,0.3
2005-09-30,28.544039590445934,28.568607081106173,28.459805898763122,28.508943557739258,593700,HSBC,2005,9,39,Friday,28.5203,28.691429138183594,-0.64,-0.51,-0.81,-0.64,0.81
2005-10-03,28.505433151171893,28.565096674538808,28.459805898763122,28.508943557739258,234200,HSBC,2005,10,40,Monday,28.5098,28.508943557739258,0.0,-0.01,-0.17,0.0,0.17
2005-10-04,28.508955133431137,28.589675773666496,28.336979951325514,28.35101890563965,309400,HSBC,2005,10,40,Tuesday,28.4467,28.508943557739258,-0.55,0.0,-0.6,-0.55,0.6
2005-10-05,28.221144126303862,28.28431536139355,28.108832567953495,28.11936378479004,344400,HSBC,2005,10,40,Wednesday,28.1834,28.35101890563965,-0.82,-0.46,-0.85,-0.82,0.85
2005-10-06,28.0983051563894,28.129893452856848,27.901765276698747,27.996524810791016,393300,HSBC,2005,10,40,Thursday,28.0316,28.11936378479004,-0.44,-0.07,-0.77,-0.44,0.77
2005-10-07,27.968458262008692,28.056199689431075,27.901773920317805,28.01057243347168,385800,HSBC,2005,10,40,Friday,27.9843,27.996524810791016,0.05,-0.1,-0.34,0.05,0.34
2005-10-10,27.9614274480399,28.021090954711305,27.859647107312544,27.91229248046875,277700,HSBC,2005,10,41,Monday,27.9386,28.01057243347168,-0.35,-0.18,-0.54,-0.35,0.54
2005-10-11,27.936867304696083,27.96845560795163,27.782444227892604,27.831579208374023,428900,HSBC,2005,10,41,Tuesday,27.8798,27.91229248046875,-0.29,0.09,-0.47,-0.29,0.47
2005-10-12,27.705228129267926,27.74032415729453,27.491138877353766,27.56835174560547,580600,HSBC,2005,10,41,Wednesday,27.6263,27.831579208374023,-0.95,-0.45,-1.22,-0.95,1.22
2005-10-13,27.50518067802302,27.631528534152835,27.350754925496453,27.5964298248291,432000,HSBC,2005,10,41,Thursday,27.521,27.56835174560547,0.1,-0.23,-0.79,0.1,0.79
2005-10-14,27.649076189227014,27.799991540628625,27.564845174712712,27.76840591430664,368300,HSBC,2005,10,41,Friday,27.6956,27.5964298248291,0.62,0.19,-0.11,0.62,0.11
2005-10-17,27.515708131038913,27.58590019159792,27.47710169443482,27.56133270263672,446100,HSBC,2005,10,42,Monday,27.535,27.76840591430664,-0.75,-0.91,-1.05,-0.75,1.05
2005-10-18,27.466584815269506,27.543797721261846,27.396390047250737,27.410429000854492,412300,HSBC,2005,10,42,Tuesday,27.4543,27.56133270263672,-0.55,-0.34,-0.6,-0.55,0.6
2005-10-19,27.14718353458445,27.54377630192563,27.11559792178092,27.533245086669922,604300,HSBC,2005,10,42,Wednesday,27.335,27.410429000854492,0.45,-0.96,-1.08,0.45,1.08
2005-10-20,27.375314793747876,27.459545781831437,27.10507247972131,27.192813873291016,486500,HSBC,2005,10,42,Thursday,27.2832,27.533245086669922,-1.24,-0.57,-1.56,-1.24,1.56
2005-10-21,27.35074577033428,27.45603650775017,27.21035901299799,27.29458999633789,316800,HSBC,2005,10,42,Friday,27.3279,27.192813873291016,0.37,0.58,0.06,0.37,-0.06
2005-10-24,27.45955616266672,27.596432574167952,27.410421177905036,27.57186508178711,370100,HSBC,2005,10,43,Monday,27.5096,27.29458999633789,1.02,0.6,0.42,1.02,-0.42
2005-10-25,27.55080565814466,27.64907561932843,27.375322819557752,27.484121322631836,457700,HSBC,2005,10,43,Tuesday,27.5148,27.57186508178711,-0.32,-0.08,-0.71,-0.32,0.71
2005-10-26,27.635025412905513,27.726277201539922,27.52622695415398,27.533245086669922,430100,HSBC,2005,10,43,Wednesday,27.6052,27.484121322631836,0.18,0.55,0.15,0.18,-0.15
2005-10-27,27.431481691754847,27.463067320970577,27.280566326526984,27.305133819580078,410200,HSBC,2005,10,43,Thursday,27.3701,27.533245086669922,-0.83,-0.37,-0.92,-0.83,0.92
2005-10-28,27.49465168510533,27.589413923704175,27.252487172626076,27.44200897216797,336600,HSBC,2005,10,43,Friday,27.4446,27.305133819580078,0.5,0.69,-0.19,0.5,0.19
2005-10-31,27.529746609899338,27.70873716457355,27.49114017395264,27.64205551147461,613400,HSBC,2005,10,44,Monday,27.5929,27.44200897216797,0.73,0.32,0.18,0.73,-0.18
2005-11-01,27.77891665495651,27.803484130015352,27.62449099592724,27.673625946044922,237700,HSBC,2005,11,44,Tuesday,27.7201,27.64205551147461,0.11,0.5,-0.06,0.11,0.06
2005-11-02,27.71575237089805,27.877196216902973,27.63152138116828,27.863157272338867,512100,HSBC,2005,11,44,Wednesday,27.7719,27.673625946044922,0.68,0.15,-0.15,0.68,0.15
2005-11-03,28.003549952958362,28.049174524183666,27.852634614098726,27.880712509155273,438700,HSBC,2005,11,44,Thursday,27.9465,27.863157272338867,0.06,0.5,-0.04,0.06,0.04
2005-11-04,27.92984987516611,27.94739655283541,27.649076255900482,27.799991607666016,586300,HSBC,2005,11,44,Friday,27.8316,27.880712509155273,-0.29,0.18,-0.83,-0.29,0.83
2005-11-07,27.835084400526668,27.954414112003512,27.785949424523075,27.894750595092773,288500,HSBC,2005,11,45,Monday,27.8675,27.799991607666016,0.34,0.13,-0.05,0.34,0.05
2005-11-08,27.863163856328743,27.929848189351866,27.761383492429694,27.849124908447266,280400,HSBC,2005,11,45,Tuesday,27.8509,27.894750595092773,-0.16,-0.11,-0.48,-0.16,0.48
2005-11-09,27.89475764215524,28.059709287464596,27.863169333798268,27.989517211914062,399000,HSBC,2005,11,45,Wednesday,27.9518,27.849124908447266,0.5,0.16,0.05,0.5,-0.05
2005-11-10,28.073742761217378,28.252735999904417,28.00004029297107,28.238697052001953,390600,HSBC,2005,11,45,Thursday,28.1413,27.989517211914062,0.89,0.3,0.04,0.89,-0.04
2005-11-11,28.287838377571745,28.4001473083339,28.287838377571745,28.36505126953125,324500,HSBC,2005,11,45,Friday,28.3352,28.238697052001953,0.45,0.17,0.17,0.45,-0.17
2005-11-14,28.238703816068746,28.273799855403766,28.07725989300272,28.252742767333984,348900,HSBC,2005,11,46,Monday,28.2106,28.36505126953125,-0.4,-0.45,-1.01,-0.4,1.01
2005-11-15,28.287836632863318,28.396637827393963,28.136921265429415,28.18254852294922,398200,HSBC,2005,11,46,Tuesday,28.251,28.252742767333984,-0.25,0.12,-0.41,-0.25,0.41
2005-11-16,28.143934225712602,28.172009440594994,28.007057846660818,28.133405685424805,509700,HSBC,2005,11,46,Wednesday,28.1141,28.18254852294922,-0.17,-0.14,-0.62,-0.17,0.62
2005-11-17,28.277307293067377,28.428222656250004,28.277307293067377,28.42822265625,409900,HSBC,2005,11,46,Thursday,28.3528,28.133405685424805,1.05,0.51,0.51,1.05,-0.51
2005-11-18,28.624754974932532,28.645814732838424,28.49840713811784,28.628265380859375,391800,HSBC,2005,11,46,Friday,28.5993,28.42822265625,0.7,0.69,0.25,0.7,-0.25
2005-11-21,28.600193160752966,28.638799600639178,28.519472552013205,28.607213973999023,559200,HSBC,2005,11,47,Monday,28.5914,28.628265380859375,-0.07,-0.1,-0.38,-0.07,0.38
2005-11-22,28.59658984169127,28.78775330949056,28.437288302283562,28.76651382446289,417300,HSBC,2005,11,47,Tuesday,28.647,28.607213973999023,0.56,-0.04,-0.59,0.56,0.59
2005-11-23,28.791295549286346,28.957678725840292,28.741734947868178,28.855016708374023,401300,HSBC,2005,11,47,Wednesday,28.8364,28.76651382446289,0.31,0.09,-0.09,0.31,0.09
2005-11-25,28.678024328370896,28.72050331614085,28.585982020117317,28.653244018554688,216200,HSBC,2005,11,47,Friday,28.6594,28.855016708374023,-0.7,-0.61,-0.93,-0.7,0.93
2005-11-28,28.759437279514884,28.777138654067166,28.589515967555432,28.674476623535156,390900,HSBC,2005,11,48,Monday,28.7001,28.653244018554688,0.07,0.37,-0.22,0.07,0.22
2005-11-29,28.59304777047395,28.631988625213154,28.462067350760236,28.532867431640625,538400,HSBC,2005,11,48,Tuesday,28.555,28.674476623535156,-0.49,-0.28,-0.74,-0.49,0.74
2005-11-30,28.412510432799106,28.454989406487492,28.29214703869795,28.29922866821289,400900,HSBC,2005,11,48,Wednesday,28.3647,28.532867431640625,-0.82,-0.42,-0.84,-0.82,0.84
2005-12-01,28.624909100235175,28.81961336986888,28.624909100235175,28.745269775390625,436900,HSBC,2005,12,48,Thursday,28.7037,28.29922866821289,1.58,1.15,1.15,1.58,-1.15
2005-12-02,28.603671470600545,28.777133566976726,28.515170015185134,28.76651382446289,272100,HSBC,2005,12,48,Friday,28.6656,28.745269775390625,0.07,-0.49,-0.8,0.07,0.8
2005-12-05,28.688636003912613,28.745275538621044,28.532872556976148,28.692176818847656,260700,HSBC,2005,12,49,Monday,28.6647,28.76651382446289,-0.26,-0.27,-0.81,-0.26,0.81
2005-12-06,28.56472822511478,28.67446915637959,28.501007074511055,28.529325485229492,286600,HSBC,2005,12,49,Tuesday,28.5674,28.692176818847656,-0.57,-0.44,-0.67,-0.57,0.67
2005-12-07,28.51871222153624,28.578895272501704,28.391269891380677,28.522253036499023,248000,HSBC,2005,12,49,Wednesday,28.5028,28.529325485229492,-0.02,-0.04,-0.48,-0.02,0.48
2005-12-08,28.42313616235818,28.515178459485035,28.285074067093333,28.40897560119629,510400,HSBC,2005,12,49,Thursday,28.4081,28.522253036499023,-0.4,-0.35,-0.83,-0.4,0.83
2005-12-09,28.483311083934392,28.547032246572517,28.419589921296268,28.465612411499023,204900,HSBC,2005,12,49,Friday,28.4789,28.40897560119629,0.2,0.26,0.04,0.2,-0.04
2005-12-12,28.63198506844868,28.692168100655824,28.511624405733645,28.639066696166992,281200,HSBC,2005,12,50,Monday,28.6187,28.465612411499023,0.61,0.58,0.16,0.61,-0.16
2005-12-13,28.593059278450585,28.851484809288614,28.593059278450585,28.762983322143555,603100,HSBC,2005,12,50,Tuesday,28.7001,28.639066696166992,0.43,-0.16,-0.16,0.43,0.16
2005-12-14,28.77712855267472,28.88332866015821,28.738187703009224,28.837308883666992,277500,HSBC,2005,12,50,Wednesday,28.809,28.762983322143555,0.26,0.05,-0.09,0.26,0.09
