Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2008-01-02,2008-01-02,Wednesday,MGK,Buy_on_Dip,1,40.996,40.996,True,40.996,1,1,40.996,40.996,1,40.996,40.9045,40.9045,41.4101
2008-01-04,2008-01-04,Friday,MGK,Buy_on_Dip,1,40.5365,40.5365,True,40.5365,1,1,40.5365,40.5365,2,81.5325,79.6379,39.8189,40.946
2008-01-04,2008-01-04,Friday,MGK,Buy_on_Dip,2,40.1271,40.1271,True,40.1271,1,1,40.1271,40.1271,3,121.6596,119.4568,39.8189,40.946
2008-01-08,2008-01-08,Tuesday,MGK,Buy_on_Dip,1,39.15,39.15,True,39.15,1,1,39.15,39.15,4,160.8096,156.5578,39.1394,39.5455
2008-01-11,2008-01-11,Friday,MGK,Buy_on_Dip,1,39.5192,39.5192,True,39.5192,1,1,39.5192,39.5192,5,200.3288,196.8158,39.3632,39.9184
2008-01-15,2008-01-15,Tuesday,MGK,Buy_on_Dip,1,39.3715,39.3715,True,39.3715,1,1,39.3715,39.3715,6,239.7003,233.0963,38.8494,39.7692
2008-01-15,2008-01-15,Tuesday,MGK,Buy_on_Dip,2,38.9738,38.9738,True,38.9738,1,1,38.9738,38.9738,7,278.6741,271.9456,38.8494,39.7692
2008-01-16,2008-01-16,Wednesday,MGK,Buy_on_Dip,1,38.4609,38.4609,True,38.4609,1,1,38.4609,38.4609,8,317.135,307.4802,38.435,38.8494
2008-01-17,2008-01-17,Thursday,MGK,Buy_on_Dip,1,38.0507,38.0507,True,38.0507,1,1,38.0507,38.0507,9,355.1857,337.0398,37.4489,38.435
2008-01-17,2008-01-17,Thursday,MGK,Buy_on_Dip,2,37.6663,37.6663,True,37.6663,1,1,37.6663,37.6663,10,392.852,374.4886,37.4489,38.435
2008-01-22,2008-01-22,Tuesday,MGK,Buy_on_Dip,1,37.0908,37.0908,True,37.0908,1,1,37.0908,37.0908,11,429.9428,407.3796,37.0345,37.4655
2008-01-22,2008-01-22,Tuesday,MGK,Buy_on_Dip,2,36.7162,36.7162,True,36.7162,1,1,36.7162,36.7162,12,466.659,444.4141,37.0345,37.4655
2008-01-22,2008-01-22,Tuesday,MGK,Buy_on_Dip,3,36.3415,36.3415,True,36.3415,1,1,36.3415,36.3415,13,503.0005,481.4486,37.0345,37.4655
2008-01-22,2008-01-22,Tuesday,MGK,Buy_on_Dip,4,35.9668,35.9668,True,35.9668,1,1,35.9668,35.9668,14,538.9673,518.4831,37.0345,37.4655
2008-01-23,2008-01-23,Wednesday,MGK,Buy_on_Dip,1,36.6642,36.6642,True,36.6642,1,1,36.6642,36.6642,15,575.6315,559.3712,37.2914,37.0345
2008-01-23,2008-01-23,Wednesday,MGK,Buy_on_Dip,2,36.2938,36.2938,True,36.2938,1,1,36.2938,36.2938,16,611.9253,596.6626,37.2914,37.0345
2008-01-23,2008-01-23,Wednesday,MGK,Buy_on_Dip,3,35.9235,35.9235,True,35.9235,1,1,35.9235,35.9235,17,647.8488,633.954,37.2914,37.0345
2008-01-25,2008-01-25,Friday,MGK,Buy_on_Dip,1,37.4272,37.4272,True,37.4272,1,1,37.4272,37.4272,18,685.276,672.5878,37.366,37.8052
2008-01-29,2008-01-29,Tuesday,MGK,Buy_on_Dip,1,37.3041,37.3041,True,37.3041,1,1,37.3041,37.3041,19,722.5801,718.929,37.8384,37.6809
2008-01-29,2008-01-29,Tuesday,MGK,Buy_on_Dip,2,36.9273,36.9273,True,36.9273,1,1,36.9273,36.9273,20,759.5074,756.7673,37.8384,37.6809
2008-01-29,2008-01-29,Tuesday,MGK,Buy_on_Dip,3,36.5505,36.5505,True,36.5505,1,1,36.5505,36.5505,21,796.0579,794.6057,37.8384,37.6809
2008-01-31,2008-01-31,Thursday,MGK,Buy_on_Dip,1,37.3451,37.3451,True,37.3451,1,1,37.3451,37.3451,22,833.403,841.7416,38.261,37.7224
2008-02-05,2008-02-05,Tuesday,MGK,Buy_on_Dip,1,37.9851,37.9851,True,37.9851,1,1,37.9851,37.9851,23,871.3881,859.0367,37.3494,38.3687
2008-02-05,2008-02-05,Tuesday,MGK,Buy_on_Dip,2,37.6014,37.6014,True,37.6014,1,1,37.6014,37.6014,24,908.9895,896.3861,37.3494,38.3687
2008-02-14,2008-02-14,Thursday,MGK,Buy_on_Dip,1,38.0917,38.0917,True,38.0917,1,1,38.0917,38.0917,25,947.0812,949.688,37.9875,38.4765
2008-02-21,2008-02-21,Thursday,MGK,Buy_on_Dip,1,37.8948,37.8948,True,37.8948,1,1,37.8948,37.8948,26,984.976,982.7201,37.7969,38.2776
2008-02-29,2008-02-29,Friday,MGK,Buy_on_Dip,1,38.2722,38.2722,True,38.2722,1,1,38.2722,38.2722,27,1023.2482,1018.7269,37.7306,38.6588
2008-02-29,2008-02-29,Friday,MGK,Buy_on_Dip,2,37.8856,37.8856,True,37.8856,1,1,37.8856,37.8856,28,1061.1338,1056.4575,37.7306,38.6588
2008-03-04,2008-03-04,Tuesday,MGK,Buy_on_Dip,1,37.3615,37.3615,True,37.3615,1,1,37.3615,37.3615,29,1098.4953,1092.5059,37.6726,37.7389
2008-03-06,2008-03-06,Thursday,MGK,Buy_on_Dip,1,37.501,37.501,True,37.501,1,1,37.501,37.501,30,1135.9963,1120.234,37.3411,37.8798
2008-03-07,2008-03-07,Friday,MGK,Buy_on_Dip,1,36.9677,36.9677,True,36.9677,1,1,36.9677,36.9677,31,1172.964,1146.5288,36.9848,37.3411
2008-03-10,2008-03-10,Monday,MGK,Buy_on_Dip,1,36.615,36.615,True,36.615,1,1,36.615,36.615,32,1209.579,1164.1556,36.3799,36.9848
2008-03-13,2008-03-13,Thursday,MGK,Buy_on_Dip,1,36.8693,36.8693,True,36.8693,1,1,36.8693,36.8693,33,1246.4483,1235.8125,37.4489,37.2417
2008-03-14,2008-03-14,Friday,MGK,Buy_on_Dip,1,37.0744,37.0744,True,37.0744,1,1,37.0744,37.0744,34,1283.5227,1250.7213,36.7859,37.4489
2008-03-14,2008-03-14,Friday,MGK,Buy_on_Dip,2,36.6999,36.6999,True,36.6999,1,1,36.6999,36.6999,35,1320.2226,1287.5072,36.7859,37.4489
2008-03-17,2008-03-17,Monday,MGK,Buy_on_Dip,1,36.4181,36.4181,True,36.4181,1,1,36.4181,36.4181,36,1356.6407,1309.3772,36.3716,36.7859
2008-03-17,2008-03-17,Monday,MGK,Buy_on_Dip,2,36.0502,36.0502,True,36.0502,1,1,36.0502,36.0502,37,1392.6909,1345.7488,36.3716,36.7859
2008-03-19,2008-03-19,Wednesday,MGK,Buy_on_Dip,1,37.2138,37.2138,True,37.2138,1,1,37.2138,37.2138,38,1429.9047,1396.6051,36.7528,37.5897
2008-03-19,2008-03-19,Wednesday,MGK,Buy_on_Dip,2,36.8379,36.8379,True,36.8379,1,1,36.8379,36.8379,39,1466.7426,1433.3579,36.7528,37.5897
2008-03-28,2008-03-28,Friday,MGK,Buy_on_Dip,1,37.4597,37.4597,True,37.4597,1,1,37.4597,37.4597,40,1504.2023,1492.9454,37.3236,37.8381
2008-04-11,2008-04-11,Friday,MGK,Buy_on_Dip,1,38.3798,38.3798,True,38.3798,1,1,38.3798,38.3798,41,1542.5821,1560.8875,38.0704,38.7675
2008-04-22,2008-04-22,Tuesday,MGK,Buy_on_Dip,1,39.5709,39.5709,True,39.5709,1,1,39.5709,39.5709,42,1582.153,1660.9929,39.5475,39.9706
2008-05-07,2008-05-07,Wednesday,MGK,Buy_on_Dip,1,40.2035,40.2035,True,40.2035,1,1,40.2035,40.2035,43,1622.3565,1721.9482,40.0453,40.6096
2008-05-09,2008-05-09,Friday,MGK,Buy_on_Dip,1,39.8831,39.8831,True,39.8831,1,1,39.8831,39.8831,44,1662.2396,1761.6283,40.037,40.2859
2008-05-20,2008-05-20,Tuesday,MGK,Buy_on_Dip,1,40.6635,40.6635,True,40.6635,1,1,40.6635,40.6635,45,1702.9031,1837.5123,40.8336,41.0742
2008-05-21,2008-05-21,Wednesday,MGK,Buy_on_Dip,1,40.4253,40.4253,True,40.4253,1,1,40.4253,40.4253,46,1743.3284,1845.9016,40.1283,40.8336
2008-05-23,2008-05-23,Friday,MGK,Buy_on_Dip,1,39.842,39.842,True,39.842,1,1,39.842,39.842,47,1783.1704,1875.1095,39.8959,40.2444
