Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-08,2005-09-08,Thursday,MSFT,Buy_on_Dip,1,18.5152,18.5152,True,18.5152,1,1,18.5152,18.5152,1,18.5152,18.5351,18.5351,18.7022
2005-09-16,2005-09-16,Friday,MSFT,Buy_on_Dip,1,18.1153,18.1153,True,18.1153,1,1,18.1153,18.1153,2,36.6305,36.3179,18.1589,18.2983
2005-09-20,2005-09-20,Tuesday,MSFT,Buy_on_Dip,1,17.9291,17.9291,True,17.9291,1,1,17.9291,17.9291,3,54.5596,53.9962,17.9987,18.1102
2005-09-21,2005-09-21,Wednesday,MSFT,Buy_on_Dip,1,17.8187,17.8187,True,17.8187,1,1,17.8187,17.8187,4,72.3783,71.0197,17.7549,17.9987
2005-09-22,2005-09-22,Thursday,MSFT,Buy_on_Dip,1,17.5774,17.5774,True,17.5774,1,1,17.5774,17.5774,5,89.9557,88.2523,17.6505,17.7549
2005-09-30,2005-09-30,Friday,MSFT,Buy_on_Dip,1,17.8877,17.8877,True,17.8877,1,1,17.8877,17.8877,6,107.8434,107.5327,17.9221,18.0684
2005-10-03,2005-10-03,Monday,MSFT,Buy_on_Dip,1,17.7429,17.7429,True,17.7429,1,1,17.7429,17.7429,7,125.5863,124.3334,17.7619,17.9221
2005-10-04,2005-10-04,Tuesday,MSFT,Buy_on_Dip,1,17.5843,17.5843,True,17.5843,1,1,17.5843,17.5843,8,143.1706,139.1977,17.3997,17.7619
2005-10-04,2005-10-04,Tuesday,MSFT,Buy_on_Dip,2,17.4067,17.4067,True,17.4067,1,1,17.4067,17.4067,9,160.5773,156.5974,17.3997,17.7619
2005-10-05,2005-10-05,Wednesday,MSFT,Buy_on_Dip,1,17.2257,17.2257,True,17.2257,1,1,17.2257,17.2257,10,177.803,171.8378,17.1838,17.3997
2005-10-20,2005-10-20,Thursday,MSFT,Buy_on_Dip,1,17.3016,17.3016,True,17.3016,1,1,17.3016,17.3016,11,195.1046,189.9411,17.2674,17.4763
2005-10-25,2005-10-25,Tuesday,MSFT,Buy_on_Dip,1,17.3085,17.3085,True,17.3085,1,1,17.3085,17.3085,12,212.4131,209.2145,17.4345,17.4833
2005-10-27,2005-10-27,Thursday,MSFT,Buy_on_Dip,1,17.3153,17.3153,True,17.3153,1,1,17.3153,17.3153,13,229.7284,225.019,17.3092,17.4903
2005-11-10,2005-11-10,Thursday,MSFT,Buy_on_Dip,1,18.5911,18.5911,True,18.5911,1,1,18.5911,18.5911,14,248.3195,264.1718,18.8694,18.7789
2005-11-22,2005-11-22,Tuesday,MSFT,Buy_on_Dip,1,19.4755,19.4755,True,19.4755,1,1,19.4755,19.4755,15,267.795,292.4637,19.4976,19.6722
2005-11-25,2005-11-25,Friday,MSFT,Buy_on_Dip,1,19.3095,19.3095,True,19.3095,1,1,19.3095,19.3095,16,287.1045,310.2846,19.3928,19.5046
2005-12-05,2005-12-05,Monday,MSFT,Buy_on_Dip,1,19.3718,19.3718,True,19.3718,1,1,19.3718,19.3718,17,306.4763,330.7462,19.4557,19.5674
2005-12-12,2005-12-12,Monday,MSFT,Buy_on_Dip,1,19.1643,19.1643,True,19.1643,1,1,19.1643,19.1643,18,325.6406,345.172,19.1762,19.3579
2005-12-13,2005-12-13,Tuesday,MSFT,Buy_on_Dip,1,18.9845,18.9845,True,18.9845,1,1,18.9845,18.9845,19,344.6251,360.1008,18.9527,19.1762
2005-12-14,2005-12-14,Wednesday,MSFT,Buy_on_Dip,1,18.7631,18.7631,True,18.7631,1,1,18.7631,18.7631,20,363.3882,378.4945,18.9247,18.9527
2005-12-15,2005-12-15,Thursday,MSFT,Buy_on_Dip,1,18.7355,18.7355,True,18.7355,1,1,18.7355,18.7355,21,382.1237,394.9254,18.806,18.9247
2005-12-22,2005-12-22,Thursday,MSFT,Buy_on_Dip,1,18.4865,18.4865,True,18.4865,1,1,18.4865,18.4865,22,400.6102,408.6596,18.5754,18.6732
2006-01-06,2006-01-06,Friday,MSFT,Buy_on_Dip,1,18.6663,18.6663,True,18.6663,1,1,18.6663,18.6663,23,419.2765,432.3768,18.799,18.8549
2006-01-10,2006-01-10,Tuesday,MSFT,Buy_on_Dip,1,18.5764,18.5764,True,18.5764,1,1,18.5764,18.5764,24,437.8529,452.6847,18.8619,18.7641
2006-01-12,2006-01-12,Thursday,MSFT,Buy_on_Dip,1,18.8738,18.8738,True,18.8738,1,1,18.8738,18.8738,25,456.7267,473.9915,18.9597,19.0645
2006-01-17,2006-01-17,Tuesday,MSFT,Buy_on_Dip,1,18.8046,18.8046,True,18.8046,1,1,18.8046,18.8046,26,475.5313,490.2267,18.8549,18.9946
2006-01-18,2006-01-18,Wednesday,MSFT,Buy_on_Dip,1,18.6663,18.6663,True,18.6663,1,1,18.6663,18.6663,27,494.1976,506.0636,18.7431,18.8549
2006-01-20,2006-01-20,Friday,MSFT,Buy_on_Dip,1,18.6871,18.6871,True,18.6871,1,1,18.6871,18.6871,28,512.8847,516.5914,18.4497,18.8758
2006-01-20,2006-01-20,Friday,MSFT,Buy_on_Dip,2,18.4983,18.4983,True,18.4983,1,1,18.4983,18.4983,29,531.383,535.0411,18.4497,18.8758
2006-02-01,2006-02-01,Wednesday,MSFT,Buy_on_Dip,1,19.4686,19.4686,True,19.4686,1,1,19.4686,19.4686,30,550.8516,587.6518,19.5884,19.6652
2006-02-02,2006-02-02,Thursday,MSFT,Buy_on_Dip,1,19.3925,19.3925,True,19.3925,1,1,19.3925,19.3925,31,570.2441,599.4442,19.3369,19.5884
2006-02-03,2006-02-03,Friday,MSFT,Buy_on_Dip,1,19.1435,19.1435,True,19.1435,1,1,19.1435,19.1435,32,589.3876,615.6511,19.2391,19.3369
