Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2005-08-30,18.848523775262493,18.966936581731897,18.77886894877073,18.932109832763672,55163200,MSFT,2005,8,35,Tuesday,18.8816,,,,,,
2005-08-31,18.9251353540355,19.11320289891885,18.83458505199242,19.071409225463867,65210200,MSFT,2005,8,35,Wednesday,18.9861,18.932109832763672,0.74,-0.04,-0.52,0.74,0.52
2005-09-01,19.07141244097173,19.078378054388654,18.911207318047214,18.946035385131836,75974500,MSFT,2005,9,35,Thursday,19.0018,19.071409225463867,-0.66,0.0,-0.84,-0.66,0.84
2005-09-02,18.953002325248775,18.994796011605484,18.78583156548725,18.820659637451172,52047500,MSFT,2005,9,35,Friday,18.8886,18.946035385131836,-0.66,0.04,-0.85,-0.66,0.85
2005-09-06,18.848526455498764,19.008732977777576,18.79280285209259,18.806734085083008,46089000,MSFT,2005,9,36,Tuesday,18.8642,18.820659637451172,-0.07,0.15,-0.15,-0.07,0.15
2005-09-07,18.76493873693101,18.883351541448093,18.68135268080795,18.70224952697754,44656100,MSFT,2005,9,36,Wednesday,18.758,18.806734085083008,-0.56,-0.22,-0.67,-0.56,0.67
2005-09-08,18.667418829520848,18.723142416262057,18.472386940204174,18.535076141357422,52552300,MSFT,2005,9,36,Thursday,18.5995,18.70224952697754,-0.89,-0.19,-1.23,-0.89,1.23
2005-09-09,18.54203595662442,18.681344215630304,18.479346775077634,18.51417350769043,41515800,MSFT,2005,9,36,Friday,18.5542,18.535076141357422,-0.11,0.04,-0.3,-0.11,0.3
2005-09-12,18.54204175576946,18.63259208601576,18.472386940204174,18.535076141357422,40550500,MSFT,2005,9,37,Monday,18.5455,18.51417350769043,0.11,0.15,-0.23,0.11,0.23
2005-09-13,18.486314628785873,18.639554130839112,18.367901863568186,18.444520950317383,63422900,MSFT,2005,9,37,Tuesday,18.4846,18.535076141357422,-0.49,-0.26,-0.9,-0.49,0.9
2005-09-14,18.472382233417985,18.55596692795476,18.319141412509293,18.326107025146484,54969600,MSFT,2005,9,37,Wednesday,18.4184,18.444520950317383,-0.64,0.15,-0.68,-0.64,0.68
2005-09-15,18.36790501253173,18.409697369610182,18.263422127002983,18.298250198364258,60357200,MSFT,2005,9,37,Thursday,18.3348,18.326107025146484,-0.15,0.23,-0.34,-0.15,0.34
2005-09-16,18.3470030945371,18.388795440054885,18.08928075197555,18.158935546875,187384300,MSFT,2005,9,37,Friday,18.246,18.298250198364258,-0.76,0.27,-1.14,-0.76,1.14
2005-09-19,18.172869091680557,18.298247472795573,18.012663972946868,18.110179901123047,61832300,MSFT,2005,9,38,Monday,18.1485,18.158935546875,-0.27,0.08,-0.81,-0.27,0.81
2005-09-20,18.158934797479528,18.26341632123953,17.894248182050543,17.998729705810547,61043400,MSFT,2005,9,38,Tuesday,18.0788,18.110179901123047,-0.62,0.27,-1.19,-0.62,1.19
2005-09-21,17.970878362713677,18.040533197781887,17.713157200083412,17.75494956970215,68281800,MSFT,2005,9,38,Wednesday,17.8699,17.998729705810547,-1.35,-0.15,-1.59,-1.35,1.59
2005-09-22,17.754948500980845,17.83156894779942,17.518122873137425,17.650466918945312,71314900,MSFT,2005,9,38,Thursday,17.6888,17.75494956970215,-0.59,-0.0,-1.33,-0.59,1.33
2005-09-23,17.62957050174223,17.789777015235728,17.49722778125709,17.601709365844727,66396800,MSFT,2005,9,38,Friday,17.6296,17.650466918945312,-0.28,-0.12,-0.87,-0.28,0.87
2005-09-26,17.692259718205896,17.754948934669564,17.559915669165328,17.601709365844727,56203700,MSFT,2005,9,39,Monday,17.6522,17.601709365844727,0.0,0.51,-0.24,0.0,0.24
2005-09-27,17.671363766774576,17.727087365763886,17.622604455172958,17.650466918945312,48797900,MSFT,2005,9,39,Tuesday,17.6679,17.601709365844727,0.28,0.4,0.12,0.28,-0.12
2005-09-28,17.685290187697856,18.019633044353718,17.678324573126364,17.88032341003418,71019400,MSFT,2005,9,39,Wednesday,17.8159,17.650466918945312,1.3,0.2,0.16,1.3,-0.16
2005-09-29,17.83853370642214,18.110186072369984,17.761913263285944,18.06839370727539,66807100,MSFT,2005,9,39,Thursday,17.9448,17.88032341003418,1.05,-0.23,-0.66,1.05,0.66
2005-09-30,18.047489886621435,18.075352338288237,17.838526813339705,17.92211151123047,57644500,MSFT,2005,9,39,Friday,17.9709,18.06839370727539,-0.81,-0.12,-1.27,-0.81,1.27
2005-10-03,17.908179549743448,17.922110775004565,17.72011332293743,17.761905670166016,55341300,MSFT,2005,10,40,Monday,17.8281,17.92211151123047,-0.89,-0.08,-1.13,-0.89,1.13
2005-10-04,17.66439197862191,17.68528749059457,17.239498854445475,17.399703979492188,151666300,MSFT,2005,10,40,Tuesday,17.4972,17.761905670166016,-2.04,-0.55,-2.94,-2.04,2.94
2005-10-05,17.4415070086145,17.448471297301392,17.18378448486328,17.18378448486328,73684700,MSFT,2005,10,40,Wednesday,17.3144,17.399703979492188,-1.24,0.24,-1.24,-1.24,1.24
2005-10-06,17.176808900165117,17.3788076973147,17.086258585668496,17.225566864013672,81724600,MSFT,2005,10,40,Thursday,17.2169,17.18378448486328,0.24,-0.04,-0.57,0.24,0.57
2005-10-07,17.25343014432497,17.302188110512056,17.079293791625417,17.1280517578125,50768700,MSFT,2005,10,40,Friday,17.1907,17.225566864013672,-0.57,0.16,-0.85,-0.57,0.85
2005-10-10,17.183781382085478,17.19074699807027,16.960886984793706,17.037506103515625,48880900,MSFT,2005,10,41,Monday,17.0932,17.1280517578125,-0.53,0.33,-0.98,-0.53,0.98
2005-10-11,17.072326997408215,17.100188121064765,16.89122504369868,17.00267219543457,76567300,MSFT,2005,10,41,Tuesday,17.0166,17.037506103515625,-0.2,0.2,-0.86,-0.2,0.86
2005-10-12,17.058405698158897,17.20468100028152,16.905166107485517,16.926061630249023,71294400,MSFT,2005,10,41,Wednesday,17.0236,17.00267219543457,-0.45,0.33,-0.57,-0.45,0.57
2005-10-13,16.933018564509222,17.225567690186672,16.905157438925862,17.1280517578125,70192000,MSFT,2005,10,41,Thursday,17.0479,16.926061630249023,1.19,0.04,-0.12,1.19,0.12
2005-10-14,17.211645625277775,17.225576859762846,17.065371648851475,17.18378448486328,53846700,MSFT,2005,10,41,Friday,17.1716,17.1280517578125,0.33,0.49,-0.37,0.33,0.37
2005-10-17,17.190737552474516,17.197703164631996,17.023566846359042,17.08625602722168,46924400,MSFT,2005,10,42,Monday,17.1246,17.18378448486328,-0.57,0.04,-0.93,-0.57,0.93
2005-10-18,17.05839120041602,17.29521666653486,17.030530084225003,17.11411476135254,69328200,MSFT,2005,10,42,Tuesday,17.1246,17.08625602722168,0.16,-0.16,-0.33,0.16,0.33
2005-10-19,17.107160144656515,17.476329803466797,17.06536777923348,17.476329803466797,66574500,MSFT,2005,10,42,Wednesday,17.2813,17.11411476135254,2.12,-0.04,-0.28,2.12,0.28
2005-10-20,17.44846324511275,17.50418682878184,17.23253452446442,17.267362594604492,58830600,MSFT,2005,10,42,Thursday,17.3631,17.476329803466797,-1.2,-0.16,-1.4,-1.2,1.4
2005-10-21,17.350943447820317,17.41363263157838,17.114117937746474,17.260393142700195,69431200,MSFT,2005,10,42,Friday,17.2848,17.267362594604492,-0.04,0.48,-0.89,-0.04,0.89
2005-10-24,17.3370126031173,17.483287811279297,17.190738723510066,17.483287811279297,51868000,MSFT,2005,10,43,Monday,17.3736,17.260393142700195,1.29,0.44,-0.4,1.29,0.4
2005-10-25,17.378812388134875,17.504189473920356,17.295226335722656,17.43453598022461,41310500,MSFT,2005,10,43,Tuesday,17.4032,17.483287811279297,-0.28,-0.6,-1.08,-0.28,1.08
2005-10-26,17.392743786913083,17.643500637179727,17.36488265274754,17.49026107788086,58178100,MSFT,2005,10,43,Wednesday,17.4728,17.43453598022461,0.32,-0.24,-0.4,0.32,0.4
2005-10-27,17.56687751596003,17.60170558905315,17.30915641784668,17.30915641784668,61566100,MSFT,2005,10,43,Thursday,17.4467,17.49026107788086,-1.04,0.44,-1.04,-1.04,1.04
2005-10-28,17.483293505874915,17.83156627958336,17.483293505874915,17.782808303833008,106559300,MSFT,2005,10,43,Friday,17.6452,17.30915641784668,2.74,1.01,1.01,2.74,-1.01
