Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2022-09-07,23.152433395385742,23.152433395385742,23.152433395385742,23.152433395385742,100,MSFU,2022,9,36,Wednesday,23.1524,,,,,,
2022-09-08,23.149736404418945,23.149736404418945,23.149736404418945,23.149736404418945,100,MSFU,2022,9,36,Thursday,23.1497,23.152433395385742,-0.01,-0.01,-0.01,-0.01,0.01
2022-09-09,23.98802339989,24.11318137800245,23.969114714739636,24.03034210205078,800,MSFU,2022,9,36,Friday,24.0252,23.149736404418945,3.8,3.62,3.54,3.8,-3.54
2022-09-12,24.25725016722026,24.356294933512622,24.176212447356356,24.25364875793457,3100,MSFU,2022,9,37,Monday,24.2609,24.03034210205078,0.93,0.94,0.61,0.93,-0.61
2022-09-13,23.392850119619826,23.392850119619826,22.348365783691406,22.348365783691406,3700,MSFU,2022,9,37,Tuesday,22.8706,24.25364875793457,-7.86,-3.55,-7.86,-7.86,7.86
2022-09-14,22.195294714594464,22.39338769660837,22.13406731740191,22.348365783691406,3900,MSFU,2022,9,37,Wednesday,22.2678,22.348365783691406,0.0,-0.68,-0.96,0.0,0.96
2022-09-15,22.02421163711035,22.18988847394489,21.278666730059996,21.44434356689453,6100,MSFU,2022,9,37,Thursday,21.7343,22.348365783691406,-4.05,-1.45,-4.79,-4.05,4.79
2022-09-16,21.168816328901002,21.34619903564453,21.051761088292725,21.34619903564453,4400,MSFU,2022,9,37,Friday,21.2282,21.44434356689453,-0.46,-1.28,-1.83,-0.46,1.83
2022-09-19,20.943710599209115,21.267861438613654,20.93470621840232,21.26605987548828,5500,MSFU,2022,9,38,Monday,21.1031,21.34619903564453,-0.38,-1.89,-1.93,-0.38,1.93
2022-09-20,20.94002984006501,21.0841331337947,20.651823252605617,20.994068145751953,5500,MSFU,2022,9,38,Tuesday,20.9175,21.26605987548828,-1.28,-1.53,-2.89,-1.28,2.89
2022-09-21,21.255254336535934,21.615512535220287,20.602285385131836,20.602285385131836,28700,MSFU,2022,9,38,Wednesday,21.0188,20.994068145751953,-1.87,1.24,-1.87,-1.87,1.87
2022-09-22,20.641914046218815,21.075124029078026,20.579769228825366,20.810335159301758,6700,MSFU,2022,9,38,Thursday,20.7768,20.602285385131836,1.01,0.19,-0.11,1.01,0.11
2022-09-23,20.678840257318036,20.714866937427786,20.1834854307356,20.435667037963867,8700,MSFU,2022,9,38,Friday,20.5032,20.810335159301758,-1.8,-0.63,-3.01,-1.8,3.01
2022-09-26,20.327589604705494,20.82294617080381,20.327589604705494,20.360013961791992,19400,MSFU,2022,9,39,Monday,20.4595,20.435667037963867,-0.37,-0.53,-0.53,-0.37,0.53
2022-09-27,20.669830921363953,20.849959130170124,20.021364559692117,20.17267417907715,8800,MSFU,2022,9,39,Tuesday,20.4285,20.360013961791992,-0.92,1.52,-1.66,-0.92,1.66
2022-09-28,20.444675369973506,20.885991930113345,20.444675369973506,20.81574058532715,15000,MSFU,2022,9,39,Wednesday,20.6478,20.17267417907715,3.19,1.35,1.35,3.19,-1.35
2022-09-29,20.498710238719397,20.588775213363295,19.949315439453486,20.336593627929688,14700,MSFU,2022,9,39,Thursday,20.3433,20.81574058532715,-2.3,-1.52,-4.16,-2.3,4.16
2022-09-30,20.390634088661564,20.663531214102157,19.742169294558625,19.787200927734375,17200,MSFU,2022,9,39,Friday,20.1459,20.336593627929688,-2.7,0.27,-2.92,-2.7,2.92
2022-10-03,20.12044049758961,20.813938630433448,20.016866368842283,20.696853637695312,18700,MSFU,2022,10,40,Monday,20.412,19.787200927734375,4.6,1.68,1.16,4.6,-1.16
2022-10-04,21.50743272425518,21.89471090515946,21.5038304001953,21.71638298034668,24200,MSFU,2022,10,40,Tuesday,21.6556,20.696853637695312,4.93,3.92,3.9,4.93,-3.9
2022-10-05,21.47050984460046,21.96766669128467,21.192210097368793,21.767723083496094,9300,MSFU,2022,10,40,Wednesday,21.5995,21.71638298034668,0.24,-1.13,-2.41,0.24,2.41
2022-10-06,21.804647985603324,21.939746316573135,21.4083648161549,21.46690559387207,33800,MSFU,2022,10,40,Thursday,21.6549,21.767723083496094,-1.38,0.17,-1.65,-1.38,1.65
2022-10-07,19.980838962670877,20.0718040936194,19.79620652807386,19.851146697998047,11000,MSFU,2022,10,40,Friday,19.925,21.46690559387207,-7.53,-6.92,-7.78,-7.53,7.78
2022-10-10,19.715149324012444,19.81422097861647,19.00003723035899,19.19637680053711,8700,MSFU,2022,10,41,Monday,19.4314,19.851146697998047,-3.3,-0.69,-4.29,-3.3,4.29
2022-10-11,18.772175140378888,19.12072454826696,18.643383008541907,18.703725814819336,7300,MSFU,2022,10,41,Tuesday,18.81,19.19637680053711,-2.57,-2.21,-2.88,-2.57,2.88
2022-10-12,18.805495345711837,18.86854203425421,18.59834709404101,18.76046371459961,11100,MSFU,2022,10,41,Wednesday,18.7582,18.703725814819336,0.3,0.54,-0.56,0.3,0.56
2022-10-13,18.01292572782141,19.96732823800389,17.96789410064044,19.833131790161133,26000,MSFU,2022,10,41,Thursday,18.9453,18.76046371459961,5.72,-3.98,-4.22,5.72,4.22
2022-10-14,19.958323030114443,19.958323030114443,19.10270830826619,19.129728317260742,15000,MSFU,2022,10,41,Friday,19.5373,19.833131790161133,-3.55,0.63,-3.68,-3.55,3.68
2022-10-17,20.012363254309477,20.3095765104382,19.958324948971555,20.151063919067383,16800,MSFU,2022,10,42,Monday,20.1078,19.129728317260742,5.34,4.61,4.33,5.34,-4.33
2022-10-18,20.949034374867885,20.949034374867885,19.92229808225945,20.271747589111328,12600,MSFU,2022,10,42,Tuesday,20.523,20.151063919067383,0.6,3.96,-1.14,0.6,1.14
2022-10-19,20.120436825842617,20.426656680103857,19.82322363998275,20.04658317565918,8600,MSFU,2022,10,42,Wednesday,20.1042,20.271747589111328,-1.11,-0.75,-2.21,-1.11,2.21
2022-10-20,20.376220265090943,20.49060134380607,19.91328817004609,20.024066925048828,7800,MSFU,2022,10,42,Thursday,20.201,20.04658317565918,-0.11,1.64,-0.66,-0.11,0.66
