Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2005-09-06,38.98417428999049,39.41878890991211,38.98417428999049,39.41878890991211,533100,OEF,2005,9,36,Tuesday,39.2015,,,,,,
2005-09-07,39.34980028918984,39.591251373291016,39.32910260225299,39.591251373291016,134900,OEF,2005,9,36,Wednesday,39.4654,39.41878890991211,0.44,-0.18,-0.23,0.44,0.23
2005-09-08,39.39807868470407,39.480861512754316,39.27390312681936,39.33599090576172,493900,OEF,2005,9,36,Thursday,39.3722,39.591251373291016,-0.64,-0.49,-0.8,-0.64,0.8
2005-09-09,39.356694370208295,39.70162596439351,39.335999316675334,39.66713333129883,135400,OEF,2005,9,36,Friday,39.5154,39.33599090576172,0.84,0.05,0.0,0.84,-0.0
2005-09-12,39.49465160093721,39.70851005043836,39.49465160093721,39.6119270324707,115000,OEF,2005,9,37,Monday,39.5774,39.66713333129883,-0.14,-0.43,-0.43,-0.14,0.43
2005-09-13,39.56365549003009,39.584353176589346,39.308406829833984,39.308406829833984,414300,OEF,2005,9,37,Tuesday,39.4412,39.6119270324707,-0.77,-0.12,-0.77,-0.77,0.77
2005-09-14,39.31529944137226,39.46017006157398,39.18422376742118,39.27390670776367,287800,OEF,2005,9,37,Wednesday,39.3084,39.308406829833984,-0.09,0.02,-0.32,-0.09,0.32
2005-09-15,39.294597859984584,39.356685638427734,39.1704223030983,39.356685638427734,53800,OEF,2005,9,37,Thursday,39.2946,39.27390670776367,0.21,0.05,-0.26,0.21,0.26
2005-09-16,39.52914447303548,39.639522434086594,39.37737642135156,39.54294204711914,314000,OEF,2005,9,37,Friday,39.5222,39.356685638427734,0.47,0.44,0.05,0.47,-0.05
2005-09-19,39.59814001726534,39.59814001726534,39.30839616859471,39.4118766784668,163400,OEF,2005,9,38,Monday,39.4791,39.54294204711914,-0.33,0.14,-0.59,-0.33,0.59
2005-09-20,39.4188002287254,39.805124738654776,39.08076858520508,39.08076858520508,295900,OEF,2005,9,38,Tuesday,39.3464,39.4118766784668,-0.84,0.02,-0.84,-0.84,0.84
2005-09-21,39.08075154937643,39.08075154937643,38.76341247558594,38.76341247558594,174400,OEF,2005,9,38,Wednesday,38.9221,39.08076858520508,-0.81,-0.0,-0.81,-0.81,0.81
2005-09-22,38.70132948000003,38.97727584838867,38.64614178529406,38.97727584838867,167700,OEF,2005,9,38,Thursday,38.8255,38.76341247558594,0.55,-0.16,-0.3,0.55,0.3
2005-09-23,38.908293791300444,38.95658401502096,38.7565230129675,38.83930587768555,116500,OEF,2005,9,38,Friday,38.8652,38.97727584838867,-0.35,-0.18,-0.57,-0.35,0.57
2005-09-26,38.83929375670918,39.13593511362776,38.57024755662465,38.65303039550781,101000,OEF,2005,9,39,Monday,38.7996,38.83930587768555,-0.48,-0.0,-0.69,-0.48,0.69
2005-09-27,38.851264322136146,38.98296521729056,38.71263305342327,38.885921478271484,174200,OEF,2005,9,39,Tuesday,38.8582,38.65303039550781,0.6,0.51,0.15,0.6,-0.15
2005-09-28,39.01764455346546,39.03150795263471,38.7473148800976,38.98991775512695,141800,OEF,2005,9,39,Wednesday,38.9466,38.885921478271484,0.27,0.34,-0.36,0.27,0.36
2005-09-29,38.92057169645381,39.22555829719817,38.69182976276739,39.059200286865234,487100,OEF,2005,9,39,Thursday,38.9743,38.98991775512695,0.18,-0.18,-0.76,0.18,0.76
2005-09-30,39.17705856409409,39.30182647705078,38.95524952865381,39.30182647705078,23300,OEF,2005,9,39,Friday,39.184,39.059200286865234,0.62,0.3,-0.27,0.62,0.27
