Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-14,2005-09-14,Wednesday,QQQ,Buy_on_Dip,1,33.5812,33.5812,True,33.5812,1,1,33.5812,33.5812,1,33.5812,33.5352,33.5352,33.9204
2005-09-19,2005-09-19,Monday,QQQ,Buy_on_Dip,1,33.3863,33.3863,True,33.3863,1,1,33.3863,33.3863,2,66.9675,66.9164,33.4582,33.7235
2005-09-21,2005-09-21,Wednesday,QQQ,Buy_on_Dip,1,32.988,32.988,True,32.988,1,1,32.988,32.988,3,99.9555,98.8596,32.9532,33.3213
2005-10-05,2005-10-05,Wednesday,QQQ,Buy_on_Dip,1,33.3016,33.3016,True,33.3016,1,1,33.3016,33.3016,4,133.2571,132.7029,33.1757,33.6379
2005-10-06,2005-10-06,Thursday,QQQ,Buy_on_Dip,1,32.844,32.844,True,32.844,1,1,32.844,32.844,5,166.1011,163.6961,32.7392,33.1757
2005-10-06,2005-10-06,Thursday,QQQ,Buy_on_Dip,2,32.5122,32.5122,True,32.5122,1,1,32.5122,32.5122,6,198.6133,196.4353,32.7392,33.1757
2005-10-12,2005-10-12,Wednesday,QQQ,Buy_on_Dip,1,32.1491,32.1491,True,32.1491,1,1,32.1491,32.1491,7,230.7624,224.6209,32.0887,32.4739
2005-10-20,2005-10-20,Thursday,QQQ,Buy_on_Dip,1,32.7677,32.7677,True,32.7677,1,1,32.7677,32.7677,8,263.5301,262.3246,32.7906,33.0987
2005-10-27,2005-10-27,Thursday,QQQ,Buy_on_Dip,1,32.8864,32.8864,True,32.8864,1,1,32.8864,32.8864,9,296.4165,292.9583,32.5509,33.2185
2005-10-27,2005-10-27,Thursday,QQQ,Buy_on_Dip,2,32.5542,32.5542,True,32.5542,1,1,32.5542,32.5542,10,328.9707,325.5093,32.5509,33.2185
2005-12-05,2005-12-05,Monday,QQQ,Buy_on_Dip,1,35.6827,35.6827,True,35.6827,1,1,35.6827,35.6827,11,364.6534,393.5554,35.7778,36.0431
2005-12-08,2005-12-08,Thursday,QQQ,Buy_on_Dip,1,35.4708,35.4708,True,35.4708,1,1,35.4708,35.4708,12,400.1242,426.868,35.5723,35.8291
2005-12-19,2005-12-19,Monday,QQQ,Buy_on_Dip,1,35.3186,35.3186,True,35.3186,1,1,35.3186,35.3186,13,435.4428,456.4175,35.109,35.6753
2005-12-27,2005-12-27,Tuesday,QQQ,Buy_on_Dip,1,35.1657,35.1657,True,35.1657,1,1,35.1657,35.1657,14,470.6085,492.9678,35.212,35.5209
2006-01-17,2006-01-17,Tuesday,QQQ,Buy_on_Dip,1,36.5077,36.5077,True,36.5077,1,1,36.5077,36.5077,15,507.1162,549.5438,36.6363,36.8765
2006-01-18,2006-01-18,Wednesday,QQQ,Buy_on_Dip,1,36.2699,36.2699,True,36.2699,1,1,36.2699,36.2699,16,543.3861,579.4534,36.2158,36.6363
2006-01-20,2006-01-20,Friday,QQQ,Buy_on_Dip,1,36.117,36.117,True,36.117,1,1,36.117,36.117,17,579.5031,601.6669,35.3922,36.4818
2006-01-20,2006-01-20,Friday,QQQ,Buy_on_Dip,2,35.7522,35.7522,True,35.7522,1,1,35.7522,35.7522,18,615.2553,637.0591,35.3922,36.4818
2006-01-20,2006-01-20,Friday,QQQ,Buy_on_Dip,3,35.3873,35.3873,True,35.3873,1,1,35.3873,35.3873,19,650.6426,672.4512,35.3922,36.4818
2006-02-02,2006-02-02,Thursday,QQQ,Buy_on_Dip,1,35.8027,35.8027,True,35.8027,1,1,35.8027,35.8027,20,686.4453,710.9321,35.5466,36.1644
