Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2020-10-14,2020-10-14,Wednesday,QQQM,Buy_on_Dip,1,116.2151,116.2151,True,116.2151,1,1,116.2151,116.2151,1,116.2151,116.3417,116.3417,117.389
2020-10-15,2020-10-15,Thursday,QQQM,Buy_on_Dip,1,115.1782,115.1782,True,115.1782,1,1,115.1782,115.1782,2,231.3933,231.0095,115.5047,116.3417
2020-10-19,2020-10-19,Monday,QQQM,Buy_on_Dip,1,113.7669,113.7669,True,113.7669,1,1,113.7669,113.7669,3,345.1602,338.7843,112.9281,114.9161
2020-10-22,2020-10-22,Thursday,QQQM,Buy_on_Dip,1,112.3653,112.3653,True,112.3653,1,1,112.3653,112.3653,4,457.5255,452.7598,113.19,113.5003
2020-10-26,2020-10-26,Monday,QQQM,Buy_on_Dip,1,112.3268,112.3268,True,112.3268,1,1,112.3268,112.3268,5,569.8523,558.4827,111.6965,113.4615
2020-10-26,2020-10-26,Monday,QQQM,Buy_on_Dip,2,111.1922,111.1922,True,111.1922,1,1,111.1922,111.1922,6,681.0445,670.1792,111.6965,113.4615
2020-10-28,2020-10-28,Wednesday,QQQM,Buy_on_Dip,1,111.4532,111.4532,True,111.4532,1,1,111.4532,111.4532,7,792.4977,758.1846,108.3121,112.579
2020-10-28,2020-10-28,Wednesday,QQQM,Buy_on_Dip,2,110.3274,110.3274,True,110.3274,1,1,110.3274,110.3274,8,902.8251,866.4966,108.3121,112.579
2020-10-28,2020-10-28,Wednesday,QQQM,Buy_on_Dip,3,109.2016,109.2016,True,109.2016,1,1,109.2016,109.2016,9,1012.0267,974.8087,108.3121,112.579
2020-10-30,2020-10-30,Friday,QQQM,Buy_on_Dip,1,108.9763,108.9763,True,108.9763,1,1,108.9763,108.9763,10,1121.003,1075.0717,107.5072,110.077
2020-10-30,2020-10-30,Friday,QQQM,Buy_on_Dip,2,107.8755,107.8755,True,107.8755,1,1,107.8755,107.8755,11,1228.8785,1182.5789,107.5072,110.077
2020-10-30,2020-10-30,Friday,QQQM,Buy_on_Dip,3,106.7747,106.7747,True,106.7747,1,1,106.7747,106.7747,12,1335.6532,1290.0861,107.5072,110.077
2020-11-02,2020-11-02,Monday,QQQM,Buy_on_Dip,1,106.4321,106.4321,True,106.4321,1,1,106.4321,106.4321,13,1442.0853,1398.0976,107.546,107.5072
2020-11-06,2020-11-06,Friday,QQQM,Buy_on_Dip,1,116.0903,116.0903,True,116.0903,1,1,116.0903,116.0903,14,1558.1756,1642.7669,117.3405,117.2629
2020-11-09,2020-11-09,Monday,QQQM,Buy_on_Dip,1,116.1671,116.1671,True,116.1671,1,1,116.1671,116.1671,15,1674.3427,1723.7415,114.9161,117.3405
2020-11-09,2020-11-09,Monday,QQQM,Buy_on_Dip,2,114.9937,114.9937,True,114.9937,1,1,114.9937,114.9937,16,1789.3364,1838.6576,114.9161,117.3405
2020-11-10,2020-11-10,Tuesday,QQQM,Buy_on_Dip,1,113.7669,113.7669,True,113.7669,1,1,113.7669,113.7669,17,1903.1033,1917.5854,112.7991,114.9161
2020-11-10,2020-11-10,Tuesday,QQQM,Buy_on_Dip,2,112.6178,112.6178,True,112.6178,1,1,112.6178,112.6178,18,2015.7211,2030.3845,112.7991,114.9161
2020-11-30,2020-11-30,Monday,QQQM,Buy_on_Dip,1,117.8472,117.8472,True,117.8472,1,1,117.8472,117.8472,19,2133.5683,2266.5044,119.2897,119.0376
2020-12-02,2020-12-02,Wednesday,QQQM,Buy_on_Dip,1,119.7385,119.7385,True,119.7385,1,1,119.7385,119.7385,20,2253.3068,2421.2872,121.0644,120.948
2020-12-09,2020-12-09,Wednesday,QQQM,Buy_on_Dip,1,121.5482,121.5482,True,121.5482,1,1,121.5482,121.5482,21,2374.855,2522.1903,120.1043,122.776
2020-12-09,2020-12-09,Wednesday,QQQM,Buy_on_Dip,2,120.3205,120.3205,True,120.3205,1,1,120.3205,120.3205,22,2495.1755,2642.2946,120.1043,122.776
2020-12-10,2020-12-10,Thursday,QQQM,Buy_on_Dip,1,118.9033,118.9033,True,118.9033,1,1,118.9033,118.9033,23,2614.0788,2771.5442,120.5019,120.1043
2020-12-11,2020-12-11,Friday,QQQM,Buy_on_Dip,1,119.2969,119.2969,True,119.2969,1,1,119.2969,119.2969,24,2733.3757,2885.296,120.2207,120.5019
2020-12-18,2020-12-18,Friday,QQQM,Buy_on_Dip,1,122.6571,122.6571,True,122.6571,1,1,122.6571,122.6571,25,2856.0328,3089.4011,123.576,123.896
