Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2025-06-13,2025-06-13,Friday,QQUP,Buy_on_Dip,1,39.5307,39.5307,True,39.5307,1,1,39.5307,39.5307,1,39.5307,38.91,38.91,39.93
2025-06-13,2025-06-13,Friday,QQUP,Buy_on_Dip,2,39.1314,39.1314,True,39.1314,1,1,39.1314,39.1314,2,78.6621,77.82,38.91,39.93
2025-06-17,2025-06-17,Tuesday,QQUP,Buy_on_Dip,1,39.6426,39.6426,True,39.6426,1,1,39.6426,39.6426,3,118.3047,118.59,39.53,40.043
2025-06-20,2025-06-20,Friday,QQUP,Buy_on_Dip,1,39.2337,39.2337,True,39.2337,1,1,39.2337,39.2337,4,157.5384,157.44,39.36,39.63
2025-06-20,2025-06-20,Friday,QQUP,Buy_on_Dip,2,38.8374,38.8374,True,38.8374,1,1,38.8374,38.8374,5,196.3758,196.8,39.36,39.63
2025-06-23,2025-06-23,Monday,QQUP,Buy_on_Dip,1,38.9664,38.9664,True,38.9664,1,1,38.9664,38.9664,6,235.3422,240.0,40.0,39.36
2025-06-27,2025-06-27,Friday,QQUP,Buy_on_Dip,1,42.6096,42.6096,True,42.6096,1,1,42.6096,42.6096,7,277.9518,303.03,43.29,43.04
2025-07-01,2025-07-01,Tuesday,QQUP,Buy_on_Dip,1,43.4511,43.4511,True,43.4511,1,1,43.4511,43.4511,8,321.4029,344.4,43.05,43.89
2025-07-01,2025-07-01,Tuesday,QQUP,Buy_on_Dip,2,43.0122,43.0122,True,43.0122,1,1,43.0122,43.0122,9,364.4151,387.45,43.05,43.89
2025-07-01,2025-07-01,Tuesday,QQUP,Buy_on_Dip,3,42.5733,42.5733,True,42.5733,1,1,42.5733,42.5733,10,406.9884,430.5,43.05,43.89
2025-07-01,2025-07-01,Tuesday,QQUP,Buy_on_Dip,4,42.1344,42.1344,True,42.1344,1,1,42.1344,42.1344,11,449.1228,473.55,43.05,43.89
2025-07-02,2025-07-02,Wednesday,QQUP,Buy_on_Dip,1,42.6195,42.6195,True,42.6195,1,1,42.6195,42.6195,12,491.7423,513.0,42.75,43.05
2025-07-07,2025-07-07,Monday,QQUP,Buy_on_Dip,1,43.8471,43.8471,True,43.8471,1,1,43.8471,43.8471,13,535.5894,564.07,43.39,44.29
2025-07-07,2025-07-07,Monday,QQUP,Buy_on_Dip,2,43.4042,43.4042,True,43.4042,1,1,43.4042,43.4042,14,578.9936,607.46,43.39,44.29
2025-07-10,2025-07-10,Thursday,QQUP,Buy_on_Dip,1,43.9065,43.9065,True,43.9065,1,1,43.9065,43.9065,15,622.9001,669.3,44.62,44.35
2025-07-16,2025-07-16,Wednesday,QQUP,Buy_on_Dip,1,45.5301,45.5301,True,45.5301,1,1,45.5301,45.5301,16,668.4302,732.304,45.769,45.99
2025-07-16,2025-07-16,Wednesday,QQUP,Buy_on_Dip,2,45.0702,45.0702,True,45.0702,1,1,45.0702,45.0702,17,713.5004,778.073,45.769,45.99
2025-07-22,2025-07-22,Tuesday,QQUP,Buy_on_Dip,1,47.025,47.025,True,47.025,1,1,47.025,47.025,18,760.5254,842.454,46.803,47.5
2025-07-22,2025-07-22,Tuesday,QQUP,Buy_on_Dip,2,46.55,46.55,True,46.55,1,1,46.55,46.55,19,807.0754,889.257,46.803,47.5
2025-07-22,2025-07-22,Tuesday,QQUP,Buy_on_Dip,3,46.075,46.075,True,46.075,1,1,46.075,46.075,20,853.1504,936.06,46.803,47.5
2025-07-23,2025-07-23,Wednesday,QQUP,Buy_on_Dip,1,46.335,46.335,True,46.335,1,1,46.335,46.335,21,899.4854,983.556,46.836,46.803
2025-07-29,2025-07-29,Tuesday,QQUP,Buy_on_Dip,1,48.1338,48.1338,True,48.1338,1,1,48.1338,48.1338,22,947.6192,1056.77,48.035,48.62
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,1,48.6981,48.6981,True,48.6981,1,1,48.6981,48.6981,23,996.3173,1067.66,46.42,49.19
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,2,48.2062,48.2062,True,48.2062,1,1,48.2062,48.2062,24,1044.5235,1114.08,46.42,49.19
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,3,47.7143,47.7143,True,47.7143,1,1,47.7143,47.7143,25,1092.2378,1160.5,46.42,49.19
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,4,47.2224,47.2224,True,47.2224,1,1,47.2224,47.2224,26,1139.4602,1206.92,46.42,49.19
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,5,46.7305,46.7305,True,46.7305,1,1,46.7305,46.7305,27,1186.1907,1253.34,46.42,49.19
2025-08-01,2025-08-01,Friday,QQUP,Buy_on_Dip,6,46.2386,46.2386,True,46.2386,1,1,46.2386,46.2386,28,1232.4293,1299.7599,46.42,49.19
2025-08-05,2025-08-05,Tuesday,QQUP,Buy_on_Dip,1,47.7972,47.7972,True,47.7972,1,1,47.7972,47.7972,29,1280.2265,1378.08,47.52,48.28
2025-08-11,2025-08-11,Monday,QQUP,Buy_on_Dip,1,50.688,50.688,True,50.688,1,1,50.688,50.688,30,1330.9145,1523.97,50.799,51.2
2025-08-13,2025-08-13,Wednesday,QQUP,Buy_on_Dip,1,51.7849,51.7849,True,51.7849,1,1,51.7849,51.7849,31,1382.6994,1611.07,51.97,52.308
2025-08-14,2025-08-14,Thursday,QQUP,Buy_on_Dip,1,51.4503,51.4503,True,51.4503,1,1,51.4503,51.4503,32,1434.1497,1674.4,52.325,51.97
2025-08-14,2025-08-14,Thursday,QQUP,Buy_on_Dip,2,50.9306,50.9306,True,50.9306,1,1,50.9306,50.9306,33,1485.0803,1726.725,52.325,51.97
2025-08-14,2025-08-14,Thursday,QQUP,Buy_on_Dip,3,50.4109,50.4109,True,50.4109,1,1,50.4109,50.4109,34,1535.4912,1779.05,52.325,51.97
2025-08-15,2025-08-15,Friday,QQUP,Buy_on_Dip,1,51.8018,51.8018,True,51.8018,1,1,51.8018,51.8018,35,1587.293,1808.31,51.666,52.325
2025-08-18,2025-08-18,Monday,QQUP,Buy_on_Dip,1,51.1493,51.1493,True,51.1493,1,1,51.1493,51.1493,36,1638.4423,1857.816,51.606,51.666
2025-08-19,2025-08-19,Tuesday,QQUP,Buy_on_Dip,1,51.0899,51.0899,True,51.0899,1,1,51.0899,51.0899,37,1689.5322,1834.09,49.57,51.606
2025-08-19,2025-08-19,Tuesday,QQUP,Buy_on_Dip,2,50.5739,50.5739,True,50.5739,1,1,50.5739,50.5739,38,1740.1061,1883.66,49.57,51.606
