Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2025-06-12,39.689998626708984,40.099998474121094,39.689998626708984,39.93000030517578,5900,QQUP,2025,6,24,Thursday,39.8525,,,,,,
2025-06-13,39.84000015258789,39.84000015258789,38.869998931884766,38.90999984741211,13900,QQUP,2025,6,24,Friday,39.365,39.93000030517578,-2.55,-0.23,-2.65,-2.55,2.65
2025-06-16,39.66400146484375,40.209999084472656,39.66400146484375,40.042999267578125,6200,QQUP,2025,6,25,Monday,39.8953,38.90999984741211,2.91,1.94,1.94,2.91,-1.94
2025-06-17,40.040000915527344,40.119998931884766,39.415000915527344,39.529998779296875,7700,QQUP,2025,6,25,Tuesday,39.7762,40.042999267578125,-1.28,-0.01,-1.57,-1.28,1.57
2025-06-18,39.41600036621094,40.275001525878906,39.41600036621094,39.630001068115234,14200,QQUP,2025,6,25,Wednesday,39.6843,39.529998779296875,0.25,-0.29,-0.29,0.25,0.29
2025-06-20,39.99800109863281,40.150001525878906,38.80500030517578,39.36000061035156,24700,QQUP,2025,6,25,Friday,39.5783,39.630001068115234,-0.68,0.93,-2.08,-0.68,2.08
2025-06-23,39.5,40.0,38.869998931884766,40.0,14300,QQUP,2025,6,26,Monday,39.5925,39.36000061035156,1.63,0.36,-1.24,1.63,1.24
2025-06-24,41.0,41.2599983215332,40.63999938964844,41.2599983215332,20400,QQUP,2025,6,26,Tuesday,41.04,40.0,3.15,2.5,1.6,3.15,-1.6
2025-06-25,41.470001220703125,41.821998596191406,41.41999816894531,41.70000076293945,39000,QQUP,2025,6,26,Wednesday,41.603,41.2599983215332,1.07,0.51,0.39,1.07,-0.39
2025-06-26,42.130001068115234,43.040000915527344,41.66999816894531,43.040000915527344,54700,QQUP,2025,6,26,Thursday,42.47,41.70000076293945,3.21,1.03,-0.07,3.21,0.07
2025-06-27,42.88999938964844,43.29999923706055,42.279998779296875,43.290000915527344,27500,QQUP,2025,6,26,Friday,42.94,43.040000915527344,0.58,-0.35,-1.77,0.58,1.77
2025-06-30,43.880001068115234,43.9900016784668,43.02000045776367,43.88999938964844,10700,QQUP,2025,6,27,Monday,43.695,43.290000915527344,1.39,1.36,-0.62,1.39,0.62
2025-07-01,43.459999084472656,43.459999084472656,42.0,43.04999923706055,12600,QQUP,2025,7,27,Tuesday,42.9925,43.88999938964844,-1.91,-0.98,-4.31,-1.91,4.31
2025-07-02,42.66999816894531,43.20000076293945,42.612998962402344,42.75,21000,QQUP,2025,7,27,Wednesday,42.8082,43.04999923706055,-0.7,-0.88,-1.02,-0.7,1.02
2025-07-03,43.959999084472656,44.35100173950195,43.68000030517578,44.290000915527344,12800,QQUP,2025,7,27,Thursday,44.0703,42.75,3.6,2.83,2.18,3.6,-2.18
2025-07-07,43.470001220703125,43.84000015258789,43.27000045776367,43.38999938964844,14100,QQUP,2025,7,28,Monday,43.4925,44.290000915527344,-2.03,-1.85,-2.3,-2.03,2.3
2025-07-08,43.474998474121094,43.474998474121094,43.16600036621094,43.25,15900,QQUP,2025,7,28,Tuesday,43.3415,43.38999938964844,-0.32,0.2,-0.52,-0.32,0.52
2025-07-09,43.96500015258789,44.61000061035156,43.939998626708984,44.349998474121094,6400,QQUP,2025,7,28,Wednesday,44.2162,43.25,2.54,1.65,1.6,2.54,-1.6
2025-07-10,44.47999954223633,44.66999816894531,43.77000045776367,44.619998931884766,20600,QQUP,2025,7,28,Thursday,44.385,44.349998474121094,0.61,0.29,-1.31,0.61,1.31
2025-07-11,44.375,45.130001068115234,44.375,44.77000045776367,21900,QQUP,2025,7,28,Friday,44.6625,44.619998931884766,0.34,-0.55,-0.55,0.34,0.55
2025-07-14,44.599998474121094,44.95000076293945,44.35900115966797,44.95000076293945,15900,QQUP,2025,7,29,Monday,44.7148,44.77000045776367,0.4,-0.38,-0.92,0.4,0.92
2025-07-15,45.849998474121094,46.15999984741211,45.709999084472656,45.9900016784668,22000,QQUP,2025,7,29,Tuesday,45.9275,44.95000076293945,2.31,2.0,1.69,2.31,-1.69
2025-07-16,45.939998626708984,45.959999084472656,44.9900016784668,45.76900100708008,57000,QQUP,2025,7,29,Wednesday,45.6648,45.9900016784668,-0.48,-0.11,-2.17,-0.48,2.17
2025-07-17,45.7599983215332,46.599998474121094,45.7599983215332,46.380001068115234,11000,QQUP,2025,7,29,Thursday,46.125,45.76900100708008,1.33,-0.02,-0.02,1.33,0.02
2025-07-18,48.4900016784668,48.4900016784668,46.150001525878906,46.49599838256836,16600,QQUP,2025,7,29,Friday,47.4065,46.380001068115234,0.25,4.55,-0.5,0.25,0.5
2025-07-21,47.310001373291016,47.5,47.119998931884766,47.5,29400,QQUP,2025,7,30,Monday,47.3575,46.49599838256836,2.16,1.75,1.34,2.16,-1.34
