Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2025-08-19,2025-08-19,Tuesday,QQXL,Buy_on_Dip,1,39.405,39.405,True,39.405,1,1,39.405,39.405,1,39.405,38.444,38.444,39.803
2025-08-19,2025-08-19,Tuesday,QQXL,Buy_on_Dip,2,39.0069,39.0069,True,39.0069,1,1,39.0069,39.0069,2,78.4119,76.888,38.444,39.803
2025-08-19,2025-08-19,Tuesday,QQXL,Buy_on_Dip,3,38.6089,38.6089,True,38.6089,1,1,38.6089,38.6089,3,117.0208,115.332,38.444,39.803
2025-08-20,2025-08-20,Wednesday,QQXL,Buy_on_Dip,1,38.0596,38.0596,True,38.0596,1,1,38.0596,38.0596,4,155.0804,151.916,37.979,38.444
2025-08-20,2025-08-20,Wednesday,QQXL,Buy_on_Dip,2,37.6751,37.6751,True,37.6751,1,1,37.6751,37.6751,5,192.7555,189.895,37.979,38.444
2025-08-21,2025-08-21,Thursday,QQXL,Buy_on_Dip,1,37.5992,37.5992,True,37.5992,1,1,37.5992,37.5992,6,230.3547,225.354,37.559,37.979
2025-08-29,2025-08-29,Friday,QQXL,Buy_on_Dip,1,39.0802,39.0802,True,39.0802,1,1,39.0802,39.0802,7,269.4349,268.73,38.39,39.475
2025-08-29,2025-08-29,Friday,QQXL,Buy_on_Dip,2,38.6855,38.6855,True,38.6855,1,1,38.6855,38.6855,8,308.1204,307.12,38.39,39.475
2025-09-02,2025-09-02,Tuesday,QQXL,Buy_on_Dip,1,38.0061,38.0061,True,38.0061,1,1,38.0061,38.0061,9,346.1265,340.047,37.783,38.39
2025-09-02,2025-09-02,Tuesday,QQXL,Buy_on_Dip,2,37.6222,37.6222,True,37.6222,1,1,37.6222,37.6222,10,383.7487,377.83,37.783,38.39
2025-09-02,2025-09-02,Tuesday,QQXL,Buy_on_Dip,3,37.2383,37.2383,True,37.2383,1,1,37.2383,37.2383,11,420.987,415.613,37.783,38.39
