Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2024-10-31,2024-10-31,Thursday,QTOP,Buy_on_Dip,1,24.735,24.735,True,24.735,1,1,24.735,24.735,1,24.735,24.3072,24.3072,24.9849
2024-10-31,2024-10-31,Thursday,QTOP,Buy_on_Dip,2,24.4852,24.4852,True,24.4852,1,1,24.4852,24.4852,2,49.2202,48.6144,24.3072,24.9849
2024-11-15,2024-11-15,Friday,QTOP,Buy_on_Dip,1,25.3566,25.3566,True,25.3566,1,1,25.3566,25.3566,3,74.5768,75.1041,25.0347,25.6127
2024-11-15,2024-11-15,Friday,QTOP,Buy_on_Dip,2,25.1005,25.1005,True,25.1005,1,1,25.1005,25.1005,4,99.6773,100.1388,25.0347,25.6127
2024-11-20,2024-11-20,Wednesday,QTOP,Buy_on_Dip,1,25.1593,25.1593,True,25.1593,1,1,25.1593,25.1593,5,124.8366,126.8678,25.3736,25.4134
2024-11-21,2024-11-21,Thursday,QTOP,Buy_on_Dip,1,25.1198,25.1198,True,25.1198,1,1,25.1198,25.1198,6,149.9564,152.3011,25.3835,25.3736
2024-11-27,2024-11-27,Wednesday,QTOP,Buy_on_Dip,1,25.2382,25.2382,True,25.2382,1,1,25.2382,25.2382,7,175.1946,177.0568,25.2938,25.4931
2024-12-09,2024-12-09,Monday,QTOP,Buy_on_Dip,1,26.2545,26.2545,True,26.2545,1,1,26.2545,26.2545,8,201.4491,210.6424,26.3303,26.5197
2024-12-18,2024-12-18,Wednesday,QTOP,Buy_on_Dip,1,27.091,27.091,True,27.091,1,1,27.091,27.091,9,228.5401,237.4831,26.387,27.3647
2024-12-18,2024-12-18,Wednesday,QTOP,Buy_on_Dip,2,26.8174,26.8174,True,26.8174,1,1,26.8174,26.8174,10,255.3575,263.8701,26.387,27.3647
2024-12-18,2024-12-18,Wednesday,QTOP,Buy_on_Dip,3,26.5437,26.5437,True,26.5437,1,1,26.5437,26.5437,11,281.9012,290.2572,26.387,27.3647
2024-12-20,2024-12-20,Friday,QTOP,Buy_on_Dip,1,26.054,26.054,True,26.054,1,1,26.054,26.054,12,307.9552,318.3202,26.5267,26.3172
2024-12-27,2024-12-27,Friday,QTOP,Buy_on_Dip,1,26.9528,26.9528,True,26.9528,1,1,26.9528,26.9528,13,334.908,348.6079,26.816,27.225
2024-12-27,2024-12-27,Friday,QTOP,Buy_on_Dip,2,26.6805,26.6805,True,26.6805,1,1,26.6805,26.6805,14,361.5885,375.4238,26.816,27.225
2024-12-30,2024-12-30,Monday,QTOP,Buy_on_Dip,1,26.5478,26.5478,True,26.5478,1,1,26.5478,26.5478,15,388.1363,397.0024,26.4668,26.816
2024-12-30,2024-12-30,Monday,QTOP,Buy_on_Dip,2,26.2797,26.2797,True,26.2797,1,1,26.2797,26.2797,16,414.416,423.4692,26.4668,26.816
2024-12-31,2024-12-31,Tuesday,QTOP,Buy_on_Dip,1,26.2022,26.2022,True,26.2022,1,1,26.2022,26.2022,17,440.6182,445.5265,26.2074,26.4668
2025-01-02,2025-01-02,Thursday,QTOP,Buy_on_Dip,1,25.9454,25.9454,True,25.9454,1,1,25.9454,25.9454,18,466.5636,469.9382,26.1077,26.2074
2025-01-07,2025-01-07,Tuesday,QTOP,Buy_on_Dip,1,26.5478,26.5478,True,26.5478,1,1,26.5478,26.5478,19,493.1114,498.131,26.2174,26.816
2025-01-07,2025-01-07,Tuesday,QTOP,Buy_on_Dip,2,26.2797,26.2797,True,26.2797,1,1,26.2797,26.2797,20,519.3911,524.3484,26.2174,26.816
2025-01-10,2025-01-10,Friday,QTOP,Buy_on_Dip,1,25.9849,25.9849,True,25.9849,1,1,25.9849,25.9849,21,545.376,541.7668,25.7984,26.2473
2025-01-10,2025-01-10,Friday,QTOP,Buy_on_Dip,2,25.7224,25.7224,True,25.7224,1,1,25.7224,25.7224,22,571.0984,567.5652,25.7984,26.2473
2025-01-13,2025-01-13,Monday,QTOP,Buy_on_Dip,1,25.5404,25.5404,True,25.5404,1,1,25.5404,25.5404,23,596.6388,591.9869,25.7386,25.7984
2025-01-14,2025-01-14,Tuesday,QTOP,Buy_on_Dip,1,25.4812,25.4812,True,25.4812,1,1,25.4812,25.4812,24,622.12,614.8523,25.6188,25.7386
2025-01-16,2025-01-16,Thursday,QTOP,Buy_on_Dip,1,25.9947,25.9947,True,25.9947,1,1,25.9947,25.9947,25,648.1147,649.9485,25.9979,26.2573
2025-01-27,2025-01-27,Monday,QTOP,Buy_on_Dip,1,26.6565,26.6565,True,26.6565,1,1,26.6565,26.6565,26,674.7712,677.2434,26.0478,26.9257
2025-01-27,2025-01-27,Monday,QTOP,Buy_on_Dip,2,26.3872,26.3872,True,26.3872,1,1,26.3872,26.3872,27,701.1584,703.2913,26.0478,26.9257
2025-01-27,2025-01-27,Monday,QTOP,Buy_on_Dip,3,26.118,26.118,True,26.118,1,1,26.118,26.118,28,727.2764,729.3391,26.0478,26.9257
2025-01-27,2025-01-27,Monday,QTOP,Buy_on_Dip,4,25.8487,25.8487,True,25.8487,1,1,25.8487,25.8487,29,753.1251,755.3869,26.0478,26.9257
2025-01-29,2025-01-29,Wednesday,QTOP,Buy_on_Dip,1,26.291,26.291,True,26.291,1,1,26.291,26.291,30,779.4161,793.1068,26.4369,26.5566
2025-02-03,2025-02-03,Monday,QTOP,Buy_on_Dip,1,26.1824,26.1824,True,26.1824,1,1,26.1824,26.1824,31,805.5985,811.5029,26.1775,26.4469
2025-02-03,2025-02-03,Monday,QTOP,Buy_on_Dip,2,25.9179,25.9179,True,25.9179,1,1,25.9179,25.9179,32,831.5164,837.6804,26.1775,26.4469
2025-02-07,2025-02-07,Friday,QTOP,Buy_on_Dip,1,26.5972,26.5972,True,26.5972,1,1,26.5972,26.5972,33,858.1136,874.3928,26.4968,26.8659
2025-02-12,2025-02-12,Wednesday,QTOP,Buy_on_Dip,1,26.5182,26.5182,True,26.5182,1,1,26.5182,26.5182,34,884.6318,911.4045,26.806,26.7861
2025-02-20,2025-02-20,Thursday,QTOP,Buy_on_Dip,1,27.0021,27.0021,True,27.0021,1,1,27.0021,27.0021,35,911.6339,951.1296,27.1751,27.2749
2025-02-21,2025-02-21,Friday,QTOP,Buy_on_Dip,1,26.9034,26.9034,True,26.9034,1,1,26.9034,26.9034,36,938.5373,958.5519,26.6264,27.1751
2025-02-21,2025-02-21,Friday,QTOP,Buy_on_Dip,2,26.6316,26.6316,True,26.6316,1,1,26.6316,26.6316,37,965.1689,985.1784,26.6264,27.1751
2025-02-24,2025-02-24,Monday,QTOP,Buy_on_Dip,1,26.3602,26.3602,True,26.3602,1,1,26.3602,26.3602,38,991.5291,998.5365,26.2773,26.6264
2025-02-25,2025-02-25,Tuesday,QTOP,Buy_on_Dip,1,26.0145,26.0145,True,26.0145,1,1,26.0145,26.0145,39,1017.5436,1012.7525,25.968,26.2773
2025-02-25,2025-02-25,Tuesday,QTOP,Buy_on_Dip,2,25.7517,25.7517,True,25.7517,1,1,25.7517,25.7517,40,1043.2953,1038.7206,25.968,26.2773
2025-02-27,2025-02-27,Thursday,QTOP,Buy_on_Dip,1,25.7873,25.7873,True,25.7873,1,1,25.7873,25.7873,41,1069.0826,1036.466,25.2797,26.0478
2025-02-27,2025-02-27,Thursday,QTOP,Buy_on_Dip,2,25.5269,25.5269,True,25.5269,1,1,25.5269,25.5269,42,1094.6095,1061.7456,25.2797,26.0478
2025-02-27,2025-02-27,Thursday,QTOP,Buy_on_Dip,3,25.2664,25.2664,True,25.2664,1,1,25.2664,25.2664,43,1119.8759,1087.0253,25.2797,26.0478
2025-03-03,2025-03-03,Monday,QTOP,Buy_on_Dip,1,25.4812,25.4812,True,25.4812,1,1,25.4812,25.4812,44,1145.3571,1104.8427,25.1101,25.7386
2025-03-03,2025-03-03,Monday,QTOP,Buy_on_Dip,2,25.2238,25.2238,True,25.2238,1,1,25.2238,25.2238,45,1170.5809,1129.9528,25.1101,25.7386
2025-03-03,2025-03-03,Monday,QTOP,Buy_on_Dip,3,24.9664,24.9664,True,24.9664,1,1,24.9664,24.9664,46,1195.5473,1155.0628,25.1101,25.7386
2025-03-04,2025-03-04,Tuesday,QTOP,Buy_on_Dip,1,24.859,24.859,True,24.859,1,1,24.859,24.859,47,1220.4063,1175.4841,25.0103,25.1101
2025-03-06,2025-03-06,Thursday,QTOP,Buy_on_Dip,1,25.1256,25.1256,True,25.1256,1,1,25.1256,25.1256,48,1245.5319,1183.7344,24.6611,25.3794
2025-03-06,2025-03-06,Thursday,QTOP,Buy_on_Dip,2,24.8718,24.8718,True,24.8718,1,1,24.8718,24.8718,49,1270.4037,1208.3955,24.6611,25.3794
2025-03-06,2025-03-06,Thursday,QTOP,Buy_on_Dip,3,24.618,24.618,True,24.618,1,1,24.618,24.618,50,1295.0217,1233.0566,24.6611,25.3794
2025-03-07,2025-03-07,Friday,QTOP,Buy_on_Dip,1,24.4145,24.4145,True,24.4145,1,1,24.4145,24.4145,51,1319.4362,1266.8759,24.8407,24.6611
2025-03-10,2025-03-10,Monday,QTOP,Buy_on_Dip,1,24.5923,24.5923,True,24.5923,1,1,24.5923,24.5923,52,1344.0285,1238.8028,23.8231,24.8407
2025-03-10,2025-03-10,Monday,QTOP,Buy_on_Dip,2,24.3439,24.3439,True,24.3439,1,1,24.3439,24.3439,53,1368.3724,1262.626,23.8231,24.8407
2025-03-10,2025-03-10,Monday,QTOP,Buy_on_Dip,3,24.0955,24.0955,True,24.0955,1,1,24.0955,24.0955,54,1392.4679,1286.4491,23.8231,24.8407
2025-03-10,2025-03-10,Monday,QTOP,Buy_on_Dip,4,23.8471,23.8471,True,23.8471,1,1,23.8471,23.8471,55,1416.315,1310.2722,23.8231,24.8407
2025-03-10,2025-03-10,Monday,QTOP,Buy_on_Dip,5,23.5987,23.5987,True,23.5987,1,1,23.5987,23.5987,56,1439.9137,1334.0954,23.8231,24.8407
2025-03-11,2025-03-11,Tuesday,QTOP,Buy_on_Dip,1,23.5849,23.5849,True,23.5849,1,1,23.5849,23.5849,57,1463.4986,1355.0755,23.7733,23.8231
2025-03-13,2025-03-13,Thursday,QTOP,Buy_on_Dip,1,23.8614,23.8614,True,23.8614,1,1,23.8614,23.8614,58,1487.36,1368.4335,23.5937,24.1025
2025-03-13,2025-03-13,Thursday,QTOP,Buy_on_Dip,2,23.6204,23.6204,True,23.6204,1,1,23.6204,23.6204,59,1510.9804,1392.0272,23.5937,24.1025
2025-03-18,2025-03-18,Tuesday,QTOP,Buy_on_Dip,1,23.98,23.98,True,23.98,1,1,23.98,23.98,60,1534.9604,1428.0421,23.8007,24.2222
2025-03-18,2025-03-18,Tuesday,QTOP,Buy_on_Dip,2,23.7377,23.7377,True,23.7377,1,1,23.7377,23.7377,61,1558.6981,1451.8428,23.8007,24.2222
2025-03-21,2025-03-21,Friday,QTOP,Buy_on_Dip,1,23.8099,23.8099,True,23.8099,1,1,23.8099,23.8099,62,1582.508,1502.2706,24.2302,24.0504
2025-03-26,2025-03-26,Wednesday,QTOP,Buy_on_Dip,1,24.6701,24.6701,True,24.6701,1,1,24.6701,24.6701,63,1607.1781,1539.0852,24.4299,24.9193
2025-03-26,2025-03-26,Wednesday,QTOP,Buy_on_Dip,2,24.4209,24.4209,True,24.4209,1,1,24.4209,24.4209,64,1631.599,1563.5151,24.4299,24.9193
