Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-01,2005-09-01,Thursday,SPY,Buy_on_Dip,1,83.454,83.454,True,83.454,1,1,83.454,83.454,1,83.454,84.235,84.235,84.2969
2005-09-21,2005-09-21,Wednesday,SPY,Buy_on_Dip,1,83.4468,83.4468,True,83.4468,1,1,83.4468,83.4468,2,166.9008,167.0048,83.5024,84.2897
2005-10-04,2005-10-04,Tuesday,SPY,Buy_on_Dip,1,83.8229,83.8229,True,83.8229,1,1,83.8229,83.8229,3,250.7237,251.1495,83.7165,84.6696
2005-10-05,2005-10-05,Wednesday,SPY,Buy_on_Dip,1,82.8793,82.8793,True,82.8793,1,1,82.8793,82.8793,4,333.603,330.4737,82.6184,83.7165
2005-10-06,2005-10-06,Thursday,SPY,Buy_on_Dip,1,81.7922,81.7922,True,81.7922,1,1,81.7922,81.7922,5,415.3952,411.6073,82.3215,82.6184
2005-10-10,2005-10-10,Monday,SPY,Buy_on_Dip,1,81.7786,81.7786,True,81.7786,1,1,81.7786,81.7786,6,497.1738,491.4424,81.9071,82.6046
2005-10-18,2005-10-18,Tuesday,SPY,Buy_on_Dip,1,81.4367,81.4367,True,81.4367,1,1,81.4367,81.4367,7,578.6105,569.5786,81.3684,82.2593
2005-10-20,2005-10-20,Thursday,SPY,Buy_on_Dip,1,81.8948,81.8948,True,81.8948,1,1,81.8948,81.8948,8,660.5053,650.1185,81.2648,82.722
2005-10-20,2005-10-20,Thursday,SPY,Buy_on_Dip,2,81.0676,81.0676,True,81.0676,1,1,81.0676,81.0676,9,741.5729,731.3833,81.2648,82.722
2005-10-27,2005-10-27,Thursday,SPY,Buy_on_Dip,1,81.6145,81.6145,True,81.6145,1,1,81.6145,81.6145,10,823.1874,815.6178,81.5618,82.4389
2005-12-27,2005-12-27,Tuesday,SPY,Buy_on_Dip,1,87.1265,87.1265,True,87.1265,1,1,87.1265,87.1265,11,910.3139,958.2205,87.111,88.0066
2006-01-20,2006-01-20,Friday,SPY,Buy_on_Dip,1,88.1919,88.1919,True,88.1919,1,1,88.1919,88.1919,12,998.5058,1049.497,87.4581,89.0827
2006-02-02,2006-02-02,Thursday,SPY,Buy_on_Dip,1,88.2468,88.2468,True,88.2468,1,1,88.2468,88.2468,13,1086.7526,1145.3488,88.1038,89.1382
2006-02-28,2006-02-28,Tuesday,SPY,Buy_on_Dip,1,88.9823,88.9823,True,88.9823,1,1,88.9823,88.9823,14,1175.7349,1246.3802,89.0272,89.8811
2006-04-07,2006-04-07,Friday,SPY,Buy_on_Dip,1,90.3092,90.3092,True,90.3092,1,1,90.3092,90.3092,15,1266.0441,1354.4144,90.2943,91.2214
2006-04-11,2006-04-11,Tuesday,SPY,Buy_on_Dip,1,89.5294,89.5294,True,89.5294,1,1,89.5294,89.5294,16,1355.5735,1434.6716,89.667,90.4337
