Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-14,2005-09-14,Wednesday,VGT,Buy_on_Dip,1,40.0534,40.0534,True,40.0534,1,1,40.0534,40.0534,1,40.0534,40.0077,40.0077,40.458
2005-09-21,2005-09-21,Wednesday,VGT,Buy_on_Dip,1,39.3133,39.3133,True,39.3133,1,1,39.3133,39.3133,2,79.3667,78.4182,39.2091,39.7104
2005-10-04,2005-10-04,Tuesday,VGT,Buy_on_Dip,1,39.7338,39.7338,True,39.7338,1,1,39.7338,39.7338,3,119.1005,118.9782,39.6594,40.1352
2005-10-05,2005-10-05,Wednesday,VGT,Buy_on_Dip,1,39.2628,39.2628,True,39.2628,1,1,39.2628,39.2628,4,158.3633,156.0888,39.0222,39.6594
2005-10-06,2005-10-06,Thursday,VGT,Buy_on_Dip,1,38.632,38.632,True,38.632,1,1,38.632,38.632,5,196.9953,193.6666,38.7333,39.0222
2005-10-19,2005-10-19,Wednesday,VGT,Buy_on_Dip,1,38.0853,38.0853,True,38.0853,1,1,38.0853,38.0853,6,235.0806,232.8078,38.8013,38.47
2005-10-25,2005-10-25,Tuesday,VGT,Buy_on_Dip,1,39.0021,39.0021,True,39.0021,1,1,39.0021,39.0021,7,274.0827,273.4527,39.0647,39.396
2005-10-27,2005-10-27,Thursday,VGT,Buy_on_Dip,1,38.6488,38.6488,True,38.6488,1,1,38.6488,38.6488,8,312.7315,308.4393,38.5549,39.0392
2005-12-05,2005-12-05,Monday,VGT,Buy_on_Dip,1,42.3581,42.3581,True,42.3581,1,1,42.3581,42.3581,9,355.0896,382.2443,42.4716,42.7859
2005-12-08,2005-12-08,Thursday,VGT,Buy_on_Dip,1,41.9964,41.9964,True,41.9964,1,1,41.9964,41.9964,10,397.086,421.5723,42.1572,42.4206
2005-12-19,2005-12-19,Monday,VGT,Buy_on_Dip,1,41.8282,41.8282,True,41.8282,1,1,41.8282,41.8282,11,438.9142,458.7762,41.7069,42.2507
