Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2005-09-06,39.63390832066608,39.982244780093716,39.63390832066608,39.939762115478516,2800,VGT,2005,9,36,Tuesday,39.7975,,,,,,
2005-09-07,39.93127428683772,40.177659523036795,39.905787276531896,40.0587158203125,10300,VGT,2005,9,36,Wednesday,40.0184,39.939762115478516,0.3,-0.02,-0.09,0.3,0.09
2005-09-08,40.10119630731426,40.296604287075425,40.10119630731426,40.16916275024414,5800,VGT,2005,9,36,Thursday,40.167,40.0587158203125,0.28,0.11,0.11,0.28,-0.11
2005-09-09,40.19464630308732,40.37306183213686,40.1351744600708,40.33907699584961,13300,VGT,2005,9,36,Friday,40.2605,40.16916275024414,0.42,0.06,-0.08,0.42,0.08
2005-09-12,40.39854741567041,40.51749109751319,40.33058098646264,40.4580192565918,6800,VGT,2005,9,37,Monday,40.4262,40.33907699584961,0.29,0.15,-0.02,0.29,0.02
2005-09-13,40.3815549981254,40.678917443704606,40.31358856891764,40.4580192565918,12700,VGT,2005,9,37,Tuesday,40.458,40.4580192565918,0.0,-0.19,-0.36,0.0,0.36
2005-09-14,40.364571141964696,40.44103541664927,40.00774002075195,40.00774002075195,8700,VGT,2005,9,37,Wednesday,40.2053,40.4580192565918,-1.11,-0.23,-1.11,-1.11,1.11
2005-09-15,40.02472519014594,40.05021219676537,39.735860564893784,39.846309661865234,12300,VGT,2005,9,37,Thursday,39.9143,40.00774002075195,-0.4,0.04,-0.68,-0.4,0.68
2005-09-16,40.0587158203125,40.126682261452316,39.82932300464159,40.0587158203125,15400,VGT,2005,9,37,Friday,40.0184,39.846309661865234,0.53,0.53,-0.04,0.53,0.04
2005-09-19,40.1011912194153,40.1011912194153,39.71037530947832,39.82931900024414,15200,VGT,2005,9,38,Monday,39.9355,40.0587158203125,-0.57,0.11,-0.87,-0.57,0.87
2005-09-20,39.89728303865278,40.24561950110842,39.65089784202085,39.71037292480469,6100,VGT,2005,9,38,Tuesday,39.876,39.82931900024414,-0.3,0.17,-0.45,-0.3,0.45
2005-09-21,39.455492230228195,39.455492230228195,39.16662759251495,39.209110260009766,10100,VGT,2005,9,38,Wednesday,39.3217,39.71037292480469,-1.26,-0.64,-1.37,-1.26,1.37
2005-09-22,39.09015371022591,39.29405944472338,38.86076421525235,39.260074615478516,24200,VGT,2005,9,38,Thursday,39.1263,39.209110260009766,0.13,-0.3,-0.89,0.13,0.89
2005-09-23,39.04768772106457,39.3450502177504,39.04768772106457,39.27708053588867,2200,VGT,2005,9,38,Friday,39.1794,39.260074615478516,0.04,-0.54,-0.54,0.04,0.54
2005-09-26,39.506464658675704,39.531951663279905,39.141135801479,39.30255889892578,8700,VGT,2005,9,39,Monday,39.3705,39.27708053588867,0.06,0.58,-0.35,0.06,0.35
2005-09-27,39.33655000306426,39.33655000306426,39.081670193475254,39.15813446044922,4400,VGT,2005,9,39,Tuesday,39.2282,39.30255889892578,-0.37,0.09,-0.56,-0.37,0.56
2005-09-28,39.12414264503168,39.47247907891555,39.12414264503168,39.294063568115234,5000,VGT,2005,9,39,Wednesday,39.2537,39.15813446044922,0.35,-0.09,-0.09,0.35,0.09
2005-09-29,39.277074373352356,39.795331772829066,39.268579784938844,39.71037292480469,106100,VGT,2005,9,39,Thursday,39.5128,39.294063568115234,1.06,-0.04,-0.06,1.06,0.06
2005-09-30,39.837819050233676,40.0417248630502,39.837819050233676,40.00774002075195,3300,VGT,2005,9,39,Friday,39.9313,39.71037292480469,0.75,0.32,0.32,0.75,-0.32
2005-10-03,40.10969117487556,40.22863488155563,40.10119658481538,40.13518142700195,26200,VGT,2005,10,40,Monday,40.1437,40.00774002075195,0.32,0.25,0.23,0.32,-0.23
