Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-09-20,2005-09-20,Tuesday,VTI,Buy_on_Dip,1,41.8573,41.8573,True,41.8573,1,1,41.8573,41.8573,1,41.8573,41.8643,41.8643,42.2801
2005-10-04,2005-10-04,Tuesday,VTI,Buy_on_Dip,1,41.8497,41.8497,True,41.8497,1,1,41.8497,41.8497,2,83.707,83.5143,41.7571,42.2724
2005-10-05,2005-10-05,Wednesday,VTI,Buy_on_Dip,1,41.3396,41.3396,True,41.3396,1,1,41.3396,41.3396,3,125.0466,123.339,41.113,41.7571
2005-10-06,2005-10-06,Thursday,VTI,Buy_on_Dip,1,40.7019,40.7019,True,40.7019,1,1,40.7019,40.7019,4,165.7485,163.7835,40.9459,41.113
2005-10-18,2005-10-18,Tuesday,VTI,Buy_on_Dip,1,40.3882,40.3882,True,40.3882,1,1,40.3882,40.3882,5,206.1367,201.9091,40.3818,40.7962
2005-10-20,2005-10-20,Thursday,VTI,Buy_on_Dip,1,40.564,40.564,True,40.564,1,1,40.564,40.564,6,246.7007,242.1657,40.3609,40.9738
2005-10-20,2005-10-20,Thursday,VTI,Buy_on_Dip,2,40.1543,40.1543,True,40.1543,1,1,40.1543,40.1543,7,286.855,282.5266,40.3609,40.9738
2005-10-27,2005-10-27,Thursday,VTI,Buy_on_Dip,1,40.5675,40.5675,True,40.5675,1,1,40.5675,40.5675,8,327.4225,323.5003,40.4375,40.9772
2005-11-28,2005-11-28,Monday,VTI,Buy_on_Dip,1,43.2837,43.2837,True,43.2837,1,1,43.2837,43.2837,9,370.7062,389.9469,43.3274,43.7209
2006-01-20,2006-01-20,Friday,VTI,Buy_on_Dip,1,44.1813,44.1813,True,44.1813,1,1,44.1813,44.1813,10,414.8875,438.4349,43.8435,44.6276
2006-02-02,2006-02-02,Thursday,VTI,Buy_on_Dip,1,44.2853,44.2853,True,44.2853,1,1,44.2853,44.2853,11,459.1728,487.6692,44.3336,44.7326
2006-02-07,2006-02-07,Tuesday,VTI,Buy_on_Dip,1,43.7793,43.7793,True,43.7793,1,1,43.7793,43.7793,12,502.9521,525.4918,43.791,44.2215
2006-02-28,2006-02-28,Tuesday,VTI,Buy_on_Dip,1,44.6526,44.6526,True,44.6526,1,1,44.6526,44.6526,13,547.6047,580.5684,44.6591,45.1037
2006-04-07,2006-04-07,Friday,VTI,Buy_on_Dip,1,45.4775,45.4775,True,45.4775,1,1,45.4775,45.4775,14,593.0822,636.227,45.4448,45.9368
2006-04-11,2006-04-11,Tuesday,VTI,Buy_on_Dip,1,45.0495,45.0495,True,45.0495,1,1,45.0495,45.0495,15,638.1317,676.3998,45.0933,45.5045
2006-05-11,2006-05-11,Thursday,VTI,Buy_on_Dip,1,46.0446,46.0446,True,46.0446,1,1,46.0446,46.0446,16,684.1763,734.5395,45.9087,46.5097
2006-05-12,2006-05-12,Friday,VTI,Buy_on_Dip,1,45.4496,45.4496,True,45.4496,1,1,45.4496,45.4496,17,729.6259,769.9919,45.2936,45.9087
2006-05-17,2006-05-17,Wednesday,VTI,Buy_on_Dip,1,44.7468,44.7468,True,44.7468,1,1,44.7468,44.7468,18,774.3727,798.7104,44.3728,45.1988
2006-05-22,2006-05-22,Monday,VTI,Buy_on_Dip,1,43.9708,43.9708,True,43.9708,1,1,43.9708,43.9708,19,818.3435,838.8762,44.1514,44.415
2006-05-30,2006-05-30,Tuesday,VTI,Buy_on_Dip,1,44.371,44.371,True,44.371,1,1,44.371,44.371,20,862.7145,880.146,44.0073,44.8192
2006-06-05,2006-06-05,Monday,VTI,Buy_on_Dip,1,44.7294,44.7294,True,44.7294,1,1,44.7294,44.7294,21,907.4439,932.8625,44.422,45.1812
2006-06-06,2006-06-06,Tuesday,VTI,Buy_on_Dip,1,43.9778,43.9778,True,43.9778,1,1,43.9778,43.9778,22,951.4217,972.8769,44.2217,44.422
2006-06-08,2006-06-08,Thursday,VTI,Buy_on_Dip,1,43.4941,43.4941,True,43.4941,1,1,43.4941,43.4941,23,994.9158,1009.4996,43.8913,43.9335
2006-06-12,2006-06-12,Monday,VTI,Buy_on_Dip,1,43.2854,43.2854,True,43.2854,1,1,43.2854,43.2854,24,1038.2012,1035.5925,43.1497,43.7226
2006-06-13,2006-06-13,Tuesday,VTI,Buy_on_Dip,1,42.7182,42.7182,True,42.7182,1,1,42.7182,42.7182,25,1080.9194,1065.9143,42.6366,43.1497
2006-06-19,2006-06-19,Monday,VTI,Buy_on_Dip,1,43.2332,43.2332,True,43.2332,1,1,43.2332,43.2332,26,1124.1526,1123.9939,43.2305,43.6699
2006-07-05,2006-07-05,Wednesday,VTI,Buy_on_Dip,1,44.4795,44.4795,True,44.4795,1,1,44.4795,44.4795,27,1168.6321,1203.166,44.5617,44.9288
2006-07-07,2006-07-07,Friday,VTI,Buy_on_Dip,1,44.2594,44.2594,True,44.2594,1,1,44.2594,44.2594,28,1212.8915,1241.4018,44.3358,44.7064
2006-07-12,2006-07-12,Wednesday,VTI,Buy_on_Dip,1,44.1056,44.1056,True,44.1056,1,1,44.1056,44.1056,29,1256.9971,1278.1623,44.0746,44.5511
2006-07-13,2006-07-13,Thursday,VTI,Buy_on_Dip,1,43.6338,43.6338,True,43.6338,1,1,43.6338,43.6338,30,1300.6309,1302.5401,43.418,44.0746
2006-07-14,2006-07-14,Friday,VTI,Buy_on_Dip,1,42.9838,42.9838,True,42.9838,1,1,42.9838,42.9838,31,1343.6147,1338.079,43.1638,43.418
2006-07-20,2006-07-20,Thursday,VTI,Buy_on_Dip,1,43.508,43.508,True,43.508,1,1,43.508,43.508,32,1387.1227,1391.9741,43.4992,43.9475
2006-09-06,2006-09-06,Wednesday,VTI,Buy_on_Dip,1,45.4545,45.4545,True,45.4545,1,1,45.4545,45.4545,33,1432.5772,1498.9584,45.423,45.9137
2006-11-27,2006-11-27,Monday,VTI,Buy_on_Dip,1,48.8823,48.8823,True,48.8823,1,1,48.8823,48.8823,34,1481.4595,1652.1565,48.5928,49.3761
2006-12-01,2006-12-01,Friday,VTI,Buy_on_Dip,1,48.8613,48.8613,True,48.8613,1,1,48.8613,48.8613,35,1530.3208,1722.5815,49.2166,49.3548
2007-01-25,2007-01-25,Thursday,VTI,Buy_on_Dip,1,50.3054,50.3054,True,50.3054,1,1,50.3054,50.3054,36,1580.6262,1808.7671,50.2435,50.8135
2007-02-09,2007-02-09,Friday,VTI,Buy_on_Dip,1,50.8873,50.8873,True,50.8873,1,1,50.8873,50.8873,37,1631.5135,1887.4813,51.013,51.4013
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,1,51.0566,51.0566,True,51.0566,1,1,51.0566,51.0566,38,1682.5701,1887.054,49.6593,51.5723
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,2,50.5409,50.5409,True,50.5409,1,1,50.5409,50.5409,39,1733.111,1936.7134,49.6593,51.5723
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,3,50.0251,50.0251,True,50.0251,1,1,50.0251,50.0251,40,1783.1361,1986.3727,49.6593,51.5723
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,4,49.5094,49.5094,True,49.5094,1,1,49.5094,49.5094,41,1832.6455,2036.032,49.6593,51.5723
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,5,48.9937,48.9937,True,48.9937,1,1,48.9937,48.9937,42,1881.6392,2085.6913,49.6593,51.5723
2007-02-27,2007-02-27,Tuesday,VTI,Buy_on_Dip,6,48.478,48.478,True,48.478,1,1,48.478,48.478,43,1930.1172,2135.3506,49.6593,51.5723
2007-03-01,2007-03-01,Thursday,VTI,Buy_on_Dip,1,49.5507,49.5507,True,49.5507,1,1,49.5507,49.5507,44,1979.6679,2195.9818,49.9087,50.0512
2007-03-01,2007-03-01,Thursday,VTI,Buy_on_Dip,2,49.0502,49.0502,True,49.0502,1,1,49.0502,49.0502,45,2028.7181,2245.8904,49.9087,50.0512
2007-03-02,2007-03-02,Friday,VTI,Buy_on_Dip,1,49.4096,49.4096,True,49.4096,1,1,49.4096,49.4096,46,2078.1277,2263.0249,49.1962,49.9087
2007-03-05,2007-03-05,Monday,VTI,Buy_on_Dip,1,48.7042,48.7042,True,48.7042,1,1,48.7042,48.7042,47,2126.8319,2285.4322,48.6262,49.1962
2007-03-13,2007-03-13,Tuesday,VTI,Buy_on_Dip,1,49.4695,49.4695,True,49.4695,1,1,49.4695,49.4695,48,2176.3014,2355.4325,49.0715,49.9692
