Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close
2015-08-31,Monday,TQQQ,DCA_Monthly,3.83,DCA,26.07799,100.0,26.07799,100.0,98.71,3.79
2015-09-14,Monday,TQQQ,DCA_Monthly,3.88,DCA,25.78038,100.0,51.85837,200.0,199.66,3.85
2015-10-05,Monday,TQQQ,DCA_Monthly,3.84,DCA,26.06444,100.0,77.92281,300.0,302.19,3.88
2015-11-02,Monday,TQQQ,DCA_Monthly,4.87,DCA,20.54162,100.0,98.46442,400.0,485.87,4.93
2015-12-07,Monday,TQQQ,DCA_Monthly,4.92,DCA,20.3334,100.0,118.79782,500.0,581.66,4.9
2016-01-04,Monday,TQQQ,DCA_Monthly,4.23,DCA,23.66314,100.0,142.46096,600.0,609.34,4.28
2016-02-01,Monday,TQQQ,DCA_Monthly,3.58,DCA,27.9687,100.0,170.42966,700.0,615.8,3.61
2016-03-07,Monday,TQQQ,DCA_Monthly,3.62,DCA,27.61068,100.0,198.04034,800.0,716.9,3.62
2016-04-04,Monday,TQQQ,DCA_Monthly,4.19,DCA,23.87947,100.0,221.91982,900.0,924.86,4.17
2016-05-02,Monday,TQQQ,DCA_Monthly,3.75,DCA,26.69005,100.0,248.60987,1000.0,942.5,3.79
2016-06-06,Monday,TQQQ,DCA_Monthly,4.17,DCA,23.97709,100.0,272.58696,1100.0,1139.28,4.18
2016-07-11,Monday,TQQQ,DCA_Monthly,4.2,DCA,23.78264,100.0,296.3696,1200.0,1246.37,4.21
2016-08-01,Monday,TQQQ,DCA_Monthly,4.75,DCA,21.03621,100.0,317.40582,1300.0,1517.24,4.78
2016-09-12,Monday,TQQQ,DCA_Monthly,4.65,DCA,21.48641,100.0,338.89223,1400.0,1626.57,4.8
2016-10-03,Monday,TQQQ,DCA_Monthly,5.1,DCA,19.59798,100.0,358.49021,1500.0,1834.3,5.12
2016-11-07,Monday,TQQQ,DCA_Monthly,4.75,DCA,21.05786,100.0,379.54807,1600.0,1822.46,4.8
2016-12-05,Monday,TQQQ,DCA_Monthly,4.78,DCA,20.90599,100.0,400.45406,1700.0,1922.69,4.8
2017-01-09,Monday,TQQQ,DCA_Monthly,5.55,DCA,18.00369,100.0,418.45776,1800.0,2331.38,5.57
2017-02-06,Monday,TQQQ,DCA_Monthly,6.02,DCA,16.62444,100.0,435.08219,1900.0,2629.79,6.04
2017-03-06,Monday,TQQQ,DCA_Monthly,6.74,DCA,14.84058,100.0,449.92278,2000.0,3039.24,6.76
2017-04-03,Monday,TQQQ,DCA_Monthly,7.02,DCA,14.23927,100.0,464.16204,2100.0,3258.71,7.02
2017-05-01,Monday,TQQQ,DCA_Monthly,7.74,DCA,12.91675,100.0,477.07879,2200.0,3718.89,7.8
2017-06-05,Monday,TQQQ,DCA_Monthly,8.86,DCA,11.28395,100.0,488.36275,2300.0,4326.87,8.86
2017-07-03,Monday,TQQQ,DCA_Monthly,7.75,DCA,12.89616,100.0,501.25891,2400.0,3798.23,7.58
2017-08-07,Monday,TQQQ,DCA_Monthly,8.93,DCA,11.19804,100.0,512.45694,2500.0,4606.15,8.99
2017-09-11,Monday,TQQQ,DCA_Monthly,9.12,DCA,10.96327,100.0,523.42021,2600.0,4788.61,9.15
2017-10-02,Monday,TQQQ,DCA_Monthly,9.14,DCA,10.93959,100.0,534.3598,2700.0,4883.15,9.14
2017-11-06,Monday,TQQQ,DCA_Monthly,10.63,DCA,9.40587,100.0,543.76568,2800.0,5814.85,10.69
2017-12-04,Monday,TQQQ,DCA_Monthly,10.71,DCA,9.33983,100.0,553.10551,2900.0,5761.64,10.42
2018-01-08,Monday,TQQQ,DCA_Monthly,12.48,DCA,8.01376,100.0,561.11926,3000.0,7039.21,12.54
2018-02-05,Monday,TQQQ,DCA_Monthly,12.15,DCA,8.22861,100.0,569.34788,3100.0,6514.39,11.44
2018-03-05,Monday,TQQQ,DCA_Monthly,13.07,DCA,7.65112,100.0,576.999,3200.0,7717.06,13.37
2018-04-02,Monday,TQQQ,DCA_Monthly,10.79,DCA,9.27094,100.0,586.26993,3300.0,6132.37,10.46
2018-05-07,Monday,TQQQ,DCA_Monthly,12.51,DCA,7.99319,100.0,594.26313,3400.0,7452.63,12.54
2018-06-04,Monday,TQQQ,DCA_Monthly,14.23,DCA,7.02932,100.0,601.29245,3500.0,8631.4,14.35
2018-07-02,Monday,TQQQ,DCA_Monthly,13.63,DCA,7.33852,100.0,608.63097,3600.0,8503.72,13.97
2018-08-06,Monday,TQQQ,DCA_Monthly,15.75,DCA,6.34785,100.0,614.97882,3700.0,9790.26,15.92
2018-09-10,Monday,TQQQ,DCA_Monthly,15.94,DCA,6.27282,100.0,621.25164,3800.0,9907.96,15.95
2018-10-01,Monday,TQQQ,DCA_Monthly,17.25,DCA,5.79828,100.0,627.04991,3900.0,10735.65,17.12
2018-11-05,Monday,TQQQ,DCA_Monthly,12.29,DCA,8.13372,100.0,635.18364,4000.0,7833.58,12.33
2018-12-03,Monday,TQQQ,DCA_Monthly,12.8,DCA,7.81434,100.0,642.99797,4100.0,8199.21,12.75
2019-01-07,Monday,TQQQ,DCA_Monthly,9.36,DCA,10.68476,100.0,653.68274,4200.0,6185.25,9.46
2019-02-04,Monday,TQQQ,DCA_Monthly,11.33,DCA,8.829,100.0,662.51174,4300.0,7637.16,11.53
2019-03-04,Monday,TQQQ,DCA_Monthly,12.5,DCA,7.99821,100.0,670.50995,4400.0,8365.57,12.48
2019-04-01,Monday,TQQQ,DCA_Monthly,14.02,DCA,7.13191,100.0,677.64186,4500.0,9565.3,14.12
2019-05-06,Monday,TQQQ,DCA_Monthly,15.54,DCA,6.43701,100.0,684.07887,4600.0,10881.02,15.91
2019-06-03,Monday,TQQQ,DCA_Monthly,11.57,DCA,8.63945,100.0,692.71832,4700.0,7805.56,11.27
2019-07-01,Monday,TQQQ,DCA_Monthly,15.49,DCA,6.45644,100.0,699.17476,4800.0,10764.17,15.4
2019-08-05,Monday,TQQQ,DCA_Monthly,13.47,DCA,7.42347,100.0,706.59822,4900.0,9355.85,13.24
2019-09-09,Monday,TQQQ,DCA_Monthly,15.4,DCA,6.49337,100.0,713.09159,5000.0,10937.41,15.34
2019-10-07,Monday,TQQQ,DCA_Monthly,14.66,DCA,6.82311,100.0,719.9147,5100.0,10500.22,14.59
2019-11-04,Monday,TQQQ,DCA_Monthly,17.39,DCA,5.75169,100.0,725.66638,5200.0,12600.05,17.36
2019-12-02,Monday,TQQQ,DCA_Monthly,18.26,DCA,5.47505,100.0,731.14144,5300.0,13185.82,18.03
2020-01-06,Monday,TQQQ,DCA_Monthly,21.12,DCA,4.73447,100.0,735.87591,5400.0,15889.21,21.59
2020-02-03,Monday,TQQQ,DCA_Monthly,23.18,DCA,4.31459,100.0,740.1905,5500.0,17382.71,23.48
2020-03-02,Monday,TQQQ,DCA_Monthly,19.81,DCA,5.04763,100.0,745.23813,5600.0,15637.47,20.98
2020-04-06,Monday,TQQQ,DCA_Monthly,11.81,DCA,8.4697,100.0,753.70783,5700.0,9271.17,12.3
2020-05-04,Monday,TQQQ,DCA_Monthly,15.36,DCA,6.509,100.0,760.21683,5800.0,11985.25,15.77
2020-06-01,Monday,TQQQ,DCA_Monthly,19.89,DCA,5.02891,100.0,765.24574,5900.0,15374.72,20.09
2020-07-06,Monday,TQQQ,DCA_Monthly,26.2,DCA,3.81694,100.0,769.06268,6000.0,20446.97,26.59
2020-08-03,Monday,TQQQ,DCA_Monthly,29.57,DCA,3.3819,100.0,772.44458,6100.0,22935.44,29.69
2020-09-14,Monday,TQQQ,DCA_Monthly,30.62,DCA,3.26539,100.0,775.70998,6200.0,23804.3,30.69
2020-10-05,Monday,TQQQ,DCA_Monthly,31.44,DCA,3.18066,100.0,778.89064,6300.0,24962.72,32.05
2020-11-02,Monday,TQQQ,DCA_Monthly,28.35,DCA,3.52698,100.0,782.41762,6400.0,22042.12,28.17
2020-12-07,Monday,TQQQ,DCA_Monthly,40.58,DCA,2.46428,100.0,784.8819,6500.0,32074.83,40.87
2021-01-04,Monday,TQQQ,DCA_Monthly,42.51,DCA,2.35238,100.0,787.23428,6600.0,32816.52,41.69
2021-02-01,Monday,TQQQ,DCA_Monthly,45.61,DCA,2.19245,100.0,789.42673,6700.0,36767.53,46.57
2021-03-01,Monday,TQQQ,DCA_Monthly,45.54,DCA,2.1958,100.0,791.62253,6800.0,36824.25,46.52
2021-04-05,Monday,TQQQ,DCA_Monthly,47.98,DCA,2.08409,100.0,793.70662,6900.0,38694.93,48.75
2021-05-03,Monday,TQQQ,DCA_Monthly,51.5,DCA,1.94166,100.0,795.64828,7000.0,40407.41,50.79
2021-06-07,Monday,TQQQ,DCA_Monthly,49.89,DCA,2.00451,100.0,797.65279,7100.0,40126.69,50.31
2021-07-12,Monday,TQQQ,DCA_Monthly,62.57,DCA,1.59813,100.0,799.25092,7200.0,50122.8,62.71
2021-08-02,Monday,TQQQ,DCA_Monthly,64.08,DCA,1.56066,100.0,800.81158,7300.0,50961.85,63.64
2021-09-13,Monday,TQQQ,DCA_Monthly,70.14,DCA,1.42568,100.0,802.23726,7400.0,55869.3,69.64
2021-10-04,Monday,TQQQ,DCA_Monthly,58.28,DCA,1.71589,100.0,803.95316,7500.0,45895.24,57.09
2021-11-01,Monday,TQQQ,DCA_Monthly,74.64,DCA,1.3397,100.0,805.29285,7600.0,60511.66,75.14
2021-12-06,Monday,TQQQ,DCA_Monthly,72.53,DCA,1.37869,100.0,806.67155,7700.0,59416.03,73.66
2022-01-03,Monday,TQQQ,DCA_Monthly,80.99,DCA,1.23475,100.0,807.9063,7800.0,66302.68,82.07
2022-02-07,Monday,TQQQ,DCA_Monthly,55.97,DCA,1.78661,100.0,809.6929,7900.0,44553.22,55.02
2022-03-07,Monday,TQQQ,DCA_Monthly,43.63,DCA,2.29223,100.0,811.98513,8000.0,33270.04,40.97
2022-04-04,Monday,TQQQ,DCA_Monthly,57.48,DCA,1.7398,100.0,813.72493,8100.0,48037.41,59.03
2022-05-02,Monday,TQQQ,DCA_Monthly,35.47,DCA,2.81961,100.0,816.54454,8200.0,29956.1,36.69
2022-06-06,Monday,TQQQ,DCA_Monthly,31.72,DCA,3.15253,100.0,819.69707,8300.0,25582.61,31.21
2022-07-11,Monday,TQQQ,DCA_Monthly,25.52,DCA,3.91815,100.0,823.61522,8400.0,20625.53,25.04
