Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2020-06-05,Friday,FBCG,DCA_Weekly,20.35,DCA,1.22872,25.0,1.22872,25.0,25.06,20.4,
2020-06-08,Monday,FBCG,DCA_Weekly,20.54,DCA,1.21692,25.0,2.44564,50.0,50.3,20.57,20.4
2020-06-15,Monday,FBCG,DCA_Weekly,19.99,DCA,1.25042,25.0,3.69606,75.0,74.82,20.24,19.97
2020-06-22,Monday,FBCG,DCA_Weekly,20.92,DCA,1.19477,25.0,4.89083,100.0,103.02,21.06,20.85
2020-06-29,Monday,FBCG,DCA_Weekly,20.39,DCA,1.22585,25.0,6.11668,125.0,125.63,20.54,20.4
2020-07-06,Monday,FBCG,DCA_Weekly,21.92,DCA,1.1403,25.0,7.25698,150.0,159.34,21.96,21.42
2020-07-13,Monday,FBCG,DCA_Weekly,22.5,DCA,1.11133,25.0,8.36831,175.0,183.49,21.93,22.53
2020-07-20,Monday,FBCG,DCA_Weekly,22.59,DCA,1.10671,25.0,9.47502,200.0,216.27,22.83,22.14
2020-07-27,Monday,FBCG,DCA_Weekly,22.23,DCA,1.12484,25.0,10.59986,225.0,236.2,22.28,21.93
2020-08-03,Monday,FBCG,DCA_Weekly,23.06,DCA,1.08435,25.0,11.68421,250.0,270.45,23.15,22.63
2020-08-10,Monday,FBCG,DCA_Weekly,23.36,DCA,1.07017,25.0,12.75438,275.0,296.09,23.21,23.31
2020-08-17,Monday,FBCG,DCA_Weekly,23.64,DCA,1.05769,25.0,13.81207,300.0,326.98,23.67,23.37
2020-08-24,Monday,FBCG,DCA_Weekly,24.58,DCA,1.01693,25.0,14.829,325.0,362.46,24.44,24.34
2020-08-31,Monday,FBCG,DCA_Weekly,25.73,DCA,0.97179,25.0,15.8008,350.0,407.2,25.77,25.59
2020-09-08,Tuesday,FBCG,DCA_Weekly,23.81,DCA,1.05015,25.0,16.85094,375.0,396.91,23.55,24.5
2020-09-14,Monday,FBCG,DCA_Weekly,24.21,DCA,1.03261,25.0,17.88355,400.0,433.55,24.24,23.71
2020-09-21,Monday,FBCG,DCA_Weekly,23.45,DCA,1.06596,25.0,18.94952,425.0,449.18,23.7,23.6
2020-09-28,Monday,FBCG,DCA_Weekly,24.37,DCA,1.02574,25.0,19.97525,450.0,487.85,24.42,23.96
2020-10-05,Monday,FBCG,DCA_Weekly,24.85,DCA,1.00595,25.0,20.98121,475.0,525.2,25.03,24.52
2020-10-12,Monday,FBCG,DCA_Weekly,26.11,DCA,0.95758,25.0,21.93878,500.0,573.26,26.13,25.62
2020-10-19,Monday,FBCG,DCA_Weekly,25.59,DCA,0.97681,25.0,22.9156,525.0,577.97,25.22,25.71
2020-10-26,Monday,FBCG,DCA_Weekly,25.1,DCA,0.99605,25.0,23.91164,550.0,597.36,24.98,25.41
2020-11-02,Monday,FBCG,DCA_Weekly,23.96,DCA,1.04326,25.0,24.9549,575.0,596.76,23.91,23.88
2020-11-09,Monday,FBCG,DCA_Weekly,27.24,DCA,0.91761,25.0,25.87252,600.0,667.53,25.8,26.51
2020-11-16,Monday,FBCG,DCA_Weekly,26.02,DCA,0.96079,25.0,26.8333,625.0,698.48,26.03,25.94
2020-11-23,Monday,FBCG,DCA_Weekly,26.43,DCA,0.94591,25.0,27.77921,650.0,735.86,26.49,26.27
2020-11-30,Monday,FBCG,DCA_Weekly,27.08,DCA,0.92319,25.0,28.7024,675.0,778.65,27.13,27.18
2020-12-07,Monday,FBCG,DCA_Weekly,27.76,DCA,0.90061,25.0,29.60301,700.0,823.48,27.82,27.59
2020-12-14,Monday,FBCG,DCA_Weekly,27.67,DCA,0.9035,25.0,30.50651,725.0,842.22,27.61,27.44
2020-12-21,Monday,FBCG,DCA_Weekly,28.32,DCA,0.88273,25.0,31.38924,750.0,891.1,28.39,28.45
