Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,ALLY,16.820144,1%,1
2015-09-01,ALLY,16.56681,1%,1
2015-09-01,ALLY,16.399469,2%,1
2015-09-01,ALLY,16.232127,3%,1
2015-09-02,ALLY,16.236698,1%,1
2015-09-02,ALLY,16.072691,2%,1
2015-09-04,ALLY,16.098516,1%,1
2015-09-04,ALLY,15.935904,2%,1
2015-09-08,ALLY,16.060133,1%,1
2015-09-09,ALLY,16.275085,1%,1
2015-09-18,ALLY,16.305791,1%,1
2015-09-22,ALLY,16.205996,1%,1
2015-09-24,ALLY,15.960328,1%,1
2015-09-25,ALLY,16.136897,1%,1
2015-09-28,ALLY,15.852854,1%,1
2015-09-28,ALLY,15.692724,2%,1
2015-09-28,ALLY,15.532594,3%,1
2015-09-29,ALLY,15.40759,1%,1
2015-10-02,ALLY,15.246377,1%,1
2015-10-09,ALLY,16.136902,1%,1
2015-10-09,ALLY,15.973903,2%,1
2015-10-12,ALLY,15.891238,1%,1
2015-10-15,ALLY,15.837498,1%,1
2015-10-16,ALLY,15.929622,1%,1
2015-10-21,ALLY,15.637901,1%,1
2015-10-22,ALLY,15.576484,1%,1
2015-10-22,ALLY,15.419145,2%,1
2015-10-23,ALLY,15.430615,1%,1
2015-10-27,ALLY,15.538099,1%,1
2015-10-27,ALLY,15.381148,2%,1
2015-10-29,ALLY,15.822145,1%,1
2015-10-29,ALLY,15.662326,2%,1
2015-10-29,ALLY,15.502506,3%,1
2015-10-29,ALLY,15.342686,4%,1
2015-10-29,ALLY,15.182867,5%,1
2015-10-30,ALLY,15.269405,1%,1
2015-11-02,ALLY,15.27709,1%,1
2015-11-05,ALLY,15.614869,1%,1
2015-11-05,ALLY,15.457143,2%,1
2015-11-05,ALLY,15.299417,3%,1
2015-11-09,ALLY,15.399917,1%,1
2015-11-09,ALLY,15.244362,2%,1
2015-11-11,ALLY,15.307795,1%,1
2015-11-12,ALLY,15.476682,1%,1
2015-11-17,ALLY,15.568805,1%,1
2015-11-17,ALLY,15.411544,2%,1
2015-11-17,ALLY,15.254284,3%,1
2015-11-18,ALLY,15.077481,1%,1
2015-11-18,ALLY,14.925183,2%,1
2015-11-19,ALLY,15.046776,1%,1
2015-11-19,ALLY,14.894788,2%,1
2015-11-23,ALLY,15.369208,1%,1
2015-11-27,ALLY,15.323142,1%,1
2015-12-01,ALLY,15.415274,1%,1
2015-12-02,ALLY,15.461335,1%,1
2015-12-02,ALLY,15.30516,2%,1
2015-12-03,ALLY,15.323145,1%,1
2015-12-04,ALLY,15.330824,1%,1
2015-12-08,ALLY,14.962328,1%,1
2015-12-10,ALLY,15.361531,1%,1
2015-12-10,ALLY,15.206364,2%,1
2015-12-11,ALLY,14.97001,1%,1
2015-12-11,ALLY,14.818798,2%,1
2015-12-14,ALLY,14.762727,1%,1
2015-12-14,ALLY,14.613609,2%,1
2015-12-14,ALLY,14.46449,3%,1
2015-12-14,ALLY,14.315372,4%,1
2015-12-14,ALLY,14.166254,5%,1
2015-12-15,ALLY,14.248374,1%,1
2015-12-16,ALLY,14.348176,1%,1
2015-12-17,ALLY,14.286765,1%,1
2015-12-21,ALLY,14.294439,1%,1
2015-12-28,ALLY,14.701314,1%,1
2015-12-28,ALLY,14.552815,2%,1
2015-12-28,ALLY,14.404317,3%,1
2015-12-30,ALLY,14.424948,1%,1
2016-01-05,ALLY,14.340499,1%,1
2016-01-07,ALLY,13.833824,1%,1
2016-01-07,ALLY,13.694088,2%,1
2016-01-07,ALLY,13.554352,3%,1
2016-01-08,ALLY,13.457655,1%,1
2016-01-08,ALLY,13.321719,2%,1
2016-01-08,ALLY,13.185783,3%,1
2016-01-08,ALLY,13.049847,4%,1
2016-01-11,ALLY,12.981681,1%,1
2016-01-12,ALLY,13.004713,1%,1
2016-01-12,ALLY,12.873352,2%,1
2016-01-12,ALLY,12.741992,3%,1
2016-01-12,ALLY,12.610631,4%,1
2016-01-12,ALLY,12.47927,5%,1
2016-01-13,ALLY,12.705315,1%,1
2016-01-13,ALLY,12.576978,2%,1
2016-01-13,ALLY,12.448642,3%,1
2016-01-13,ALLY,12.320305,4%,1
2016-01-14,ALLY,12.229346,1%,1
2016-01-15,ALLY,12.144901,1%,1
2016-01-19,ALLY,12.413589,1%,1
2016-01-19,ALLY,12.2882,2%,1
2016-01-19,ALLY,12.16281,3%,1
2016-01-19,ALLY,12.03742,4%,1
2016-01-20,ALLY,11.799438,1%,1
2016-01-20,ALLY,11.680251,2%,1
2016-01-20,ALLY,11.561065,3%,1
2016-01-20,ALLY,11.441879,4%,1
2016-01-20,ALLY,11.322693,5%,1
2016-01-22,ALLY,12.352176,1%,1
2016-01-22,ALLY,12.227407,2%,1
2016-01-22,ALLY,12.102638,3%,1
2016-01-25,ALLY,11.960653,1%,1
2016-01-27,ALLY,11.929946,1%,1
2016-01-28,ALLY,12.306112,1%,1
2016-01-28,ALLY,12.181808,2%,1
2016-01-28,ALLY,12.057504,3%,1
2016-01-28,ALLY,11.9332,4%,1
2016-01-28,ALLY,11.808896,5%,1
2016-02-01,ALLY,12.152576,1%,1
2016-02-01,ALLY,12.029823,2%,1
2016-02-02,ALLY,12.421271,1%,1
2016-02-02,ALLY,12.295803,2%,1
2016-02-02,ALLY,12.170336,3%,1
2016-02-03,ALLY,12.375204,1%,1
2016-02-04,ALLY,13.073808,1%,1
2016-02-05,ALLY,13.112189,1%,1
2016-02-08,ALLY,12.889558,1%,1
2016-02-08,ALLY,12.75936,2%,1
2016-02-09,ALLY,12.490362,1%,1
2016-02-09,ALLY,12.364197,2%,1
2016-02-11,ALLY,12.183284,1%,1
2016-02-11,ALLY,12.060221,2%,1
2016-02-12,ALLY,12.398237,1%,1
2016-02-18,ALLY,13.119873,1%,1
2016-02-18,ALLY,12.987349,2%,1
2016-02-19,ALLY,13.043102,1%,1
2016-02-19,ALLY,12.911353,2%,1
2016-02-23,ALLY,13.419269,1%,1
2016-02-23,ALLY,13.283721,2%,1
2016-02-24,ALLY,12.997039,1%,1
2016-02-24,ALLY,12.865755,2%,1
2016-02-25,ALLY,13.242703,1%,1
2016-02-26,ALLY,13.426947,1%,1
2016-02-29,ALLY,13.503715,1%,1
2016-03-01,ALLY,13.557457,1%,1
2016-03-04,ALLY,14.325147,1%,1
2016-03-08,ALLY,14.401913,1%,1
2016-03-08,ALLY,14.256439,2%,1
2016-03-08,ALLY,14.110966,3%,1
2016-03-08,ALLY,13.965492,4%,1
2016-03-09,ALLY,13.895237,1%,1
2016-03-09,ALLY,13.754881,2%,1
2016-03-10,ALLY,13.88756,1%,1
2016-03-10,ALLY,13.747281,2%,1
2016-03-14,ALLY,14.018069,1%,1
2016-03-15,ALLY,13.780082,1%,1
2016-03-15,ALLY,13.640889,2%,1
2016-03-16,ALLY,13.488366,1%,1
2016-03-16,ALLY,13.35212,2%,1
