Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,ALLY,16.990054,17.083109,16.803947,16.951283,36,Monday,16.957098,100.0,5.897235
2015-09-01,ALLY,16.73415,16.796186,16.098283,16.222355,36,Tuesday,16.462743,100.0,6.074322
2015-10-01,ALLY,15.826877,16.090529,15.695051,15.741577,40,Thursday,15.838508,100.0,6.313726
2015-11-02,ALLY,15.431398,15.578733,15.276309,15.470171,45,Monday,15.439153,100.0,6.477039
2015-12-01,ALLY,15.570983,15.7726,15.400385,15.640774,49,Tuesday,15.596186,100.0,6.411824
2016-01-04,ALLY,14.237211,14.53188,14.213947,14.46209,1,Monday,14.361282,100.0,6.963167
2016-02-01,ALLY,12.27533,12.538982,12.02331,12.445928,5,Monday,12.320887,100.0,8.116299
2016-03-01,ALLY,13.694398,13.87275,13.5238,13.857243,9,Tuesday,13.737048,100.0,7.279585
2016-04-01,ALLY,14.400055,14.547391,14.198439,14.469846,13,Friday,14.403933,100.0,6.942548
2016-05-02,ALLY,13.872749,13.981312,13.694396,13.810713,18,Monday,13.839792,100.0,7.225542
2016-06-01,ALLY,13.771944,14.151913,13.709908,14.097631,22,Wednesday,13.932849,100.0,7.177283
2016-07-01,ALLY,13.22137,13.368705,12.94221,12.949965,26,Friday,13.120562,100.0,7.621625
2016-08-01,ALLY,14.076096,14.091675,13.733346,13.741136,31,Monday,13.910563,100.0,7.188782
2016-09-01,ALLY,15.626253,15.688571,15.143289,15.252345,35,Thursday,15.427615,100.0,6.481883
2016-10-03,ALLY,15.112133,15.365301,15.018657,15.322457,40,Monday,15.204637,100.0,6.576941
2016-11-01,ALLY,14.246161,14.324394,13.459924,13.894115,44,Tuesday,13.981149,100.0,7.152488
2016-12-01,ALLY,15.310125,15.662172,15.247539,15.411828,48,Thursday,15.407916,100.0,6.49017
2017-01-03,ALLY,14.997196,15.195907,14.903316,15.044135,1,Tuesday,15.035138,100.0,6.651086
2017-02-01,ALLY,16.770739,17.096726,16.645056,16.967117,5,Wednesday,16.86991,100.0,5.927714
2017-03-01,ALLY,17.964725,18.023638,17.84297,17.964725,9,Wednesday,17.949015,100.0,5.571336
2017-04-03,ALLY,16.055919,16.079483,15.498202,15.694581,14,Monday,15.832046,100.0,6.316303
2017-05-01,ALLY,15.628065,15.718742,15.38363,15.580755,18,Monday,15.577798,100.0,6.419392
2017-06-01,ALLY,14.650328,14.894762,14.571477,14.871108,22,Thursday,14.746919,100.0,6.781078
2017-07-03,ALLY,16.511188,16.877841,16.479648,16.818703,27,Monday,16.671845,100.0,5.998136
2017-08-01,ALLY,18.049229,18.287031,18.001667,18.049229,31,Tuesday,18.096789,100.0,5.525842
2017-09-01,ALLY,17.906545,18.227579,17.89941,18.025446,35,Friday,18.014745,100.0,5.551008
2017-10-02,ALLY,19.246169,19.36507,19.020257,19.357143,40,Monday,19.24716,100.0,5.195572
2017-11-01,ALLY,20.911327,21.134297,20.835677,20.982996,44,Wednesday,20.966074,100.0,4.76961
2017-12-01,ALLY,21.397086,21.83506,21.201987,21.699686,48,Friday,21.533455,100.0,4.643937
2018-01-02,ALLY,23.48344,23.48344,23.220655,23.435661,1,Tuesday,23.405799,100.0,4.272445
2018-02-01,ALLY,23.74282,24.270616,23.698837,24.10268,5,Thursday,23.953738,100.0,4.174714
2018-03-01,ALLY,22.255397,22.487308,21.819565,21.91153,9,Thursday,22.11845,100.0,4.521112
2018-04-02,ALLY,21.591653,21.663625,20.84794,21.127832,14,Monday,21.307763,100.0,4.693125
2018-05-01,ALLY,20.885731,21.263425,20.829479,21.150921,18,Tuesday,21.032389,100.0,4.754572
2018-06-01,ALLY,20.861623,20.958057,20.491965,20.917877,22,Friday,20.807381,100.0,4.805987
2018-07-02,ALLY,20.877697,21.46433,20.85359,21.432186,27,Monday,21.156951,100.0,4.726579
2018-08-01,ALLY,21.663417,21.934109,21.437168,21.526051,31,Wednesday,21.640186,100.0,4.621032
2018-09-04,ALLY,21.752292,21.994702,21.655327,21.873497,36,Tuesday,21.818955,100.0,4.583171
2018-10-01,ALLY,21.50181,21.590692,21.263439,21.28364,40,Monday,21.409895,100.0,4.670737
2018-11-01,ALLY,20.745219,21.025669,20.558253,20.932186,44,Thursday,20.815332,100.0,4.804151
2018-12-03,ALLY,22.005215,22.147473,21.566249,21.606894,49,Monday,21.831458,100.0,4.580546
2019-01-02,ALLY,18.127686,18.769879,17.948849,18.599169,1,Wednesday,18.361396,100.0,5.446209
2019-02-01,ALLY,21.352359,21.638694,21.188739,21.466892,5,Friday,21.411671,100.0,4.67035
2019-03-01,ALLY,22.293167,22.432244,22.006832,22.113186,9,Friday,22.211357,100.0,4.502201
2019-04-01,ALLY,22.661306,23.193069,22.661306,23.168526,14,Monday,22.921052,100.0,4.362802
2019-05-01,ALLY,24.518342,24.666439,24.460749,24.460749,18,Wednesday,24.52657,100.0,4.077211
2019-06-03,ALLY,23.695578,24.008229,23.572164,23.777855,23,Monday,23.763457,100.0,4.208142
2019-07-01,ALLY,25.752488,26.081595,25.579709,25.801855,27,Monday,25.803912,100.0,3.875381
2019-08-01,ALLY,27.197595,27.470482,26.767593,26.808939,31,Thursday,27.061152,100.0,3.695334
2019-09-03,ALLY,25.750468,25.824891,25.258448,25.535467,36,Tuesday,25.592319,100.0,3.907422
2019-10-01,ALLY,27.644133,27.89221,26.717977,26.850285,40,Tuesday,27.276151,100.0,3.666206
2019-11-01,ALLY,25.691956,26.041167,25.691956,25.982965,44,Friday,25.852011,100.0,3.868171
2019-12-02,ALLY,26.598238,26.656442,26.140939,26.199141,49,Monday,26.39869,100.0,3.788067
2020-01-02,ALLY,25.525666,25.600497,25.292858,25.542294,1,Thursday,25.490328,100.0,3.923057
2020-02-03,ALLY,26.906421,27.266065,26.701508,26.739145,6,Monday,26.903285,100.0,3.717018
2020-03-02,ALLY,21.093562,21.436478,20.687917,21.428116,10,Monday,21.161518,100.0,4.725559
2020-04-01,ALLY,11.190795,11.416618,10.559327,10.814424,14,Wednesday,10.995291,100.0,9.094803
2020-05-01,ALLY,13.296489,13.406377,12.924559,13.161242,18,Friday,13.197167,100.0,7.577384
2020-06-01,ALLY,14.868738,15.68022,14.708132,15.578786,23,Monday,15.208969,100.0,6.575068
2020-07-01,ALLY,16.829826,17.286286,16.178949,16.314196,27,Wednesday,16.652314,100.0,6.005171
2020-08-03,ALLY,17.186503,17.860317,17.024446,17.527674,32,Monday,17.399735,100.0,5.747214
2020-09-01,ALLY,19.335886,19.787938,19.199417,19.540588,36,Tuesday,19.465957,100.0,5.137173
2020-10-01,ALLY,21.596145,21.813642,21.263503,21.749672,40,Thursday,21.60574,100.0,4.6284
2020-11-02,ALLY,23.289428,23.856415,23.229293,23.710373,45,Monday,23.521377,100.0,4.251452
2020-12-01,ALLY,26.261818,26.87176,26.029868,26.665583,49,Tuesday,26.457257,100.0,3.779681
2021-01-04,ALLY,31.270209,31.519338,30.325228,30.436909,1,Monday,30.887921,100.0,3.237512
2021-02-01,ALLY,32.996295,33.393424,32.443767,33.324356,5,Monday,33.03946,100.0,3.026684
2021-03-01,ALLY,36.777664,37.589192,36.661116,37.045296,9,Monday,37.018317,100.0,2.701365
