Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,ALLY,16.990054,17.083109,16.803947,16.951283,36,Monday,16.957098,25.0,1.474309
2015-09-08,ALLY,16.222355,16.385198,15.989722,16.253372,37,Tuesday,16.212662,25.0,1.542005
2015-09-14,ALLY,16.175828,16.245619,16.075019,16.168074,38,Monday,16.166135,25.0,1.546443
2015-09-21,ALLY,16.43948,16.710885,16.400706,16.563551,39,Monday,16.528655,25.0,1.512525
2015-09-28,ALLY,16.012989,16.129306,15.501194,15.54772,40,Monday,15.797802,25.0,1.582499
2015-10-05,ALLY,15.826875,16.044,15.788103,15.865646,41,Monday,15.881156,25.0,1.574193
2015-10-12,ALLY,16.051757,16.082774,15.815245,15.896667,42,Monday,15.96161,25.0,1.566258
2015-10-19,ALLY,15.834632,16.012985,15.687297,15.733825,43,Monday,15.817185,25.0,1.580559
2015-10-26,ALLY,15.501189,15.803613,15.431399,15.757087,44,Monday,15.623322,25.0,1.600172
2015-11-02,ALLY,15.431398,15.578733,15.276309,15.470171,45,Monday,15.439153,25.0,1.61926
2015-11-09,ALLY,15.555471,15.633016,15.191011,15.353854,46,Monday,15.433338,25.0,1.61987
2015-11-16,ALLY,15.485679,15.733823,15.415889,15.718314,47,Monday,15.588426,25.0,1.603754
2015-11-23,ALLY,15.524453,15.594244,15.353854,15.408136,48,Monday,15.470172,25.0,1.616013
2015-11-30,ALLY,15.299573,15.547716,15.27631,15.477925,49,Monday,15.400381,25.0,1.623336
2015-12-07,ALLY,15.299569,15.415886,15.214271,15.268552,50,Monday,15.299569,25.0,1.634033
2015-12-14,ALLY,14.911848,14.950621,14.105384,14.322508,51,Monday,14.57259,25.0,1.71555
2015-12-21,ALLY,14.438829,14.710234,14.175176,14.213948,52,Monday,14.384547,25.0,1.737976
2015-12-28,ALLY,14.849815,14.91185,14.32251,14.531881,53,Monday,14.654014,25.0,1.706017
2016-01-04,ALLY,14.237211,14.53188,14.213947,14.46209,1,Monday,14.361282,25.0,1.740792
2016-01-11,ALLY,13.112812,13.178726,12.856915,13.027513,2,Monday,13.043991,25.0,1.916591
2016-01-19,ALLY,12.538979,12.546734,12.01943,12.166764,3,Tuesday,12.317977,25.0,2.029554
2016-01-25,ALLY,12.081467,12.127995,11.85271,11.887606,4,Monday,11.987445,25.0,2.085515
2016-02-01,ALLY,12.27533,12.538982,12.02331,12.445928,5,Monday,12.320887,25.0,2.029075
2016-02-08,ALLY,13.019758,13.039143,12.639787,12.756105,6,Monday,12.863698,25.0,1.943454
2016-02-16,ALLY,12.849163,13.236886,12.744477,13.19036,7,Tuesday,13.005222,25.0,1.922305
2016-02-22,ALLY,13.260148,13.624608,13.260148,13.601345,8,Monday,13.436562,25.0,1.860595
2016-02-29,ALLY,13.640115,13.841732,13.469517,13.63236,9,Monday,13.645931,25.0,1.832048
2016-03-07,ALLY,14.400055,14.648197,14.299247,14.640443,10,Monday,14.496986,25.0,1.724496
2016-03-14,ALLY,14.159667,14.32251,13.880505,14.051105,11,Monday,14.103447,25.0,1.772616
2016-03-21,ALLY,14.299245,14.500861,14.2217,14.36128,12,Monday,14.345772,25.0,1.742674
2016-03-28,ALLY,14.229455,14.244964,14.074365,14.120892,13,Monday,14.167419,25.0,1.764612
2016-04-04,ALLY,14.438827,14.454335,13.94254,14.105385,14,Monday,14.235272,25.0,1.756201
2016-04-11,ALLY,13.267901,13.64787,13.221373,13.337691,15,Monday,13.368709,25.0,1.870038
2016-04-18,ALLY,13.469519,13.717662,13.415236,13.678888,16,Monday,13.570326,25.0,1.842255
2016-04-25,ALLY,14.2217,14.400053,14.082119,14.330262,17,Monday,14.258534,25.0,1.753336
2016-05-02,ALLY,13.872749,13.981312,13.694396,13.810713,18,Monday,13.839792,25.0,1.806385
2016-05-09,ALLY,13.244639,13.384219,13.120567,13.182603,19,Monday,13.233007,25.0,1.889215
2016-05-16,ALLY,13.027513,13.194234,12.996495,13.027513,20,Monday,13.061439,25.0,1.914031
2016-05-23,ALLY,12.942214,13.050776,12.841405,12.895686,21,Monday,12.93252,25.0,1.933111
2016-05-31,ALLY,13.818468,13.950294,13.771941,13.911522,22,Tuesday,13.863056,25.0,1.803354
2016-06-06,ALLY,13.81847,14.097632,13.764189,14.066613,23,Monday,13.936726,25.0,1.793822
2016-06-13,ALLY,13.531555,13.531555,13.151584,13.205867,24,Monday,13.35514,25.0,1.871938
2016-06-20,ALLY,12.934459,13.139952,12.83365,12.895686,25,Monday,12.950937,25.0,1.930362
2016-06-27,ALLY,12.120241,12.120241,11.507638,11.554164,26,Monday,11.825571,25.0,2.114063
2016-07-05,ALLY,12.833652,12.833652,12.05045,12.228804,27,Tuesday,12.486639,25.0,2.00214
2016-07-11,ALLY,12.988739,13.248513,12.856913,12.980985,28,Monday,13.018788,25.0,1.920302
2016-07-18,ALLY,13.469518,13.570326,13.384219,13.547062,29,Monday,13.492781,25.0,1.852843
2016-07-25,ALLY,13.353198,13.733167,13.244636,13.671131,30,Monday,13.500533,25.0,1.851779
2016-08-01,ALLY,14.076096,14.091675,13.733346,13.741136,31,Monday,13.910563,25.0,1.797195
2016-08-08,ALLY,14.621382,14.761598,14.481166,14.496746,32,Monday,14.590223,25.0,1.713476
2016-08-15,ALLY,14.800548,15.08098,14.792758,15.018661,33,Monday,14.923237,25.0,1.67524
2016-08-22,ALLY,15.119924,15.190032,15.034236,15.190032,34,Monday,15.133556,25.0,1.651958
2016-08-29,ALLY,15.353615,15.505516,15.353615,15.439302,35,Monday,15.413012,25.0,1.622006
2016-09-06,ALLY,15.454883,15.454883,15.291297,15.415935,36,Tuesday,15.404249,25.0,1.622929
2016-09-12,ALLY,14.940762,15.431516,14.862864,15.369198,37,Monday,15.151085,25.0,1.650047
2016-09-19,ALLY,15.018659,15.057608,14.816126,14.940762,38,Monday,14.958289,25.0,1.671314
2016-09-26,ALLY,14.753808,14.784966,14.590222,14.67591,39,Monday,14.701227,25.0,1.700538
2016-10-03,ALLY,15.112133,15.365301,15.018657,15.322457,40,Monday,15.204637,25.0,1.644235
2016-10-10,ALLY,15.47825,15.571726,15.45488,15.501618,41,Monday,15.501619,25.0,1.612735
2016-10-17,ALLY,15.010868,15.158872,15.010868,15.057606,42,Monday,15.059553,25.0,1.660076
2016-10-24,ALLY,15.158868,15.318559,15.135499,15.182238,43,Monday,15.198791,25.0,1.644868
2016-10-31,ALLY,14.441745,14.449568,14.050581,14.136638,44,Monday,14.269633,25.0,1.751972
2016-11-07,ALLY,13.698532,13.776765,13.596829,13.682885,45,Monday,13.688753,25.0,1.826317
2016-11-14,ALLY,14.504334,14.918966,14.449569,14.887673,46,Monday,14.690136,25.0,1.701822
2016-11-21,ALLY,15.25537,15.341426,15.169313,15.231899,47,Monday,15.249502,25.0,1.639398
2016-11-28,ALLY,15.411827,15.529176,15.216245,15.247538,48,Monday,15.351196,25.0,1.628538
2016-12-05,ALLY,15.474413,15.583938,15.411827,15.419649,49,Monday,15.472457,25.0,1.615774
2016-12-12,ALLY,15.873404,15.947724,15.486151,15.677822,50,Monday,15.746275,25.0,1.587677
2016-12-19,ALLY,15.560472,15.642618,15.304652,15.388361,51,Monday,15.474026,25.0,1.615611
2016-12-27,ALLY,15.44312,15.568292,15.364887,15.529177,52,Tuesday,15.476369,25.0,1.615366
2017-01-03,ALLY,14.997196,15.195907,14.903316,15.044135,1,Tuesday,15.035138,25.0,1.662772
2017-01-09,ALLY,15.552644,15.599584,15.271007,15.450942,2,Monday,15.468544,25.0,1.616183
2017-01-17,ALLY,15.552647,15.568294,15.067606,15.145839,3,Tuesday,15.333597,25.0,1.630407
2017-01-23,ALLY,15.028486,15.177128,14.938518,14.965899,4,Monday,15.027508,25.0,1.663616
2017-01-30,ALLY,15.301822,15.4982,15.14472,15.466781,5,Monday,15.352881,25.0,1.628359
2017-02-06,ALLY,17.697644,17.925442,17.501265,17.791904,6,Monday,17.729064,25.0,1.410114
2017-02-13,ALLY,17.925445,18.106113,17.894026,18.027563,7,Monday,17.988287,25.0,1.389793
2017-02-21,ALLY,18.286775,18.381036,18.153238,18.208223,8,Tuesday,18.257318,25.0,1.369314
2017-02-27,ALLY,17.776198,18.110043,17.760489,18.098261,9,Monday,17.936248,25.0,1.393826
2017-03-06,ALLY,17.587677,17.587677,17.249905,17.344168,10,Monday,17.442357,25.0,1.433293
