Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2020-06-05,FBCG,20.165196,1%,1
2020-06-08,FBCG,20.432089,1%,1
2020-06-10,FBCG,21.746782,1%,1
2020-06-10,FBCG,21.527118,2%,1
2020-06-10,FBCG,21.307453,3%,1
2020-06-10,FBCG,21.087789,4%,1
2020-06-10,FBCG,20.868124,5%,1
2020-06-11,FBCG,20.264044,1%,1
2020-06-11,FBCG,20.059357,2%,1
2020-06-11,FBCG,19.854669,3%,1
2020-06-12,FBCG,20.165196,1%,1
2020-06-12,FBCG,19.961508,2%,1
2020-06-12,FBCG,19.757819,3%,1
2020-06-16,FBCG,22.448607,1%,1
2020-06-16,FBCG,22.221854,2%,1
2020-06-16,FBCG,21.9951,3%,1
2020-06-16,FBCG,21.768347,4%,1
2020-06-16,FBCG,21.541593,5%,1
2020-06-19,FBCG,20.91645,1%,1
2020-06-19,FBCG,20.705173,2%,1
2020-06-24,FBCG,21.015298,1%,1
2020-06-24,FBCG,20.803022,2%,1
2020-06-24,FBCG,20.590747,3%,1
2020-06-25,FBCG,20.511168,1%,1
2020-06-26,FBCG,20.748405,1%,1
2020-06-26,FBCG,20.538826,2%,1
2020-06-29,FBCG,20.224505,1%,1
2020-07-07,FBCG,21.845631,1%,1
2020-07-09,FBCG,22.241026,1%,1
2020-07-09,FBCG,22.016369,2%,1
2020-07-10,FBCG,22.191602,1%,1
2020-07-13,FBCG,22.685846,1%,1
2020-07-13,FBCG,22.456696,2%,1
2020-07-13,FBCG,22.227546,3%,1
2020-07-13,FBCG,21.998396,4%,1
2020-07-14,FBCG,21.697358,1%,1
2020-07-14,FBCG,21.478193,2%,1
2020-07-20,FBCG,22.310222,1%,1
2020-07-21,FBCG,23.723761,1%,1
2020-07-21,FBCG,23.484127,2%,1
2020-07-21,FBCG,23.244493,3%,1
2020-07-21,FBCG,23.004859,4%,1
2020-07-21,FBCG,22.765225,5%,1
2020-07-22,FBCG,22.468376,1%,1
2020-07-23,FBCG,22.527689,1%,1
2020-07-23,FBCG,22.300137,2%,1
2020-07-23,FBCG,22.072585,3%,1
2020-07-24,FBCG,21.509542,1%,1
2020-07-27,FBCG,22.072982,1%,1
2020-07-28,FBCG,22.092753,1%,1
2020-07-29,FBCG,22.181715,1%,1
2020-07-30,FBCG,22.023559,1%,1
2020-07-31,FBCG,24.801215,1%,1
2020-07-31,FBCG,24.550698,2%,1
2020-07-31,FBCG,24.300181,3%,1
2020-07-31,FBCG,24.049663,4%,1
2020-07-31,FBCG,23.799146,5%,1
2020-08-07,FBCG,23.80284,1%,1
2020-08-07,FBCG,23.562407,2%,1
2020-08-07,FBCG,23.321974,3%,1
2020-08-07,FBCG,23.081542,4%,1
2020-08-10,FBCG,23.466753,1%,1
2020-08-10,FBCG,23.229715,2%,1
2020-08-10,FBCG,22.992677,3%,1
2020-08-11,FBCG,22.982392,1%,1
2020-08-11,FBCG,22.750246,2%,1
2020-08-14,FBCG,23.31848,1%,1
2020-08-18,FBCG,23.723762,1%,1
2020-08-24,FBCG,24.563979,1%,1
2020-08-24,FBCG,24.315858,2%,1
2020-08-27,FBCG,25.542581,1%,1
2020-08-27,FBCG,25.284575,2%,1
2020-08-31,FBCG,25.522812,1%,1
2020-09-02,FBCG,26.28395,1%,1
2020-09-02,FBCG,26.018455,2%,1
2020-09-03,FBCG,25.690856,1%,1
2020-09-03,FBCG,25.431353,2%,1
2020-09-03,FBCG,25.171849,3%,1
2020-09-03,FBCG,24.912346,4%,1
2020-09-04,FBCG,24.554094,1%,1
2020-09-04,FBCG,24.306072,2%,1
2020-09-04,FBCG,24.058051,3%,1
2020-09-04,FBCG,23.81003,4%,1
2020-09-04,FBCG,23.562009,5%,1
2020-09-08,FBCG,23.615026,1%,1
2020-09-10,FBCG,24.386051,1%,1
2020-09-10,FBCG,24.139727,2%,1
2020-09-10,FBCG,23.893403,3%,1
2020-09-11,FBCG,23.72376,1%,1
2020-09-11,FBCG,23.484126,2%,1
2020-09-16,FBCG,24.356393,1%,1
2020-09-18,FBCG,23.535947,1%,1
2020-09-18,FBCG,23.29821,2%,1
2020-09-21,FBCG,23.18009,1%,1
2020-09-22,FBCG,25.878669,1%,1
2020-09-22,FBCG,25.617268,2%,1
2020-09-22,FBCG,25.355867,3%,1
2020-09-22,FBCG,25.094467,4%,1
2020-09-22,FBCG,24.833066,5%,1
2020-09-23,FBCG,23.961,1%,1
2020-09-23,FBCG,23.71897,2%,1
2020-09-23,FBCG,23.476939,3%,1
2020-09-28,FBCG,24.218007,1%,1
2020-10-05,FBCG,24.554091,1%,1
2020-10-06,FBCG,24.909949,1%,1
2020-10-06,FBCG,24.658333,2%,1
2020-10-14,FBCG,25.888554,1%,1
2020-10-16,FBCG,25.829242,1%,1
2020-10-19,FBCG,25.710625,1%,1
2020-10-19,FBCG,25.450921,2%,1
2020-10-22,FBCG,24.929718,1%,1
2020-10-23,FBCG,25.137302,1%,1
2020-10-26,FBCG,25.048338,1%,1
2020-10-26,FBCG,24.795325,2%,1
2020-10-28,FBCG,24.465128,1%,1
2020-10-30,FBCG,24.049964,1%,1
2020-10-30,FBCG,23.807035,2%,1
2020-11-02,FBCG,23.743532,1%,1
2020-11-09,FBCG,27.183476,1%,1
2020-11-09,FBCG,26.908895,2%,1
2020-11-09,FBCG,26.634315,3%,1
2020-11-09,FBCG,26.359734,4%,1
2020-11-09,FBCG,26.085154,5%,1
2020-11-10,FBCG,24.969257,1%,1
2020-11-12,FBCG,25.760048,1%,1
2020-11-16,FBCG,25.849014,1%,1
2020-11-17,FBCG,26.036828,1%,1
2020-11-24,FBCG,26.531072,1%,1
2020-11-25,FBCG,26.64475,1%,1
2020-11-30,FBCG,26.995662,1%,1
2020-11-30,FBCG,26.722978,2%,1
2020-12-01,FBCG,27.163705,1%,1
2020-12-02,FBCG,26.906697,1%,1
2020-12-09,FBCG,27.766684,1%,1
2020-12-09,FBCG,27.486213,2%,1
2020-12-09,FBCG,27.205741,3%,1
2020-12-11,FBCG,27.302096,1%,1
2020-12-14,FBCG,27.509676,1%,1
2020-12-18,FBCG,28.342001,1%,1
2020-12-21,FBCG,28.114631,1%,1
2020-12-23,FBCG,28.589142,1%,1
2020-12-28,FBCG,28.549598,1%,1
2020-12-29,FBCG,28.430973,1%,1
2021-01-04,FBCG,28.549599,1%,1
2021-01-04,FBCG,28.261219,2%,1
2021-01-04,FBCG,27.972839,3%,1
2021-01-08,FBCG,29.15262,1%,1
2021-01-11,FBCG,28.964794,1%,1
2021-01-14,FBCG,29.399758,1%,1
2021-01-15,FBCG,29.162506,1%,1
2021-01-25,FBCG,30.437746,1%,1
2021-01-25,FBCG,30.130294,2%,1
2021-01-25,FBCG,29.822842,3%,1
2021-01-26,FBCG,30.309235,1%,1
2021-01-27,FBCG,29.706212,1%,1
2021-01-27,FBCG,29.40615,2%,1
2021-01-27,FBCG,29.106087,3%,1
2021-01-29,FBCG,29.15262,1%,1
2021-01-29,FBCG,28.858149,2%,1
2021-01-29,FBCG,28.563678,3%,1
2021-02-01,FBCG,29.043877,1%,1
2021-02-03,FBCG,30.338893,1%,1
2021-02-10,FBCG,31.535047,1%,1
2021-02-10,FBCG,31.216511,2%,1
2021-02-11,FBCG,31.386767,1%,1
2021-02-16,FBCG,31.722875,1%,1
2021-02-17,FBCG,31.208821,1%,1
2021-02-22,FBCG,30.704658,1%,1
2021-02-22,FBCG,30.39451,2%,1
2021-02-23,FBCG,29.538158,1%,1
2021-02-23,FBCG,29.239793,2%,1
2021-02-23,FBCG,28.941428,3%,1
2021-02-24,FBCG,29.844612,1%,1
2021-02-25,FBCG,29.933583,1%,1
2021-02-25,FBCG,29.631224,2%,1
2021-02-25,FBCG,29.328864,3%,1
2021-02-25,FBCG,29.026505,4%,1
2021-02-26,FBCG,28.846165,1%,1
2021-03-02,FBCG,30.319118,1%,1
2021-03-02,FBCG,30.012865,2%,1
2021-03-03,FBCG,29.379987,1%,1
2021-03-03,FBCG,29.08322,2%,1
2021-03-04,FBCG,28.223374,1%,1
2021-03-04,FBCG,27.938289,2%,1
2021-03-04,FBCG,27.653205,3%,1
2021-03-05,FBCG,27.867493,1%,1
2021-03-05,FBCG,27.586004,2%,1
2021-03-05,FBCG,27.304514,3%,1
2021-03-05,FBCG,27.023024,4%,1
2021-03-08,FBCG,28.183833,1%,1
2021-03-08,FBCG,27.899148,2%,1
2021-03-08,FBCG,27.614462,3%,1
2021-03-09,FBCG,28.361772,1%,1
2021-03-10,FBCG,29.132846,1%,1
2021-03-10,FBCG,28.838575,2%,1
2021-03-12,FBCG,29.182278,1%,1
2021-03-15,FBCG,29.528272,1%,1
2021-03-16,FBCG,29.864381,1%,1
2021-03-16,FBCG,29.562721,2%,1
2021-03-17,FBCG,29.340446,1%,1
2021-03-18,FBCG,29.271247,1%,1
2021-03-18,FBCG,28.975578,2%,1
2021-03-23,FBCG,29.172391,1%,1
2021-03-24,FBCG,28.865938,1%,1
2021-03-24,FBCG,28.574362,2%,1
2021-03-24,FBCG,28.282787,3%,1
2021-03-25,FBCG,27.808176,1%,1
2021-04-14,FBCG,31.03088,1%,1
2021-04-14,FBCG,30.717437,2%,1
2021-04-19,FBCG,30.892484,1%,1
2021-04-20,FBCG,30.348776,1%,1
2021-04-22,FBCG,30.497061,1%,1
2021-04-29,FBCG,31.347221,1%,1
2021-04-29,FBCG,31.030582,2%,1
2021-05-03,FBCG,30.675003,1%,1
2021-05-04,FBCG,30.042323,1%,1
2021-05-04,FBCG,29.738865,2%,1
2021-05-05,FBCG,29.933583,1%,1
2021-05-06,FBCG,29.725983,1%,1
2021-05-10,FBCG,29.686443,1%,1
2021-05-10,FBCG,29.38658,2%,1
2021-05-12,FBCG,28.668225,1%,1
2021-05-12,FBCG,28.378647,2%,1
2021-05-13,FBCG,28.213489,1%,1
2021-05-17,FBCG,28.915367,1%,1
2021-05-27,FBCG,30.151064,1%,1
2021-06-01,FBCG,30.348776,1%,1
2021-06-02,FBCG,30.299347,1%,1
2021-06-03,FBCG,29.834725,1%,1
2021-06-15,FBCG,31.045712,1%,1
2021-06-16,FBCG,30.754086,1%,1
2021-06-21,FBCG,30.97157,1%,1
2021-06-25,FBCG,32.17761,1%,1
2021-07-07,FBCG,32.82018,1%,1
2021-07-14,FBCG,32.701551,1%,1
2021-07-15,FBCG,32.147951,1%,1
2021-07-16,FBCG,32.078757,1%,1
2021-07-27,FBCG,32.978346,1%,1
2021-07-27,FBCG,32.645231,2%,1
2021-08-10,FBCG,33.205712,1%,1
2021-08-16,FBCG,32.889374,1%,1
2021-08-17,FBCG,32.484065,1%,1
2021-08-26,FBCG,33.581366,1%,1
2021-09-08,FBCG,34.22393,1%,1
2021-09-10,FBCG,33.93725,1%,1
2021-09-13,FBCG,33.670338,1%,1
2021-09-14,FBCG,33.601141,1%,1
2021-09-17,FBCG,33.739535,1%,1
2021-09-20,FBCG,32.750977,1%,1
2021-09-27,FBCG,33.650569,1%,1
2021-09-28,FBCG,33.265032,1%,1
2021-09-28,FBCG,32.929022,2%,1
2021-09-29,FBCG,32.721317,1%,1
2021-10-01,FBCG,32.167728,1%,1
2021-10-04,FBCG,32.227039,1%,1
2021-10-04,FBCG,31.901513,2%,1
2021-10-20,FBCG,34.095419,1%,1
2021-10-22,FBCG,33.996561,1%,1
2021-11-01,FBCG,34.995008,1%,1
2021-11-09,FBCG,36.092305,1%,1
2021-11-10,FBCG,35.459629,1%,1
2021-11-10,FBCG,35.10145,2%,1
2021-11-15,FBCG,35.845166,1%,1
2021-11-22,FBCG,36.260363,1%,1
2021-11-22,FBCG,35.894097,2%,1
2021-11-23,FBCG,35.331119,1%,1
2021-11-23,FBCG,34.974239,2%,1
2021-11-26,FBCG,34.812122,1%,1
2021-11-30,FBCG,35.113635,1%,1
2021-11-30,FBCG,34.758952,2%,1
2021-12-01,FBCG,34.955463,1%,1
2021-12-01,FBCG,34.602378,2%,1
2021-12-01,FBCG,34.249292,3%,1
2021-12-01,FBCG,33.896207,4%,1
2021-12-03,FBCG,34.322786,1%,1
2021-12-03,FBCG,33.976091,2%,1
2021-12-03,FBCG,33.629396,3%,1
2021-12-03,FBCG,33.282701,4%,1
2021-12-06,FBCG,33.403427,1%,1
2021-12-09,FBCG,35.093863,1%,1
2021-12-10,FBCG,34.698436,1%,1
2021-12-13,FBCG,34.569922,1%,1
2021-12-13,FBCG,34.220731,2%,1
2021-12-14,FBCG,33.452854,1%,1
2021-12-15,FBCG,33.462736,1%,1
2021-12-15,FBCG,33.124729,2%,1
2021-12-16,FBCG,34.362331,1%,1
2021-12-16,FBCG,34.015237,2%,1
2021-12-16,FBCG,33.668142,3%,1
2021-12-16,FBCG,33.321048,4%,1
2021-12-28,FBCG,34.955464,1%,1
2022-01-04,FBCG,34.76764,1%,1
2022-01-04,FBCG,34.416452,2%,1
2022-01-05,FBCG,33.818617,1%,1
2022-01-05,FBCG,33.477015,2%,1
2022-01-05,FBCG,33.135413,3%,1
2022-01-06,FBCG,32.622461,1%,1
2022-01-07,FBCG,32.711436,1%,1
2022-01-10,FBCG,31.831618,1%,1
2022-01-10,FBCG,31.510087,2%,1
2022-01-12,FBCG,32.988228,1%,1
2022-01-13,FBCG,32.849831,1%,1
2022-01-13,FBCG,32.518014,2%,1
2022-01-13,FBCG,32.186198,3%,1
2022-01-18,FBCG,31.297793,1%,1
2022-01-19,FBCG,30.94191,1%,1
2022-01-20,FBCG,30.65523,1%,1
2022-01-20,FBCG,30.345581,2%,1
2022-01-21,FBCG,29.607359,1%,1
2022-01-21,FBCG,29.308294,2%,1
2022-01-24,FBCG,28.312343,1%,1
2022-01-24,FBCG,28.02636,2%,1
2022-01-24,FBCG,27.740377,3%,1
2022-01-25,FBCG,28.67811,1%,1
2022-01-26,FBCG,29.33056,1%,1
2022-01-26,FBCG,29.034292,2%,1
2022-01-26,FBCG,28.738024,3%,1
2022-01-26,FBCG,28.441756,4%,1
2022-01-27,FBCG,28.885706,1%,1
2022-01-27,FBCG,28.593932,2%,1
2022-01-27,FBCG,28.302157,3%,1
2022-01-28,FBCG,28.094861,1%,1
2022-02-01,FBCG,30.487175,1%,1
2022-02-01,FBCG,30.179223,2%,1
2022-02-02,FBCG,30.922141,1%,1
2022-02-02,FBCG,30.609797,2%,1
2022-02-03,FBCG,29.528273,1%,1
2022-02-07,FBCG,29.933583,1%,1
2022-02-10,FBCG,30.447632,1%,1
2022-02-11,FBCG,30.338893,1%,1
2022-02-11,FBCG,30.032439,2%,1
2022-02-11,FBCG,29.725986,3%,1
2022-02-11,FBCG,29.419533,4%,1
2022-02-16,FBCG,29.943468,1%,1
2022-02-17,FBCG,29.894039,1%,1
2022-02-17,FBCG,29.592079,2%,1
2022-02-17,FBCG,29.290119,3%,1
2022-02-18,FBCG,29.113078,1%,1
2022-02-18,FBCG,28.819006,2%,1
2022-02-22,FBCG,28.12452,1%,1
2022-02-23,FBCG,28.351886,1%,1
2022-02-23,FBCG,28.065504,2%,1
2022-02-23,FBCG,27.779121,3%,1
2022-02-23,FBCG,27.492738,4%,1
2022-02-25,FBCG,28.519943,1%,1
2022-03-01,FBCG,29.024107,1%,1
2022-03-01,FBCG,28.730934,2%,1
2022-03-02,FBCG,28.65834,1%,1
2022-03-03,FBCG,29.172392,1%,1
2022-03-03,FBCG,28.877721,2%,1
2022-03-03,FBCG,28.583051,3%,1
2022-03-04,FBCG,27.956462,1%,1
2022-03-04,FBCG,27.674074,2%,1
2022-03-07,FBCG,27.511609,1%,1
2022-03-07,FBCG,27.233714,2%,1
2022-03-07,FBCG,26.955819,3%,1
2022-03-07,FBCG,26.677924,4%,1
2022-03-10,FBCG,27.116186,1%,1
2022-03-11,FBCG,27.511612,1%,1
2022-03-11,FBCG,27.233717,2%,1
2022-03-11,FBCG,26.955822,3%,1
2022-03-14,FBCG,26.621907,1%,1
2022-03-14,FBCG,26.352999,2%,1
2022-03-16,FBCG,27.392982,1%,1
2022-03-21,FBCG,29.340444,1%,1
2022-03-21,FBCG,29.044076,2%,1
2022-03-24,FBCG,29.567815,1%,1
2022-03-25,FBCG,30.052209,1%,1
2022-03-30,FBCG,30.783741,1%,1
2022-03-31,FBCG,30.477289,1%,1
2022-03-31,FBCG,30.169438,2%,1
2022-04-01,FBCG,29.963238,1%,1
2022-04-05,FBCG,30.506948,1%,1
2022-04-05,FBCG,30.198797,2%,1
2022-04-06,FBCG,29.192164,1%,1
2022-04-07,FBCG,28.776968,1%,1
2022-04-08,FBCG,28.707767,1%,1
2022-04-12,FBCG,28.282689,1%,1
2022-04-12,FBCG,27.997005,2%,1
2022-04-14,FBCG,28.4112,1%,1
2022-04-14,FBCG,28.124218,2%,1
2022-04-20,FBCG,28.529826,1%,1
2022-04-20,FBCG,28.241646,2%,1
2022-04-21,FBCG,28.346942,1%,1
2022-04-21,FBCG,28.060609,2%,1
2022-04-21,FBCG,27.774277,3%,1
2022-04-21,FBCG,27.487944,4%,1
2022-04-22,FBCG,27.135958,1%,1
2022-04-22,FBCG,26.861857,2%,1
2022-04-26,FBCG,26.572478,1%,1
2022-04-26,FBCG,26.304069,2%,1
2022-04-26,FBCG,26.03566,3%,1
2022-04-27,FBCG,25.672889,1%,1
2022-04-28,FBCG,26.048544,1%,1
2022-04-29,FBCG,26.261085,1%,1
2022-04-29,FBCG,25.995821,2%,1
2022-04-29,FBCG,25.730558,3%,1
2022-05-02,FBCG,25.405979,1%,1
2022-05-03,FBCG,25.920031,1%,1
2022-05-04,FBCG,25.791516,1%,1
2022-05-04,FBCG,25.530996,2%,1
2022-05-05,FBCG,26.256139,1%,1
2022-05-05,FBCG,25.990925,2%,1
2022-05-05,FBCG,25.725712,3%,1
2022-05-05,FBCG,25.460498,4%,1
2022-05-05,FBCG,25.195284,5%,1
2022-05-06,FBCG,25.010555,1%,1
2022-05-06,FBCG,24.757923,2%,1
2022-05-06,FBCG,24.505292,3%,1
2022-05-09,FBCG,24.219708,1%,1
2022-05-09,FBCG,23.975064,2%,1
2022-05-09,FBCG,23.730421,3%,1
2022-05-09,FBCG,23.485777,4%,1
2022-05-10,FBCG,23.913255,1%,1
2022-05-10,FBCG,23.671707,2%,1
2022-05-10,FBCG,23.430159,3%,1
2022-05-11,FBCG,23.458517,1%,1
2022-05-11,FBCG,23.221562,2%,1
2022-05-11,FBCG,22.984607,3%,1
2022-05-16,FBCG,23.685885,1%,1
2022-05-17,FBCG,23.933026,1%,1
2022-05-18,FBCG,23.695769,1%,1
2022-05-18,FBCG,23.456418,2%,1
2022-05-18,FBCG,23.217067,3%,1
2022-05-18,FBCG,22.977716,4%,1
2022-05-20,FBCG,23.211378,1%,1
2022-05-20,FBCG,22.97692,2%,1
2022-05-20,FBCG,22.742461,3%,1
2022-05-20,FBCG,22.508003,4%,1
2022-05-20,FBCG,22.273545,5%,1
2022-05-23,FBCG,22.736867,1%,1
2022-05-24,FBCG,22.549042,1%,1
2022-05-24,FBCG,22.321274,2%,1
2022-05-31,FBCG,24.377878,1%,1
2022-05-31,FBCG,24.131636,2%,1
2022-06-01,FBCG,24.437189,1%,1
2022-06-01,FBCG,24.190348,2%,1
2022-06-03,FBCG,24.358106,1%,1
2022-06-06,FBCG,24.575588,1%,1
2022-06-09,FBCG,24.333393,1%,1
2022-06-09,FBCG,24.087601,2%,1
2022-06-10,FBCG,23.349777,1%,1
2022-06-10,FBCG,23.113921,2%,1
2022-06-13,FBCG,21.985562,1%,1
2022-06-13,FBCG,21.763485,2%,1
2022-06-14,FBCG,21.787852,1%,1
2022-06-15,FBCG,21.955907,1%,1
2022-06-16,FBCG,21.560483,1%,1
2022-06-16,FBCG,21.3427,2%,1
2022-06-16,FBCG,21.124917,3%,1
2022-06-23,FBCG,22.054764,1%,1
2022-06-27,FBCG,23.161948,1%,1
2022-06-27,FBCG,22.927989,2%,1
2022-06-28,FBCG,22.875266,1%,1
2022-06-28,FBCG,22.644202,2%,1
2022-06-28,FBCG,22.413139,3%,1
2022-06-29,FBCG,22.054762,1%,1
2022-06-30,FBCG,21.580253,1%,1
2022-06-30,FBCG,21.36227,2%,1
2022-07-06,FBCG,22.15362,1%,1
2022-07-11,FBCG,22.529273,1%,1
2022-07-12,FBCG,22.237647,1%,1
2022-07-14,FBCG,21.748309,1%,1
2022-07-18,FBCG,22.697325,1%,1
2022-07-21,FBCG,23.7452,1%,1
2022-07-22,FBCG,23.962681,1%,1
