Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2020-06-05,FBCG,20.368885,20.458748,20.159206,20.39884,23,Friday,20.34642,100.0,4.91487
2020-07-01,FBCG,21.117741,21.337406,20.997925,21.257528,27,Wednesday,21.17765,100.0,4.721959
2020-08-03,FBCG,22.964919,23.194568,22.914996,23.146641,32,Monday,23.055281,100.0,4.337401
2020-09-01,FBCG,25.850509,26.180006,25.812567,26.180006,36,Tuesday,26.005772,100.0,3.8453
2020-10-01,FBCG,24.9419,25.041748,24.780149,25.041748,40,Thursday,24.951386,100.0,4.007793
2020-11-02,FBCG,23.983366,24.24297,23.713777,23.913473,45,Monday,23.963397,100.0,4.173031
2020-12-01,FBCG,27.438086,27.48801,27.151525,27.368193,49,Tuesday,27.361453,100.0,3.654777
2021-01-04,FBCG,28.837978,28.837978,27.699638,28.059114,1,Monday,28.358677,100.0,3.526258
2021-02-01,FBCG,29.337249,29.676755,29.00773,29.636814,5,Monday,29.414637,100.0,3.399668
2021-03-01,FBCG,30.046217,30.335794,29.75564,30.335794,9,Monday,30.118362,100.0,3.320234
2021-04-01,FBCG,29.477046,29.786594,29.477046,29.786594,13,Thursday,29.63182,100.0,3.37475
2021-05-03,FBCG,30.984851,31.10268,30.625375,30.695272,18,Monday,30.852045,100.0,3.241276
2021-06-01,FBCG,30.655329,30.655329,30.23594,30.465605,22,Tuesday,30.503051,100.0,3.278361
2021-07-01,FBCG,32.602494,32.692364,32.367836,32.532597,26,Thursday,32.548823,100.0,3.072308
2021-08-02,FBCG,32.951985,32.991927,32.692365,32.732304,31,Monday,32.842145,100.0,3.044868
2021-09-01,FBCG,34.339958,34.489741,34.289033,34.290031,35,Wednesday,34.352191,100.0,2.911022
2021-10-01,FBCG,32.492655,32.870103,32.163133,32.732304,39,Friday,32.564549,100.0,3.070824
2021-11-01,FBCG,35.348493,35.348493,34.949073,35.228664,44,Monday,35.218681,100.0,2.839402
2021-12-01,FBCG,35.308549,35.437359,33.870642,33.950527,48,Wednesday,34.641769,100.0,2.886689
2022-01-03,FBCG,34.809277,35.001997,34.554647,34.959057,1,Monday,34.831245,100.0,2.870986
2022-02-01,FBCG,30.795126,30.954893,30.16105,30.904966,5,Tuesday,30.704009,100.0,3.256904
2022-03-01,FBCG,29.31728,29.442098,28.618297,28.808022,9,Tuesday,29.046424,100.0,3.442765
2022-04-01,FBCG,30.265897,30.381729,29.896436,30.195999,13,Friday,30.185015,100.0,3.312902
2022-05-02,FBCG,25.662605,26.181847,25.36304,26.181847,18,Monday,25.847335,100.0,3.868871
2022-06-01,FBCG,24.684029,24.852784,24.044961,24.274626,22,Wednesday,24.4641,100.0,4.087622
2022-07-01,FBCG,21.56857,21.868133,21.412797,21.848162,26,Friday,21.674416,100.0,4.613735
2022-08-01,FBCG,24.823828,25.21326,24.634104,24.923681,31,Monday,24.898718,100.0,4.016271
2022-09-01,FBCG,23.545691,23.675501,23.076375,23.675501,35,Thursday,23.493267,100.0,4.256539
2022-10-03,FBCG,21.668424,22.037884,21.408802,21.872126,40,Monday,21.746809,100.0,4.598376
2022-11-01,FBCG,22.577102,22.656985,22.007932,22.022909,44,Tuesday,22.316232,100.0,4.481043
2022-12-01,FBCG,23.375939,23.535706,23.126303,23.39591,48,Thursday,23.358464,100.0,4.281103
2023-01-03,FBCG,21.338907,21.428774,20.679865,20.859604,1,Tuesday,21.076788,100.0,4.744556
2023-02-01,FBCG,23.815298,24.524264,23.676501,24.374483,5,Wednesday,24.097637,100.0,4.149785
2023-03-01,FBCG,23.625575,23.705458,23.385924,23.425865,9,Wednesday,23.535706,100.0,4.248863
2023-04-03,FBCG,25.183302,25.462895,25.153347,25.452909,14,Monday,25.313113,100.0,3.950522
