Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2020-06-05,FBCG,20.368885,20.458748,20.159206,20.39884,23,Friday,20.34642,25.0,1.228717
2020-06-08,FBCG,20.638474,20.638474,20.328947,20.568581,24,Monday,20.543619,25.0,1.216923
2020-06-15,FBCG,19.7698,20.338932,19.620029,20.244076,25,Monday,19.993209,25.0,1.250425
2020-06-22,FBCG,20.788246,21.077804,20.768276,21.063826,26,Monday,20.924538,25.0,1.19477
2020-06-29,FBCG,20.428793,20.56858,20.039388,20.539623,27,Monday,20.394096,25.0,1.225845
2020-07-06,FBCG,21.896553,22.076279,21.76675,21.956461,28,Monday,21.924011,25.0,1.140302
2020-07-13,FBCG,22.914996,23.28443,21.856611,21.926504,29,Monday,22.495635,25.0,1.111327
2020-07-20,FBCG,22.535578,22.855089,22.142179,22.825136,30,Monday,22.589496,25.0,1.106709
2020-07-27,FBCG,22.295942,22.345865,21.97643,22.282961,31,Monday,22.225299,25.0,1.124844
2020-08-03,FBCG,22.964919,23.194568,22.914996,23.146641,32,Monday,23.055281,25.0,1.08435
2020-08-10,FBCG,23.703791,23.703791,22.82114,23.214539,33,Monday,23.360815,25.0,1.070168
2020-08-17,FBCG,23.613928,23.753716,23.504097,23.673836,34,Monday,23.636394,25.0,1.057691
2020-08-24,FBCG,24.8121,24.8121,24.267931,24.442663,35,Monday,24.583698,25.0,1.016934
2020-08-31,FBCG,25.780619,25.870482,25.481077,25.770634,36,Monday,25.725703,25.0,0.971791
2020-09-08,FBCG,23.853562,24.352799,23.464157,23.55402,37,Tuesday,23.806134,25.0,1.050149
2020-09-14,FBCG,24.183056,24.362782,24.053255,24.242966,38,Monday,24.210515,25.0,1.032609
2020-09-21,FBCG,23.414232,23.703789,22.989879,23.703789,39,Monday,23.452922,25.0,1.065965
2020-09-28,FBCG,24.462633,24.462633,24.143122,24.422693,40,Monday,24.37277,25.0,1.025735
2020-10-05,FBCG,24.802112,25.041746,24.532524,25.031761,41,Monday,24.852036,25.0,1.005954
2020-10-12,FBCG,26.10013,26.329781,25.870481,26.130085,42,Monday,26.107619,25.0,0.957575
2020-10-19,FBCG,25.970328,25.970328,25.211487,25.221472,43,Monday,25.593404,25.0,0.976814
2020-10-26,FBCG,25.301352,25.451123,24.662329,24.98184,44,Monday,25.099161,25.0,0.996049
2020-11-02,FBCG,23.983366,24.24297,23.713777,23.913473,45,Monday,23.963397,25.0,1.043258
2020-11-09,FBCG,27.458057,29.954244,25.765642,25.800589,46,Monday,27.244633,25.0,0.917612
2020-11-16,FBCG,26.110115,26.130085,25.810573,26.030237,47,Monday,26.020253,25.0,0.96079
2020-11-23,FBCG,26.459583,26.559431,26.209965,26.489538,48,Monday,26.429629,25.0,0.945908
2020-11-30,FBCG,27.268345,27.268345,26.655281,27.128559,49,Monday,27.080133,25.0,0.923186
2020-12-07,FBCG,27.727646,27.827494,27.662744,27.817509,50,Monday,27.758848,25.0,0.900614
2020-12-14,FBCG,27.787552,27.817507,27.46804,27.607826,51,Monday,27.670231,25.0,0.903498
2020-12-21,FBCG,28.398617,28.488487,28.009184,28.388632,52,Monday,28.32123,25.0,0.88273
2020-12-28,FBCG,28.837978,28.837978,28.354683,28.518444,53,Monday,28.637271,25.0,0.872988
2021-01-04,FBCG,28.837978,28.837978,27.699638,28.059114,1,Monday,28.358677,25.0,0.881564
2021-01-11,FBCG,29.257367,29.357222,28.758095,29.107586,2,Monday,29.120068,25.0,0.858514
2021-01-19,FBCG,29.097599,29.442098,29.097599,29.427118,3,Tuesday,29.266103,25.0,0.854231
2021-01-25,FBCG,30.745198,30.745198,29.616841,30.355764,4,Monday,30.365751,25.0,0.823296
2021-02-01,FBCG,29.337249,29.676755,29.00773,29.636814,5,Monday,29.414637,25.0,0.849917
2021-02-08,FBCG,31.414223,31.414223,31.164587,31.224501,6,Monday,31.304383,25.0,0.79861
2021-02-16,FBCG,32.043308,32.043308,31.429203,31.613934,7,Tuesday,31.782438,25.0,0.786598
2021-02-22,FBCG,31.014806,31.014806,30.208981,30.270891,8,Monday,30.627371,25.0,0.816263
2021-03-01,FBCG,30.046217,30.335794,29.75564,30.335794,9,Monday,30.118362,25.0,0.830058
2021-03-08,FBCG,28.468518,28.677214,27.559842,27.679667,10,Monday,28.09631,25.0,0.889797
2021-03-15,FBCG,29.826538,29.901427,29.457075,29.88645,11,Monday,29.767873,25.0,0.839832
2021-03-22,FBCG,29.507003,29.636815,29.242389,29.467062,12,Monday,29.463317,25.0,0.848513
2021-03-29,FBCG,28.568372,28.837978,28.304756,28.498474,13,Monday,28.552395,25.0,0.875583
