Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2021-02-10,FMAG,20.183594,1%,1
2021-02-19,FMAG,20.036268,1%,1
2021-02-22,FMAG,19.761263,1%,1
2021-02-23,FMAG,19.378215,1%,1
2021-02-25,FMAG,19.525535,1%,1
2021-02-25,FMAG,19.328308,2%,1
2021-02-26,FMAG,19.201423,1%,1
2021-03-02,FMAG,19.604109,1%,1
2021-03-03,FMAG,19.309461,1%,1
2021-03-03,FMAG,19.114416,2%,1
2021-03-04,FMAG,18.887126,1%,1
2021-03-04,FMAG,18.696347,2%,1
2021-03-05,FMAG,18.729984,1%,1
2021-03-05,FMAG,18.540792,2%,1
2021-03-08,FMAG,19.01481,1%,1
2021-03-12,FMAG,19.397854,1%,1
2021-03-18,FMAG,19.348749,1%,1
2021-03-24,FMAG,19.480419,1%,1
2021-04-14,FMAG,20.934333,1%,1
2021-04-19,FMAG,21.032566,1%,1
2021-04-29,FMAG,21.268337,1%,1
2021-05-03,FMAG,21.120981,1%,1
2021-05-04,FMAG,20.74768,1%,1
2021-05-05,FMAG,20.728037,1%,1
2021-05-10,FMAG,20.76733,1%,1
2021-05-12,FMAG,20.148434,1%,1
2021-05-17,FMAG,20.325259,1%,1
2021-06-01,FMAG,20.924507,1%,1
2021-06-16,FMAG,21.238871,1%,1
2021-07-27,FMAG,22.821536,1%,1
2021-08-18,FMAG,22.890306,1%,1
2021-09-10,FMAG,23.666419,1%,1
2021-09-13,FMAG,23.558346,1%,1
2021-09-17,FMAG,23.480732,1%,1
2021-09-20,FMAG,23.009157,1%,1
2021-09-28,FMAG,22.84214,1%,1
2021-09-30,FMAG,22.557223,1%,1
2021-10-04,FMAG,22.458979,1%,1
2021-10-04,FMAG,22.23212,2%,1
2021-11-01,FMAG,24.197927,1%,1
2021-11-10,FMAG,24.64986,1%,1
2021-11-22,FMAG,25.288456,1%,1
2021-11-23,FMAG,24.757927,1%,1
2021-11-26,FMAG,24.590912,1%,1
2021-11-30,FMAG,24.777579,1%,1
2021-12-01,FMAG,24.738282,1%,1
2021-12-01,FMAG,24.4884,2%,1
2021-12-03,FMAG,24.369863,1%,1
2021-12-03,FMAG,24.123703,2%,1
2021-12-09,FMAG,24.846352,1%,1
2021-12-14,FMAG,24.355122,1%,1
2021-12-16,FMAG,24.797224,1%,1
2021-12-16,FMAG,24.546747,2%,1
2022-01-03,FMAG,24.887664,1%,1
2022-01-04,FMAG,24.70098,1%,1
2022-01-05,FMAG,24.268667,1%,1
2022-01-05,FMAG,24.023529,2%,1
2022-01-07,FMAG,23.590717,1%,1
2022-01-10,FMAG,23.001197,1%,1
2022-01-13,FMAG,23.679145,1%,1
2022-01-13,FMAG,23.439961,2%,1
2022-01-13,FMAG,23.200778,3%,1
2022-01-19,FMAG,22.51975,1%,1
2022-01-20,FMAG,22.362545,1%,1
2022-01-21,FMAG,21.841801,1%,1
2022-01-24,FMAG,21.114725,1%,1
2022-01-24,FMAG,20.901445,2%,1
2022-01-25,FMAG,21.222804,1%,1
2022-01-26,FMAG,21.556868,1%,1
2022-01-26,FMAG,21.339122,2%,1
2022-01-26,FMAG,21.121376,3%,1
2022-01-27,FMAG,21.31123,1%,1
2022-01-27,FMAG,21.095965,2%,1
2022-01-28,FMAG,20.996823,1%,1
2022-02-01,FMAG,22.26429,1%,1
2022-02-03,FMAG,22.008835,1%,1
2022-02-07,FMAG,22.038311,1%,1
2022-02-11,FMAG,21.979356,1%,1
2022-02-11,FMAG,21.757343,2%,1
2022-02-11,FMAG,21.535329,3%,1
2022-02-16,FMAG,21.605991,1%,1
2022-02-17,FMAG,21.527392,1%,1
2022-02-17,FMAG,21.309943,2%,1
2022-02-18,FMAG,21.1835,1%,1
2022-02-23,FMAG,20.908392,1%,1
2022-02-23,FMAG,20.697196,2%,1
2022-02-23,FMAG,20.486,3%,1
2022-03-01,FMAG,21.163852,1%,1
2022-03-03,FMAG,21.380011,1%,1
2022-03-04,FMAG,20.86909,1%,1
2022-03-07,FMAG,20.800308,1%,1
2022-03-07,FMAG,20.590204,2%,1
2022-03-07,FMAG,20.3801,3%,1
2022-03-08,FMAG,19.994631,1%,1
2022-03-11,FMAG,20.515377,1%,1
2022-03-11,FMAG,20.308151,2%,1
2022-03-14,FMAG,20.043759,1%,1
2022-03-21,FMAG,21.587339,1%,1
2022-03-25,FMAG,21.901766,1%,1
2022-03-30,FMAG,22.422534,1%,1
2022-03-31,FMAG,22.294798,1%,1
2022-04-11,FMAG,21.508731,1%,1
2022-04-12,FMAG,21.479254,1%,1
2022-04-12,FMAG,21.262292,2%,1
2022-04-14,FMAG,21.312216,1%,1
2022-04-21,FMAG,21.53821,1%,1
2022-04-21,FMAG,21.320652,2%,1
2022-04-22,FMAG,20.889704,1%,1
2022-04-22,FMAG,20.678697,2%,1
2022-04-26,FMAG,20.290329,1%,1
2022-04-26,FMAG,20.085376,2%,1
2022-04-29,FMAG,20.319808,1%,1
2022-04-29,FMAG,20.114557,2%,1
2022-05-02,FMAG,19.710605,1%,1
2022-05-05,FMAG,20.083991,1%,1
2022-05-05,FMAG,19.881122,2%,1
2022-05-05,FMAG,19.678254,3%,1
2022-05-06,FMAG,19.317574,1%,1
2022-05-09,FMAG,18.993323,1%,1
2022-05-09,FMAG,18.801472,2%,1
2022-05-10,FMAG,18.924543,1%,1
2022-05-10,FMAG,18.733386,2%,1
2022-05-11,FMAG,18.50203,1%,1
2022-05-17,FMAG,19.062101,1%,1
2022-05-18,FMAG,18.850842,1%,1
2022-05-18,FMAG,18.660429,2%,1
2022-05-20,FMAG,18.659244,1%,1
2022-05-20,FMAG,18.470767,2%,1
2022-05-20,FMAG,18.28229,3%,1
2022-05-24,FMAG,18.590462,1%,1
2022-05-31,FMAG,19.730257,1%,1
2022-06-08,FMAG,19.813778,1%,1
2022-06-09,FMAG,19.651649,1%,1
2022-06-09,FMAG,19.453148,2%,1
2022-06-10,FMAG,18.865585,1%,1
2022-06-13,FMAG,18.020562,1%,1
2022-06-14,FMAG,17.873175,1%,1
2022-06-16,FMAG,17.666833,1%,1
2022-06-27,FMAG,19.103407,1%,1
2022-06-28,FMAG,18.946093,1%,1
2022-06-28,FMAG,18.754719,2%,1
2022-07-12,FMAG,18.932331,1%,1
2022-07-12,FMAG,18.741095,2%,1
2022-07-18,FMAG,19.034578,1%,1
2022-07-18,FMAG,18.84231,2%,1
2022-07-22,FMAG,19.781804,1%,1
2022-08-11,FMAG,21.128778,1%,1
2022-08-22,FMAG,20.627351,1%,1
2022-08-26,FMAG,20.63915,1%,1
2022-08-26,FMAG,20.430674,2%,1
2022-08-26,FMAG,20.222198,3%,1
2022-08-30,FMAG,19.752314,1%,1
2022-08-31,FMAG,19.565503,1%,1
2022-09-02,FMAG,19.437691,1%,1
2022-09-02,FMAG,19.24135,2%,1
2022-09-13,FMAG,19.477017,1%,1
2022-09-13,FMAG,19.28028,2%,1
2022-09-14,FMAG,19.142731,1%,1
2022-09-21,FMAG,18.555645,1%,1
2022-09-21,FMAG,18.368215,2%,1
2022-09-22,FMAG,18.083386,1%,1
2022-09-23,FMAG,17.798069,1%,1
2022-09-27,FMAG,17.78823,1%,1
2022-09-29,FMAG,17.680002,1%,1
2022-09-30,FMAG,17.473392,1%,1
2022-10-06,FMAG,18.275242,1%,1
2022-10-07,FMAG,17.778393,1%,1
2022-10-07,FMAG,17.598813,2%,1
2022-10-10,FMAG,17.502908,1%,1
2022-10-10,FMAG,17.326111,2%,1
2022-10-11,FMAG,17.138879,1%,1
2022-10-14,FMAG,17.459617,1%,1
