Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2021-02-04,FMAG,19.911265,20.020395,19.863644,20.020395,5,Thursday,19.953925,100.0,5.011545
2021-03-01,FMAG,19.653318,19.782291,19.55907,19.747568,9,Monday,19.685562,100.0,5.079865
2021-04-01,FMAG,20.064188,20.193187,20.044343,20.186241,13,Thursday,20.12199,100.0,4.969687
2021-05-03,FMAG,21.334324,21.334324,21.096173,21.135864,18,Monday,21.225171,100.0,4.711387
2021-06-01,FMAG,21.135866,21.135866,20.886801,20.886801,22,Tuesday,21.011333,100.0,4.759336
2021-07-01,FMAG,22.024983,22.119257,22.024983,22.11628,26,Thursday,22.071376,100.0,4.530755
2021-08-02,FMAG,23.042133,23.042133,22.905191,22.905191,31,Monday,22.973662,100.0,4.352811
2021-09-01,FMAG,23.88562,23.974931,23.855851,23.88562,35,Wednesday,23.900506,100.0,4.184012
2021-10-01,FMAG,22.556825,22.824769,22.368274,22.765226,39,Friday,22.628774,100.0,4.419152
2021-11-01,FMAG,24.442351,24.442351,24.174409,24.243876,44,Monday,24.325746,100.0,4.110871
2021-12-01,FMAG,24.988163,25.05763,24.263725,24.263725,48,Wednesday,24.643311,100.0,4.057896
2022-01-03,FMAG,25.139055,25.158905,24.851242,24.934608,1,Monday,25.020953,100.0,3.99665
2022-02-01,FMAG,22.489182,22.518956,22.201369,22.489182,5,Tuesday,22.424672,100.0,4.459374
2022-03-01,FMAG,21.377628,21.457025,21.045153,21.16921,9,Tuesday,21.262254,100.0,4.70317
2022-04-01,FMAG,22.258968,22.331421,22.122995,22.331421,13,Friday,22.261201,100.0,4.492121
2022-05-02,FMAG,19.909702,20.028804,19.522625,19.979177,18,Monday,19.860077,100.0,5.035227
2022-06-01,FMAG,19.65165,19.73105,19.53255,19.606987,22,Wednesday,19.630559,100.0,5.094098
2022-07-01,FMAG,18.472075,18.652822,18.412488,18.652822,26,Friday,18.547552,100.0,5.391547
2022-08-01,FMAG,20.637084,20.845638,20.617221,20.686739,31,Monday,20.69667,100.0,4.831695
2022-09-01,FMAG,19.32616,19.455267,19.164283,19.455267,35,Thursday,19.350244,100.0,5.167893
2022-10-03,FMAG,17.591258,18.047412,17.580326,17.95002,40,Monday,17.792254,100.0,5.620423
2022-11-01,FMAG,18.668538,18.668538,18.236235,18.320707,44,Tuesday,18.473505,100.0,5.413158
2022-12-01,FMAG,19.766685,19.796499,19.657368,19.772648,48,Thursday,19.7483,100.0,5.063727
2023-01-03,FMAG,18.462487,18.532119,18.174012,18.286417,1,Tuesday,18.363759,100.0,5.445508
2023-02-01,FMAG,19.636289,20.034187,19.586552,19.945656,5,Wednesday,19.800671,100.0,5.050334
2023-03-01,FMAG,19.168757,19.168757,19.059335,19.098129,9,Wednesday,19.123745,100.0,5.229101
2023-04-03,FMAG,19.838914,19.95245,19.828954,19.95245,14,Monday,19.893192,100.0,5.026845
2023-05-01,FMAG,20.00822,20.227323,20.00822,20.17454,18,Monday,20.104575,100.0,4.973992
2023-06-01,FMAG,20.456385,20.665529,20.376709,20.620712,22,Thursday,20.529834,100.0,4.87096
2023-07-03,FMAG,21.722319,21.722319,21.672498,21.712357,27,Monday,21.707373,100.0,4.60673
2023-08-01,FMAG,22.270359,22.34011,22.220536,22.322174,31,Tuesday,22.288295,100.0,4.48666
2023-09-01,FMAG,22.509501,22.519466,22.399892,22.431778,35,Friday,22.465159,100.0,4.451337
2023-10-02,FMAG,21.280346,21.305272,21.170681,21.255423,40,Monday,21.252931,100.0,4.705233
2023-11-01,FMAG,20.836694,21.085936,20.826724,21.056028,44,Wednesday,20.951345,100.0,4.772963
2023-12-01,FMAG,23.04997,23.20749,23.005106,23.179575,48,Friday,23.110535,100.0,4.327031
2024-01-02,FMAG,23.974377,23.974377,23.684806,23.784658,1,Tuesday,23.854555,100.0,4.192072
2024-02-01,FMAG,25.192566,25.502108,25.192566,25.502108,5,Thursday,25.347337,100.0,3.945188
2024-03-01,FMAG,27.179614,27.499141,27.179614,27.469185,9,Friday,27.331889,100.0,3.65873
2024-04-01,FMAG,28.018446,28.143283,27.893609,27.993479,14,Monday,28.012204,100.0,3.569873
2024-05-01,FMAG,26.864952,27.224484,26.800036,26.864952,18,Wednesday,26.938606,100.0,3.712145
2024-06-03,FMAG,28.283101,28.283101,27.863649,28.183231,23,Monday,28.153271,100.0,3.551985
2024-07-01,FMAG,29.7082,29.7082,29.408521,29.668243,27,Monday,29.623291,100.0,3.375722
2024-08-01,FMAG,29.618296,29.707201,28.789183,29.008949,31,Thursday,29.280907,100.0,3.415195
2024-09-03,FMAG,29.84805,29.858039,29.038916,29.158789,36,Tuesday,29.475948,100.0,3.392597
2024-10-01,FMAG,30.604255,30.647225,30.104594,30.319448,40,Tuesday,30.418881,100.0,3.287432
2024-11-01,FMAG,30.479339,30.679204,30.41938,30.469345,44,Friday,30.511817,100.0,3.277419
2024-12-02,FMAG,31.898379,32.038285,31.878392,32.02829,49,Monday,31.960836,100.0,3.128829
2025-01-02,FMAG,31.139999,31.313,30.75,30.93,1,Thursday,31.03325,100.0,3.22235
2025-02-03,FMAG,31.629999,32.271,31.597,32.099998,6,Monday,31.899499,100.0,3.134845
