Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2021-02-04,FMAG,19.911265,20.020395,19.863644,20.020395,5,Thursday,19.953925,25.0,1.252886
2021-02-08,FMAG,20.218807,20.218807,20.060072,20.12952,6,Monday,20.156802,25.0,1.240276
2021-02-16,FMAG,20.446994,20.486676,20.288259,20.327942,7,Tuesday,20.387468,25.0,1.226244
2021-02-22,FMAG,19.960872,19.960872,19.693007,19.693007,8,Monday,19.826939,25.0,1.260911
2021-03-01,FMAG,19.653318,19.782291,19.55907,19.747568,9,Monday,19.685562,25.0,1.269966
2021-03-08,FMAG,19.206879,19.236641,18.849726,18.849726,10,Monday,19.035743,25.0,1.313319
2021-03-15,FMAG,19.673161,19.742607,19.530301,19.742607,11,Monday,19.672169,25.0,1.270831
2021-03-22,FMAG,19.419199,19.706966,19.379509,19.647427,12,Monday,19.538275,25.0,1.27954
2021-03-29,FMAG,19.766502,19.826039,19.607735,19.762533,13,Monday,19.740702,25.0,1.266419
2021-04-05,FMAG,20.371803,20.530569,20.361879,20.510723,14,Monday,20.443744,25.0,1.222868
2021-04-12,FMAG,20.937409,20.952293,20.818333,20.943363,15,Monday,20.912849,25.0,1.195437
2021-04-19,FMAG,21.245016,21.274786,21.031673,21.096172,16,Monday,21.161912,25.0,1.181368
2021-04-26,FMAG,21.334327,21.383941,21.262881,21.34425,17,Monday,21.331349,25.0,1.171984
2021-05-03,FMAG,21.334324,21.334324,21.096173,21.135864,18,Monday,21.225171,25.0,1.177847
2021-05-10,FMAG,20.977101,20.977101,20.657583,20.657583,19,Monday,20.817342,25.0,1.200922
2021-05-17,FMAG,20.530564,20.530564,20.282491,20.417442,20,Monday,20.440265,25.0,1.223076
2021-05-24,FMAG,20.748868,20.927482,20.748868,20.888783,21,Monday,20.8285,25.0,1.200278
2021-06-01,FMAG,21.135866,21.135866,20.886801,20.886801,22,Tuesday,21.011333,25.0,1.189834
2021-06-07,FMAG,21.066403,21.066403,20.937405,20.994959,23,Monday,21.016292,25.0,1.189553
2021-06-14,FMAG,21.324398,21.448435,21.264861,21.448435,24,Monday,21.371532,25.0,1.16978
2021-06-21,FMAG,21.355155,21.563545,21.265844,21.563545,25,Monday,21.437022,25.0,1.166207
2021-06-28,FMAG,21.980325,22.033913,21.950556,22.029943,26,Monday,21.998684,25.0,1.136432
2021-07-06,FMAG,22.387191,22.476501,22.287956,22.476501,27,Tuesday,22.407037,25.0,1.115721
2021-07-12,FMAG,22.684891,22.694815,22.570773,22.645197,28,Monday,22.648919,25.0,1.103805
2021-07-19,FMAG,22.278029,22.278029,22.099408,22.178795,29,Monday,22.208565,25.0,1.125692
2021-07-26,FMAG,23.071902,23.101672,22.982591,23.07984,30,Monday,23.059001,25.0,1.084175
2021-08-02,FMAG,23.042133,23.042133,22.905191,22.905191,31,Monday,22.973662,25.0,1.088203
2021-08-09,FMAG,23.290216,23.290216,23.121518,23.161213,32,Monday,23.215791,25.0,1.076853
2021-08-16,FMAG,23.181057,23.300137,23.042128,23.300137,33,Monday,23.205864,25.0,1.077314
2021-08-23,FMAG,23.389454,23.577999,23.389454,23.52342,34,Monday,23.470082,25.0,1.065186
2021-08-30,FMAG,23.716922,23.895543,23.716922,23.875696,35,Monday,23.801271,25.0,1.050364
2021-09-07,FMAG,23.97493,23.97493,23.816156,23.91539,36,Tuesday,23.920351,25.0,1.045135
2021-09-13,FMAG,23.796309,23.82608,23.518455,23.627611,37,Monday,23.692114,25.0,1.055203
2021-09-20,FMAG,23.241573,23.256458,22.874391,23.13241,38,Monday,23.126208,25.0,1.081025
2021-09-27,FMAG,23.459895,23.459895,23.271344,23.340811,39,Monday,23.382987,25.0,1.069153
2021-10-04,FMAG,22.685837,22.685837,22.169798,22.298807,40,Monday,22.46007,25.0,1.113086
2021-10-11,FMAG,22.735459,22.94386,22.665993,22.665993,41,Monday,22.752826,25.0,1.098765
2021-10-18,FMAG,23.34081,23.608753,23.251496,23.588905,42,Monday,23.447491,25.0,1.066212
2021-10-25,FMAG,23.985859,24.075173,23.866772,23.995783,43,Monday,23.980897,25.0,1.042496
2021-11-01,FMAG,24.442351,24.442351,24.174409,24.243876,44,Monday,24.325746,25.0,1.027718
