Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2022-09-08,GGLL,23.594212,1%,1
2022-09-12,GGLL,24.271998,1%,1
2022-09-13,GGLL,23.264478,1%,1
2022-09-13,GGLL,23.029483,2%,1
2022-09-13,GGLL,22.794489,3%,1
2022-09-13,GGLL,22.559494,4%,1
2022-09-13,GGLL,22.324499,5%,1
2022-09-20,GGLL,21.337301,1%,1
2022-09-21,GGLL,21.071615,1%,1
2022-09-21,GGLL,20.85877,2%,1
2022-09-21,GGLL,20.645926,3%,1
2022-09-23,GGLL,20.338692,1%,1
2022-09-23,GGLL,20.133251,2%,1
2022-09-27,GGLL,20.512757,1%,1
2022-09-27,GGLL,20.305558,2%,1
2022-09-27,GGLL,20.098358,3%,1
2022-09-29,GGLL,20.063843,1%,1
2022-09-29,GGLL,19.861178,2%,1
2022-09-30,GGLL,19.660737,1%,1
2022-09-30,GGLL,19.462144,2%,1
2022-10-05,GGLL,20.549404,1%,1
2022-10-07,GGLL,20.46695,1%,1
2022-10-07,GGLL,20.260213,2%,1
2022-10-10,GGLL,20.192108,1%,1
2022-10-10,GGLL,19.988147,2%,1
2022-10-11,GGLL,19.76151,1%,1
2022-10-14,GGLL,20.567731,1%,1
2022-10-14,GGLL,20.359976,2%,1
2022-10-14,GGLL,20.152222,3%,1
2022-10-14,GGLL,19.944467,4%,1
2022-10-14,GGLL,19.736712,5%,1
2022-10-18,GGLL,21.511371,1%,1
2022-10-18,GGLL,21.294084,2%,1
2022-10-18,GGLL,21.076798,3%,1
2022-10-18,GGLL,20.859511,4%,1
2022-10-20,GGLL,20.842574,1%,1
2022-10-26,GGLL,19.385889,1%,1
2022-10-26,GGLL,19.190072,2%,1
2022-10-27,GGLL,18.77206,1%,1
2022-10-27,GGLL,18.582443,2%,1
2022-10-27,GGLL,18.392826,3%,1
2022-10-27,GGLL,18.203209,4%,1
2022-10-31,GGLL,19.001101,1%,1
2022-10-31,GGLL,18.80917,2%,1
2022-11-01,GGLL,19.074392,1%,1
2022-11-01,GGLL,18.881722,2%,1
2022-11-01,GGLL,18.689051,3%,1
2022-11-01,GGLL,18.49638,4%,1
2022-11-01,GGLL,18.30371,5%,1
2022-11-02,GGLL,17.507767,1%,1
2022-11-02,GGLL,17.330921,2%,1
2022-11-02,GGLL,17.154075,3%,1
2022-11-02,GGLL,16.977228,4%,1
2022-11-02,GGLL,16.800382,5%,1
2022-11-03,GGLL,16.298439,1%,1
2022-11-03,GGLL,16.133809,2%,1
2022-11-03,GGLL,15.969178,3%,1
2022-11-03,GGLL,15.804547,4%,1
