Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2022-09-07,GGLL,23.980568,23.980568,23.980568,23.980568,36,Wednesday,23.980568,100.0,4.170043
2022-10-03,GGLL,19.868582,20.442337,19.831566,20.339617,40,Monday,20.120526,100.0,4.970049
2022-11-01,GGLL,19.267065,19.267065,17.675358,17.684612,44,Tuesday,18.473525,100.0,5.413152
2022-12-01,GGLL,20.636669,20.988327,20.433079,20.628342,48,Thursday,20.671604,100.0,4.837554
2023-01-03,GGLL,17.065968,17.466097,16.824029,16.953373,1,Tuesday,17.077367,100.0,5.855704
2023-02-01,GGLL,19.615628,20.239085,19.299247,20.111603,5,Wednesday,19.816391,100.0,5.046328
2023-03-01,GGLL,16.935696,17.131107,16.796115,16.991528,9,Wednesday,16.963611,100.0,5.894971
2023-04-03,GGLL,20.32197,20.909132,20.247292,20.90073,14,Monday,20.594781,100.0,4.855599
2023-05-01,GGLL,21.526164,21.801543,21.498161,21.57284,18,Monday,21.599677,100.0,4.629699
2023-06-01,GGLL,26.314942,26.763014,26.258932,26.548313,22,Thursday,26.4713,100.0,3.777676
2023-07-03,GGLL,24.932772,25.233282,24.838865,25.176935,27,Monday,25.045464,100.0,3.992739
2023-08-01,GGLL,28.482527,29.013112,28.426182,28.698517,31,Tuesday,28.655085,100.0,3.489782
2023-09-01,GGLL,30.3607,30.3607,29.543691,29.797245,35,Friday,30.015584,100.0,3.331603
2023-10-02,GGLL,28.254154,29.161009,28.244708,29.123222,40,Monday,28.695773,100.0,3.484834
2023-11-01,GGLL,25.533596,26.336537,25.505256,26.317646,44,Wednesday,25.923259,100.0,3.85754
2023-12-01,GGLL,27.847959,27.92353,27.47955,27.838512,48,Friday,27.772388,100.0,3.600699
2024-01-02,GGLL,29.866024,29.94214,29.142921,29.685249,1,Tuesday,29.659083,100.0,3.371648
2024-02-01,GGLL,30.712812,30.97922,30.256116,30.38932,5,Thursday,30.584367,100.0,3.269644
2024-03-01,GGLL,29.304665,29.390296,28.790883,28.866999,9,Friday,29.08821,100.0,3.437819
2024-04-01,GGLL,33.001574,34.628683,33.001574,34.590397,14,Monday,33.805557,100.0,2.958094
2024-05-01,GGLL,37.710613,38.993157,37.212909,37.471333,18,Wednesday,37.847003,100.0,2.642217
2024-06-03,GGLL,41.223245,42.051157,40.467117,41.443382,23,Monday,41.296225,100.0,2.421529
2024-07-01,GGLL,45.938056,46.26391,45.09931,45.918774,27,Monday,45.805012,100.0,2.183167
2024-08-01,GGLL,39.228104,40.895948,38.485768,39.334152,31,Thursday,39.485993,100.0,2.532544
2024-09-03,GGLL,34.774092,34.774092,32.498881,32.845947,36,Tuesday,33.723253,100.0,2.965313
2024-10-01,GGLL,36.986898,37.578922,35.608743,36.656918,40,Tuesday,36.70787,100.0,2.724211
2024-11-01,GGLL,37.530391,38.500921,37.035422,38.054478,44,Friday,37.780303,100.0,2.646882
2024-12-02,GGLL,36.385172,37.821556,36.375464,37.588627,49,Monday,37.042705,100.0,2.699587
2025-01-02,GGLL,45.698623,46.250393,44.178292,45.05817,1,Thursday,45.296369,100.0,2.207682
2025-02-03,GGLL,49.698974,51.295177,49.304853,50.043835,6,Monday,50.08571,100.0,1.996577
2025-03-03,GGLL,35.855386,36.382526,33.332998,33.746826,10,Monday,34.829434,100.0,2.871135
2025-04-01,GGLL,28.171793,29.718713,28.112297,29.331984,14,Tuesday,28.833697,100.0,3.468164
2025-05-01,GGLL,29.827791,30.333515,29.233814,30.085611,18,Thursday,29.870183,100.0,3.34782
2025-06-02,GGLL,31.870518,32.653895,31.71186,32.336578,23,Monday,32.143213,100.0,3.111077
2025-07-01,GGLL,34.52,34.630001,33.674,34.580002,27,Tuesday,34.351001,100.0,2.911123
2025-08-01,GGLL,39.41,40.18,38.910999,39.43,31,Friday,39.48275,100.0,2.532752
