Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2022-09-07,GGLL,23.980566,23.980566,23.980566,23.980566,36,Wednesday,23.980566,25.0,1.042511
2022-09-12,GGLL,24.51717,24.57268,24.248868,24.358965,37,Monday,24.42442,25.0,1.023566
2022-09-19,GGLL,21.491843,21.83971,21.427081,21.83971,38,Monday,21.649586,25.0,1.154756
2022-09-26,GGLL,20.229494,20.729215,20.229494,20.297049,39,Monday,20.371313,25.0,1.227216
2022-10-03,GGLL,19.86858,20.442336,19.831564,20.339615,40,Monday,20.120524,25.0,1.242512
2022-10-10,GGLL,20.396068,20.396068,19.95187,20.072174,41,Monday,20.204045,25.0,1.237376
2022-10-17,GGLL,20.368304,20.913372,20.368304,20.710705,42,Monday,20.590171,25.0,1.214172
2022-10-24,GGLL,20.895786,21.53432,20.749572,21.460287,43,Monday,21.159991,25.0,1.181475
2022-10-31,GGLL,19.193031,19.193031,18.781223,18.868212,44,Monday,19.008874,25.0,1.315175
2022-11-07,GGLL,16.73144,17.129367,16.621316,17.073843,45,Monday,16.888992,25.0,1.480254
2022-11-14,GGLL,18.887644,19.378112,18.805282,19.106041,46,Monday,19.04427,25.0,1.312731
2022-11-21,GGLL,19.618723,19.822313,18.989443,19.060699,47,Monday,19.372795,25.0,1.290469
2022-11-28,GGLL,19.341099,19.581706,19.054222,19.202288,48,Monday,19.294829,25.0,1.295684
2022-12-05,GGLL,20.13695,20.645,20.025899,20.163786,49,Monday,20.242909,25.0,1.235
2022-12-12,GGLL,18.054775,18.323143,17.78548,18.252813,50,Monday,18.104053,25.0,1.380906
2022-12-19,GGLL,17.264476,17.397734,16.805472,16.814726,51,Monday,17.070602,25.0,1.464506
2022-12-27,GGLL,16.861253,16.861253,16.423901,16.442513,52,Tuesday,16.64723,25.0,1.501751
2023-01-03,GGLL,17.065968,17.466097,16.824029,16.953373,1,Tuesday,17.077367,25.0,1.463926
2023-01-09,GGLL,16.703061,17.181355,16.596049,16.647228,2,Monday,16.781923,25.0,1.489698
2023-01-17,GGLL,17.754562,17.773174,17.307907,17.524721,3,Tuesday,17.590091,25.0,1.421255
2023-01-23,GGLL,19.355081,20.042745,19.355081,19.977608,4,Monday,19.682628,25.0,1.270156
2023-01-30,GGLL,19.280635,19.466742,18.950296,19.122444,5,Monday,19.205029,25.0,1.301742
2023-02-06,GGLL,20.695047,21.151008,20.528483,20.825321,6,Monday,20.799965,25.0,1.201925
2023-02-13,GGLL,18.257051,18.395699,18.033722,18.257051,7,Monday,18.235881,25.0,1.370924
2023-02-21,GGLL,17.689427,17.735953,17.373045,17.428877,8,Tuesday,17.556825,25.0,1.423948
2023-02-27,GGLL,16.85195,16.907781,16.730979,16.85195,9,Monday,16.835665,25.0,1.484943
2023-03-06,GGLL,18.015114,18.536212,17.996503,18.294273,10,Monday,18.210526,25.0,1.372832
2023-03-13,GGLL,16.814726,17.531237,16.740284,17.140413,11,Monday,17.056665,25.0,1.465703
2023-03-20,GGLL,19.671456,20.118113,19.634236,20.006449,12,Monday,19.857564,25.0,1.258966
2023-03-27,GGLL,21.124766,21.124766,20.200616,20.359308,13,Monday,20.702364,25.0,1.207592
2023-04-03,GGLL,20.32197,20.909132,20.247292,20.90073,14,Monday,20.594781,25.0,1.2139
2023-04-10,GGLL,21.614847,21.726865,21.096763,21.488827,15,Monday,21.481825,25.0,1.163774
2023-04-17,GGLL,20.760706,21.311463,20.760706,21.274124,16,Monday,21.02675,25.0,1.188962
2023-04-24,GGLL,21.124766,21.442151,20.905398,21.283459,17,Monday,21.188944,25.0,1.179861
2023-05-01,GGLL,21.526164,21.801543,21.498161,21.57284,18,Monday,21.599677,25.0,1.157425
2023-05-08,GGLL,20.9194,21.759536,20.9194,21.731533,19,Monday,21.332468,25.0,1.171923
2023-05-15,GGLL,24.261275,24.86804,24.261275,24.391962,20,Monday,24.445638,25.0,1.022677
2023-05-22,GGLL,26.445631,27.479932,26.445631,27.071066,21,Monday,26.860565,25.0,0.930732
2023-05-30,GGLL,27.192416,27.192416,26.02556,26.548313,22,Tuesday,26.739677,25.0,0.93494
2023-06-05,GGLL,26.650995,27.752508,26.650995,27.31377,23,Monday,27.092067,25.0,0.922779
2023-06-12,GGLL,26.296269,26.604319,25.8762,26.501635,24,Monday,26.319605,25.0,0.949862
2023-06-20,GGLL,26.174921,26.659398,25.974221,26.286938,25,Tuesday,26.273869,25.0,0.951516
2023-06-26,GGLL,25.486838,25.82491,24.698004,24.698004,26,Monday,25.176939,25.0,0.992972
2023-07-03,GGLL,24.932774,25.233284,24.838867,25.176937,27,Monday,25.045465,25.0,0.998185
2023-07-10,GGLL,24.622873,24.651046,23.960817,24.04064,28,Monday,24.318844,25.0,1.028009
2023-07-17,GGLL,26.979983,27.336837,26.447521,26.594957,29,Monday,26.839825,25.0,0.931452
2023-07-24,GGLL,25.533791,25.986432,25.402318,25.571354,30,Monday,25.623474,25.0,0.975668
2023-07-31,GGLL,29.055369,29.318312,28.795241,29.06476,31,Monday,29.058421,25.0,0.860336
2023-08-07,GGLL,27.796992,28.64217,27.796992,28.64217,32,Monday,28.219581,25.0,0.88591
2023-08-14,GGLL,27.806384,28.521968,27.806384,28.501308,33,Monday,28.159011,25.0,0.887815
2023-08-21,GGLL,27.120849,27.585698,26.973413,27.505877,34,Monday,27.296459,25.0,0.91587
2023-08-28,GGLL,28.351052,28.698513,28.069325,28.33227,35,Monday,28.36279,25.0,0.881437
2023-09-05,GGLL,29.750292,30.022627,29.487347,29.83481,36,Tuesday,29.773769,25.0,0.839665
2023-09-11,GGLL,30.088362,30.257398,29.804758,30.17288,37,Monday,30.08085,25.0,0.831094
2023-09-18,GGLL,30.107148,30.831185,30.107148,30.520346,38,Monday,30.391457,25.0,0.8226
2023-09-25,GGLL,27.706264,28.15969,27.507891,28.150244,39,Monday,27.881022,25.0,0.896667
2023-10-02,GGLL,28.254154,29.161009,28.244708,29.123222,40,Monday,28.695773,25.0,0.871208
2023-10-09,GGLL,30.086754,30.587413,29.538863,30.455164,41,Monday,30.167048,25.0,0.828719
2023-10-16,GGLL,30.379593,30.785788,30.304024,30.644091,42,Monday,30.528374,25.0,0.81891
2023-10-23,GGLL,29.123222,30.077308,28.944686,29.727791,43,Monday,29.468252,25.0,0.848371
2023-10-30,GGLL,25.344667,25.996468,25.231309,25.741415,44,Monday,25.578465,25.0,0.977385
2023-11-06,GGLL,27.148925,27.526781,27.026123,27.517334,45,Monday,27.304791,25.0,0.91559
2023-11-13,GGLL,27.961317,28.197476,27.810174,28.065226,46,Monday,28.008548,25.0,0.892585
2023-11-20,GGLL,28.565883,29.472738,28.565883,29.38772,47,Monday,28.998056,25.0,0.862127
2023-11-27,GGLL,29.255473,29.850596,29.255473,29.378277,48,Monday,29.434955,25.0,0.84933
