Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,GOOGL,32.196732,1%,1
2015-09-01,GOOGL,31.186557,1%,1
2015-09-02,GOOGL,31.392727,1%,1
2015-09-03,GOOGL,31.881331,1%,1
2015-09-03,GOOGL,31.559297,2%,1
2015-09-08,GOOGL,31.540343,1%,1
2015-09-09,GOOGL,32.075694,1%,1
2015-09-21,GOOGL,32.746358,1%,1
2015-09-22,GOOGL,32.350747,1%,1
2015-09-24,GOOGL,31.932508,1%,1
2015-09-25,GOOGL,32.405363,1%,1
2015-09-25,GOOGL,32.078037,2%,1
2015-09-28,GOOGL,31.444391,1%,1
2015-09-28,GOOGL,31.12677,2%,1
2015-09-28,GOOGL,30.80915,3%,1
2015-09-29,GOOGL,30.777664,1%,1
2015-10-01,GOOGL,31.389773,1%,1
2015-10-07,GOOGL,33.331398,1%,1
2015-10-07,GOOGL,32.994717,2%,1
2015-10-08,GOOGL,32.940222,1%,1
2015-10-08,GOOGL,32.607492,2%,1
2015-10-20,GOOGL,34.339609,1%,1
2015-10-20,GOOGL,33.992745,2%,1
2015-10-20,GOOGL,33.64588,3%,1
2015-10-21,GOOGL,33.617277,1%,1
2015-10-23,GOOGL,36.906628,1%,1
2015-10-23,GOOGL,36.533833,2%,1
2015-10-23,GOOGL,36.161039,3%,1
2015-10-23,GOOGL,35.788245,4%,1
2015-10-30,GOOGL,36.685208,1%,1
2015-11-09,GOOGL,37.322902,1%,1
2015-11-13,GOOGL,37.102467,1%,1
2015-11-17,GOOGL,37.025208,1%,1
2015-11-24,GOOGL,38.033418,1%,1
2015-11-30,GOOGL,37.979789,1%,1
2015-12-02,GOOGL,38.638146,1%,1
2015-12-03,GOOGL,38.407381,1%,1
2015-12-03,GOOGL,38.019428,2%,1
2015-12-07,GOOGL,38.382775,1%,1
2015-12-09,GOOGL,37.941901,1%,1
2015-12-09,GOOGL,37.55865,2%,1
2015-12-10,GOOGL,37.572372,1%,1
2015-12-14,GOOGL,36.965673,1%,1
2015-12-15,GOOGL,37.779032,1%,1
2015-12-16,GOOGL,37.718998,1%,1
2015-12-17,GOOGL,38.436897,1%,1
2015-12-18,GOOGL,37.751476,1%,1
2015-12-21,GOOGL,37.545799,1%,1
2015-12-23,GOOGL,37.921722,1%,1
2015-12-31,GOOGL,38.76461,1%,1
2016-01-04,GOOGL,37.503978,1%,1
2016-01-05,GOOGL,37.597466,1%,1
2016-01-07,GOOGL,36.73097,1%,1
2016-01-08,GOOGL,36.795425,1%,1
2016-01-08,GOOGL,36.423754,2%,1
2016-01-11,GOOGL,36.015527,1%,1
2016-01-13,GOOGL,36.8712,1%,1
2016-01-13,GOOGL,36.498764,2%,1
2016-01-13,GOOGL,36.126327,3%,1
2016-01-13,GOOGL,35.753891,4%,1
2016-01-14,GOOGL,35.646001,1%,1
2016-01-14,GOOGL,35.285941,2%,1
2016-01-15,GOOGL,34.93499,1%,1
2016-01-19,GOOGL,35.434912,1%,1
2016-01-20,GOOGL,34.733742,1%,1
2016-01-20,GOOGL,34.382896,2%,1
2016-01-21,GOOGL,35.435888,1%,1
2016-01-25,GOOGL,36.600575,1%,1
2016-01-26,GOOGL,36.175942,1%,1
2016-01-27,GOOGL,36.209388,1%,1
2016-01-27,GOOGL,35.843636,2%,1
2016-01-27,GOOGL,35.477885,3%,1
2016-01-28,GOOGL,36.322566,1%,1
2016-02-01,GOOGL,37.949767,1%,1
2016-02-02,GOOGL,39.388522,1%,1
2016-02-02,GOOGL,38.990658,2%,1
2016-02-03,GOOGL,38.688823,1%,1
2016-02-03,GOOGL,38.298026,2%,1
2016-02-03,GOOGL,37.90723,3%,1
2016-02-03,GOOGL,37.516434,4%,1
2016-02-03,GOOGL,37.125638,5%,1
2016-02-04,GOOGL,36.637479,1%,1
2016-02-04,GOOGL,36.267403,2%,1
2016-02-05,GOOGL,35.69816,1%,1
2016-02-05,GOOGL,35.337572,2%,1
2016-02-05,GOOGL,34.976985,3%,1
2016-02-12,GOOGL,35.04422,1%,1
2016-02-16,GOOGL,35.361102,1%,1
2016-02-17,GOOGL,35.771958,1%,1
2016-02-18,GOOGL,36.114428,1%,1
2016-02-18,GOOGL,35.749635,2%,1
2016-02-23,GOOGL,35.727682,1%,1
2016-02-24,GOOGL,34.965497,1%,1
2016-02-25,GOOGL,35.5717,1%,1
2016-02-26,GOOGL,36.096714,1%,1
2016-03-02,GOOGL,36.552845,1%,1
2016-03-03,GOOGL,36.38604,1%,1
2016-03-04,GOOGL,36.155764,1%,1
2016-03-07,GOOGL,35.680934,1%,1
2016-03-07,GOOGL,35.32052,2%,1
2016-03-18,GOOGL,37.475932,1%,1
2016-03-31,GOOGL,37.806093,1%,1
2016-04-04,GOOGL,37.863663,1%,1
2016-04-07,GOOGL,37.657496,1%,1
2016-04-08,GOOGL,37.684556,1%,1
2016-04-11,GOOGL,37.663891,1%,1
2016-04-19,GOOGL,38.896476,1%,1
2016-04-19,GOOGL,38.503582,2%,1
2016-04-20,GOOGL,38.338491,1%,1
2016-04-22,GOOGL,36.604014,1%,1
2016-04-26,GOOGL,36.629114,1%,1
2016-04-26,GOOGL,36.259123,2%,1
