Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,GOOGL,32.521952,33.022452,32.124835,32.197895,36,Monday,32.466784,100.0,3.080071
2015-09-01,GOOGL,31.501573,32.029904,31.066681,31.29034,36,Tuesday,31.472125,100.0,3.177415
2015-10-01,GOOGL,31.706841,32.000085,31.367875,31.90863,40,Thursday,31.745858,100.0,3.150017
2015-11-02,GOOGL,36.507554,37.185984,36.354469,37.164116,45,Monday,36.803031,100.0,2.717168
2015-12-01,GOOGL,38.118388,39.016004,38.069183,38.955864,49,Tuesday,38.53986,100.0,2.594716
2016-01-04,GOOGL,37.882806,37.882806,37.154174,37.745628,1,Monday,37.666354,100.0,2.654889
2016-02-01,GOOGL,38.333098,38.647713,37.842044,38.308746,5,Monday,38.2829,100.0,2.612132
2016-03-01,GOOGL,35.84999,36.895224,35.717784,36.887272,9,Tuesday,36.337567,100.0,2.751973
2016-04-01,GOOGL,37.632311,38.272469,37.534892,38.254082,13,Friday,37.923438,100.0,2.636892
2016-05-02,GOOGL,35.383795,35.557254,35.107452,35.507553,18,Monday,35.389014,100.0,2.825736
2016-06-01,GOOGL,37.200395,37.344531,36.995125,37.199898,22,Wednesday,37.184987,100.0,2.689257
2016-07-01,GOOGL,35.044824,35.414108,34.976732,35.300789,26,Friday,35.184113,100.0,2.842192
2016-08-01,GOOGL,39.099007,40.133801,39.017992,39.808254,31,Monday,39.514764,100.0,2.5307
2016-09-01,GOOGL,39.362925,39.408156,39.082112,39.334099,35,Thursday,39.296823,100.0,2.544735
2016-10-03,GOOGL,39.888277,39.937481,39.574163,39.780426,40,Monday,39.795087,100.0,2.512873
2016-11-01,GOOGL,40.301795,40.455377,39.675053,40.033901,44,Tuesday,40.116532,100.0,2.492738
2016-12-01,GOOGL,38.695438,38.697922,37.443444,37.988674,48,Thursday,38.206369,100.0,2.617365
2017-01-03,GOOGL,39.792349,40.330124,39.606964,40.159649,1,Tuesday,39.972271,100.0,2.501734
2017-02-01,GOOGL,40.954386,40.954386,40.370387,40.518997,5,Wednesday,40.699539,100.0,2.45703
2017-03-01,GOOGL,42.315222,42.64425,42.197926,42.582123,9,Wednesday,42.43488,100.0,2.356552
2017-04-03,GOOGL,42.184506,42.693951,42.123869,42.582123,14,Monday,42.396112,100.0,2.358707
2017-05-01,GOOGL,45.932032,46.512053,45.765531,46.362946,18,Monday,46.14314,100.0,2.167169
2017-06-01,GOOGL,49.252618,49.36097,48.771999,49.119915,22,Thursday,49.126376,100.0,2.035566
2017-07-03,GOOGL,46.382827,46.433525,45.492665,45.698929,27,Monday,46.001987,100.0,2.173819
2017-08-01,GOOGL,47.107976,47.439985,46.966328,47.045849,31,Tuesday,47.140034,100.0,2.121339
2017-09-01,GOOGL,47.588096,47.630839,47.230738,47.315727,35,Friday,47.44135,100.0,2.107866
2017-10-02,GOOGL,48.491679,48.595556,47.810762,48.085117,40,Monday,48.245779,100.0,2.07272
2017-11-01,GOOGL,51.507094,52.080654,51.391785,51.819221,44,Wednesday,51.699689,100.0,1.934248
2017-12-01,GOOGL,51.213355,51.552818,50.541883,50.947948,48,Friday,51.064001,100.0,1.958327
2018-01-02,GOOGL,52.337115,53.47827,52.337115,53.340595,1,Tuesday,52.873274,100.0,1.891315
2018-02-01,GOOGL,58.448965,59.018551,58.119441,58.727295,5,Thursday,58.578563,100.0,1.707109
2018-03-01,GOOGL,55.146273,55.232255,53.046364,53.251137,9,Thursday,54.169007,100.0,1.846074
2018-04-02,GOOGL,51.074683,51.666634,49.416131,50.329651,14,Monday,50.621775,100.0,1.975435
2018-05-01,GOOGL,50.51206,51.77598,50.229256,51.727272,18,Tuesday,51.061142,100.0,1.958436
2018-06-01,GOOGL,55.311776,56.568737,55.269029,56.411678,22,Friday,55.890305,100.0,1.789219
2018-07-02,GOOGL,55.435036,56.808797,55.000144,56.765057,27,Monday,56.002258,100.0,1.785642
2018-08-01,GOOGL,61.586143,61.923615,60.881867,61.281967,31,Wednesday,61.418398,100.0,1.628177
2018-09-04,GOOGL,60.761597,61.027504,59.968354,60.204437,36,Tuesday,60.490473,100.0,1.653153
2018-10-01,GOOGL,60.288432,60.845091,59.800855,60.066261,40,Monday,60.25016,100.0,1.659747
2018-11-01,GOOGL,54.244673,54.667138,53.56972,53.975288,44,Thursday,54.114205,100.0,1.847944
2018-12-03,GOOGL,56.270525,56.411676,55.255111,55.485233,49,Monday,55.855636,100.0,1.79033
2019-01-02,GOOGL,51.053815,52.723303,50.958387,52.419624,1,Wednesday,51.788782,100.0,1.93092
2019-02-01,GOOGL,55.779973,56.381866,55.380373,55.597569,5,Friday,55.784945,100.0,1.792598
2019-03-01,GOOGL,56.212872,57.157209,56.212872,57.083649,9,Friday,56.66665,100.0,1.764706
2019-04-01,GOOGL,59.023018,59.652243,58.964371,59.59161,14,Monday,59.307811,100.0,1.686119
2019-05-01,GOOGL,59.518053,59.605033,58.234749,58.316261,18,Wednesday,58.918524,100.0,1.697259
2019-06-03,GOOGL,53.02847,53.031947,51.045364,51.627373,23,Monday,52.183289,100.0,1.916322
