Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,GOOGL,32.521952,33.022452,32.124835,32.197895,36,Monday,32.466784,25.0,0.770018
2015-09-08,GOOGL,31.858933,32.059728,31.456348,32.002075,37,Tuesday,31.844271,25.0,0.785071
2015-09-14,GOOGL,32.586071,32.600485,32.281395,32.429012,38,Monday,32.474241,25.0,0.769841
2015-09-21,GOOGL,33.077129,33.250588,32.703868,33.150188,39,Monday,33.045443,25.0,0.756534
2015-09-28,GOOGL,31.762011,31.95088,30.707834,31.026423,40,Monday,31.361787,25.0,0.797148
2015-10-05,GOOGL,32.882792,33.450884,32.597997,33.383785,41,Monday,33.078865,25.0,0.75577
2015-10-12,GOOGL,33.260028,33.696907,33.163109,33.619869,42,Monday,33.434978,25.0,0.74772
2015-10-19,GOOGL,34.493133,34.803274,34.404166,34.78886,43,Monday,34.622358,25.0,0.722077
2015-10-26,GOOGL,35.786378,36.52843,35.786378,36.33807,44,Monday,36.109814,25.0,0.692333
2015-11-02,GOOGL,36.507554,37.185984,36.354469,37.164116,45,Monday,36.803031,25.0,0.679292
2015-11-09,GOOGL,37.699901,37.937479,37.232209,37.513519,46,Monday,37.595777,25.0,0.664968
2015-11-16,GOOGL,36.789863,37.361432,36.497613,37.297318,47,Monday,36.986556,25.0,0.675921
2015-11-23,GOOGL,38.64175,38.911631,38.444928,38.603477,48,Monday,38.650447,25.0,0.646823
2015-11-30,GOOGL,38.363423,38.520482,37.829129,37.915115,49,Monday,38.157037,25.0,0.655187
2015-12-07,GOOGL,38.770479,38.8172,38.107456,38.41909,50,Monday,38.528556,25.0,0.648869
2015-12-14,GOOGL,37.339063,37.979722,36.593535,37.8997,51,Monday,37.453005,25.0,0.667503
2015-12-21,GOOGL,37.92505,38.089067,37.482703,37.813221,52,Monday,37.82751,25.0,0.660895
2015-12-28,GOOGL,38.270475,38.907653,38.157653,38.878826,53,Monday,38.553652,25.0,0.648447
2016-01-04,GOOGL,37.882806,37.882806,37.154174,37.745628,1,Monday,37.666354,25.0,0.663722
2016-01-11,GOOGL,36.37932,36.534889,35.763514,36.434986,2,Monday,36.278177,25.0,0.68912
2016-01-19,GOOGL,35.792841,36.051293,35.280911,35.739658,3,Tuesday,35.716176,25.0,0.699963
2016-01-25,GOOGL,36.970277,37.398708,36.406656,36.462322,4,Monday,36.809491,25.0,0.679173
2016-02-01,GOOGL,38.333098,38.647713,37.842044,38.308746,5,Monday,38.2829,25.0,0.653033
2016-02-08,GOOGL,34.179015,35.015998,33.897205,34.998104,6,Monday,34.522581,25.0,0.724164
2016-02-16,GOOGL,35.718285,35.928526,35.29731,35.668087,7,Tuesday,35.653052,25.0,0.701202
2016-02-22,GOOGL,36.258049,36.52346,35.956858,36.235188,8,Monday,36.243389,25.0,0.689781
2016-02-29,GOOGL,35.835085,36.312223,35.628325,35.647213,9,Monday,35.855712,25.0,0.697239
2016-03-07,GOOGL,36.041347,36.143734,35.046812,35.427528,10,Monday,35.664856,25.0,0.70097
2016-03-14,GOOGL,37.026435,37.488166,36.961323,37.288364,11,Monday,37.191072,25.0,0.672204
2016-03-21,GOOGL,37.470774,37.939464,37.339561,37.880817,12,Monday,37.657654,25.0,0.663876
2016-03-28,GOOGL,37.583104,37.688972,37.377838,37.439468,13,Monday,37.522345,25.0,0.66627
2016-04-04,GOOGL,38.246124,38.391754,37.862428,38.027935,14,Monday,38.13206,25.0,0.655616
2016-04-11,GOOGL,38.044334,38.132307,37.641253,37.651192,15,Monday,37.867272,25.0,0.660201
2016-04-18,GOOGL,38.77694,39.192452,38.648712,39.149208,16,Monday,38.941828,25.0,0.641983
2016-04-25,GOOGL,36.548313,37.02197,36.535887,36.889267,17,Monday,36.748859,25.0,0.680293
2016-05-02,GOOGL,35.383795,35.557254,35.107452,35.507553,18,Monday,35.389014,25.0,0.706434
2016-05-09,GOOGL,36.118385,36.495624,35.959339,36.239162,19,Monday,36.203127,25.0,0.690548
2016-05-16,GOOGL,36.000093,36.4156,35.785381,36.29731,20,Monday,36.124596,25.0,0.692049
2016-05-23,GOOGL,35.784388,35.959338,35.633294,35.648701,21,Monday,35.75643,25.0,0.699175
2016-05-31,GOOGL,37.21481,37.449403,37.05626,37.219284,22,Tuesday,37.234939,25.0,0.671412
2016-06-06,GOOGL,36.70487,36.70487,36.197416,36.285385,23,Monday,36.473135,25.0,0.685436
2016-06-13,GOOGL,36.273456,36.72972,36.273456,36.375843,24,Monday,36.413119,25.0,0.686566
2016-06-20,GOOGL,35.303773,35.580116,35.060235,35.09602,25,Monday,35.260036,25.0,0.709018
2016-06-27,GOOGL,33.921064,33.962814,33.432494,33.853966,26,Monday,33.792584,25.0,0.739807
2016-07-05,GOOGL,35.04035,35.194922,34.748104,35.034386,27,Tuesday,35.004441,25.0,0.714195
2016-07-11,GOOGL,35.756553,36.229217,35.729217,36.143234,28,Monday,35.964555,25.0,0.695129
2016-07-18,GOOGL,36.675544,37.531908,36.605961,37.435486,29,Monday,37.062225,25.0,0.674541
2016-07-25,GOOGL,37.658144,37.764508,37.47872,37.650192,30,Monday,37.637891,25.0,0.664224
2016-08-01,GOOGL,39.099007,40.133801,39.017992,39.808254,31,Monday,39.514764,25.0,0.632675
2016-08-08,GOOGL,40.059741,40.139266,39.845526,40.021473,32,Monday,40.016502,25.0,0.624742
2016-08-15,GOOGL,40.119886,40.326149,39.961833,40.057758,33,Monday,40.116407,25.0,0.623186
2016-08-22,GOOGL,39.687478,39.726743,39.479724,39.609943,34,Monday,39.625972,25.0,0.630899
2016-08-29,GOOGL,39.416105,39.687973,39.280418,39.55378,35,Monday,39.484569,25.0,0.633159
2016-09-06,GOOGL,39.681513,40.302787,39.534396,40.160145,36,Tuesday,39.91971,25.0,0.626257
2016-09-12,GOOGL,38.992151,39.769983,38.941452,39.702888,37,Monday,39.351619,25.0,0.635298
2016-09-19,GOOGL,39.816708,39.95985,39.44146,39.532413,38,Monday,39.687608,25.0,0.62992
2016-09-26,GOOGL,40.24961,40.262533,39.783901,39.893246,39,Monday,40.047322,25.0,0.624261
2016-10-03,GOOGL,39.888277,39.937481,39.574163,39.780426,40,Monday,39.795087,25.0,0.628218
2016-10-10,GOOGL,39.956864,40.625355,39.872868,40.465813,41,Monday,40.230225,25.0,0.621423
2016-10-17,GOOGL,40.059251,40.432016,39.951897,40.101498,42,Monday,40.136166,25.0,0.62288
2016-10-24,GOOGL,41.257067,41.647225,41.204878,41.53788,43,Monday,41.411762,25.0,0.603693
2016-10-31,GOOGL,40.876342,40.886285,40.159147,40.253578,44,Monday,40.543838,25.0,0.616617
2016-11-07,GOOGL,39.510541,40.010044,39.408651,39.862431,45,Monday,39.697917,25.0,0.629756
2016-11-14,GOOGL,38.357961,38.358954,36.957857,37.436485,46,Monday,37.777814,25.0,0.661764
2016-11-21,GOOGL,38.673063,39.093045,38.5836,39.006069,47,Monday,38.838944,25.0,0.643684
2016-11-28,GOOGL,38.685487,39.748611,38.673061,39.055271,48,Monday,39.040608,25.0,0.640359
2016-12-05,GOOGL,38.270478,38.767498,38.119881,38.679028,49,Monday,38.459221,25.0,0.650039
2016-12-12,GOOGL,40.001097,40.325651,39.986684,40.154179,50,Monday,40.116903,25.0,0.623179
2016-12-19,GOOGL,40.222769,40.567701,39.985192,40.382809,51,Monday,40.289618,25.0,0.620507
2016-12-27,GOOGL,40.19295,40.556769,40.049811,40.255077,52,Tuesday,40.263652,25.0,0.620907
2017-01-03,GOOGL,39.792349,40.330124,39.606964,40.159649,1,Tuesday,39.972271,25.0,0.625434
2017-01-09,GOOGL,41.072179,41.273968,40.836096,41.112438,2,Monday,41.07367,25.0,0.608662
2017-01-17,GOOGL,41.252596,41.261541,40.914623,41.126354,3,Tuesday,41.138779,25.0,0.607699
2017-01-23,GOOGL,41.332614,42.024961,41.187981,41.969791,4,Monday,41.628837,25.0,0.600545
2017-01-30,GOOGL,41.603494,41.611942,40.80677,40.945938,5,Monday,41.242036,25.0,0.606178
2017-02-06,GOOGL,40.801303,40.874362,40.471778,40.836094,6,Monday,40.745884,25.0,0.613559
2017-02-13,GOOGL,41.635298,41.836097,41.563232,41.697926,7,Monday,41.683138,25.0,0.599763
2017-02-21,GOOGL,42.146729,42.355972,42.075155,42.210346,8,Tuesday,42.197051,25.0,0.592458
2017-02-27,GOOGL,41.995635,42.27993,41.899213,42.230228,9,Monday,42.101252,25.0,0.593807
2017-03-06,GOOGL,42.090565,42.193945,41.807761,42.110943,10,Monday,42.050803,25.0,0.594519
2017-03-13,GOOGL,42.784908,43.098029,42.784412,42.971291,11,Monday,42.90966,25.0,0.582619
2017-03-20,GOOGL,43.214826,43.257569,42.975762,43.136795,12,Monday,43.146238,25.0,0.579425
2017-03-27,GOOGL,41.157662,41.818202,40.969293,41.675556,13,Monday,41.405178,25.0,0.603789
2017-04-03,GOOGL,42.184506,42.693951,42.123869,42.582123,14,Monday,42.396112,25.0,0.589677
2017-04-10,GOOGL,41.826155,42.084607,41.78888,41.834106,15,Monday,41.883437,25.0,0.596895
2017-04-17,GOOGL,41.818205,42.526955,41.800807,42.501606,16,Monday,42.161893,25.0,0.592953
2017-04-24,GOOGL,43.163134,43.735701,43.047328,43.684505,17,Monday,43.407667,25.0,0.575935
2017-05-01,GOOGL,45.932032,46.512053,45.765531,46.362946,18,Monday,46.14314,25.0,0.541792
2017-05-08,GOOGL,47.090085,47.763047,47.087598,47.648735,19,Monday,47.397366,25.0,0.527455
2017-05-15,GOOGL,47.479748,47.848038,47.356984,47.675076,20,Monday,47.589961,25.0,0.525321
2017-05-22,GOOGL,47.564737,47.953409,47.542869,47.91613,21,Monday,47.744286,25.0,0.523623
2017-05-30,GOOGL,49.329158,49.583632,49.272498,49.511562,22,Tuesday,49.424213,25.0,0.505825
2017-06-05,GOOGL,49.597046,50.06971,49.475772,49.89476,23,Monday,49.759322,25.0,0.502418
2017-06-12,GOOGL,47.650228,48.111463,46.560761,47.803806,24,Monday,47.531565,25.0,0.525966
2017-06-19,GOOGL,48.19346,48.673085,48.121393,48.470303,25,Monday,48.36456,25.0,0.516907
2017-06-26,GOOGL,49.204901,49.403212,48.227263,48.314739,26,Monday,48.787529,25.0,0.512426
2017-07-03,GOOGL,46.382827,46.433525,45.492665,45.698929,27,Monday,46.001987,25.0,0.543455
2017-07-10,GOOGL,46.816727,47.372397,46.816727,47.266529,28,Monday,47.068095,25.0,0.531145
2017-07-17,GOOGL,48.524982,48.874384,48.250626,48.507088,29,Monday,48.53927,25.0,0.515047
2017-07-24,GOOGL,49.408684,50.00958,49.218324,49.617928,30,Monday,49.563629,25.0,0.504402
2017-07-31,GOOGL,47.71384,47.772987,46.805785,46.993164,31,Monday,47.321444,25.0,0.528302
2017-08-07,GOOGL,47.093566,47.165139,46.893764,47.005592,32,Monday,47.039515,25.0,0.531468
2017-08-14,GOOGL,46.67358,46.771492,46.445946,46.666622,33,Monday,46.63941,25.0,0.536027
2017-08-21,GOOGL,46.012551,46.135808,45.656187,45.769009,34,Monday,45.893389,25.0,0.544741
2017-08-28,GOOGL,46.316227,46.46384,46.029445,46.129845,35,Monday,46.234839,25.0,0.540718
2017-09-05,GOOGL,47.060763,47.285914,46.501119,46.793369,36,Tuesday,46.910291,25.0,0.532932
2017-09-11,GOOGL,47.077654,47.350019,46.769501,46.88332,37,Monday,47.020123,25.0,0.531687
2017-09-18,GOOGL,46.471794,46.563741,45.994159,46.210361,38,Monday,46.310014,25.0,0.53984
2017-09-25,GOOGL,46.692471,46.707381,45.949922,46.435513,39,Monday,46.446322,25.0,0.538256
2017-10-02,GOOGL,48.491679,48.595556,47.810762,48.085117,40,Monday,48.245779,25.0,0.51818
2017-10-09,GOOGL,49.45341,49.724782,49.279454,49.319714,41,Monday,49.44434,25.0,0.505619
2017-10-16,GOOGL,50.180542,50.298336,49.777461,50.166626,42,Monday,50.105741,25.0,0.498945
2017-10-23,GOOGL,49.959375,49.989695,48.861956,48.983231,43,Monday,49.448564,25.0,0.505576
2017-10-30,GOOGL,51.151227,51.681547,50.811763,51.348545,44,Monday,51.248271,25.0,0.487821
2017-11-06,GOOGL,52.142286,52.315745,51.789399,51.823196,45,Monday,52.017656,25.0,0.480606
2017-11-13,GOOGL,51.729764,52.124397,51.653223,51.749645,46,Monday,51.814257,25.0,0.482493
2017-11-20,GOOGL,51.491189,51.625386,51.326178,51.424591,47,Monday,51.466836,25.0,0.48575
2017-11-27,GOOGL,52.612962,53.332148,52.424092,53.280952,48,Monday,52.912538,25.0,0.472478
2017-12-04,GOOGL,51.083634,51.259581,50.160172,50.291882,49,Monday,50.698817,25.0,0.493108
2017-12-11,GOOGL,52.242184,52.485226,51.894769,52.284927,50,Monday,52.226777,25.0,0.478682
2017-12-18,GOOGL,53.501633,54.000643,53.199448,53.931061,51,Monday,53.658196,25.0,0.465912
2017-12-26,GOOGL,53.113461,53.124397,52.616441,52.974792,52,Tuesday,52.957273,25.0,0.472079
2018-01-02,GOOGL,52.337115,53.47827,52.337115,53.340595,1,Tuesday,52.873274,25.0,0.472829
2018-01-08,GOOGL,55.218837,55.624406,55.169136,55.37838,2,Monday,55.34769,25.0,0.45169
2018-01-16,GOOGL,56.675595,57.101541,55.997164,56.19796,3,Tuesday,56.493065,25.0,0.442532
2018-01-22,GOOGL,56.850053,57.996179,56.750647,57.860989,4,Monday,57.364467,25.0,0.43581
2018-01-29,GOOGL,59.04588,59.542899,58.850052,58.970333,5,Monday,59.102291,25.0,0.422995
2018-02-05,GOOGL,54.702429,55.417144,52.522009,52.802822,6,Monday,53.861101,25.0,0.464157
2018-02-12,GOOGL,52.518532,52.960879,51.962867,52.413662,7,Monday,52.463985,25.0,0.476517
2018-02-20,GOOGL,54.312272,55.481757,54.175094,54.850544,8,Tuesday,54.704917,25.0,0.456997
2018-02-26,GOOGL,56.255612,56.868934,56.130364,56.844086,9,Monday,56.524749,25.0,0.442284
2018-03-05,GOOGL,53.585138,54.730764,53.293882,54.411678,10,Monday,54.005365,25.0,0.462917
2018-03-12,GOOGL,57.905223,58.556817,57.614467,57.948963,11,Monday,58.006368,25.0,0.430987
2018-03-19,GOOGL,55.55482,55.634838,54.121415,54.675594,12,Monday,54.996667,25.0,0.454573
2018-03-26,GOOGL,52.216838,52.647756,50.227767,52.390297,13,Monday,51.870664,25.0,0.481968
2018-04-02,GOOGL,51.074683,51.666634,49.416131,50.329651,14,Monday,50.621775,25.0,0.493859
2018-04-09,GOOGL,50.697948,51.918131,50.656199,50.700436,15,Monday,50.993178,25.0,0.490262
2018-04-16,GOOGL,51.965843,52.258089,51.387809,51.993179,16,Monday,51.90123,25.0,0.481684
2018-04-23,GOOGL,53.826185,54.075692,53.016045,53.370419,17,Monday,53.572085,25.0,0.466661
2018-04-30,GOOGL,51.41266,51.608981,50.611465,50.625381,18,Monday,51.064622,25.0,0.489576
2018-05-07,GOOGL,52.380353,52.932541,52.200432,52.657192,19,Monday,52.54263,25.0,0.475804
2018-05-14,GOOGL,54.948954,55.574205,54.910685,55.000149,20,Monday,55.108498,25.0,0.453651
2018-05-21,GOOGL,53.628374,54.339112,53.578673,53.87738,21,Monday,53.855885,25.0,0.464202
2018-05-29,GOOGL,53.479268,53.744679,52.83712,53.085133,22,Tuesday,53.28655,25.0,0.469162
2018-06-04,GOOGL,56.585633,57.547864,56.511079,57.3083,23,Monday,56.988219,25.0,0.438687
2018-06-11,GOOGL,56.309296,57.044886,56.232755,56.704922,24,Monday,56.572965,25.0,0.441907
2018-06-18,GOOGL,57.290908,58.853539,57.206912,58.826202,25,Monday,58.04439,25.0,0.430705
2018-06-25,GOOGL,57.405718,57.454923,55.66118,56.624405,26,Monday,56.786557,25.0,0.440245
2018-07-02,GOOGL,55.435036,56.808797,55.000144,56.765057,27,Monday,56.002258,25.0,0.446411
2018-07-09,GOOGL,57.654224,58.04836,57.516549,58.016052,28,Monday,57.808796,25.0,0.43246
2018-07-16,GOOGL,59.831667,60.075209,59.31427,59.468845,29,Monday,59.672498,25.0,0.418953
2018-07-23,GOOGL,59.4266,60.392806,59.245185,60.189026,30,Monday,59.813404,25.0,0.417967
2018-07-30,GOOGL,61.881379,62.271044,60.843604,61.135353,31,Monday,61.532845,25.0,0.406287
2018-08-06,GOOGL,61.7104,61.752646,61.159702,61.514572,32,Monday,61.53433,25.0,0.406277
2018-08-13,GOOGL,62.187046,62.921142,61.979789,62.059807,33,Monday,62.286946,25.0,0.401368
2018-08-20,GOOGL,60.669147,60.930083,60.074712,60.733261,34,Monday,60.601801,25.0,0.412529
2018-08-27,GOOGL,61.83615,62.518558,61.664181,62.439034,35,Monday,62.114481,25.0,0.402483
2018-09-04,GOOGL,60.761597,61.027504,59.968354,60.204437,36,Tuesday,60.490473,25.0,0.413288
2018-09-10,GOOGL,58.857013,58.979281,58.181563,58.402737,37,Monday,58.605148,25.0,0.426584
2018-09-17,GOOGL,58.537434,58.738727,57.57769,57.645782,38,Monday,58.124908,25.0,0.430108
2018-09-24,GOOGL,57.624903,58.906216,57.23176,58.626396,39,Monday,58.097319,25.0,0.430312
2018-10-01,GOOGL,60.288432,60.845091,59.800855,60.066261,40,Monday,60.25016,25.0,0.414937
2018-10-08,GOOGL,57.654225,58.442497,56.431558,57.451443,41,Monday,57.494931,25.0,0.434821
2018-10-15,GOOGL,55.566746,55.755612,54.58364,54.793385,42,Monday,55.174846,25.0,0.453105
2018-10-22,GOOGL,55.29388,55.750143,54.672109,55.237221,43,Monday,55.238338,25.0,0.452584
2018-10-29,GOOGL,54.500146,55.110984,50.059777,51.42807,44,Monday,52.774744,25.0,0.473711
2018-11-05,GOOGL,53.306798,53.347554,51.391785,52.471806,45,Monday,52.629486,25.0,0.475019
2018-11-12,GOOGL,53.336623,53.384834,51.707394,52.155205,46,Monday,52.646014,25.0,0.47487
2018-11-19,GOOGL,52.852525,53.081654,50.838606,51.064747,47,Monday,51.959383,25.0,0.481145
2018-11-26,GOOGL,51.888805,52.534928,51.678564,52.482246,48,Monday,52.146136,25.0,0.479422
2018-12-03,GOOGL,56.270525,56.411676,55.255111,55.485233,49,Monday,55.855636,25.0,0.447582
2018-12-10,GOOGL,51.836121,52.664155,51.342086,52.34507,50,Monday,52.046858,25.0,0.480336
