Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-02,HSBC,21.406402,1%,1
2015-09-09,HSBC,22.145313,1%,1
2015-09-09,HSBC,21.921623,2%,1
2015-09-23,HSBC,21.136208,1%,1
2015-10-01,HSBC,21.229942,1%,1
2015-11-09,HSBC,22.532657,1%,1
2015-12-03,HSBC,22.510316,1%,1
2015-12-09,HSBC,21.644754,1%,1
2015-12-11,HSBC,21.354368,1%,1
2015-12-14,HSBC,21.209183,1%,1
2015-12-16,HSBC,22.057992,1%,1
2015-12-18,HSBC,22.119424,1%,1
2015-12-21,HSBC,22.158509,1%,1
2016-01-08,HSBC,20.578155,1%,1
2016-01-11,HSBC,20.477638,1%,1
2016-01-13,HSBC,20.438548,1%,1
2016-01-13,HSBC,20.232098,2%,1
2016-01-19,HSBC,19.489214,1%,1
2016-01-20,HSBC,18.673907,1%,1
2016-01-20,HSBC,18.485282,2%,1
2016-01-28,HSBC,19.478046,1%,1
2016-01-28,HSBC,19.281298,2%,1
2016-02-02,HSBC,18.930788,1%,1
2016-02-03,HSBC,18.562221,1%,1
2016-02-03,HSBC,18.374723,2%,1
2016-02-08,HSBC,17.931196,1%,1
2016-02-18,HSBC,18.171317,1%,1
2016-02-23,HSBC,17.702236,1%,1
2016-02-26,HSBC,18.115477,1%,1
2016-03-08,HSBC,18.585123,1%,1
2016-03-09,HSBC,18.671564,1%,1
2016-03-10,HSBC,18.59665,1%,1
2016-04-21,HSBC,19.599378,1%,1
2016-05-02,HSBC,19.305474,1%,1
2016-05-03,HSBC,18.948181,1%,1
2016-05-09,HSBC,18.118337,1%,1
2016-05-12,HSBC,18.089519,1%,1
2016-05-19,HSBC,18.651608,1%,1
2016-05-19,HSBC,18.463208,2%,1
2016-05-31,HSBC,19.243071,1%,1
2016-06-03,HSBC,19.120097,1%,1
2016-06-10,HSBC,18.282674,1%,1
2016-06-14,HSBC,17.843471,1%,1
2016-06-20,HSBC,18.961982,1%,1
2016-06-23,HSBC,19.617866,1%,1
2016-06-27,HSBC,17.140741,1%,1
2016-06-27,HSBC,16.967602,2%,1
2016-06-28,HSBC,17.69121,1%,1
2016-07-05,HSBC,17.896174,1%,1
2016-07-07,HSBC,17.831761,1%,1
2016-07-26,HSBC,19.166948,1%,1
2016-08-26,HSBC,21.433181,1%,1
2016-09-01,HSBC,22.656911,1%,1
2016-09-06,HSBC,22.924232,1%,1
2016-09-28,HSBC,22.270784,1%,1
2016-09-29,HSBC,22.330188,1%,1
2016-10-11,HSBC,22.692555,1%,1
2016-11-01,HSBC,22.715612,1%,1
2016-11-02,HSBC,22.492905,1%,1
2016-11-10,HSBC,23.750871,1%,1
2016-12-14,HSBC,25.339881,1%,1
2017-01-17,HSBC,25.099123,1%,1
2017-01-31,HSBC,25.875581,1%,1
2017-03-21,HSBC,25.409745,1%,1
2017-04-03,HSBC,25.125697,1%,1
2017-05-17,HSBC,27.191687,1%,1
2017-05-31,HSBC,27.447746,1%,1
2017-07-27,HSBC,30.901353,1%,1
2017-08-10,HSBC,30.741785,1%,1
2017-09-05,HSBC,30.331801,1%,1
