Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,HSBC,22.073795,22.157343,22.012525,22.096073,36,Monday,22.084934,100.0,4.527974
2015-09-01,HSBC,21.360835,21.455526,21.149178,21.255007,36,Tuesday,21.305137,100.0,4.693704
2015-10-01,HSBC,21.444388,21.494518,21.093479,21.260578,40,Thursday,21.323241,100.0,4.689719
2015-11-02,HSBC,21.964923,22.066456,21.880314,22.021332,45,Monday,21.983256,100.0,4.548917
2015-12-01,HSBC,22.929483,22.98025,22.811027,22.929483,49,Tuesday,22.912561,100.0,4.364418
2016-01-04,HSBC,21.603917,21.77878,21.468541,21.767498,1,Monday,21.654684,100.0,4.617939
2016-02-01,HSBC,19.404041,19.765046,19.358914,19.714279,5,Monday,19.56057,100.0,5.112326
2016-03-01,HSBC,18.055909,18.275898,17.988221,18.208208,9,Tuesday,18.132059,100.0,5.515093
2016-04-01,HSBC,17.765812,18.004475,17.759991,17.998653,13,Friday,17.882233,100.0,5.592143
2016-05-02,HSBC,19.50048,19.50048,19.250176,19.349134,18,Monday,19.400068,100.0,5.154621
2016-06-01,HSBC,18.910991,19.15943,18.893246,19.100279,22,Wednesday,19.015986,100.0,5.258733
2016-07-01,HSBC,18.627059,18.644805,18.467347,18.532415,26,Friday,18.567907,100.0,5.385637
2016-08-01,HSBC,19.082531,19.200836,19.017465,19.082531,31,Monday,19.095841,100.0,5.236742
2016-09-01,HSBC,22.885774,22.915776,22.579751,22.729763,35,Thursday,22.777766,100.0,4.390246
2016-10-03,HSBC,22.597746,22.699755,22.495739,22.573744,40,Monday,22.591746,100.0,4.426395
2016-11-01,HSBC,22.945064,22.957222,22.622835,22.799149,44,Tuesday,22.831067,100.0,4.379997
2016-12-01,HSBC,23.954301,24.154932,23.9239,24.039417,48,Thursday,24.018138,100.0,4.16352
2017-01-03,HSBC,24.969624,24.975705,24.768992,24.860188,1,Tuesday,24.893627,100.0,4.017092
2017-02-01,HSBC,26.203815,26.222055,25.942384,26.009262,5,Wednesday,26.094379,100.0,3.832243
2017-03-01,HSBC,25.379485,25.572842,25.379485,25.473045,9,Wednesday,25.451214,100.0,3.929086
