Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,HSBC,22.073795,22.157343,22.012525,22.096073,36,Monday,22.084934,25.0,1.131993
2015-09-08,HSBC,21.761875,21.823145,21.589205,21.761875,37,Tuesday,21.734025,25.0,1.15027
2015-09-14,HSBC,21.422103,21.611482,21.321844,21.605913,38,Monday,21.490336,25.0,1.163314
2015-09-21,HSBC,21.438819,21.477809,21.316279,21.422108,39,Monday,21.413754,25.0,1.167474
2015-09-28,HSBC,20.809409,20.814978,20.64231,20.69244,40,Monday,20.739784,25.0,1.205413
2015-10-05,HSBC,21.778584,22.073794,21.778584,22.023664,41,Monday,21.913657,25.0,1.140841
2015-10-12,HSBC,22.602941,22.725479,22.541671,22.65864,42,Monday,22.632183,25.0,1.104622
2015-10-19,HSBC,22.318872,22.363433,22.240893,22.346722,43,Monday,22.31748,25.0,1.120198
2015-10-26,HSBC,22.404907,22.455673,22.269529,22.309013,44,Monday,22.35978,25.0,1.118079
2015-11-02,HSBC,21.964923,22.066456,21.880314,22.021332,45,Monday,21.983256,25.0,1.137229
2015-11-09,HSBC,22.760256,22.777179,22.444377,22.557192,46,Monday,22.634751,25.0,1.104496
2015-11-16,HSBC,21.835184,22.128502,21.801342,22.122862,47,Monday,21.971972,25.0,1.137813
2015-11-23,HSBC,22.878714,22.980247,22.709491,22.760258,48,Monday,22.832178,25.0,1.094946
2015-11-30,HSBC,22.557196,22.585399,22.450021,22.50643,49,Monday,22.524762,25.0,1.10989
2015-12-07,HSBC,22.320283,22.320283,22.117217,22.230032,50,Monday,22.246954,25.0,1.123749
2015-12-14,HSBC,21.423417,21.491105,21.028567,21.383932,51,Monday,21.331755,25.0,1.171962
2015-12-21,HSBC,22.382328,22.46694,22.111575,22.258232,52,Monday,22.304769,25.0,1.120837
2015-12-28,HSBC,22.56284,22.658731,22.444386,22.579762,53,Monday,22.56143,25.0,1.108086
2016-01-04,HSBC,21.603917,21.77878,21.468541,21.767498,1,Monday,21.654684,25.0,1.154485
2016-01-11,HSBC,20.684482,20.695764,20.396807,20.549107,2,Monday,20.58154,25.0,1.214681
2016-01-19,HSBC,19.686077,19.702998,19.392759,19.528135,3,Tuesday,19.577492,25.0,1.276977
2016-01-25,HSBC,19.088162,19.144569,18.902018,18.9133,4,Monday,19.012012,25.0,1.314958
2016-02-01,HSBC,19.404041,19.765046,19.358914,19.714279,5,Monday,19.56057,25.0,1.278081
2016-02-08,HSBC,18.112319,18.117959,17.768235,17.976942,6,Monday,17.993864,25.0,1.389363
2016-02-16,HSBC,18.072834,18.258976,18.038989,18.191288,7,Tuesday,18.140522,25.0,1.37813
2016-02-22,HSBC,17.74003,17.948735,17.74003,17.82464,8,Monday,17.813359,25.0,1.403441
2016-02-29,HSBC,18.005145,18.134882,17.89233,17.920534,9,Monday,17.988223,25.0,1.389798
2016-03-07,HSBC,18.4527,18.801962,18.441058,18.726288,10,Monday,18.605502,25.0,1.343689
2016-03-14,HSBC,18.912559,18.994053,18.842705,18.906736,11,Monday,18.914013,25.0,1.321771
2016-03-21,HSBC,18.959123,19.023155,18.848525,18.947481,12,Monday,18.944571,25.0,1.319639
2016-03-28,HSBC,18.237315,18.26642,18.149999,18.214031,13,Monday,18.216941,25.0,1.372349
2016-04-04,HSBC,17.96955,18.045223,17.893875,17.922981,14,Monday,17.957907,25.0,1.392144
2016-04-11,HSBC,17.474757,17.544609,17.375799,17.38162,15,Monday,17.444196,25.0,1.433141
2016-04-18,HSBC,18.475976,18.702998,18.446872,18.662251,16,Monday,18.572024,25.0,1.346111
2016-04-25,HSBC,19.384058,19.512121,19.314206,19.436447,17,Monday,19.411708,25.0,1.287883
2016-05-02,HSBC,19.50048,19.50048,19.250176,19.349134,18,Monday,19.400068,25.0,1.288655
2016-05-09,HSBC,18.301344,18.353734,18.091787,18.173281,19,Monday,18.230036,25.0,1.371363
2016-05-16,HSBC,18.045223,18.190749,18.045223,18.150002,20,Monday,18.107799,25.0,1.380621
2016-05-23,HSBC,18.384538,18.455521,18.313555,18.313555,21,Monday,18.366792,25.0,1.361152
2016-05-31,HSBC,19.437446,19.484766,19.129854,19.189005,22,Tuesday,19.310268,25.0,1.294648
2016-06-06,HSBC,19.11211,19.360549,19.106194,19.224499,23,Monday,19.200838,25.0,1.302027
2016-06-13,HSBC,18.165675,18.414115,18.130184,18.171591,24,Monday,18.220391,25.0,1.372089
2016-06-20,HSBC,19.153517,19.159431,18.899162,18.928738,25,Monday,19.035212,25.0,1.313355
2016-06-27,HSBC,17.313883,17.438103,16.929394,17.37895,26,Monday,17.265082,25.0,1.448009
2016-07-05,HSBC,18.076939,18.106516,17.869906,17.923143,27,Tuesday,17.994126,25.0,1.389342
2016-07-11,HSBC,18.414112,18.473265,18.337215,18.384537,28,Monday,18.402282,25.0,1.358527
2016-07-18,HSBC,18.916907,19.118025,18.86367,19.005636,29,Monday,18.976059,25.0,1.31745
