Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2015-08-31 00:00:00-04:00,22.073794882256962,22.157343169418013,22.01252486347372,22.096073150634766,2015-08-31,HSBC,36,Monday,22.084934016445864,2015,8,36
2015-09-01 00:00:00-04:00,21.36083546198946,21.4555260629096,21.14917811833281,21.255006790161133,2015-09-01,HSBC,36,Tuesday,21.30513660834825,2015,9,36
2015-09-02 00:00:00-04:00,21.622628017949655,21.64490841268496,21.27171923758243,21.472238540649414,2015-09-02,HSBC,36,Wednesday,21.502873552216613,2015,9,36
2015-09-03 00:00:00-04:00,21.461100453272305,21.60034974689546,21.410970622576947,21.477811813354492,2015-09-03,HSBC,36,Thursday,21.4875581590248,2015,9,36
2015-09-04 00:00:00-04:00,20.993220861296006,21.07677127989633,20.870682938731044,20.987651824951172,2015-09-04,HSBC,36,Friday,20.982081726218638,2015,9,36
2015-09-08 00:00:00-04:00,21.761875152587894,21.82314516968227,21.58920529757421,21.76187515258789,2015-09-08,HSBC,37,Tuesday,21.734025193108067,2015,9,37
2015-09-09 00:00:00-04:00,22.369000846520585,22.380141042196538,21.895554216555492,21.906694412231445,2015-09-09,HSBC,37,Wednesday,22.137847629376015,2015,9,37
2015-09-10 00:00:00-04:00,21.689460715283186,21.862130536670072,21.600341287258452,21.756301879882812,2015-09-10,HSBC,37,Thursday,21.72705860477363,2015,9,37
2015-09-11 00:00:00-04:00,21.695037768911565,21.812006651577317,21.656048141356315,21.78972625732422,2015-09-11,HSBC,37,Friday,21.738204704792352,2015,9,37
2015-09-14 00:00:00-04:00,21.422103140657278,21.611482197078463,21.32184351521225,21.605913162231445,2015-09-14,HSBC,38,Monday,21.49033550379486,2015,9,38
2015-09-15 00:00:00-04:00,21.711745699817946,21.87327536130041,21.67275607460152,21.834285736083984,2015-09-15,HSBC,38,Tuesday,21.773015717950965,2015,9,38
2015-09-16 00:00:00-04:00,22.135065037133852,22.24089371809861,22.073795017973897,22.196332931518555,2015-09-16,HSBC,38,Wednesday,22.161521676181227,2015,9,38
2015-09-17 00:00:00-04:00,21.778586527235234,22.001386224993425,21.667188803131527,21.734027862548828,2015-09-17,HSBC,38,Thursday,21.795297354477253,2015,9,38
2015-09-18 00:00:00-04:00,21.327417860425264,21.46666712492304,21.193737631606332,21.238298416137695,2015-09-18,HSBC,38,Friday,21.306530258273085,2015,9,38
2015-09-21 00:00:00-04:00,21.438819054177966,21.477808680723594,21.31627901373439,21.422107696533203,2015-09-21,HSBC,39,Monday,21.41375361129229,2015,9,39
2015-09-22 00:00:00-04:00,21.032208320872595,21.071200070366622,20.86510962568113,21.048919677734375,2015-09-22,HSBC,39,Tuesday,21.00435942366368,2015,9,39
2015-09-23 00:00:00-04:00,21.349703020017046,21.366412255559855,21.060064230213165,21.154752731323242,2015-09-23,HSBC,39,Wednesday,21.232733059278324,2015,9,39
2015-09-24 00:00:00-04:00,20.77042038440707,20.982077732345747,20.6367401582786,20.937519073486328,2015-09-24,HSBC,39,Thursday,20.831689337129436,2015,9,39
2015-09-25 00:00:00-04:00,21.21601190032877,21.33855189764634,21.13803267468106,21.199302673339844,2015-09-25,HSBC,39,Friday,21.222974786499,2015,9,39
2015-09-28 00:00:00-04:00,20.80940889659146,20.814977931860863,20.642310216434353,20.692440032958984,2015-09-28,HSBC,40,Monday,20.739784269461417,2015,9,40
2015-09-29 00:00:00-04:00,20.62003198369615,20.664590644839453,20.486351750715812,20.63117218017578,2015-09-29,HSBC,40,Tuesday,20.6005366398568,2015,9,40
