Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,MGK,72.07246,1%,1
2015-09-01,MGK,71.344455,2%,1
2015-09-02,MGK,71.764032,1%,1
2015-09-04,MGK,71.491876,1%,1
2015-09-09,MGK,73.487597,1%,1
2015-09-09,MGK,72.745299,2%,1
2015-09-25,MGK,72.651714,1%,1
2015-09-25,MGK,71.917858,2%,1
2015-09-28,MGK,71.176608,1%,1
2015-09-28,MGK,70.457653,2%,1
2015-09-29,MGK,69.619597,1%,1
2015-11-09,MGK,78.278804,1%,1
2015-11-13,MGK,76.47594,1%,1
2015-12-03,MGK,78.114925,1%,1
2015-12-03,MGK,77.325886,2%,1
2015-12-07,MGK,78.133111,1%,1
2015-12-09,MGK,77.240784,1%,1
2015-12-11,MGK,76.002486,1%,1
2015-12-14,MGK,75.219386,1%,1
2015-12-17,MGK,77.422825,1%,1
2015-12-18,MGK,75.731414,1%,1
2016-01-04,MGK,74.570213,1%,1
2016-01-08,MGK,72.668506,1%,1
2016-01-11,MGK,71.735897,1%,1
2016-01-12,MGK,72.165622,1%,1
2016-01-13,MGK,72.513063,1%,1
2016-01-13,MGK,71.780608,2%,1
2016-01-13,MGK,71.048153,3%,1
2016-01-14,MGK,70.401019,1%,1
2016-01-19,MGK,70.583898,1%,1
2016-01-20,MGK,68.709613,1%,1
2016-01-20,MGK,68.015576,2%,1
2016-01-25,MGK,71.150789,1%,1
2016-01-27,MGK,70.739308,1%,1
2016-01-27,MGK,70.024769,2%,1
2016-01-28,MGK,70.675325,1%,1
2016-02-02,MGK,71.534766,1%,1
2016-02-03,MGK,71.159915,1%,1
2016-02-03,MGK,70.441128,2%,1
2016-02-05,MGK,70.50159,1%,1
2016-02-05,MGK,69.789453,2%,1
2016-02-08,MGK,67.71298,1%,1
2016-02-18,MGK,71.050189,1%,1
2016-02-23,MGK,71.415927,1%,1
2016-03-10,MGK,73.070789,1%,1
2016-04-07,MGK,76.643723,1%,1
2016-04-29,MGK,75.928122,1%,1
2016-05-12,MGK,76.414365,1%,1
2016-05-17,MGK,76.084073,1%,1
2016-06-27,MGK,74.115366,1%,1
2016-08-02,MGK,80.634627,1%,1
2016-09-09,MGK,80.118993,1%,1
2016-10-11,MGK,80.517872,1%,1
2016-11-01,MGK,79.16821,1%,1
2016-11-10,MGK,80.222057,1%,1
2016-11-14,MGK,79.251403,1%,1
2016-12-01,MGK,79.907753,1%,1
2016-12-30,MGK,81.471193,1%,1
2017-03-21,MGK,89.33691,1%,1
2017-05-17,MGK,92.049241,1%,1
2017-06-09,MGK,95.12159,1%,1
2017-06-09,MGK,94.160766,2%,1
2017-06-27,MGK,94.559782,1%,1
2017-06-29,MGK,94.475656,1%,1
2017-07-27,MGK,97.278286,1%,1
2017-08-10,MGK,95.867627,1%,1
2017-08-17,MGK,96.213275,1%,1
2017-11-29,MGK,103.740374,1%,1
2017-12-01,MGK,103.327942,1%,1
2017-12-04,MGK,104.068452,1%,1
2018-01-16,MGK,110.765355,1%,1
2018-01-24,MGK,113.2776,1%,1
2018-02-02,MGK,111.320482,1%,1
2018-02-05,MGK,108.685938,1%,1
2018-02-05,MGK,107.5881,2%,1
2018-02-05,MGK,106.490262,3%,1
2018-02-08,MGK,107.105178,1%,1
2018-02-08,MGK,106.023308,2%,1
2018-02-08,MGK,104.941437,3%,1
2018-02-08,MGK,103.859567,4%,1
2018-02-09,MGK,103.896625,1%,1
2018-02-09,MGK,102.847164,2%,1
2018-02-09,MGK,101.797703,3%,1
2018-02-15,MGK,108.67652,1%,1
2018-02-27,MGK,111.885037,1%,1
2018-02-28,MGK,110.746518,1%,1
2018-03-01,MGK,109.429247,1%,1
2018-03-01,MGK,108.323901,2%,1
2018-03-13,MGK,113.475218,1%,1
2018-03-19,MGK,110.737133,1%,1
2018-03-22,MGK,108.436788,1%,1
2018-03-23,MGK,106.8714,1%,1
2018-03-23,MGK,105.791891,2%,1
2018-03-26,MGK,106.098112,1%,1
2018-03-27,MGK,107.672942,1%,1
2018-03-27,MGK,106.585337,2%,1
2018-03-27,MGK,105.497731,3%,1
2018-04-02,MGK,105.334283,1%,1
2018-04-02,MGK,104.270301,2%,1
2018-04-03,MGK,103.985793,1%,1
2018-04-06,MGK,105.522869,1%,1
2018-04-13,MGK,107.399466,1%,1
2018-04-20,MGK,108.021844,1%,1
2018-04-24,MGK,106.861947,1%,1
2018-04-24,MGK,105.782534,2%,1
2018-05-03,MGK,106.352723,1%,1
2018-06-21,MGK,115.264186,1%,1
2018-06-25,MGK,113.510168,1%,1
2018-06-27,MGK,113.161267,1%,1
2018-07-03,MGK,113.477763,1%,1
2018-07-27,MGK,118.011201,1%,1
2018-07-30,MGK,116.269767,1%,1
2018-09-05,MGK,120.519258,1%,1
2018-09-06,MGK,119.686369,1%,1
2018-09-17,MGK,120.169097,1%,1
2018-10-04,MGK,121.55977,1%,1
2018-10-05,MGK,120.078731,1%,1
2018-10-08,MGK,118.559709,1%,1
2018-10-10,MGK,118.388807,1%,1
2018-10-10,MGK,117.19296,2%,1
2018-10-10,MGK,115.997114,3%,1
2018-10-11,MGK,113.404519,1%,1
2018-10-11,MGK,112.259019,2%,1
2018-10-12,MGK,114.638745,1%,1
2018-10-17,MGK,116.537522,1%,1
2018-10-18,MGK,115.673556,1%,1
2018-10-18,MGK,114.505136,2%,1
2018-10-24,MGK,113.205135,1%,1
2018-10-24,MGK,112.061649,2%,1
2018-10-24,MGK,110.918163,3%,1
2018-10-26,MGK,109.341128,1%,1
2018-10-29,MGK,110.803194,1%,1
2018-10-29,MGK,109.68397,2%,1
2018-10-29,MGK,108.564746,3%,1
2018-10-29,MGK,107.445522,4%,1
2018-11-02,MGK,112.531083,1%,1
2018-11-09,MGK,113.907704,1%,1
2018-11-12,MGK,112.521602,1%,1
2018-11-12,MGK,111.38502,2%,1
2018-11-14,MGK,110.926607,1%,1
2018-11-14,MGK,109.806136,2%,1
2018-11-19,MGK,109.787357,1%,1
2018-11-19,MGK,108.678394,2%,1
2018-12-03,MGK,113.584896,1%,1
2018-12-04,MGK,112.369691,1%,1
2018-12-04,MGK,111.234644,2%,1
2018-12-04,MGK,110.099596,3%,1
2018-12-07,MGK,108.961379,1%,1
2018-12-07,MGK,107.860759,2%,1
2018-12-10,MGK,105.961312,1%,1
2018-12-11,MGK,108.448702,1%,1
2018-12-11,MGK,107.353261,2%,1
2018-12-14,MGK,106.606887,1%,1
2018-12-17,MGK,104.983452,1%,1
2018-12-17,MGK,103.923013,2%,1
2018-12-18,MGK,103.986607,1%,1
2018-12-19,MGK,103.578347,1%,1
2018-12-19,MGK,102.532101,2%,1
2018-12-20,MGK,100.891581,1%,1
2018-12-20,MGK,99.872474,2%,1
2018-12-21,MGK,99.894705,1%,1
2018-12-21,MGK,98.885668,2%,1
2018-12-21,MGK,97.87663,3%,1
2018-12-24,MGK,96.013655,1%,1
2018-12-27,MGK,98.741457,1%,1
2018-12-28,MGK,101.507221,1%,1
2019-01-03,MGK,100.509251,1%,1
2019-01-08,MGK,104.691216,1%,1
2019-01-22,MGK,107.827663,1%,1
2019-01-23,MGK,107.209885,1%,1
2019-03-04,MGK,115.991971,1%,1
2019-03-07,MGK,114.309677,1%,1
2019-03-22,MGK,118.776761,1%,1
2019-03-27,MGK,117.597826,1%,1
2019-05-01,MGK,124.588649,1%,1
2019-05-07,MGK,122.553255,1%,1
2019-05-10,MGK,120.280013,1%,1
2019-06-03,MGK,115.372185,1%,1
2019-06-03,MGK,114.206809,2%,1
2019-06-11,MGK,122.324949,1%,1
2019-06-25,MGK,124.274786,1%,1
2019-07-19,MGK,127.922465,1%,1
2019-07-31,MGK,128.418667,1%,1
2019-07-31,MGK,127.121509,2%,1
2019-08-01,MGK,126.767891,1%,1
2019-08-02,MGK,125.365154,1%,1
2019-08-05,MGK,121.977682,1%,1
2019-08-05,MGK,120.745584,2%,1
2019-08-14,MGK,123.418528,1%,1
2019-08-22,MGK,126.557921,1%,1
2019-08-23,MGK,125.489182,1%,1
2019-08-23,MGK,124.221614,2%,1
2019-08-27,MGK,125.002537,1%,1
2019-08-30,MGK,126.958688,1%,1
2019-09-09,MGK,128.914849,1%,1
2019-09-20,MGK,128.972118,1%,1
2019-09-24,MGK,128.094212,1%,1
2019-09-27,MGK,127.512123,1%,1
2019-09-27,MGK,126.224121,2%,1
2019-10-01,MGK,126.962612,1%,1
2019-10-02,MGK,124.551198,1%,1
2019-10-03,MGK,123.058429,1%,1
