Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,MGK,73.982465,74.23903,73.359378,73.533478,36,Monday,73.778588,100.0,1.355407
2015-09-01,MGK,72.800449,72.800449,71.068633,71.471809,36,Tuesday,72.035335,100.0,1.388208
2015-10-01,MGK,71.564476,71.849598,70.920665,71.8312,40,Thursday,71.541485,100.0,1.39779
2015-11-02,MGK,78.67402,79.492583,78.67402,79.437401,45,Monday,79.069506,100.0,1.26471
2015-12-01,MGK,78.96832,79.373005,78.867149,79.354607,49,Tuesday,79.14077,100.0,1.263571
2016-01-04,MGK,75.323463,75.360405,74.510755,75.360405,1,Monday,75.138757,100.0,1.330871
2016-02-01,MGK,72.063373,72.931497,71.850964,72.654434,5,Monday,72.375067,100.0,1.381691
2016-03-01,MGK,72.562109,73.910469,72.368168,73.910469,9,Tuesday,73.187804,100.0,1.366348
2016-04-01,MGK,76.676522,77.770048,76.509713,77.714447,13,Friday,77.167682,100.0,1.295879
2016-05-02,MGK,76.61164,77.130606,76.51897,77.102798,18,Monday,76.841003,100.0,1.301389
2016-06-01,MGK,77.844194,78.307553,77.825663,78.233414,22,Wednesday,78.052706,100.0,1.281186
2016-07-01,MGK,77.607785,78.240255,77.607785,77.97982,26,Friday,77.858911,100.0,1.284374
2016-08-01,MGK,81.28174,81.728193,81.263141,81.542168,31,Monday,81.45381,100.0,1.22769
2016-09-01,MGK,81.142223,81.188731,80.732982,81.179428,35,Thursday,81.060841,100.0,1.233641
2016-10-03,MGK,81.583309,81.611321,81.2098,81.508606,40,Monday,81.478259,100.0,1.227321
2016-11-01,MGK,79.967881,79.98656,78.75398,79.267555,44,Tuesday,79.493994,100.0,1.257957
2016-12-01,MGK,80.714886,80.714886,79.622373,79.790451,48,Thursday,80.210649,100.0,1.246717
2017-01-03,MGK,82.134638,82.61304,81.918894,82.32225,1,Tuesday,82.247206,100.0,1.215847
2017-02-01,MGK,85.145739,85.211402,84.733007,85.117599,5,Wednesday,85.051937,100.0,1.175752
2017-03-01,MGK,89.404461,89.986048,89.263761,89.864105,9,Wednesday,89.629594,100.0,1.115703
2017-04-03,MGK,90.082549,90.223613,89.480682,89.969696,14,Monday,89.939135,100.0,1.111863
2017-05-01,MGK,92.414786,92.790954,92.386575,92.593468,18,Monday,92.546446,100.0,1.080539
2017-06-01,MGK,95.151395,95.499352,94.859868,95.499352,22,Thursday,95.252491,100.0,1.049841
2017-07-03,MGK,94.759993,94.892101,94.014519,94.014519,27,Monday,94.420283,100.0,1.059094
2017-08-01,MGK,97.222866,97.241743,96.958649,97.109634,31,Tuesday,97.133223,100.0,1.029514
2017-09-01,MGK,98.440173,98.525104,98.166517,98.336372,35,Friday,98.367042,100.0,1.016601
2017-10-02,MGK,99.410139,99.552169,99.050337,99.334396,40,Monday,99.33676,100.0,1.006677
2017-11-01,MGK,102.591567,102.591567,102.004523,102.26017,44,Wednesday,102.361957,100.0,0.976925
2017-12-01,MGK,104.371651,104.788261,103.00818,104.371651,48,Friday,104.134936,100.0,0.960293
2018-01-02,MGK,106.305192,107.084541,106.11511,107.084541,1,Tuesday,106.647346,100.0,0.93767
2018-02-01,MGK,113.100732,113.813552,112.730067,113.024696,5,Thursday,113.167262,100.0,0.883648
2018-03-01,MGK,110.534585,110.981279,107.958923,108.823814,9,Thursday,109.57465,100.0,0.91262
2018-04-02,MGK,106.398274,106.684037,103.226334,104.264595,14,Monday,105.14331,100.0,0.951083
2018-05-01,MGK,107.322226,108.141408,106.836438,108.12236,18,Tuesday,107.605608,100.0,0.92932
2018-06-01,MGK,112.923147,113.780423,112.923147,113.675644,22,Friday,113.32559,100.0,0.882413
2018-07-02,MGK,112.922335,114.279848,112.807613,114.241608,27,Monday,113.562851,100.0,0.88057
2018-08-01,MGK,117.272129,117.568493,116.641175,117.109612,31,Wednesday,117.147852,100.0,0.853622
2018-09-04,MGK,122.023432,122.080789,121.411594,121.927834,36,Tuesday,121.860912,100.0,0.820608
2018-10-01,MGK,123.650723,124.072676,123.161634,123.420563,40,Monday,123.576399,100.0,0.809216
2018-11-01,MGK,112.526572,113.763656,111.759394,113.686943,44,Thursday,112.934141,100.0,0.885472
2018-12-03,MGK,114.732226,114.789762,113.360886,114.060944,49,Monday,114.235954,100.0,0.875381
2019-01-02,MGK,100.842867,103.348578,100.842867,102.830154,1,Wednesday,101.966117,100.0,0.980718
2019-02-01,MGK,111.52814,112.180969,111.249727,111.537743,5,Friday,111.624145,100.0,0.895864
2019-03-01,MGK,116.405166,116.71238,115.771535,116.635574,9,Friday,116.381164,100.0,0.859246
2019-04-01,MGK,120.476586,120.880095,120.09229,120.812843,14,Monday,120.565453,100.0,0.829425
2019-05-01,MGK,125.847113,125.847113,124.300323,124.300323,18,Wednesday,125.073718,100.0,0.799528
2019-06-03,MGK,116.537576,116.748932,114.154941,114.789032,23,Monday,115.55762,100.0,0.865369
