Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,MGK,73.982458,74.239022,73.35937,73.53347,36,Monday,73.77858,25.0,0.338852
2015-09-08,MGK,73.157787,73.680088,72.800429,73.63427,37,Tuesday,73.318143,25.0,0.34098
2015-09-14,MGK,73.854183,73.854183,73.148632,73.35022,38,Monday,73.551804,25.0,0.339896
2015-09-21,MGK,74.185718,74.516816,73.486719,73.983376,39,Monday,74.043157,25.0,0.337641
2015-09-28,MGK,71.895564,71.895564,70.037705,70.175667,40,Monday,71.001125,25.0,0.352107
2015-10-05,MGK,73.449958,74.204139,73.449958,74.112167,41,Monday,73.804056,25.0,0.338735
2015-10-12,MGK,75.20661,75.316981,75.022666,75.243401,42,Monday,75.197415,25.0,0.332458
2015-10-19,MGK,75.684855,76.190704,75.583684,76.190704,43,Monday,75.912487,25.0,0.329327
2015-10-26,MGK,77.754288,77.993421,77.634725,77.84626,44,Monday,77.807174,25.0,0.321307
2015-11-02,MGK,78.674013,79.492575,78.674013,79.437393,45,Monday,79.069498,25.0,0.316178
2015-11-09,MGK,79.069499,79.069499,78.066986,78.508461,46,Monday,78.678611,25.0,0.317748
2015-11-16,MGK,76.061938,77.275986,76.034347,77.275986,47,Monday,76.662064,25.0,0.326107
2015-11-23,MGK,79.207472,79.529377,78.839577,79.1063,48,Monday,79.170681,25.0,0.315773
2015-11-30,MGK,79.327033,79.446596,78.646432,78.655624,49,Monday,79.018921,25.0,0.31638
2015-12-07,MGK,78.922335,78.922335,78.103772,78.490059,50,Monday,78.609625,25.0,0.318027
2015-12-14,MGK,75.979177,76.411453,75.160615,76.411453,51,Monday,75.990675,25.0,0.328988
2015-12-21,MGK,75.933003,76.05306,75.397351,75.99765,52,Monday,75.845266,25.0,0.329618
2015-12-28,MGK,76.958124,77.133591,76.634888,77.133591,53,Monday,76.965048,25.0,0.324823
2016-01-04,MGK,75.323447,75.36039,74.51074,75.36039,1,Monday,75.138742,25.0,0.332718
2016-01-11,MGK,72.460502,72.663681,71.306084,72.211151,2,Monday,72.160355,25.0,0.346451
2016-01-19,MGK,71.296867,71.343046,69.893097,70.511864,3,Tuesday,70.761218,25.0,0.353301
2016-01-25,MGK,71.869484,72.035721,70.973654,71.047539,4,Monday,71.4816,25.0,0.34974
2016-02-01,MGK,72.063373,72.931497,71.850964,72.654434,5,Monday,72.375067,25.0,0.345423
2016-02-08,MGK,68.39695,68.572424,67.196359,68.313835,6,Monday,68.119892,25.0,0.367
2016-02-16,MGK,69.819206,70.280973,69.486733,70.271736,7,Tuesday,69.964662,25.0,0.357323
2016-02-22,MGK,71.897159,72.340459,71.878691,72.285042,8,Monday,72.100338,25.0,0.346739
2016-02-29,MGK,72.488204,72.959208,71.980264,71.989494,9,Monday,72.354293,25.0,0.345522
2016-03-07,MGK,73.781181,74.270653,73.568772,73.98436,10,Monday,73.901241,25.0,0.338289
2016-03-14,MGK,74.704678,75.157208,74.704678,74.972504,11,Monday,74.884767,25.0,0.333846
2016-03-21,MGK,76.018566,76.379985,76.009297,76.278046,12,Monday,76.171473,25.0,0.328207
2016-03-28,MGK,76.129759,76.176091,75.83321,75.92588,13,Monday,76.016235,25.0,0.328877
2016-04-04,MGK,77.797833,77.844172,77.454952,77.547623,14,Monday,77.661145,25.0,0.321911
2016-04-11,MGK,77.343776,77.529124,76.704339,76.722878,15,Monday,77.075029,25.0,0.324359
2016-04-18,MGK,77.881265,78.455832,77.807126,78.437294,16,Monday,78.14538,25.0,0.319917
2016-04-25,MGK,77.482752,77.705162,77.334474,77.705162,17,Monday,77.556888,25.0,0.322344
2016-05-02,MGK,76.611655,77.130621,76.518985,77.102814,18,Monday,76.841019,25.0,0.325347
2016-05-09,MGK,76.444853,76.94528,76.444853,76.73214,19,Monday,76.641781,25.0,0.326193
2016-05-16,MGK,76.296555,77.186202,76.296555,76.991592,20,Monday,76.692726,25.0,0.325976
2016-05-23,MGK,76.36144,76.574581,76.240962,76.29657,21,Monday,76.368388,25.0,0.327361
2016-05-31,MGK,78.289032,78.409503,77.862736,78.122223,22,Tuesday,78.170874,25.0,0.319812
2016-06-06,MGK,78.511399,78.650408,78.25192,78.5392,23,Monday,78.488232,25.0,0.318519
2016-06-13,MGK,77.770035,78.131454,77.408616,77.436417,24,Monday,77.68663,25.0,0.321806
2016-06-20,MGK,77.964649,77.964649,77.371552,77.371552,25,Monday,77.6681,25.0,0.321882
2016-06-27,MGK,74.864006,74.891908,73.868796,74.212936,26,Monday,74.459411,25.0,0.335753
2016-07-05,MGK,77.579915,77.728728,77.328784,77.635719,27,Tuesday,77.568287,25.0,0.322297
2016-07-11,MGK,79.514512,79.886555,79.440109,79.607521,28,Monday,79.612174,25.0,0.314022
2016-07-18,MGK,80.323703,80.649238,80.23999,80.556229,29,Monday,80.44229,25.0,0.310782
2016-07-25,MGK,80.751536,80.816643,80.407396,80.621323,30,Monday,80.649225,25.0,0.309984
2016-08-01,MGK,81.281732,81.728185,81.263133,81.54216,31,Monday,81.453803,25.0,0.306922
