Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,MSFT,37.577575,1%,1
2015-09-01,MSFT,36.378458,1%,1
2015-09-02,MSFT,36.542369,1%,1
2015-09-04,MSFT,36.930573,1%,1
2015-09-09,MSFT,38.138292,1%,1
2015-09-09,MSFT,37.753056,2%,1
2015-09-14,MSFT,37.465426,1%,1
2015-09-25,MSFT,38.371206,1%,1
2015-09-28,MSFT,37.810486,1%,1
2015-10-01,MSFT,38.604129,1%,1
2015-10-01,MSFT,38.214189,2%,1
2015-10-07,MSFT,40.63139,1%,1
2015-10-07,MSFT,40.220971,2%,1
2015-10-09,MSFT,40.933318,1%,1
2015-10-12,MSFT,40.527866,1%,1
2015-10-15,MSFT,40.553745,1%,1
2015-10-21,MSFT,41.338773,1%,1
2015-10-28,MSFT,46.186941,1%,1
2015-10-30,MSFT,45.99715,1%,1
2015-11-09,MSFT,47.058237,1%,1
2015-11-10,MSFT,46.644142,1%,1
2015-11-13,MSFT,45.781491,1%,1
2015-11-20,MSFT,47.114864,1%,1
2015-12-03,MSFT,48.191792,1%,1
2015-12-03,MSFT,47.705006,2%,1
2015-12-09,MSFT,48.087568,1%,1
2015-12-11,MSFT,47.514366,1%,1
2015-12-14,MSFT,47.18436,1%,1
2015-12-15,MSFT,48.339425,1%,1
2015-12-16,MSFT,48.235208,1%,1
2015-12-17,MSFT,48.947352,1%,1
2015-12-18,MSFT,48.434958,1%,1
2015-12-18,MSFT,47.945716,2%,1
2015-12-18,MSFT,47.456474,3%,1
2015-12-21,MSFT,47.662014,1%,1
2015-12-31,MSFT,48.66945,1%,1
2016-01-04,MSFT,47.175668,1%,1
2016-01-06,MSFT,47.175669,1%,1
2016-01-07,MSFT,45.76874,1%,1
2016-01-11,MSFT,45.603724,1%,1
2016-01-12,MSFT,45.820842,1%,1
2016-01-13,MSFT,46.724061,1%,1
2016-01-13,MSFT,46.252101,2%,1
2016-01-13,MSFT,45.780141,3%,1
2016-01-13,MSFT,45.308181,4%,1
2016-01-15,MSFT,44.561552,1%,1
2016-01-19,MSFT,44.709193,1%,1
2016-01-19,MSFT,44.257585,2%,1
2016-01-20,MSFT,43.406481,1%,1
2016-01-21,MSFT,44.292316,1%,1
2016-01-27,MSFT,45.16948,1%,1
2016-01-28,MSFT,45.039221,1%,1
2016-01-29,MSFT,47.531738,1%,1
2016-02-02,MSFT,47.045383,1%,1
2016-02-02,MSFT,46.570177,2%,1
2016-02-03,MSFT,46.246395,1%,1
2016-02-03,MSFT,45.779259,2%,1
2016-02-03,MSFT,45.312124,3%,1
2016-02-04,MSFT,45.247651,1%,1
2016-02-05,MSFT,45.108671,1%,1
2016-02-05,MSFT,44.653027,2%,1
2016-02-05,MSFT,44.197384,3%,1
2016-02-05,MSFT,43.741741,4%,1
2016-02-08,MSFT,43.033032,1%,1
2016-02-08,MSFT,42.598355,2%,1
2016-02-16,MSFT,44.522866,1%,1
2016-02-23,MSFT,45.782441,1%,1
2016-02-23,MSFT,45.319992,2%,1
2016-02-25,MSFT,45.248885,1%,1
2016-02-25,MSFT,44.791825,2%,1
2016-02-26,MSFT,46.009869,1%,1
2016-02-26,MSFT,45.545123,2%,1
2016-02-29,MSFT,44.916489,1%,1
2016-03-03,MSFT,46.333525,1%,1
2016-03-03,MSFT,45.86551,2%,1
