Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,MSFT,37.957147,38.279555,37.556311,37.922291,36,Monday,37.928826,100.0,2.636517
2015-09-01,MSFT,36.745917,37.111897,36.301517,36.440937,36,Tuesday,36.650067,100.0,2.728508
2015-10-01,MSFT,38.99407,38.99407,38.122694,38.872078,40,Thursday,38.745728,100.0,2.58093
2015-11-02,MSFT,46.05222,46.496624,45.851804,46.392059,45,Monday,46.198177,100.0,2.164588
2015-12-01,MSFT,47.731138,48.450482,47.63464,48.441711,49,Tuesday,48.064493,100.0,2.080538
2016-01-04,MSFT,47.65219,48.073269,46.836347,48.073269,1,Monday,47.658769,100.0,2.09825
2016-02-01,MSFT,48.14345,48.327672,47.810095,47.994316,5,Monday,48.068883,100.0,2.080348
2016-03-01,MSFT,45.034431,46.465778,44.990251,46.456944,9,Tuesday,45.736851,100.0,2.186421
2016-04-01,MSFT,48.639317,49.134105,48.215215,49.098763,13,Friday,48.77185,100.0,2.050363
2016-05-02,MSFT,44.177405,44.840066,43.983023,44.71637,18,Monday,44.429216,100.0,2.250771
2016-06-01,MSFT,46.657326,47.111089,46.657326,47.022114,22,Wednesday,46.861963,100.0,2.133927
2016-07-01,MSFT,45.491788,46.016727,45.438403,45.518478,26,Friday,45.616349,100.0,2.192196
2016-08-01,MSFT,50.358585,50.492046,49.949311,50.340794,31,Monday,50.285184,100.0,1.988657
2016-09-01,MSFT,51.039524,51.764697,51.039524,51.558784,35,Thursday,51.350633,100.0,1.947396
2016-10-03,MSFT,51.397627,51.522965,51.084283,51.406578,40,Monday,51.352863,100.0,1.947311
2016-11-01,MSFT,53.689533,53.734296,53.044935,53.537334,44,Tuesday,53.501524,100.0,1.869106
2016-12-01,MSFT,54.178417,54.214471,53.12387,53.358215,48,Thursday,53.718743,100.0,1.861548
2017-01-03,MSFT,56.593959,56.639024,55.999087,56.404682,1,Tuesday,56.409188,100.0,1.772761
2017-02-01,MSFT,58.009037,58.243382,57.206861,57.306007,5,Wednesday,57.691322,100.0,1.733363
2017-03-01,MSFT,58.152138,58.931974,58.052391,58.886639,9,Wednesday,58.505785,100.0,1.709233
2017-04-03,MSFT,59.675548,59.793435,59.113346,59.439789,14,Monday,59.505529,100.0,1.680516
2017-05-01,MSFT,62.278038,63.066944,62.114817,62.939995,18,Monday,62.599948,100.0,1.597445
2017-06-01,MSFT,64.057693,64.395129,63.337225,63.930016,22,Thursday,63.930016,100.0,1.56421
2017-07-03,MSFT,63.227815,63.474047,62.033112,62.16991,27,Monday,62.726221,100.0,1.59423
2017-08-01,MSFT,66.665955,66.957789,66.109645,66.191727,31,Tuesday,66.481279,100.0,1.504183
2017-09-01,MSFT,68.497271,68.524775,67.51625,67.791306,35,Friday,68.0824,100.0,1.468808
2017-10-02,MSFT,68.497292,68.772347,68.12139,68.405609,40,Monday,68.44916,100.0,1.460938
2017-11-01,MSFT,76.721345,76.794694,75.987869,76.262924,44,Wednesday,76.441708,100.0,1.308186
2017-12-01,MSFT,77.03294,78.147889,76.682793,77.641098,48,Friday,77.37618,100.0,1.292387
2018-01-02,MSFT,79.364202,79.530063,78.783693,79.198341,1,Tuesday,79.219075,100.0,1.262322
2018-02-01,MSFT,87.343911,88.523361,86.228961,86.855545,5,Thursday,87.237944,100.0,1.14629
2018-03-01,MSFT,87.013597,87.550548,85.023179,85.958214,9,Thursday,86.386384,100.0,1.15759
2018-04-02,MSFT,83.754858,84.134422,81.014565,81.949593,14,Monday,82.713359,100.0,1.208995
2018-05-01,MSFT,86.291501,88.217115,85.902677,87.948639,18,Tuesday,87.089983,100.0,1.148238
2018-06-01,MSFT,92.309321,93.778387,92.207044,93.713303,22,Friday,93.002014,100.0,1.075246
2018-07-02,MSFT,91.212177,93.03456,91.1192,92.988075,27,Monday,92.088503,100.0,1.085912
2018-08-01,MSFT,98.585386,98.975895,98.018215,98.817833,31,Wednesday,98.599332,100.0,1.014206
2018-09-04,MSFT,103.463594,104.49963,102.875576,104.266289,36,Tuesday,103.776272,100.0,0.963611
2018-10-01,MSFT,107.10373,107.971761,107.085066,107.906425,40,Monday,107.516746,100.0,0.930088
2018-11-01,MSFT,99.916807,100.168812,98.498087,98.862099,44,Thursday,99.361451,100.0,1.006427
2018-12-03,MSFT,105.925965,106.31967,103.798075,105.072929,49,Monday,105.27916,100.0,0.949856
2019-01-02,MSFT,93.317981,95.380254,92.746168,94.789696,1,Wednesday,94.058525,100.0,1.063168
2019-02-01,MSFT,97.283154,97.583121,95.942675,96.345757,5,Friday,96.788677,100.0,1.033179
