Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2022-09-13,MSFU,23.158918,1%,1
2022-09-13,MSFU,22.924989,2%,1
2022-09-13,MSFU,22.691061,3%,1
2022-09-13,MSFU,22.457132,4%,1
2022-09-15,MSFU,21.80397,1%,1
2022-09-15,MSFU,21.583727,2%,1
2022-09-15,MSFU,21.363485,3%,1
2022-09-20,MSFU,20.730628,1%,1
2022-09-21,MSFU,21.042702,1%,1
2022-09-21,MSFU,20.830149,2%,1
2022-09-21,MSFU,20.617597,3%,1
2022-09-23,MSFU,20.472048,1%,1
2022-09-23,MSFU,20.26526,2%,1
2022-09-27,MSFU,20.463138,1%,1
2022-09-27,MSFU,20.25644,2%,1
2022-09-27,MSFU,20.049742,3%,1
2022-09-29,MSFU,20.293725,1%,1
2022-09-29,MSFU,20.088738,2%,1
2022-09-30,MSFU,20.186724,1%,1
2022-09-30,MSFU,19.982818,2%,1
2022-09-30,MSFU,19.778911,3%,1
2022-10-05,MSFU,21.255803,1%,1
2022-10-06,MSFU,21.586602,1%,1
2022-10-10,MSFU,19.517994,1%,1
2022-10-10,MSFU,19.320842,2%,1
2022-10-10,MSFU,19.123691,3%,1
2022-10-12,MSFU,18.617438,1%,1
2022-10-14,MSFU,19.75874,1%,1
2022-10-14,MSFU,19.559157,2%,1
2022-10-14,MSFU,19.359573,3%,1
2022-10-14,MSFU,19.15999,4%,1
2022-10-18,MSFU,20.739542,1%,1
2022-10-18,MSFU,20.530052,2%,1
2022-10-18,MSFU,20.320561,3%,1
2022-10-18,MSFU,20.111071,4%,1
2022-10-19,MSFU,19.919232,1%,1
2022-10-20,MSFU,20.172462,1%,1
2022-10-20,MSFU,19.9687,2%,1
2022-10-24,MSFU,20.793042,1%,1
2022-10-27,MSFU,19.17026,1%,1
2022-10-27,MSFU,18.976621,2%,1
2022-10-27,MSFU,18.782982,3%,1
2022-10-31,MSFU,19.429731,1%,1
2022-11-01,MSFU,19.455581,1%,1
2022-11-01,MSFU,19.25906,2%,1
2022-11-01,MSFU,19.062539,3%,1
2022-11-01,MSFU,18.866018,4%,1
2022-11-02,MSFU,18.626356,1%,1
2022-11-02,MSFU,18.438211,2%,1
2022-11-02,MSFU,18.250066,3%,1
2022-11-02,MSFU,18.061921,4%,1
2022-11-03,MSFU,17.60097,1%,1
2022-11-03,MSFU,17.423182,2%,1
2022-11-03,MSFU,17.245395,3%,1
2022-11-04,MSFU,17.431559,1%,1
2022-11-04,MSFU,17.255483,2%,1
2022-11-09,MSFU,18.510444,1%,1
2022-11-15,MSFU,20.819789,1%,1
2022-11-15,MSFU,20.609488,2%,1
2022-11-16,MSFU,20.507718,1%,1
2022-11-18,MSFU,20.24914,1%,1
2022-11-28,MSFU,20.837624,1%,1
2022-11-28,MSFU,20.627143,2%,1
2022-11-28,MSFU,20.416662,3%,1
2022-11-29,MSFU,20.195647,1%,1
2022-12-01,MSFU,22.093944,1%,1
2022-12-01,MSFU,21.870772,2%,1
2022-12-05,MSFU,21.73818,1%,1
2022-12-05,MSFU,21.518603,2%,1
2022-12-06,MSFU,21.436807,1%,1
2022-12-06,MSFU,21.220273,2%,1
2022-12-06,MSFU,21.00374,3%,1
2022-12-07,MSFU,20.677129,1%,1
2022-12-13,MSFU,22.861645,1%,1
2022-12-13,MSFU,22.63072,2%,1
2022-12-13,MSFU,22.399794,3%,1
2022-12-13,MSFU,22.168868,4%,1
2022-12-13,MSFU,21.937943,5%,1
2022-12-14,MSFU,22.210749,1%,1
2022-12-15,MSFU,21.756014,1%,1
2022-12-15,MSFU,21.536257,2%,1
2022-12-15,MSFU,21.316499,3%,1
2022-12-16,MSFU,21.078365,1%,1
2022-12-16,MSFU,20.865452,2%,1
2022-12-16,MSFU,20.65254,3%,1
2022-12-19,MSFU,20.448871,1%,1
2022-12-19,MSFU,20.242317,2%,1
2022-12-22,MSFU,19.857593,1%,1
2022-12-22,MSFU,19.657012,2%,1
2022-12-27,MSFU,19.741987,1%,1
2022-12-28,MSFU,19.535877,1%,1
2022-12-30,MSFU,19.767978,1%,1
2023-01-03,MSFU,20.190059,1%,1
2023-01-03,MSFU,19.986119,2%,1
2023-01-04,MSFU,18.953385,1%,1
2023-01-04,MSFU,18.761937,2%,1
2023-01-04,MSFU,18.570488,3%,1
2023-01-04,MSFU,18.37904,4%,1
2023-01-05,MSFU,18.335046,1%,1
2023-01-05,MSFU,18.149843,2%,1
2023-01-05,MSFU,17.964641,3%,1
2023-01-06,MSFU,17.851132,1%,1
2023-01-06,MSFU,17.670818,2%,1
2023-01-12,MSFU,19.329765,1%,1
2023-01-13,MSFU,19.450745,1%,1
2023-01-18,MSFU,20.091483,1%,1
2023-01-18,MSFU,19.888539,2%,1
2023-01-18,MSFU,19.685594,3%,1
2023-01-18,MSFU,19.48265,4%,1
2023-01-19,MSFU,19.141576,1%,1
2023-01-19,MSFU,18.948227,2%,1
2023-01-24,MSFU,20.109407,1%,1
2023-01-25,MSFU,19.096765,1%,1
2023-01-27,MSFU,20.90697,1%,1
2023-01-30,MSFU,20.333441,1%,1
2023-02-01,MSFU,20.763589,1%,1
2023-02-03,MSFU,22.125725,1%,1
2023-02-06,MSFU,21.892724,1%,1
2023-02-08,MSFU,23.953853,1%,1
2023-02-08,MSFU,23.711895,2%,1
2023-02-08,MSFU,23.469936,3%,1
2023-02-09,MSFU,23.99866,1%,1
2023-02-09,MSFU,23.756249,2%,1
