Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2022-09-07,MSFU,23.152433,23.152433,23.152433,23.152433,36,Wednesday,23.152433,100.0,4.3192
2022-10-03,MSFU,20.120439,20.813937,20.016865,20.696852,40,Monday,20.412023,100.0,4.899073
2022-11-01,MSFU,19.652102,19.652102,18.805494,18.901863,44,Tuesday,19.25289,100.0,5.194025
2022-12-01,MSFU,22.317117,22.317117,21.739803,22.18112,48,Thursday,22.138789,100.0,4.516959
2023-01-03,MSFU,20.393995,20.819435,19.796568,20.067221,1,Tuesday,20.269305,100.0,4.933568
2023-02-01,MSFU,20.973322,21.851359,20.688186,21.579802,5,Wednesday,21.273167,100.0,4.700758
2023-03-01,MSFU,21.063844,21.090999,20.620299,20.701767,9,Wednesday,20.869227,100.0,4.791744
2023-04-03,MSFU,25.636801,25.945679,25.43694,25.836664,14,Monday,25.714021,100.0,3.888929
2023-05-01,MSFU,28.280425,28.52571,28.071479,28.116903,18,Monday,28.248629,100.0,3.539995
2023-06-01,MSFU,30.896796,31.932446,30.86046,31.787092,22,Thursday,31.369199,100.0,3.18784
2023-07-03,MSFU,32.603742,32.731563,32.165495,32.36636,27,Monday,32.46679,100.0,3.08007
2023-08-01,MSFU,31.69986,32.174627,31.505386,31.88246,31,Tuesday,31.815583,100.0,3.143114
2023-09-01,MSFU,31.005968,31.133789,30.403379,30.649893,35,Friday,30.798257,100.0,3.246937
2023-10-02,MSFU,28.748857,29.549482,28.748857,29.549482,40,Monday,29.14917,100.0,3.430629
2023-11-01,MSFU,31.850127,32.871614,31.840923,32.724373,44,Wednesday,32.321759,100.0,3.093891
2023-12-01,MSFU,37.150807,37.261241,36.249875,36.727489,48,Friday,36.847353,100.0,2.713899
2024-01-02,MSFU,36.408241,36.714272,35.425239,35.981655,1,Tuesday,36.132352,100.0,2.767603
2024-02-01,MSFU,40.386629,41.276896,40.368081,40.664837,5,Thursday,40.674111,100.0,2.458566
2024-03-01,MSFU,41.620023,42.334092,41.620023,42.296997,9,Friday,41.967784,100.0,2.38278
2024-04-01,MSFU,43.159697,43.887894,43.06634,43.411766,14,Monday,43.381424,100.0,2.305134
2024-05-01,MSFU,36.633926,38.323715,36.269824,37.091381,18,Wednesday,37.079711,100.0,2.696893
2024-06-03,MSFU,40.751041,40.844398,39.430015,40.358932,23,Monday,40.346097,100.0,2.478555
2024-07-01,MSFU,46.988751,48.859462,46.45265,48.738132,27,Monday,47.759749,100.0,2.093813
2024-08-01,MSFU,40.875319,42.098004,39.332854,40.132301,31,Thursday,40.60962,100.0,2.462471
2024-09-03,MSFU,39.887772,40.235767,37.833662,38.307686,36,Tuesday,39.066222,100.0,2.559756
2024-10-01,MSFU,41.430493,41.430493,39.668299,40.009369,40,Tuesday,40.634663,100.0,2.460953
2024-11-01,MSFU,37.280811,38.417711,36.996587,37.470295,44,Friday,37.541351,100.0,2.663729
2024-12-02,MSFU,39.317755,41.411542,39.317755,41.079948,49,Monday,40.28175,100.0,2.482514
2025-01-02,MSFU,39.619295,39.676413,37.659506,38.348877,1,Thursday,38.826023,100.0,2.575592
2025-02-03,MSFU,36.315227,37.048917,35.867132,36.270912,6,Monday,36.375547,100.0,2.7491
2025-03-03,MSFU,33.907342,33.907342,31.789978,32.223301,10,Monday,32.956991,100.0,3.034258
2025-04-01,MSFU,29.497918,30.807613,29.378855,30.698473,14,Tuesday,30.095715,100.0,3.322732
2025-05-01,MSFU,37.802579,38.774932,36.859998,36.889763,18,Thursday,37.581818,100.0,2.660861
2025-06-02,MSFU,42.396436,43.259644,42.346827,43.259644,23,Monday,42.815638,100.0,2.335595
2025-07-01,MSFU,49.540001,49.830002,48.419998,48.650002,27,Tuesday,49.110001,100.0,2.036245
2025-08-01,MSFU,56.869999,56.939999,53.939999,54.580002,31,Friday,55.5825,100.0,1.799127
