Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2022-09-07,MSFU,23.152435,23.152435,23.152435,23.152435,36,Wednesday,23.152435,25.0,1.0798
2022-09-12,MSFU,24.257252,24.356297,24.176214,24.253651,37,Monday,24.260853,25.0,1.030467
2022-09-19,MSFU,20.943711,21.267861,20.934706,21.26606,38,Monday,21.103085,25.0,1.184661
2022-09-26,MSFU,20.32759,20.822946,20.32759,20.360014,39,Monday,20.459535,25.0,1.221924
2022-10-03,MSFU,20.120439,20.813937,20.016865,20.696852,40,Monday,20.412023,25.0,1.224768
2022-10-10,MSFU,19.715145,19.814217,19.000033,19.196373,41,Monday,19.431442,25.0,1.286575
2022-10-17,MSFU,20.012359,20.309573,19.958321,20.15106,42,Monday,20.107828,25.0,1.243297
2022-10-24,MSFU,21.003073,21.462403,20.741886,21.435383,43,Monday,21.160686,25.0,1.181436
2022-10-31,MSFU,19.625991,19.715154,19.291851,19.390923,44,Monday,19.50598,25.0,1.281658
2022-11-07,MSFU,18.211072,18.850532,18.048957,18.816307,45,Monday,18.481717,25.0,1.352688
2022-11-14,MSFU,20.507719,20.758998,20.341098,20.485203,46,Monday,20.523254,25.0,1.21813
2022-11-21,MSFU,20.462686,20.849965,20.462686,20.601387,47,Monday,20.594181,25.0,1.213935
2022-11-28,MSFU,21.048105,21.048105,20.41495,20.546444,48,Monday,20.764401,25.0,1.203984
2022-12-05,MSFU,21.957758,21.965864,21.336313,21.565977,49,Monday,21.706478,25.0,1.15173
2022-12-12,MSFU,21.363332,21.79114,21.363332,21.79114,50,Monday,21.577236,25.0,1.158628
2022-12-19,MSFU,20.655425,20.655425,20.065501,20.261843,51,Monday,20.409549,25.0,1.224917
2022-12-27,MSFU,19.941401,19.941401,19.715103,19.758551,52,Tuesday,19.839114,25.0,1.260137
2023-01-03,MSFU,20.393999,20.819439,19.796572,20.067225,1,Tuesday,20.269309,25.0,1.233392
2023-01-09,MSFU,18.465939,18.927588,18.438784,18.502148,2,Monday,18.583615,25.0,1.345271
2023-01-17,MSFU,19.796571,20.131491,19.796571,20.066317,3,Tuesday,19.947737,25.0,1.253275
2023-01-23,MSFU,20.040067,20.620296,20.040067,20.312531,4,Monday,20.25324,25.0,1.23437
2023-01-30,MSFU,20.538829,20.59314,20.246452,20.321583,5,Monday,20.425001,25.0,1.22399
2023-02-06,MSFU,22.113862,22.176321,21.860408,22.077654,6,Monday,22.057061,25.0,1.133424
2023-02-13,MSFU,23.40829,24.280894,23.381133,23.897093,7,Monday,23.741852,25.0,1.052993
2023-02-21,MSFU,21.715579,21.824203,21.398761,21.489281,8,Tuesday,21.606956,25.0,1.157035
2023-02-27,MSFU,21.507383,21.507383,21.090993,21.172461,9,Monday,21.319555,25.0,1.172632
2023-03-06,MSFU,21.932826,22.362793,21.905671,22.014294,10,Monday,22.053896,25.0,1.133587
2023-03-13,MSFU,20.547882,21.969035,20.547882,21.561697,11,Monday,21.156624,25.0,1.181663
2023-03-20,MSFU,24.575988,24.575988,23.580275,23.897093,12,Monday,24.157336,25.0,1.034882
2023-03-27,MSFU,24.98271,25.064471,24.319533,24.419462,13,Monday,24.696544,25.0,1.012287
2023-04-03,MSFU,25.636803,25.945681,25.436942,25.836666,14,Monday,25.714023,25.0,0.972232
2023-04-10,MSFU,26.072864,26.081947,25.464195,26.081947,15,Monday,25.925238,25.0,0.964311
2023-04-17,MSFU,26.081948,26.318148,25.627717,25.936594,16,Monday,25.991102,25.0,0.961868
2023-04-24,MSFU,25.028131,25.355177,24.582984,24.973623,17,Monday,24.984979,25.0,1.000601
2023-05-01,MSFU,28.280425,28.52571,28.071479,28.116903,18,Monday,28.248629,25.0,0.884999
2023-05-08,MSFU,28.798253,28.798253,28.162329,28.507544,19,Monday,28.566595,25.0,0.875148
2023-05-15,MSFU,28.580214,28.607469,28.380353,28.525707,20,Monday,28.523436,25.0,0.876472
2023-05-22,MSFU,29.924738,30.369886,29.861146,30.279041,21,Monday,30.108703,25.0,0.830325
2023-05-30,MSFU,32.395757,32.395757,31.532717,31.641735,22,Tuesday,31.991491,25.0,0.781458
2023-06-05,MSFU,32.159559,32.604704,32.08688,32.286743,23,Monday,32.284472,25.0,0.774366
2023-06-12,MSFU,31.196587,31.641735,30.706017,31.641735,24,Monday,31.296519,25.0,0.798811
