Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,OEF,72.569237,1%,1
2015-09-01,OEF,71.836215,2%,1
2015-09-09,OEF,73.863475,1%,1
2015-09-09,OEF,73.117379,2%,1
2015-09-25,OEF,72.804542,1%,1
2015-09-28,OEF,71.587478,1%,1
2015-10-01,OEF,71.841039,1%,1
2015-11-09,OEF,79.16036,1%,1
2015-11-13,OEF,77.33475,1%,1
2015-12-02,OEF,79.523793,1%,1
2015-12-03,OEF,78.982869,1%,1
2015-12-03,OEF,78.185063,2%,1
2015-12-09,OEF,78.027809,1%,1
2015-12-17,OEF,79.050486,1%,1
2015-12-18,OEF,77.275578,1%,1
2016-01-04,OEF,76.213446,1%,1
2016-01-08,OEF,74.140307,1%,1
2016-01-08,OEF,73.391415,2%,1
2016-01-11,OEF,73.239667,1%,1
2016-01-12,OEF,73.766473,1%,1
2016-01-13,OEF,74.046853,1%,1
2016-01-13,OEF,73.298905,2%,1
2016-01-13,OEF,72.550957,3%,1
2016-01-19,OEF,72.177629,1%,1
2016-01-20,OEF,70.367872,1%,1
2016-01-20,OEF,69.657086,2%,1
2016-01-25,OEF,72.2541,1%,1
2016-01-27,OEF,72.050175,1%,1
2016-01-28,OEF,72.424027,1%,1
2016-02-02,OEF,74.735084,1%,1
2016-02-02,OEF,73.980184,2%,1
2016-02-02,OEF,73.225284,3%,1
2016-02-03,OEF,72.916845,1%,1
2016-02-03,OEF,72.180311,2%,1
2016-02-05,OEF,72.610929,1%,1
2016-02-23,OEF,73.834431,1%,1
2016-03-10,OEF,75.737638,1%,1
2016-05-17,OEF,78.444179,1%,1
2016-06-27,OEF,76.765671,1%,1
2016-09-09,OEF,82.622526,1%,1
2016-09-13,OEF,82.055707,1%,1
2016-09-29,OEF,82.865242,1%,1
2016-10-11,OEF,82.847956,1%,1
2016-11-01,OEF,81.803315,1%,1
2016-11-10,OEF,83.694067,1%,1
2017-03-21,OEF,92.199835,1%,1
2017-05-17,OEF,92.16776,1%,1
2017-06-09,OEF,94.270004,1%,1
2017-06-29,OEF,94.444888,1%,1
2017-08-17,OEF,95.944147,1%,1
2017-12-01,OEF,103.219915,1%,1
2018-02-02,OEF,110.439488,1%,1
2018-02-05,OEF,107.527109,1%,1
2018-02-05,OEF,106.440976,2%,1
2018-02-05,OEF,105.354844,3%,1
2018-02-08,OEF,105.623906,1%,1
2018-02-08,OEF,104.556998,2%,1
2018-02-08,OEF,103.49009,3%,1
2018-02-08,OEF,102.423182,4%,1
2018-02-09,OEF,102.676124,1%,1
2018-02-09,OEF,101.638991,2%,1
2018-02-09,OEF,100.601859,3%,1
2018-02-15,OEF,106.854355,1%,1
2018-02-27,OEF,109.625081,1%,1
2018-02-28,OEF,108.651344,1%,1
2018-03-01,OEF,107.013686,1%,1
2018-03-01,OEF,105.93274,2%,1
2018-03-13,OEF,109.713609,1%,1
2018-03-14,OEF,108.890342,1%,1
2018-03-19,OEF,107.305808,1%,1
2018-03-22,OEF,104.883714,1%,1
2018-03-23,OEF,103.301041,1%,1
2018-03-23,OEF,102.257596,2%,1
2018-03-26,OEF,102.554153,1%,1
2018-03-27,OEF,104.101279,1%,1
2018-03-27,OEF,103.049751,2%,1
2018-04-02,OEF,102.660848,1%,1
2018-04-02,OEF,101.623869,2%,1
2018-04-06,OEF,103.265496,1%,1
2018-04-06,OEF,102.22241,2%,1
2018-04-13,OEF,104.954841,1%,1
2018-04-20,OEF,105.354968,1%,1
2018-04-24,OEF,104.821486,1%,1
2018-04-24,OEF,103.762683,2%,1
2018-04-30,OEF,104.581426,1%,1
2018-05-03,OEF,102.723104,1%,1
2018-05-29,OEF,105.986278,1%,1
2018-06-25,OEF,107.72011,1%,1
2018-06-27,OEF,107.163483,1%,1
2018-07-03,OEF,107.735441,1%,1
2018-07-27,OEF,112.320124,1%,1
2018-10-04,OEF,116.875156,1%,1
