Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,OEF,74.278492,74.55863,73.803112,74.040802,36,Monday,74.170259,100.0,1.348249
2015-09-01,OEF,73.302244,73.302244,71.400717,71.833656,36,Tuesday,72.459715,100.0,1.380077
2015-10-01,OEF,72.566676,72.720346,71.7471,72.617897,40,Thursday,72.413005,100.0,1.380967
2015-11-02,OEF,79.387948,80.275823,79.387948,80.224602,45,Monday,79.81908,100.0,1.252833
2015-12-01,OEF,79.797746,80.352669,79.737986,80.31852,49,Tuesday,80.05173,100.0,1.249192
2016-01-04,OEF,76.983279,77.051939,76.107886,77.017609,1,Monday,76.790178,100.0,1.30225
2016-02-01,OEF,74.11678,74.811944,73.842146,74.520149,5,Monday,74.322755,100.0,1.345483
2016-03-01,OEF,74.657473,75.979149,74.511575,75.979149,9,Tuesday,75.281837,100.0,1.328342
2016-04-01,OEF,78.33936,79.469467,78.287602,79.417702,13,Friday,78.878533,100.0,1.267772
2016-05-02,OEF,79.331427,79.831779,79.184774,79.754135,18,Monday,79.525529,100.0,1.257458
2016-06-01,OEF,80.073347,80.556442,80.012961,80.496056,22,Wednesday,80.284702,100.0,1.245567
2016-07-01,OEF,80.603183,80.941486,80.551138,80.724625,26,Friday,80.705108,100.0,1.239079
2016-08-01,OEF,83.647898,83.882105,83.41369,83.639221,31,Monday,83.645728,100.0,1.195518
2016-09-01,OEF,83.673918,83.804036,83.214172,83.717293,35,Thursday,83.602355,100.0,1.196139
2016-10-03,OEF,83.492976,83.536583,83.205194,83.431931,40,Monday,83.416671,100.0,1.198801
2016-11-01,OEF,82.629596,82.673202,81.469727,82.019142,44,Tuesday,82.197917,100.0,1.216576
2016-12-01,OEF,85.141167,85.158612,84.583036,84.748734,48,Thursday,84.907887,100.0,1.177747
2017-01-03,OEF,87.623947,87.957189,87.308248,87.773026,1,Tuesday,87.665602,100.0,1.140698
2017-02-01,OEF,88.693816,88.737666,88.220267,88.421967,5,Wednesday,88.518429,100.0,1.129708
2017-03-01,OEF,92.903131,93.701143,92.903131,93.499451,9,Wednesday,93.251714,100.0,1.072366
2017-04-03,OEF,92.252879,92.385048,91.644914,92.23526,14,Monday,92.129525,100.0,1.085428
2017-05-01,OEF,93.345485,93.645061,93.266181,93.424782,18,Monday,93.420377,100.0,1.07043
2017-06-01,OEF,94.341151,94.746464,94.138492,94.720032,22,Thursday,94.486535,100.0,1.058352
2017-07-03,OEF,95.026926,95.345749,94.876366,94.876366,27,Monday,95.031352,100.0,1.052284
2017-08-01,OEF,96.975273,97.046124,96.807003,96.975273,31,Tuesday,96.950918,100.0,1.03145
