Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,OEF,74.278492,74.55863,73.803112,74.040802,36,Monday,74.170259,25.0,0.337062
2015-09-08,OEF,73.310751,73.930442,73.073061,73.896492,37,Tuesday,73.552686,25.0,0.339892
2015-09-14,OEF,73.718202,73.743675,73.1834,73.412605,38,Monday,73.51447,25.0,0.340069
2015-09-21,OEF,73.888027,74.354917,73.455087,73.95594,39,Monday,73.913493,25.0,0.338233
2015-09-28,OEF,72.310569,72.344718,70.944609,71.047058,40,Monday,71.661738,25.0,0.348861
2015-10-05,OEF,74.188785,75.085193,74.188785,74.98275,41,Monday,74.611378,25.0,0.33507
2015-10-12,OEF,76.152347,76.280407,75.981604,76.237724,42,Monday,76.16302,25.0,0.328243
2015-10-19,OEF,76.741406,77.168269,76.638956,77.12558,43,Monday,76.918553,25.0,0.325019
2015-10-26,OEF,79.09768,79.174513,78.892788,79.029381,44,Monday,79.04859,25.0,0.316261
2015-11-02,OEF,79.387948,80.275823,79.387948,80.224602,45,Monday,79.81908,25.0,0.313208
2015-11-09,OEF,79.959959,80.04533,79.114766,79.533096,46,Monday,79.663288,25.0,0.313821
2015-11-16,OEF,77.159714,78.534213,77.159714,78.525681,47,Monday,77.844831,25.0,0.321152
2015-11-23,OEF,79.985552,80.164834,79.609911,79.789192,48,Monday,79.887372,25.0,0.312941
2015-11-30,OEF,80.028269,80.028269,79.490424,79.524574,49,Monday,79.767884,25.0,0.313409
2015-12-07,OEF,79.857513,79.925813,79.148919,79.609932,50,Monday,79.635544,25.0,0.31393
2015-12-14,OEF,77.065812,77.671962,76.399907,77.654884,51,Monday,77.198141,25.0,0.323842
2015-12-21,OEF,77.509743,77.629264,76.877988,77.509743,52,Monday,77.381684,25.0,0.323074
2015-12-28,OEF,78.545269,78.759827,78.304965,78.759827,53,Monday,78.592472,25.0,0.318097
2016-01-04,OEF,76.983279,77.051939,76.107886,77.017609,1,Monday,76.790178,25.0,0.325562
2016-01-11,OEF,73.979477,74.125382,72.795122,73.739174,2,Monday,73.659789,25.0,0.339398
2016-01-19,OEF,72.906696,73.061178,71.627934,72.263023,3,Tuesday,72.464708,25.0,0.344996
2016-01-25,OEF,72.983939,73.164167,72.082794,72.1772,4,Monday,72.602025,25.0,0.344343
2016-02-01,OEF,74.11678,74.811944,73.842146,74.520149,5,Monday,74.322755,25.0,0.336371
2016-02-08,OEF,71.276029,71.919702,70.615188,71.619316,6,Monday,71.357559,25.0,0.350348
2016-02-16,OEF,73.026839,73.129829,72.400335,73.086922,7,Tuesday,72.910981,25.0,0.342884
2016-02-22,OEF,74.597411,75.00078,74.528751,74.846298,8,Monday,74.74331,25.0,0.334478
2016-02-29,OEF,74.726147,75.189592,74.082474,74.082474,9,Monday,74.520172,25.0,0.33548
2016-03-07,OEF,76.219469,76.74299,76.125063,76.545601,10,Monday,76.408281,25.0,0.32719
2016-03-14,OEF,77.112009,77.506794,77.026187,77.292236,11,Monday,77.234306,25.0,0.32369
2016-03-21,OEF,78.176213,78.63108,78.167635,78.536674,12,Monday,78.377901,25.0,0.318967
2016-03-28,OEF,78.235794,78.278924,77.882095,78.037376,13,Monday,78.108547,25.0,0.320067
2016-04-04,OEF,79.409073,79.426323,79.046745,79.202026,14,Monday,79.271042,25.0,0.315374
2016-04-11,OEF,78.762055,79.124376,78.347969,78.373848,15,Monday,78.652062,25.0,0.317856
2016-04-18,OEF,79.572966,80.444267,79.572966,80.444267,16,Monday,80.008616,25.0,0.312466
2016-04-25,OEF,79.935286,80.219963,79.754119,80.219963,17,Monday,80.032333,25.0,0.312374
2016-05-02,OEF,79.331427,79.831779,79.184774,79.754135,18,Monday,79.525529,25.0,0.314364
2016-05-09,OEF,78.83107,79.193398,78.81382,78.969101,19,Monday,78.951847,25.0,0.316649
