Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,QLD,8.466823,1%,1
2015-09-01,QLD,7.94153,1%,1
2015-09-01,QLD,7.861313,2%,1
2015-09-02,QLD,8.102408,1%,1
2015-09-02,QLD,8.020566,2%,1
2015-09-03,QLD,8.338849,1%,1
2015-09-03,QLD,8.254618,2%,1
2015-09-09,QLD,8.641107,1%,1
2015-09-09,QLD,8.553823,2%,1
2015-09-09,QLD,8.466539,3%,1
2015-09-09,QLD,8.379255,4%,1
2015-09-09,QLD,8.291971,5%,1
2015-09-14,QLD,8.582606,1%,1
2015-09-14,QLD,8.495913,2%,1
2015-09-21,QLD,8.61795,1%,1
2015-09-21,QLD,8.5309,2%,1
2015-09-22,QLD,8.309598,1%,1
2015-09-23,QLD,8.360789,1%,1
2015-09-24,QLD,8.163345,1%,1
2015-09-25,QLD,8.450976,1%,1
2015-09-25,QLD,8.365612,2%,1
2015-09-25,QLD,8.280249,3%,1
2015-09-25,QLD,8.194886,4%,1
2015-09-28,QLD,8.056095,1%,1
2015-09-28,QLD,7.97472,2%,1
2015-09-28,QLD,7.893345,3%,1
2015-09-28,QLD,7.811971,4%,1
2015-09-28,QLD,7.730596,5%,1
2015-09-29,QLD,7.708744,1%,1
2015-09-29,QLD,7.630878,2%,1
2015-09-29,QLD,7.553012,3%,1
2015-10-01,QLD,7.957373,1%,1
2015-10-01,QLD,7.876995,2%,1
2015-10-06,QLD,8.487542,1%,1
2015-10-06,QLD,8.401809,2%,1
2015-10-07,QLD,8.547262,1%,1
2015-10-07,QLD,8.460926,2%,1
2015-10-08,QLD,8.475353,1%,1
2015-10-14,QLD,8.615512,1%,1
2015-10-20,QLD,9.021361,1%,1
2015-10-21,QLD,9.037207,1%,1
2015-10-21,QLD,8.945922,2%,1
2015-10-28,QLD,9.808693,1%,1
2015-11-04,QLD,10.16945,1%,1
2015-11-05,QLD,10.115822,1%,1
2015-11-06,QLD,10.00613,1%,1
2015-11-09,QLD,9.98785,1%,1
2015-11-09,QLD,9.886962,2%,1
2015-11-11,QLD,9.853785,1%,1
2015-11-12,QLD,9.689252,1%,1
2015-11-13,QLD,9.504,1%,1
2015-11-13,QLD,9.408,2%,1
2015-11-13,QLD,9.312,3%,1
2015-11-23,QLD,9.992727,1%,1
2015-11-30,QLD,10.012229,1%,1
2015-12-02,QLD,10.123136,1%,1
2015-12-03,QLD,10.035384,1%,1
2015-12-03,QLD,9.934016,2%,1
2015-12-03,QLD,9.832649,3%,1
2015-12-03,QLD,9.731281,4%,1
2015-12-03,QLD,9.629914,5%,1
2015-12-07,QLD,10.102416,1%,1
2015-12-09,QLD,9.914724,1%,1
2015-12-09,QLD,9.814575,2%,1
2015-12-09,QLD,9.714426,3%,1
2015-12-11,QLD,9.562499,1%,1
2015-12-11,QLD,9.465909,2%,1
2015-12-14,QLD,9.368715,1%,1
2015-12-14,QLD,9.274082,2%,1
2015-12-16,QLD,9.716065,1%,1
2015-12-16,QLD,9.617923,2%,1
2015-12-17,QLD,9.963476,1%,1
2015-12-17,QLD,9.862835,2%,1
2015-12-17,QLD,9.762194,3%,1
2015-12-18,QLD,9.516186,1%,1
2015-12-18,QLD,9.420063,2%,1
2015-12-18,QLD,9.32394,3%,1
2015-12-21,QLD,9.389432,1%,1
2015-12-22,QLD,9.52063,1%,1
2015-12-28,QLD,9.635263,1%,1
2015-12-30,QLD,9.951114,1%,1
2015-12-31,QLD,9.719406,1%,1
2016-01-04,QLD,9.129174,1%,1
2016-01-04,QLD,9.03696,2%,1
2016-01-05,QLD,9.229171,1%,1
2016-01-05,QLD,9.135947,2%,1
2016-01-07,QLD,8.559666,1%,1
2016-01-07,QLD,8.473205,2%,1
2016-01-08,QLD,8.515762,1%,1
2016-01-08,QLD,8.429744,2%,1
2016-01-08,QLD,8.343727,3%,1
2016-01-11,QLD,8.359668,1%,1
2016-01-11,QLD,8.275227,2%,1
2016-01-11,QLD,8.190785,3%,1
2016-01-12,QLD,8.451129,1%,1
2016-01-12,QLD,8.365764,2%,1
2016-01-13,QLD,8.54991,1%,1
2016-01-13,QLD,8.463547,2%,1
2016-01-13,QLD,8.377184,3%,1
2016-01-13,QLD,8.290821,4%,1
2016-01-13,QLD,8.204459,5%,1
2016-01-14,QLD,7.962111,1%,1
2016-01-14,QLD,7.881686,2%,1
2016-01-14,QLD,7.80126,3%,1
2016-01-15,QLD,7.679186,1%,1
2016-01-15,QLD,7.601619,2%,1
2016-01-19,QLD,7.932843,1%,1
2016-01-19,QLD,7.852713,2%,1
2016-01-19,QLD,7.772584,3%,1
2016-01-19,QLD,7.692454,4%,1
2016-01-20,QLD,7.519432,1%,1
2016-01-20,QLD,7.443478,2%,1
2016-01-20,QLD,7.367524,3%,1
2016-01-20,QLD,7.29157,4%,1
2016-01-21,QLD,7.76577,1%,1
2016-01-21,QLD,7.687328,2%,1
2016-01-25,QLD,8.120644,1%,1
2016-01-25,QLD,8.038617,2%,1
2016-01-26,QLD,7.9865,1%,1
2016-01-27,QLD,7.975525,1%,1
2016-01-27,QLD,7.894964,2%,1
2016-01-27,QLD,7.814403,3%,1
2016-01-27,QLD,7.733842,4%,1
2016-01-28,QLD,7.910892,1%,1
2016-01-28,QLD,7.830984,2%,1
2016-01-28,QLD,7.751076,3%,1
2016-02-02,QLD,8.176742,1%,1
2016-02-02,QLD,8.094149,2%,1
2016-02-02,QLD,8.011556,3%,1
2016-02-02,QLD,7.928962,4%,1
2016-02-03,QLD,7.995037,1%,1
2016-02-03,QLD,7.914279,2%,1
2016-02-03,QLD,7.833521,3%,1
2016-02-03,QLD,7.752763,4%,1
2016-02-03,QLD,7.672005,5%,1
2016-02-04,QLD,7.776746,1%,1
2016-02-05,QLD,7.759673,1%,1
2016-02-05,QLD,7.681293,2%,1
2016-02-05,QLD,7.602912,3%,1
2016-02-05,QLD,7.524532,4%,1
2016-02-05,QLD,7.446151,5%,1
2016-02-08,QLD,7.003583,1%,1
2016-02-08,QLD,6.93284,2%,1
2016-02-08,QLD,6.862096,3%,1
2016-02-10,QLD,7.174313,1%,1
2016-02-12,QLD,7.198703,1%,1
2016-02-16,QLD,7.459676,1%,1
2016-02-18,QLD,7.965768,1%,1
2016-02-18,QLD,7.885306,2%,1
2016-02-18,QLD,7.804844,3%,1
2016-02-23,QLD,7.941379,1%,1
2016-02-23,QLD,7.861163,2%,1
2016-02-24,QLD,7.595042,1%,1
2016-02-25,QLD,7.957231,1%,1
2016-02-26,QLD,8.192595,1%,1
2016-02-26,QLD,8.109841,2%,1
2016-02-29,QLD,8.041377,1%,1
2016-03-02,QLD,8.397472,1%,1
2016-03-03,QLD,8.407229,1%,1
2016-03-04,QLD,8.407228,1%,1
2016-03-07,QLD,8.315764,1%,1
2016-03-09,QLD,8.227962,1%,1
2016-03-10,QLD,8.341373,1%,1
2016-03-10,QLD,8.257117,2%,1
2016-03-10,QLD,8.17286,3%,1
2016-03-18,QLD,8.726738,1%,1
2016-03-23,QLD,8.793809,1%,1
2016-03-28,QLD,8.735271,1%,1
2016-04-04,QLD,9.180386,1%,1
2016-04-07,QLD,9.131609,1%,1
2016-04-07,QLD,9.039371,2%,1
2016-04-08,QLD,9.079171,1%,1
2016-04-08,QLD,8.987462,2%,1
2016-04-11,QLD,9.034049,1%,1
2016-04-12,QLD,8.895028,1%,1
2016-04-19,QLD,9.340145,1%,1
2016-04-19,QLD,9.2458,2%,1
2016-04-22,QLD,8.986491,1%,1
2016-04-22,QLD,8.895718,2%,1
2016-04-26,QLD,8.975514,1%,1
2016-04-27,QLD,8.673078,1%,1
2016-04-28,QLD,8.730393,1%,1
2016-04-28,QLD,8.642207,2%,1
2016-04-28,QLD,8.554021,3%,1
2016-04-29,QLD,8.491372,1%,1
2016-04-29,QLD,8.4056,2%,1
2016-05-05,QLD,8.35357,1%,1
2016-05-11,QLD,8.635273,1%,1
2016-05-12,QLD,8.551128,1%,1
2016-05-12,QLD,8.464753,2%,1
2016-05-17,QLD,8.560884,1%,1
2016-05-17,QLD,8.47441,2%,1
2016-05-19,QLD,8.354789,1%,1
2016-06-02,QLD,9.098683,1%,1
2016-06-03,QLD,9.140148,1%,1
2016-06-10,QLD,8.941368,1%,1
2016-06-14,QLD,8.715761,1%,1
2016-06-15,QLD,8.795029,1%,1
2016-06-16,QLD,8.614542,1%,1
2016-06-17,QLD,8.719419,1%,1
2016-06-17,QLD,8.631344,2%,1
2016-06-20,QLD,8.749906,1%,1
2016-06-24,QLD,8.267958,1%,1
2016-06-27,QLD,8.077609,1%,1
2016-06-27,QLD,7.996017,2%,1
2016-06-27,QLD,7.914425,3%,1
2016-07-05,QLD,8.686482,1%,1
2016-07-13,QLD,9.374664,1%,1
2016-07-15,QLD,9.446657,1%,1
2016-07-21,QLD,9.665066,1%,1
2016-07-27,QLD,9.870058,1%,1
