Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,QLD,8.552345,8.644677,8.391073,8.434161,36,Monday,8.505564,100.0,11.75701
2015-09-01,QLD,8.021749,8.266735,7.835855,7.924493,36,Tuesday,8.012208,100.0,12.480954
2015-10-01,QLD,8.037751,8.086995,7.83216,8.08207,40,Thursday,8.009744,100.0,12.484793
2015-11-02,QLD,9.968093,10.156449,9.922543,10.141676,45,Monday,10.04719,100.0,9.953031
2015-12-01,QLD,10.086277,10.210617,10.064118,10.210617,49,Tuesday,10.142907,100.0,9.859106
2016-01-04,QLD,9.221386,9.255877,9.002123,9.249718,1,Monday,9.182276,100.0,10.890546
2016-02-01,QLD,8.2076,8.398532,8.149705,8.325854,5,Monday,8.270423,100.0,12.09128
2016-03-01,QLD,8.136155,8.5057,8.095504,8.500772,9,Tuesday,8.309533,100.0,12.034371
2016-04-01,QLD,8.977484,9.28667,8.952848,9.278048,13,Friday,9.123762,100.0,10.960391
2016-05-02,QLD,8.527871,8.678152,8.469975,8.652284,18,Monday,8.58207,100.0,11.6522
2016-06-01,QLD,9.168416,9.271888,9.161026,9.226312,22,Wednesday,9.20691,100.0,10.861407
2016-07-01,QLD,8.76806,8.923356,8.759432,8.858033,26,Friday,8.82722,100.0,11.328595
2016-08-01,QLD,10.06589,10.207629,10.042473,10.155864,31,Monday,10.117964,100.0,9.883411
2016-09-01,QLD,10.256932,10.323488,10.155867,10.296372,35,Thursday,10.258165,100.0,9.748332
2016-10-03,QLD,10.636544,10.667357,10.561361,10.640242,40,Monday,10.626376,100.0,9.410546
2016-11-01,QLD,10.377716,10.381415,10.011662,10.191608,44,Tuesday,10.240601,100.0,9.765052
2016-12-01,QLD,10.398669,10.398669,10.012894,10.04987,48,Thursday,10.215026,100.0,9.789501
2017-01-03,QLD,10.76321,10.886542,10.689211,10.805143,1,Tuesday,10.786027,100.0,9.271255
2017-02-01,QLD,11.868267,11.916367,11.765901,11.871967,5,Wednesday,11.855626,100.0,8.434814
2017-03-01,QLD,12.895623,13.062123,12.852457,13.015256,9,Wednesday,12.956365,100.0,7.718214
2017-04-03,QLD,13.252025,13.313703,13.070693,13.211318,14,Monday,13.211935,100.0,7.568914
2017-05-01,QLD,14.026694,14.217895,14.019293,14.17102,18,Monday,14.108726,100.0,7.087812
2017-06-01,QLD,15.064109,15.128253,14.938286,15.128253,22,Thursday,15.064725,100.0,6.638023
2017-07-03,QLD,14.375404,14.41488,13.933767,13.953506,27,Monday,14.169389,100.0,7.057467
2017-08-01,QLD,15.489365,15.509104,15.37834,15.459759,31,Tuesday,15.459142,100.0,6.468664
2017-09-01,QLD,16.022291,16.064233,15.85205,15.940871,35,Friday,15.969861,100.0,6.261795
2017-10-02,QLD,15.896464,16.002556,15.736093,15.866857,40,Monday,15.875492,100.0,6.299017
2017-11-01,QLD,17.418748,17.445888,17.152285,17.283051,44,Wednesday,17.324993,100.0,5.772008
