Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,QLD,8.552345,8.644677,8.391073,8.434161,36,Monday,8.505564,25.0,2.939252
2015-09-08,QLD,8.386148,8.543727,8.314745,8.522799,37,Tuesday,8.441855,25.0,2.961435
2015-09-14,QLD,8.669299,8.671762,8.490792,8.552346,38,Monday,8.59605,25.0,2.908313
2015-09-21,QLD,8.704997,8.802253,8.510486,8.665603,39,Monday,8.670835,25.0,2.883229
2015-09-28,QLD,8.137468,8.152241,7.697971,7.745983,40,Monday,7.933416,25.0,3.151228
2015-10-05,QLD,8.485867,8.654526,8.456322,8.612669,41,Monday,8.552346,25.0,2.923174
2015-10-12,QLD,8.812103,8.849035,8.748086,8.819489,42,Monday,8.807179,25.0,2.838594
2015-10-19,QLD,9.010307,9.150651,8.972143,9.143264,43,Monday,9.069091,25.0,2.756616
2015-10-26,QLD,9.798204,9.867145,9.730495,9.833905,44,Monday,9.807437,25.0,2.549086
2015-11-02,QLD,9.968093,10.156449,9.922543,10.141676,45,Monday,10.04719,25.0,2.488258
2015-11-09,QLD,10.088739,10.113361,9.822825,9.952088,46,Monday,9.994253,25.0,2.501437
2015-11-16,QLD,9.278684,9.56922,9.241751,9.565526,47,Monday,9.413795,25.0,2.655677
2015-11-23,QLD,10.093664,10.173685,9.949627,10.034573,48,Monday,10.062887,25.0,2.484376
2015-11-30,QLD,10.113359,10.119514,9.9447,10.009948,49,Monday,10.04688,25.0,2.488335
2015-12-07,QLD,10.20446,10.214308,10.007486,10.104742,50,Monday,10.132749,25.0,2.467248
2015-12-14,QLD,9.463348,9.5803,9.188815,9.5803,51,Monday,9.453191,25.0,2.64461
2015-12-21,QLD,9.484276,9.521208,9.350087,9.519978,52,Monday,9.468887,25.0,2.640226
2015-12-28,QLD,9.732589,9.768312,9.59093,9.763385,53,Monday,9.713804,25.0,2.573657
2016-01-04,QLD,9.221386,9.255877,9.002123,9.249718,1,Monday,9.182276,25.0,2.722636
2016-01-11,QLD,8.444111,8.489687,8.123837,8.38252,2,Monday,8.360039,25.0,2.990417
2016-01-19,QLD,8.012973,8.032681,7.648354,7.833127,3,Tuesday,7.881784,25.0,3.171871
2016-01-25,QLD,8.202671,8.282739,7.990799,8.01174,4,Monday,8.121987,25.0,3.078064
2016-02-01,QLD,8.2076,8.398532,8.149705,8.325854,5,Monday,8.270423,25.0,3.02282
2016-02-08,QLD,7.074326,7.182726,6.852599,7.121135,6,Monday,7.057696,25.0,3.542232
2016-02-16,QLD,7.535026,7.643426,7.448799,7.643426,7,Tuesday,7.567669,25.0,3.303527
2016-02-22,QLD,8.011742,8.133692,7.995729,8.120142,8,Monday,8.065326,25.0,3.099689
2016-02-29,QLD,8.122605,8.242091,7.992032,7.992032,9,Monday,8.08719,25.0,3.091309
2016-03-07,QLD,8.399762,8.495844,8.259335,8.38498,10,Monday,8.38498,25.0,2.981522
2016-03-14,QLD,8.545117,8.680617,8.543885,8.636271,11,Monday,8.601473,25.0,2.906479
