Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,QQQ,93.370426,1%,1
2015-09-02,QQQ,94.444508,1%,1
2015-09-03,QQQ,95.757272,1%,1
2015-09-09,QQQ,97.565714,1%,1
2015-09-09,QQQ,96.580202,2%,1
2015-09-14,QQQ,97.271998,1%,1
2015-09-21,QQQ,97.481019,1%,1
2015-09-25,QQQ,96.542391,1%,1
2015-09-25,QQQ,95.567215,2%,1
2015-09-28,QQQ,94.306189,1%,1
2015-09-28,QQQ,93.353602,2%,1
2015-09-29,QQQ,92.244865,1%,1
2015-10-01,QQQ,93.809268,1%,1
2015-10-06,QQQ,96.855259,1%,1
2015-10-07,QQQ,97.232551,1%,1
2015-10-21,QQQ,100.057687,1%,1
2015-11-09,QQQ,105.238654,1%,1
2015-11-13,QQQ,102.671191,1%,1
2015-12-03,QQQ,105.606759,1%,1
2015-12-03,QQQ,104.540024,2%,1
2015-12-09,QQQ,105.027,1%,1
2015-12-11,QQQ,103.149699,1%,1
2015-12-14,QQQ,102.091414,1%,1
2015-12-16,QQQ,104.051542,1%,1
2015-12-17,QQQ,105.349078,1%,1
2015-12-18,QQQ,103.040132,1%,1
2016-01-04,QQQ,101.027873,1%,1
2016-01-05,QQQ,101.572468,1%,1
2016-01-07,QQQ,97.7972,1%,1
2016-01-08,QQQ,97.501832,1%,1
2016-01-11,QQQ,96.689531,1%,1
2016-01-12,QQQ,97.224926,1%,1
2016-01-13,QQQ,97.815644,1%,1
2016-01-13,QQQ,96.827607,2%,1
2016-01-13,QQQ,95.83957,3%,1
2016-01-14,QQQ,94.428085,1%,1
2016-01-15,QQQ,92.877321,1%,1
2016-01-19,QQQ,94.344991,1%,1
2016-01-19,QQQ,93.392011,2%,1
2016-01-20,QQQ,91.815814,1%,1
2016-01-20,QQQ,90.888381,2%,1
2016-01-21,QQQ,93.394277,1%,1
2016-01-25,QQQ,95.443406,1%,1
2016-01-27,QQQ,94.65885,1%,1
2016-01-27,QQQ,93.7027,2%,1
2016-01-28,QQQ,94.381921,1%,1
2016-02-02,QQQ,95.932636,1%,1
2016-02-02,QQQ,94.963619,2%,1
2016-02-03,QQQ,94.91731,1%,1
2016-02-03,QQQ,93.958549,2%,1
2016-02-05,QQQ,93.495796,1%,1
2016-02-05,QQQ,92.551394,2%,1
2016-02-05,QQQ,91.606992,3%,1
2016-02-08,QQQ,88.88056,1%,1
2016-02-18,QQQ,94.908054,1%,1
2016-02-23,QQQ,94.778812,1%,1
2016-02-26,QQQ,96.320321,1%,1
2016-03-10,QQQ,97.160297,1%,1
2016-04-07,QQQ,101.864527,1%,1
2016-04-08,QQQ,101.614566,1%,1
2016-04-19,QQQ,103.169854,1%,1
2016-04-28,QQQ,99.70744,1%,1
2016-04-29,QQQ,98.392793,1%,1
2016-05-12,QQQ,98.698322,1%,1
2016-05-17,QQQ,98.809415,1%,1
2016-06-17,QQQ,99.815207,1%,1
2016-06-27,QQQ,96.167162,1%,1
2016-08-02,QQQ,107.371191,1%,1
2016-09-09,QQQ,107.909558,1%,1
2016-10-11,QQQ,110.850692,1%,1
2016-10-27,QQQ,110.636667,1%,1
2016-11-01,QQQ,109.054693,1%,1
2016-11-10,QQQ,110.013188,1%,1
2016-11-10,QQQ,108.901944,2%,1
2016-11-10,QQQ,107.7907,3%,1
2016-11-14,QQQ,107.789102,1%,1
2016-11-30,QQQ,110.822805,1%,1
