Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,QQQ,97.39216,97.929984,96.48343,96.724518,36,Monday,97.132523,100.0,1.029521
2015-09-01,QQQ,94.313585,95.778688,93.312121,93.701584,36,Tuesday,94.276494,100.0,1.06071
2015-10-01,QQQ,94.756844,95.02641,93.501965,95.017113,40,Thursday,94.575583,100.0,1.057355
2015-11-02,QQQ,105.623102,106.664184,105.400016,106.53405,45,Monday,106.055338,100.0,0.942904
2015-12-01,QQQ,106.413219,107.045303,106.283077,107.045303,49,Tuesday,106.696726,100.0,0.937236
2016-01-04,QQQ,102.048349,102.188207,100.808297,102.094971,1,Monday,101.784956,100.0,0.982463
2016-02-01,QQQ,96.621962,97.712846,96.249018,97.34922,5,Monday,96.983262,100.0,1.031106
2016-03-01,QQQ,96.48209,98.635872,96.18373,98.635872,9,Tuesday,97.484391,100.0,1.025805
2016-04-01,QQQ,101.500095,103.239456,101.359822,103.202049,13,Friday,102.325356,100.0,0.977275
2016-05-02,QQQ,99.115486,99.938414,98.704029,99.798141,18,Monday,99.389018,100.0,1.006147
2016-06-01,QQQ,102.865406,103.426488,102.781246,103.192703,22,Wednesday,103.066461,100.0,0.970248
2016-07-01,QQQ,100.785944,101.714203,100.748437,101.339149,26,Friday,101.146933,100.0,0.988661
2016-08-01,QQQ,108.1182,108.887057,107.986932,108.615143,31,Monday,108.401833,100.0,0.922494
2016-09-01,QQQ,109.215236,109.590283,108.680787,109.459015,35,Thursday,109.23633,100.0,0.915446
2016-10-03,QQQ,111.453451,111.575646,111.002257,111.434654,40,Monday,111.366502,100.0,0.897936
2016-11-01,QQQ,110.156217,110.175013,108.191656,109.141037,44,Tuesday,109.415981,100.0,0.913943
2016-12-01,QQQ,110.410048,110.41945,108.370293,108.53949,48,Thursday,109.43482,100.0,0.913786
2017-01-03,QQQ,112.442953,113.121741,112.084707,112.697502,1,Tuesday,112.586726,100.0,0.888204
2017-02-01,QQQ,118.26918,118.486018,117.712955,118.250328,5,Wednesday,118.17962,100.0,0.84617
2017-03-01,QQQ,123.360149,124.142627,123.124459,123.916374,9,Wednesday,123.635903,100.0,0.808827
2017-04-03,QQQ,125.166041,125.468344,124.287443,124.986542,14,Monday,124.977093,100.0,0.800147
2017-05-01,QQQ,128.897679,129.785719,128.840998,129.615662,18,Monday,129.285014,100.0,0.773485
2017-06-01,QQQ,133.753493,134.055796,133.186655,133.999115,22,Thursday,133.748765,100.0,0.74767
2017-07-03,QQQ,130.982429,131.133985,128.926801,129.012054,27,Monday,130.013817,100.0,0.769149
2017-08-01,QQQ,136.145131,136.183017,135.576749,135.993561,31,Tuesday,135.974614,100.0,0.735431
2017-09-01,QQQ,138.674422,138.863878,137.935533,138.304977,35,Friday,138.444702,100.0,0.72231
2017-10-02,QQQ,138.294393,138.769077,137.591856,138.208954,40,Monday,138.21607,100.0,0.723505
2017-11-01,QQQ,145.025391,145.091853,143.829193,144.398819,44,Wednesday,144.586314,100.0,0.691628
2017-12-01,QQQ,146.392476,147.379827,144.550701,146.667801,48,Friday,146.247701,100.0,0.683771
2018-01-02,QQQ,148.943879,150.818047,148.572852,150.779999,1,Tuesday,149.778694,100.0,0.667652
2018-02-01,QQQ,159.92248,161.473176,159.275553,159.789291,5,Thursday,160.115125,100.0,0.624551
2018-03-01,QQQ,159.161353,159.893899,155.070533,156.478531,9,Thursday,157.651079,100.0,0.634312
2018-04-02,QQQ,151.501043,152.215715,146.63174,148.184952,14,Monday,149.633362,100.0,0.6683
2018-05-01,QQQ,152.958917,155.131519,152.596812,155.112457,18,Tuesday,153.949926,100.0,0.649562
2018-06-01,QQQ,162.869039,164.698598,162.821391,164.603317,22,Friday,163.748086,100.0,0.610694
2018-07-02,QQQ,162.377352,165.060735,162.02403,165.012985,27,Monday,163.618776,100.0,0.611177
2018-08-01,QQQ,168.890012,169.644405,168.164266,169.13829,31,Wednesday,168.959244,100.0,0.591859
2018-09-04,QQQ,177.694546,178.000118,176.519978,177.474915,36,Tuesday,177.422389,100.0,0.563627
2018-10-01,QQQ,178.770012,179.401408,177.650728,178.100357,40,Monday,178.480626,100.0,0.560285
2018-11-01,QQQ,162.698226,164.774165,161.464134,164.601959,44,Thursday,163.384621,100.0,0.612053
2018-12-03,QQQ,165.606465,165.797793,162.162503,164.860275,49,Monday,164.606759,100.0,0.607508
2019-01-02,QQQ,144.858514,149.425211,144.75298,148.590546,1,Wednesday,146.906813,100.0,0.680704
2019-02-01,QQQ,160.534978,161.75341,160.208789,160.650101,5,Friday,160.786819,100.0,0.621942
2019-03-01,QQQ,167.356231,167.557695,166.147388,167.308258,9,Friday,167.092393,100.0,0.598471
2019-04-01,QQQ,174.456052,175.176906,173.74482,174.965454,14,Monday,174.585808,100.0,0.572784
2019-05-01,QQQ,183.365833,183.884856,181.462785,181.587723,18,Wednesday,182.575299,100.0,0.547719
2019-06-03,QQQ,166.738167,167.189902,162.691785,163.508743,23,Monday,165.032149,100.0,0.605943
2019-07-01,QQQ,183.328139,183.568954,181.459407,182.307068,27,Monday,182.665892,100.0,0.547448
2019-08-01,QQQ,184.397312,187.816896,182.278138,183.164337,31,Thursday,184.414171,100.0,0.542258
2019-09-03,QQQ,179.378779,180.303503,178.232494,178.829712,36,Tuesday,179.186122,100.0,0.558079
2019-10-01,QQQ,182.906386,183.958456,180.454771,180.753983,40,Tuesday,182.018399,100.0,0.549395
2019-11-01,QQQ,191.043068,191.960025,190.753518,191.950363,44,Friday,191.426743,100.0,0.522393
2019-12-02,QQQ,197.973198,198.040755,194.759064,195.936615,49,Monday,196.677408,100.0,0.508447
2020-01-02,QQQ,207.388566,209.091019,206.982303,209.091019,1,Thursday,208.138226,100.0,0.48045
2020-02-03,QQQ,212.940899,215.600967,212.79581,215.107651,6,Monday,214.111332,100.0,0.467047
2020-03-02,QQQ,202.049142,209.487663,199.205284,209.34256,10,Monday,205.021162,100.0,0.487755
2020-04-01,QQQ,179.10843,181.909876,175.318233,176.723801,14,Wednesday,178.265085,100.0,0.560962
2020-05-01,QQQ,207.927517,210.031025,205.193918,206.221451,18,Friday,207.343478,100.0,0.482292
2020-06-01,QQQ,225.337203,227.266218,224.891291,226.888168,23,Monday,226.09572,100.0,0.442291
2020-07-01,QQQ,240.469546,244.237205,239.925764,243.23703,27,Wednesday,241.967386,100.0,0.413279
2020-08-03,QQQ,260.239971,262.327711,260.11373,261.580017,32,Monday,261.065357,100.0,0.383046
2020-09-01,QQQ,289.002328,291.352269,287.225329,291.235748,36,Tuesday,289.703918,100.0,0.34518
2020-10-01,QQQ,273.630781,274.689217,271.737232,274.077454,40,Thursday,273.533671,100.0,0.365586
2020-11-02,QQQ,263.978538,265.600167,259.239835,262.162689,45,Monday,262.745307,100.0,0.380597
2020-12-01,QQQ,293.22631,296.304534,292.119305,294.673157,49,Tuesday,294.080826,100.0,0.340043
2021-01-04,QQQ,306.54051,306.715638,296.880566,300.898254,1,Monday,302.758742,100.0,0.330296
